input,title,status_code,content_length,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,cdn_name,tech_,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,csp_domains_,final_url,tls_expired
api-gateway-prod.cloud-internal.nutanix.com,,404,9,443,https://api-gateway-prod.cloud-internal.nutanix.com:443,https,nginx,,GET,54.211.58.51,/,1391058259,44.193.107.184,1,False,,Nginx,,api-gateway-prod.cloud-internal.nutanix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-12-30T00:00:00Z,2024-01-02T23:59:59Z,"CN=*.cloud-internal.nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",*.cloud-internal.nutanix.com,"Nutanix, Inc.",*.artifactory.cloud-internal.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c52acdd5b29987c85e3a55b9457a8756,ea698b196094e8bc0db466f689fd725771891775e73debcd14b2a32b2d0c734e,True,ctls,api-gateway-prod.cloud-internal.nutanix.com,,,
api-staging.console.nutanix.com,,404,9,443,https://api-staging.console.nutanix.com:443,https,nginx,,GET,2.17.100.241,/,1391058259,2a02:26f0:ab00::214:8e79,1,False,,Nginx,,api-staging.console.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-27T00:00:00Z,2024-03-26T23:59:59Z,"CN=staging.frame.nutanix.com, O=Nutanix Inc, L=San Jose, ST=California, C=US",staging.frame.nutanix.com,Nutanix Inc,terminal-staging.console.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2afc428dd0906654a9f41a605c517696,1f787a57fde955a54f7c449447ec656b3f48f42a44e327642329d2d91b56140d,,ctls,api-staging.console.nutanix.com,,,
api.beam.nutanix.com,,200,144,443,https://api.beam.nutanix.com:443,https,nginx,text/html,GET,23.36.239.36,/,566218143,2a02:26f0:1700:19d::181c,6,False,,Nginx,,api.beam.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-01-19T00:00:00Z,2024-01-19T23:59:59Z,"CN=www.xi.nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",www.xi.nutanix.com,"Nutanix, Inc.",staging-calm.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8b64cb64ba5123a1006d091b73ca0160,d927b2bff634eae5939f4faa82520b78c0bf3691162a92c0f54bd40cbd1aab47,True,ctls,api.beam.nutanix.com,URL=https://www.nutanix.com/,,
api.console.nutanix.com,,404,9,443,https://api.console.nutanix.com:443,https,nginx,,GET,2.17.100.147,/,1391058259,2a02:26f0:ab00::5c7a:d76a,1,False,,Nginx,,api.console.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-27T00:00:00Z,2024-03-26T23:59:59Z,"CN=frame.nutanix.com, O=Nutanix Inc, L=San Jose, ST=California, C=US",frame.nutanix.com,Nutanix Inc,terminal.console.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,90ddd0c371dda42f022859a9bebc3b8b,68cb8027f7400b2c01d505d403c139f2fe1ac6fc73105029fc8ddc52cbe0fb59,,ctls,api.console.nutanix.com,,,
api.frame.nutanix.com,,404,9,443,https://api.frame.nutanix.com:443,https,nginx,,GET,44.215.82.39,/,1391058259,52.200.151.81,1,False,,Nginx,,api.frame.nutanix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-06T00:00:00Z,2024-02-05T23:59:59Z,"CN=*.frame.nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",*.frame.nutanix.com,"Nutanix, Inc.",frame.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cd5cb32fd802fdcd377009ac693b1c74,7bc15f598e9f71d9c2c5665b3e024775b41c880e310bfce05534ce613dcc4955,True,ctls,api.frame.nutanix.com,,,
apidelmarcollege.xi.nutanix.com,Nutanix Web Console,404,1818,443,https://apidelmarcollege.xi.nutanix.com:443,https,nginx,text/html,GET,2.17.100.224,/,2141962946,2a02:26f0:ab00::214:8e48,61,False,,Nginx,,apidelmarcollege.xi.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",nutanix.com,"Nutanix, Inc.",www.test-xi.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,83be20ae1b148c63423b7d46509cb9ea,5c684730235ee192b83c4406fe8a4001df9e578e36db01beb7b22b6ea2bec8f4,True,ctls,apidelmarcollege.xi.nutanix.com,,,
asset.xi.nutanix.com,Service Unavailable,503,269,443,https://asset.xi.nutanix.com:443,https,AkamaiGHost,text/html,GET,2.17.100.152,/,95388381,2a02:26f0:ab00::214:8e48,9,False,,HSTS,,asset.xi.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",nutanix.com,"Nutanix, Inc.",www.test-xi.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,83be20ae1b148c63423b7d46509cb9ea,5c684730235ee192b83c4406fe8a4001df9e578e36db01beb7b22b6ea2bec8f4,True,ctls,asset.xi.nutanix.com,,,
assets-staging.cloud.nutanix.com,,403,263,443,https://assets-staging.cloud.nutanix.com:443,https,AmazonS3,application/xml,GET,23.36.239.36,/,462035078,2a02:26f0:1700:19d::181c,2,False,,HSTS,,assets-staging.cloud.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-01-19T00:00:00Z,2024-01-19T23:59:59Z,"CN=www.xi.nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",www.xi.nutanix.com,"Nutanix, Inc.",staging-calm.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8b64cb64ba5123a1006d091b73ca0160,d927b2bff634eae5939f4faa82520b78c0bf3691162a92c0f54bd40cbd1aab47,True,ctls,assets-staging.cloud.nutanix.com,,,
assets-staging.console.nutanix.com,,403,243,443,https://assets-staging.console.nutanix.com:443,https,AmazonS3,application/xml,GET,95.101.111.130,/,1880507266,2a02:26f0:480:23::1726:6298,2,False,,HSTS,,assets-staging.console.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-27T00:00:00Z,2024-03-26T23:59:59Z,"CN=staging.frame.nutanix.com, O=Nutanix Inc, L=San Jose, ST=California, C=US",staging.frame.nutanix.com,Nutanix Inc,terminal-staging.console.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2afc428dd0906654a9f41a605c517696,1f787a57fde955a54f7c449447ec656b3f48f42a44e327642329d2d91b56140d,,ctls,assets-staging.console.nutanix.com,,,
assets.beam.nutanix.com,ERROR: The request could not be satisfied,403,915,80,http://assets.beam.nutanix.com:80,http,CloudFront,text/html,GET,18.66.147.58,/,-581983420,2600:9000:225e:3600:e:6a9:a200:93a1,20,False,cloudfront,Amazon Web Services,True,,,,,,,,,,,,,,,,,,,,,,,
assets.cloud.nutanix.com,,403,243,443,https://assets.cloud.nutanix.com:443,https,AmazonS3,application/xml,GET,23.36.239.36,/,-2125443284,2a02:26f0:1700:19d::181c,2,False,,Amazon Web Services,,assets.cloud.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-01-19T00:00:00Z,2024-01-19T23:59:59Z,"CN=www.xi.nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",www.xi.nutanix.com,"Nutanix, Inc.",staging-calm.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8b64cb64ba5123a1006d091b73ca0160,d927b2bff634eae5939f4faa82520b78c0bf3691162a92c0f54bd40cbd1aab47,True,ctls,assets.cloud.nutanix.com,,,
assets.console.nutanix.com,,403,243,443,https://assets.console.nutanix.com:443,https,AmazonS3,application/xml,GET,2.17.100.147,/,-1384512336,2a02:26f0:ab00::5c7a:d718,2,False,,HSTS,,assets.console.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-27T00:00:00Z,2024-03-26T23:59:59Z,"CN=frame.nutanix.com, O=Nutanix Inc, L=San Jose, ST=California, C=US",frame.nutanix.com,Nutanix Inc,terminal.console.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,90ddd0c371dda42f022859a9bebc3b8b,68cb8027f7400b2c01d505d403c139f2fe1ac6fc73105029fc8ddc52cbe0fb59,,ctls,assets.console.nutanix.com,,,
assets.nutanix.com,Offline for maintenance | Nutanix,200,8835,443,https://assets.nutanix.com:443,https,AmazonS3,text/html,GET,13.224.103.50,/,-1220305863,2600:9000:2127:d400:1e:bb71:480:93a1,147,False,cloudfront,Amazon Web Services,True,assets.nutanix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-24T00:00:00Z,2023-11-15T23:59:59Z,CN=assets.nutanix.com,assets.nutanix.com,,assets.nutanix.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a9aed095d924fdff7e2b119e1c777bae,4b89e5cc55baa45a74b997e75698463b5388fdde48f6ba61369fbb445f1d09fd,,ctls,assets.nutanix.com,,,
authcmsinternal.xi.nutanix.com,Nutanix Web Console,404,1818,443,https://authcmsinternal.xi.nutanix.com:443,https,nginx,text/html,GET,2.16.187.105,/,2141962946,2a02:26f0:480:23::1726:62b1,61,False,,Nginx,,authcmsinternal.xi.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",nutanix.com,"Nutanix, Inc.",www.test-xi.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,83be20ae1b148c63423b7d46509cb9ea,5c684730235ee192b83c4406fe8a4001df9e578e36db01beb7b22b6ea2bec8f4,True,ctls,authcmsinternal.xi.nutanix.com,,,
backupsgit.xi.nutanix.com,Nutanix Web Console,404,1818,443,https://backupsgit.xi.nutanix.com:443,https,nginx,text/html,GET,2.17.100.152,/,2141962946,2a02:26f0:ab00::214:8e48,61,False,,Nginx,,backupsgit.xi.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",nutanix.com,"Nutanix, Inc.",www.test-xi.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,83be20ae1b148c63423b7d46509cb9ea,5c684730235ee192b83c4406fe8a4001df9e578e36db01beb7b22b6ea2bec8f4,True,ctls,backupsgit.xi.nutanix.com,,,
bas2-7-prd.xi.nutanix.com,Nutanix Web Console,404,1818,443,https://bas2-7-prd.xi.nutanix.com:443,https,nginx,text/html,GET,2.17.100.152,/,2141962946,2a02:26f0:ab00::214:8e70,61,False,,Nginx,,bas2-7-prd.xi.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",nutanix.com,"Nutanix, Inc.",www.test-xi.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,83be20ae1b148c63423b7d46509cb9ea,5c684730235ee192b83c4406fe8a4001df9e578e36db01beb7b22b6ea2bec8f4,True,ctls,bas2-7-prd.xi.nutanix.com,,,
bcg3dw.xi-leap-test-failover.nutanix.com,Readiness Check Report for Xi Leap Onboarding,200,2346,443,https://bcg3dw.xi-leap-test-failover.nutanix.com:443,https,nginx/1.16.1,text/html,GET,52.8.154.250,/,1174555204,52.52.121.211,1,False,,Nginx:1.16.1,,bcg3dw.xi-leap-test-failover.nutanix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-10T00:00:00Z,2023-07-17T23:59:59Z,CN=xi-leap-test-failover.nutanix.com,xi-leap-test-failover.nutanix.com,,*.xi-leap-test-failover.nutanix.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1b8f984abd49d3eb7cb02d7307f664e3,7c4cfff1350e32191dd83e8164da89b47f978f4a4b7f6dda01036628a48d9a74,True,ctls,bcg3dw.xi-leap-test-failover.nutanix.com,,,
beam.nutanix.com,Nutanix Beam - Multi Cloud Governance Solution for Cost Management and Security Compliance,200,15979,443,https://beam.nutanix.com:443,https,Server,text/html,GET,18.66.97.109,/,-1424762397,18.66.97.70,201,False,cloudfront,HSTS,True,beam.nutanix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-01T00:00:00Z,2024-01-03T23:59:59Z,CN=beam.nutanix.com,beam.nutanix.com,,beam.nutanix.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,bc90c2d30121ce8be226838d2ec42539,ea66a2bf8986cc8ad3e6c34c84c6cdc22f0a0ae39dd47eed375e6008a689354c,,ctls,beam.nutanix.com,*.walkme.com,,
bee-stg-origin.saas.nutanix.com,Access Denied,400,291,443,https://bee-stg-origin.saas.nutanix.com:443,https,AkamaiGHost,text/html,GET,2.17.100.224,/,887498190,2.17.100.152,10,False,,HSTS,,bee-stg-origin.saas.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",nutanix.com,"Nutanix, Inc.",www.test-xi.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,83be20ae1b148c63423b7d46509cb9ea,5c684730235ee192b83c4406fe8a4001df9e578e36db01beb7b22b6ea2bec8f4,True,ctls,bee-stg-origin.saas.nutanix.com,,,
bid463l.xi.nutanix.com,Nutanix Web Console,404,1818,443,https://bid463l.xi.nutanix.com:443,https,nginx,text/html,GET,95.101.111.146,/,2141962946,2a02:26f0:e600::170f:b2f2,61,False,,Nginx,,bid463l.xi.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",nutanix.com,"Nutanix, Inc.",www.test-xi.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,83be20ae1b148c63423b7d46509cb9ea,5c684730235ee192b83c4406fe8a4001df9e578e36db01beb7b22b6ea2bec8f4,True,ctls,bid463l.xi.nutanix.com,,,
bid47zl.xi.nutanix.com,Nutanix Web Console,404,1818,443,https://bid47zl.xi.nutanix.com:443,https,nginx,text/html,GET,95.101.111.146,/,2141962946,2a02:26f0:480:23::1726:62b1,61,False,,Nginx,,bid47zl.xi.nutanix.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",nutanix.com,"Nutanix, Inc.",www.test-xi.nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,83be20ae1b148c63423b7d46509cb9ea,5c684730235ee192b83c4406fe8a4001df9e578e36db01beb7b22b6ea2bec8f4,True,ctls,bid47zl.xi.nutanix.com,,,
billing.nutanix.com,My Nutanix,200,1328,443,https://billing.nutanix.com:443,https,,text/html,GET,95.101.45.166,/,-1657891047,95.101.45.166,1,False,,HSTS,,my.nutanix.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-04-02T00:00:00Z,2024-04-02T23:59:59Z,"CN=*.nutanix.com, O=Nutanix\, Inc., L=San Jose, ST=California, C=US",*.nutanix.com,"Nutanix, Inc.",nutanix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,96848d5ca3eb49a71f25ee244c4f72a6,e9736e22a8c2c0a32ac2a9c4df64be1856447dff20b2bf562e8b2821e79e8898,True,ctls,my.nutanix.com,,https://my.nutanix.com/page/login?type=samlsso_notification.do%3Fclient_id%3D8pCkZUaSnQgys9wb64tgzxu8g6Ea&commonAuthCallerPath=%2Foauth2%2Fauthorize&forceAuth=false&passiveAuth=false&redirect_uri=https%3A%2F%2Fbilling.nutanix.com%2Fproxy%2Fv1%2Fauth%2Fwso2%2Fcallback&response_type=code&scope=openid&state=successRedirect%3Dhttps%253A%252F%252Fbilling.nutanix.com%252F%26targetId%3DxiPortal&tenantDomain=carbon.super&sessionDataKey=25be41da-b886-4cc9-bd25-e5e5c7a27f00&relyingParty=8pCkZUaSnQgys9wb64tgzxu8g6Ea&type=oidc&sp=xi-billing-prod&isSaaSApp=false,
