input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_mismatched
documents.testnet.bitmex.com,,422,18,documents.testnet.bitmex.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-05T08:06:44Z,2023-06-03T08:06:43Z,CN=documents.testnet.bitmex.com,documents.testnet.bitmex.com,,documents.testnet.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,531017539b5aa7493c79c1284e039a37,2326bc7b6235035468147e8b6578f57827b890d4699164efeae254bd2d8b8ea4,,ctls,documents.testnet.bitmex.com,,443,https://documents.testnet.bitmex.com:443,https,nginx,text/plain,GET,3.125.23.48,/,-1502436717,3.120.167.53,Nginx,1,False,,,,
email.mg.bitmex.com,,404,19,email.mg.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-16T13:35:29Z,2023-06-14T13:35:28Z,CN=mailgun.org,mailgun.org,,mailgun.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3d169b9a2155b6a3cfa18c1af722bffd,882d45c195b586adc7ddf4167d555da0fce18b30968b745469c6655ad3a6fc34,,ctls,email.mg.bitmex.com,google,443,https://email.mg.bitmex.com:443,https,,text/plain,GET,34.110.180.34,/,-138391155,34.110.180.34,,2,False,True,,,True
eu.onfido.bitmex.com,Onfido API,200,269,eu.onfido.bitmex.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-14T08:00:42Z,2023-07-13T08:00:41Z,CN=eu.onfido.bitmex.com,eu.onfido.bitmex.com,,eu.onfido.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,61142306e7cc31da5632964f3d4c0065,6e17b2bf60cb495c1d3d137c009d95a7e4c71157ced1872118d0804f29a9282e,,ctls,eu.onfido.bitmex.com,,443,https://eu.onfido.bitmex.com:443,https,nginx,text/html,GET,3.125.23.48,/,968070783,3.120.167.53,Nginx,16,False,,,,
eu.onfido.devhk.bitmex.com,Onfido API,200,269,eu.onfido.devhk.bitmex.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-07T08:00:47Z,2023-08-05T08:00:46Z,CN=eu.onfido.devhk.bitmex.com,eu.onfido.devhk.bitmex.com,,eu.onfido.devhk.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3acf15e12396b3d51e9ec93d551f2222,7bbcf4f2e25e4dbf22f6fe530cbc534959838270be6dcd3f9ecb42e05283fa92,,ctls,eu.onfido.devhk.bitmex.com,,443,https://eu.onfido.devhk.bitmex.com:443,https,nginx,text/html,GET,3.215.204.48,/,968070783,107.20.75.87,Nginx,16,False,,,,
eu.onfido.testnet.bitmex.com,,404,14,,,,,,,,,,,,,,,,,,,,,80,http://eu.onfido.testnet.bitmex.com:80,http,nginx,application/octet-stream,GET,3.125.23.48,/,997500400,3.120.167.53,Nginx,1,False,,,,
events-ingest.services.bitmex.com,,400,45,events-ingest.services.bitmex.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-28T01:58:30Z,2023-07-27T01:58:29Z,CN=events-ingest.services.bitmex.com,events-ingest.services.bitmex.com,,events-ingest.services.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7b0ff89dca9536b8746af26938317ef8,40086de723a03223b487b00ac30b6889388642abfb4f7176959fe196afc46afe,,ctls,events-ingest.services.bitmex.com,,80,http://events-ingest.services.bitmex.com:80,http,,application/json,GET,34.252.134.109,/,1776684608,34.248.9.165,Node.js,1,False,,,https://events-ingest.services.bitmex.com/,
events-ingest.testnet.services.bitmex.com,,400,45,events-ingest.testnet.services.bitmex.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-28T02:00:48Z,2023-07-27T02:00:47Z,CN=events-ingest.testnet.services.bitmex.com,events-ingest.testnet.services.bitmex.com,,events-ingest.testnet.services.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cb1da73e67529502e8350db277fceeb7,c7824083ac1e02587e902f7d23e9db34b6803300b05311851fe7b2153c799c0a,,ctls,events-ingest.testnet.services.bitmex.com,,443,https://events-ingest.testnet.services.bitmex.com:443,https,,application/json,GET,52.213.92.190,/,1776684608,52.18.154.10,Node.js,1,False,,,,
fbnotify.dev.devhk.services.bitmex.com,,404,26,fbnotify.dev.devhk.services.bitmex.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-12T21:35:08Z,2023-07-11T21:35:07Z,CN=fbnotify.dev.devhk.services.bitmex.com,fbnotify.dev.devhk.services.bitmex.com,,fbnotify.dev.devhk.services.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,81d4e392f1aca719a97d83923eb581c4,4852b6c05c4640b63d0b8e85f762d12703914e4a67b9478cc2ff05e6dca945b2,,ctls,fbnotify.dev.devhk.services.bitmex.com,,443,https://fbnotify.dev.devhk.services.bitmex.com:443,https,gunicorn,application/json,GET,176.34.197.48,/,-1237272080,52.48.87.22,gunicorn,1,False,,,,
fbnotify.devhk.services.bitmex.com,,404,26,fbnotify.devhk.services.bitmex.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-04T17:09:03Z,2023-06-02T17:09:02Z,CN=fbnotify.devhk.services.bitmex.com,fbnotify.devhk.services.bitmex.com,,fbnotify.devhk.services.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f6185be9cafcd9dbcc6bc24081dfd7ba,d05dfa6a81473250ba5c1af33958bb54cb85c62ece785d90df51c8cc835c6c10,,ctls,fbnotify.devhk.services.bitmex.com,,443,https://fbnotify.devhk.services.bitmex.com:443,https,gunicorn,application/json,GET,52.17.153.212,/,-1237272080,52.213.199.101,gunicorn,1,False,,,,
https://s3-eu-west-1.amazonaws.com,Cloud Object Storage – Amazon S3 – Amazon Web Services,200,75093,aws.amazon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-08T00:00:00Z,2024-03-07T23:59:59Z,CN=aws.amazon.com,aws.amazon.com,,1.aws-lbr.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,142203600fa2c4d1b20831103811f8d6,54108acd24884070f6280ba1133869ead976599d259f036c681587b6a5f081f5,,ctls,aws.amazon.com,,443,https://s3-eu-west-1.amazonaws.com:443,https,Server,text/html,GET,52.92.18.0,/,-1874522191,52.92.33.184,Handlebars,815,False,,https://dpm.demdex.net,https://aws.amazon.com/s3/,
l.m.testnet.bitmex.com,404 Not Found,404,564,,,,,,,,,,,,,,,,,,,,,80,http://l.m.testnet.bitmex.com:80,http,nginx,text/html,GET,167.89.118.83,/,1506877856,167.89.118.52,Nginx,14,False,,,,
li.bitmex.com,404 Not Found,404,564,li.bitmex.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,li.bitmex.com,,443,https://li.bitmex.com:443,https,nginx,text/html,GET,167.89.118.83,/,1506877856,167.89.118.52,Nginx,14,False,,,,True
lib.academy.bitmex.com,BitMEX | Most Advanced Crypto Trading Platform for Bitcoin & Home of the Perpetual Swap,200,658530,www.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,True,ctls,www.bitmex.com,cloudflare,443,https://lib.academy.bitmex.com:443,https,cloudflare,text/html,GET,104.18.41.190,/,1602263777,172.64.146.66,webpack,458,False,True,https://tr.outbrain.com,https://www.bitmex.com,
onfido.bitmex.com,Onfido API,200,269,onfido.bitmex.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-30T08:05:11Z,2023-07-29T08:05:10Z,CN=onfido.bitmex.com,onfido.bitmex.com,,onfido.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8d3e2a2ea33366374d6e13cdf61bd0f9,2a5ce6e28da3fdf02073c3f2023a3f40dd21bb6821a6d40fde56a703215e0f28,,ctls,onfido.bitmex.com,,443,https://onfido.bitmex.com:443,https,nginx,text/html,GET,52.29.119.132,/,968070783,3.120.167.53,Nginx,16,False,,,,
onfido.devhk.bitmex.com,Onfido API,200,269,onfido.devhk.bitmex.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T08:05:15Z,2023-08-10T08:05:14Z,CN=onfido.devhk.bitmex.com,onfido.devhk.bitmex.com,,onfido.devhk.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,450c65e10df504b4e11e5cf1d9e39ab5,7f00efdfc84dc4fdce9b9f7223aff520e5037e5bc5c6749e8bf4724688447017,,ctls,onfido.devhk.bitmex.com,,443,https://onfido.devhk.bitmex.com:443,https,nginx,text/html,GET,107.20.75.87,/,968070783,3.215.204.48,Nginx,16,False,,,,
onfido.devsf3.bitmex.com,,404,14,,,,,,,,,,,,,,,,,,,,,80,http://onfido.devsf3.bitmex.com:80,http,nginx,application/octet-stream,GET,3.215.240.222,/,997500400,3.215.204.48,Nginx,1,False,,,,
onfido.testnet.bitmex.com,,404,14,,,,,,,,,,,,,,,,,,,,,80,http://onfido.testnet.bitmex.com:80,http,nginx,application/octet-stream,GET,52.29.119.132,/,997500400,3.125.23.48,Nginx,1,False,,,,
podcasts.academy.bitmex.com,BitMEX | Most Advanced Crypto Trading Platform for Bitcoin & Home of the Perpetual Swap,200,658530,www.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,True,ctls,www.bitmex.com,cloudflare,443,https://podcasts.academy.bitmex.com:443,https,cloudflare,text/html,GET,172.64.146.66,/,-233356780,104.18.41.190,webpack,458,False,True,https://dsp-ap.eskimi.com,https://www.bitmex.com,
public-testnet.bitmex.com,BitMEX Public Data,200,1269,public-testnet.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-02-09T23:59:59Z,CN=public-testnet.bitmex.com,public-testnet.bitmex.com,,public-testnet.bitmex.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1d86760563d2bd81cb9cf7957cded371,3a50717fa6890e18726fadc051774b67284156f216fa9851ef0d541befe30145,,ctls,public-testnet.bitmex.com,cloudfront,443,https://public-testnet.bitmex.com:443,https,AmazonS3,text/html,GET,13.32.27.123,/,-1835680228,13.32.27.38,Amazon Web Services,28,False,True,https://s3-eu-west-1.amazonaws.com,,
public.bitmex.com,BitMEX Public Data,200,1245,public.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-02-08T23:59:59Z,CN=public.bitmex.com,public.bitmex.com,,public.bitmex.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d30811dc620a0b9c5390063e23b52c50,0f3c8cc1f9e605e9c4eed36e92618b9d9727618890432f21471b57b808a89abc,,ctls,public.bitmex.com,cloudfront,443,https://public.bitmex.com:443,https,AmazonS3,text/html,GET,13.32.99.97,/,-2121256804,13.32.99.5,Amazon Web Services,28,False,True,https://s3-eu-west-1.amazonaws.com,,
research.bitmex.com,BitMEX Research | BitMEX Blog,200,273416,blog.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,True,ctls,blog.bitmex.com,cloudfront,443,https://research.bitmex.com:443,https,cloudflare,text/html,GET,108.138.17.51,/,-1442802666,108.138.17.84,wpBakery,4279,False,True,,https://blog.bitmex.com/research/,
securemail.bitmex.com,,403,10,securemail.bitmex.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-27T00:00:00Z,2023-10-28T23:59:59Z,CN=securemail.bitmex.com,securemail.bitmex.com,,securemail.bitmex.com,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,cda17fccd4684ee60674b2698f7a3488,bb74273188a21cfdccce9c5c16e1cdf29698c13a9986c3ba87235dd30c6e0470,,ctls,securemail.bitmex.com,,443,https://securemail.bitmex.com:443,https,,text/html,GET,148.163.141.209,/,942678640,148.163.141.209,HSTS,1,False,,,,
static.bitmex.com,,403,243,static.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-09-06T23:59:59Z,CN=static.bitmex.com,static.bitmex.com,,testnet-static.bitmex.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ffd15391e40d22cdae4584a2ad2f600b,27041bf6dc5ea7ae58c87273366ca1fb5e23eac0996b17ec7b253dd8f34f9b11,,ctls,static.bitmex.com,cloudfront,80,http://static.bitmex.com:80,http,AmazonS3,application/xml,GET,18.66.97.31,/,-357727832,18.66.97.21,Amazon Web Services,2,False,True,,https://static.bitmex.com/,
status.bitmex.com,BitMEX Status,200,402468,status.bitmex.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-03T19:44:16Z,2023-08-01T19:44:15Z,CN=cc20.status.jasper.com,cc20.status.jasper.com,,www.aptomastatus.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e3fee2571c747b469a4039e92b55852c,905a926d2067b637feefacdaf13e9dce0a3765069875a5b0f07d7b4eabe62d43,,ctls,status.bitmex.com,,80,http://status.bitmex.com:80,http,,text/html,GET,52.215.192.133,/,-1840324437,52.215.192.133,HSTS,4340,False,,,https://status.bitmex.com/,
support.bitmex.com,Security check,403,7516,support.bitmex.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T16:17:49Z,2023-06-18T16:17:48Z,CN=support.bitmex.com,support.bitmex.com,,support.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a267bdc5999cfb0b9250633d73c270ef,bc4682e6b4562c80b71d8de36fd0293707acc8b412a35605587abab657bfdb96,,ctls,support.bitmex.com,cloudflare,443,https://support.bitmex.com:443,https,cloudflare,text/html,GET,104.16.53.111,/,-1279294674,104.16.51.111,Cloudflare,103,False,True,,https://support.bitmex.com/hc/en-gb,
support.services.bitmex.com,400 No required SSL certificate was sent,400,632,support.services.bitmex.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T13:25:34Z,2023-07-10T13:25:33Z,CN=support.abs.sh,support.abs.sh,,support.services.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e6c29b74b09ab9308eadadbcfcb33e70,0a1f456a2ac66b6f9f4961ad358b37a9d3da9a4b4832835f52f7ffc2f342bcfd,,ctls,support.services.bitmex.com,,443,https://support.services.bitmex.com:443,https,,text/html,GET,34.252.134.109,/,1752500266,34.248.9.165,,15,False,,,,
support.testnet.services.bitmex.com,400 No required SSL certificate was sent,400,632,support.testnet.services.bitmex.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T13:26:19Z,2023-07-10T13:26:18Z,CN=support.testnet.abs.sh,support.testnet.abs.sh,,support.testnet.services.bitmex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,04362577ba8acc85cd896f4a9b112d0b,817e9e19eeb27b4efb39c5e597eb6133ff0438b425fbe4b5fc8bee86501f192e,,ctls,support.testnet.services.bitmex.com,,80,http://support.testnet.services.bitmex.com:80,http,,text/html,GET,52.18.154.10,/,1752500266,52.213.92.190,,15,False,,,https://support.testnet.services.bitmex.com/,
testnet.bitmex.com,BitMEX Testnet,200,297532,testnet.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,True,ctls,testnet.bitmex.com,cloudflare,443,https://testnet.bitmex.com:443,https,cloudflare,text/html,GET,172.64.146.66,/,-1717152849,104.18.41.190,webpack,250,False,True,https://bitmex.freshdesk.com/,,
testnet2.bitmex.com,BitMEX Testnet,200,297526,testnet2.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-10-14T23:59:59Z,CN=testnet.bitmex.com,testnet.bitmex.com,,testnet2.bitmex.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31aca4c36fad37bff63f0d6908b94ef3,dc46e147123944d6df5334e3e4738f7f9d572a2c62657762d86e5f77009cb37e,,ctls,testnet2.bitmex.com,cloudfront,80,http://testnet2.bitmex.com:80,http,cloudflare,text/html,GET,108.138.17.8,/,-1717152849,108.138.17.97,webpack,250,False,True,https://delivery.adnuntius.com,https://testnet2.bitmex.com/,
