new,host,soa,txt,status_code,a,cname,ns,cdn,cdn-name,mx,caa,aaaa,has_internal_ips,internal_ips
[x],api-qa01.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.33.235,api2-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api-qa02.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.84.101,api2-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api-qa03.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,,api2-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api-qa04.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.33.235,api2-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api-qa05.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,,api2-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api-qa06.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.84.101,api2-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api-qa07.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.84.101,api2-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api-qa08.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.33.235,api2-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api-qacert.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,,api-qacert.amer-c2.gslbjpmchase.com,,,,,,,,
[x],api-sandbox.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.117.212,api2-sandbox.amer-c2.gslbjpmchase.com,,,,,,,,
[x],api-uat.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.43.196,appstore-uat.amer-c2.gslbjpmchase.com,,,,,,,,
[x],api.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.85.155,api2.amer-c2.gslbjpmchase.com,,,,,,,,
[x],api2-cert.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.85.85,api2-cert.amer-c2.gslbjpmchase.com,,,,,,,,
[x],api2-mtls.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.98.69,api2-mtls.amer-c2.gslbjpmchase.com,,,,,,,,
[x],api2-oauth-perf01.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.42.112,api2-oauth-perf01.amer.gslbjpmchase.com,,,,,,,,
[x],api2-oauth-pte.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.42.113,api2-oauth-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api2-oauth-qa.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],api2-oauth-qa01.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.42.113,api2-oauth-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api2-oauth-qa02.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.84.98,api2-oauth-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api2-oauth-qa03.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.84.98,api2-oauth-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api2-oauth-qa04.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.42.113,api2-oauth-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api2-oauth-qa06.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.84.98,api2-oauth-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api2-oauth-qa07.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.42.113,api2-oauth-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api2-oauth-qa08.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.42.113,api2-oauth-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api2-oauth-qacert.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.84.96,api2-oauth-qacert.amer.gslbjpmchase.com,,,,,,,,
[x],api2-oauth-sandbox.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.52.164,api2-oauth-sandbox.amer-c2.gslbjpmchase.com,,,,,,,,
[x],api2-oauth.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.85.104,api2-oauth.amer-c2.gslbjpmchase.com,,,,,,,,
[x],api2-perf01.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.42.115,api2-perf01.amer.gslbjpmchase.com,,,,,,,,
[x],api2-perf02.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.42.115,api2-perf01.amer.gslbjpmchase.com,,,,,,,,
[x],api2-pte.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.84.101,api2-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api2-qa.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.84.101,api2-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api2-qa01.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.84.101,api2-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api2-qa02.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,,api2-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api2-qa03.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.84.101,api2-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api2-qa04.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.84.101,api2-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api2-qa05.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.84.101,api2-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api2-qa06.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.84.101,api2-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api2-qa07.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.33.235,api2-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api2-qa08.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.33.235,api2-qa.amer.gslbjpmchase.com,,,,,,,,
[x],api2-qacert.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.42.114,api2-qacert.amer.gslbjpmchase.com,,,,,,,,
[x],api2-sandbox.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.85.95,api2-sandbox.amer-c2.gslbjpmchase.com,,,,,,,,
[x],api2.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.52.218,api2.amer-c2.gslbjpmchase.com,,,,,,,,
[x],apidemo.chase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.85.23,apidemo.amer-c2.gslbjpmchase.com,,,,,,,,
[x],aplwspx2.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,170.148.0.13,,,,,,,,,
[x],aplwspx2dr.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,170.148.128.20,,,,,,,,,
[x],aplwspx4qa.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.104.78,,,,,,,,,
[x],aplwspxqa.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,170.148.0.145,,,,,,,,,
[x],aplwspxqa2.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,170.148.0.11,,,,,,,,,
[x],apply.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.64.61,special.gslb.bankone.com,,,,,,,,
[x],applyd1.dev.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],applyd2.dev.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],applyd3.dev.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],applyd4.dev.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],applyi1.dev.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],applyi2.dev.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],applyi3.dev.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],applyi4.dev.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],applyi5.dev.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],applyi6.dev.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,,,,,,,,,,
[x],applyi7.dev.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],applyi8.dev.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,,,,,,,,,,
[x],applymortgage-uat.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],applynow-sit3.dev.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],applynow-sit5.dev.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],applynow.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.52.235,applynow-chase.gslb.bankone.com,,,,,,,,
[x],applynow1-sit3.dev.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],applynow1-sit5.dev.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],applynow1.chase.com,"dbws1adcx204.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,,applynow1-chase.gslb.bankone.com,,,,,,,,
[x],applynow1dc1.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.52.4,,,,,,,,,
[x],applynow1dc2.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.64.210,,,,,,,,,
[x],applynow1qf1.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.118.82,,,,,,,,,
[x],applynow1qf3.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.118.85,,,,,,,,,
[x],applynow1qf4.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.118.63,,,,,,,,,
[x],applynow1qf5.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.118.38,,,,,,,,,
[x],applynow1qfzdc2.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.97.95,,,,,,,,,
[x],applynow1qfzdc5.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.97.96,,,,,,,,,
[x],applynow2qf2.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.97.37,,,,,,,,,
[x],applynow2qf3.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.97.40,,,,,,,,,
[x],applynowdc1.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.52.1,,,,,,,,,
[x],applynowdc2.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.64.207,,,,,,,,,
[x],applynowdev02.dev.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],applynowqf1.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.118.86,,,,,,,,,
[x],applynowqf2.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.118.80,,,,,,,,,
[x],applynowqf3.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.118.81,,,,,,,,,
[x],applynowqf4.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.118.62,,,,,,,,,
[x],applynowqf5.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.118.39,,,,,,,,,
[x],applynowqfzdc5.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.97.98,,,,,,,,,
[x],applynowsit07.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],applynowsit08.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],applyq1.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.118.164,,,,,,,,,
[x],applyq2.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.118.176,,,,,,,,,
[x],applyq3.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.118.189,,,,,,,,,
[x],applyq3.cig.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.118.189,,,,,,,,,
[x],applyq4.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.118.234,,,,,,,,,
[x],applyq5.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.118.201,,,,,,,,,
[x],applyq6.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.112.149,,,,,,,,,
[x],applyq7.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.118.155,,,,,,,,,
[x],applyq8.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.112.159,,,,,,,,,
[x],applyw1-preprod.chase.com,,,NOERROR,54.144.128.85,applyw1-preprod.amer-c2.gslbjpmchase.com,,,,,,,,
[x],applyw1preprod.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],applyw1qa1.dev.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],applyw1qa2.dev.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",v=spf1 -all,NOERROR,,,,,,,,,,
[x],appstore.chase.com,"ns-2.awsdns-00.com, awsdns-hostmaster.amazon.com",,NOERROR,"3.227.90.98, 35.173.146.134",appstore.edgeprod.cldlb.jpmchase.com,,,,,,,,
[x],auth.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,170.148.37.20,,,,,,,,,
[x],auth4.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,170.148.2.7,,,,,,,,,
[x],authe-ent.jpmorganchase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.34.160,authe-ent.amer-c2.gslbjpmchase.com,,,,,,,,
[x],authe-test.jpmorganchase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.112.141,authe-test.amer-c2.gslbjpmchase.com,,,,,,,,
[x],authe.jpmorganchase.com,"dbws1adcx202.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,159.53.52.254,authe.amer-c2.gslbjpmchase.com,,,,,,,,
[x],authqa.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,170.148.9.23,,,,,,,,,
[x],authr.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,170.148.0.148,,,,,,,,,
[x],authw.chase.com,"ns1.jpmorganchase.com, hostmaster.jpmchase.com",,NOERROR,170.148.38.208,,,,,,,,,
