new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,txt
[x],mail.zerodha.com,"104.17.217.15, 104.17.218.15","2606:4700::6811:da0f, 2606:4700::6811:d90f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],mf.zerodha.com,"104.17.217.15, 104.17.218.15","2606:4700::6811:d90f, 2606:4700::6811:da0f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],notary.zerodha.com,"104.17.217.15, 104.17.218.15","2606:4700::6811:d90f, 2606:4700::6811:da0f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],otp.zerodha.com,"104.17.218.15, 104.17.217.15","2606:4700::6811:da0f, 2606:4700::6811:d90f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],partner.zerodha.com,"104.17.218.15, 104.17.217.15","2606:4700::6811:d90f, 2606:4700::6811:da0f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],pulse.zerodha.com,"104.17.217.15, 104.17.218.15","2606:4700::6811:d90f, 2606:4700::6811:da0f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],sensibull.zerodha.com,35.154.235.167,,"kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,
[x],sentinel.zerodha.com,"104.17.217.15, 104.17.218.15","2606:4700::6811:d90f, 2606:4700::6811:da0f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],signup.zerodha.com,"104.17.217.15, 104.17.218.15","2606:4700::6811:d90f, 2606:4700::6811:da0f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,google-site-verification=4mwxz5plT2y5y5TZvnA56wX6eJTweEGSyF8O4DCzeiI
[x],smallcase.zerodha.com,"18.244.155.107, 18.244.155.105, 18.244.155.25, 18.244.155.63",,"ns-1731.awsdns-24.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,zerodha.smallcase.com,
[x],staticassets.zerodha.com,"104.17.218.15, 104.17.217.15","2606:4700::6811:d90f, 2606:4700::6811:da0f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],stockreports.zerodha.com,"104.17.218.15, 104.17.217.15","2606:4700::6811:d90f, 2606:4700::6811:da0f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],stocks.zerodha.com,"52.222.174.88, 52.222.174.26, 52.222.174.21, 52.222.174.72",,"ns-466.awsdns-58.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,securities.tickertape.in,
[x],varsity.zerodha.com,"104.17.218.15, 104.17.217.15","2606:4700::6811:d90f, 2606:4700::6811:da0f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],ws-mobile.zerodha.com,"104.17.217.15, 104.17.218.15","2606:4700::6811:d90f, 2606:4700::6811:da0f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],ws.kite.trade,"65.0.239.51, 13.235.194.189",,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,kite-prod-ticker-connect-1378672944.ap-south-1.elb.amazonaws.com,
[x],ws20.zerodha.com,"104.17.218.15, 104.17.217.15","2606:4700::6811:d90f, 2606:4700::6811:da0f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],www.kite.trade,"104.16.3.81, 104.16.4.81","2606:4700::6810:351, 2606:4700::6810:451","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],www.zerodha.com,"104.17.218.15, 104.17.217.15","2606:4700::6811:d90f, 2606:4700::6811:da0f","kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
