new,host,a,soa,status_code,cname,mx,ns,txt,cdn,cdn-name,aaaa,caa
[x],dev.beta.lahitapiola.fi,"13.107.253.40, 13.107.226.40","ns1.fb-t-msedge.net, msnhst.microsoft.com",NOERROR,"afd-ltsite-dev-56mxgz2fzrrsg-gbgtb0gxcrhfe7ew.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0012.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0012.t-0009.fb-t-msedge.net, part-0012.t-0009.fb-t-msedge.net",,,,,,"2620:1ec:29:1::40, 2620:1ec:48:1::40",
[x],ext-gw.lahitapiola.fi,193.209.71.248,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],extwebfarm.lahitapiola.fi,131.207.52.154,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],files.lahitapiola.fi,20.105.216.28,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,"app-suti-prod-002.azurewebsites.net, waws-prod-am2-669.sip.azurewebsites.windows.net, waws-prod-am2-669-fae9.westeurope.cloudapp.azure.com",,,,,,,
[x],files.lahitapiolarahoitus.fi,20.105.216.28,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,"app-suti-prod-002.azurewebsites.net, waws-prod-am2-669.sip.azurewebsites.windows.net, waws-prod-am2-669-fae9.westeurope.cloudapp.azure.com",,,,,,,
[x],hallintoportaali.lahitapiola.fi,80.81.181.92,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],hanhi.tapiola.fi,193.209.71.72,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,"mail.tapiola.fi, mail2.tapiola.fi",,,,,,
[x],haukka.tapiola.fi,193.209.71.25,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],huolenpito.lahitapiola.fi,192.243.228.1,"ns-435.awsdns-54.com, awsdns-hostmaster.amazon.com",NOERROR,huolenpito.lahitapiola.fi.cname.campaign.adobe.com,inbound.campaign.adobe.com,"ns-1121.awsdns-12.org, ns-1949.awsdns-51.co.uk, ns-435.awsdns-54.com, ns-978.awsdns-58.net","google-site-verification=Jpcn2JBxPtharjCcUDrDZgMPBgJDiel7fhxy2tZip_0, v=spf1 ip4:172.82.239.0/24 -all",,,,
[x],huolenpitoa.lahitapiola.fi,193.209.71.141,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],hy10-ext-tc3.lahitapiola.fi,193.209.71.187,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,st-verkkopalvelu.lahitapiola.fi,,,,,,,
[x],info.lahitapiola.fi,,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,,inbound.campaign.adobe.com,"ns-1527.awsdns-62.org, ns-1856.awsdns-40.co.uk, ns-261.awsdns-32.com, ns-653.awsdns-17.net","google-site-verification=mxfMpZ6k4ocg9ga_83q69IArPhdiKYuVAV8aDUVwYsc, v=spf1 redirect=__spf.campaign.adobe.com",,,,
[x],info2.lahitapiola.fi,,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,,inbound.campaign.adobe.com,"ns-1527.awsdns-62.org, ns-1856.awsdns-40.co.uk, ns-261.awsdns-32.com, ns-653.awsdns-17.net","google-site-verification=oT6sCgTl3hQtE4ka7zaSpd5-UtD9nSqSPdAnwi_N8NA, v=spf1 redirect=__spf.campaign.adobe.com",,,,
[x],kaupinta.lahitapiolarahoitus.fi,193.209.71.140,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],kaupinta2020.lahitapiolarahoitus.fi,213.28.69.67,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],kharon.tapiola.fi,193.209.71.213,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],kiinteistot.lahitapiola.fi,"94.237.114.202, 94.237.36.66, 94.237.114.139","ns1.kolmioverkko.fi, nospam.kolmioverkko.fi",NOERROR,data.doks.fi,,,0g6x04qbm7vb0ynp70vf1m6rd6pzchlw,,,,
[x],kissa.tapiola.fi,193.209.71.108,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],koppi.lahitapiola.fi,193.209.71.61,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],kou1-ext-tc3.lahitapiola.fi,193.209.71.187,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,st-verkkopalvelu.lahitapiola.fi,,,,,,,
[x],kou3-ext-tc3.lahitapiola.fi,,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,st-verkkopalvelu.lahitapiola.fi,,,,,,,
[x],kuha.tapiola.fi,193.209.71.200,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],kurre.lahitapiola.fi,193.209.71.58,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],lahitapiola.fi,,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,secure.lahitapiola.fi,,"MS=ms56163596, google-site-verification=TKS-Ts0iw9V1CRSMkTeQFIVo-IB4Z-5SEsLsbve0w_k, C7wfpi/3TjlwFdtVD7fOuQT4MI32CEsdXc532SannVG9qCEOyb8Kr5VelJk65qw1/SwcvSF06MWo1BLJI6+hnQ==, adobe-idp-site-verification=5ad6a5e40927d1c45d52ea5f437cb60a4c7fa138e5855a90b5562591d1490942, cisco-ci-domain-verification=482e540eff180c81edc2b9655975454f6d6009f0edc1c16088f84174c167b612, v=spf1 mx a:mmail.lahitapiola.fi include:spf.lianamailer.com include:spf.mailjet.com ip4:193.209.71.2 ip4:193.209.71.78 include:spf.protection.outlook.com include:sendgrid.net include:_spf.emaileri.fi ~all",,,,
[x],lahitapiolarahoitus.fi,193.209.71.44,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,secure.lahitapiola.fi,"ns1.z.fi, ns1.lanwan.fi, ns2.z.fi, ns2.lanwan.fi","v=spf1 a:secure.lahitapiola.fi, MS=ms13864531",,,,
[x],lemmikkihelppi.lahitapiola.fi,20.61.10.26,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,naantali-web.westeurope.cloudapp.azure.com,,,,True,azure,,
[x],login.lahitapiola.fi,,"ns1.fdv2-t-msedge.net, msnhst.microsoft.com, ns1.fb-t-msedge.net",NOERROR,"b2cprodazurefrontdoor-eacpe2d7brbjcwbm.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fb-t-msedge.net",,"ns1.lanwan.fi, ns2.z.fi, ns1.z.fi, ns2.lanwan.fi",,,,,
[x],lohi.tapiola.fi,193.209.71.201,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],ltaon.lahitapiola.fi,213.28.69.129,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],ltcrm16dev.lahitapiola.fi,131.207.109.185,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],ltcrm16test.lahitapiola.fi,131.207.109.185,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],lyae1.lahitapiola.fi,131.207.61.25,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],lyae2.lahitapiola.fi,131.207.61.28,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],lyave1.lahitapiola.fi,131.207.61.27,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],lyave2.lahitapiola.fi,131.207.61.30,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],lync.lahitapiola.fi,131.207.109.215,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],lyncdiscover.lahitapiola.fi,52.112.193.16,"admin.nsatc.net, dns.level3.net",NOERROR,webdir.online.lync.com,,,,,,2603:1027:0:48::21,
[x],lywce1.lahitapiola.fi,131.207.61.26,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],lywce2.lahitapiola.fi,131.207.61.29,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],m.info.lahitapiola.fi,"34.249.231.0, 34.254.104.7","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,lahitapiola-mid-prod1-v7qgw-162295328.eu-west-1.elb.amazonaws.com,,"ns-1053.awsdns-03.org, ns-2023.awsdns-60.co.uk, ns-341.awsdns-42.com, ns-739.awsdns-28.net",,,,,
[x],m.info2.lahitapiola.fi,"54.228.215.138, 52.212.171.178","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,lahitapiola-mkt-prod2-sueew-2067567794.eu-west-1.elb.amazonaws.com,,,,,,,
[x],mail.tapiola.fi,193.209.71.68,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],mail2.tapiola.fi,193.209.71.69,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],majava.lahitapiola.fi,193.209.71.49,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],majava2016.lahitapiola.fi,193.209.71.59,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],meet.lahitapiola.fi,91.123.131.40,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],mmail.lahitapiola.fi,193.209.71.84,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],mobile.lahitapiola.fi,213.28.69.131,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],mposti2.tapiola.fi,193.209.71.82,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],myynti.lahitapiolarahoitus.fi,193.209.71.11,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],myyntipalvelu.lahitapiolarahoitus.fi,193.209.71.11,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],note.lahitapiola.fi,193.209.71.155,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],ns.tapiola.fi,193.209.71.67,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],ns2.tapiola.fi,,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],oa.lahitapiola.fi,,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],omasivu.lahitapiolarahoitus.fi,193.209.71.155,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,note.lahitapiola.fi,,,,,,,
[x],omatalous.lahitapiola.fi,193.209.71.143,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],osmo.lahitapiola.fi,"13.48.36.186, 16.170.119.205","ns-1529.awsdns-63.org, awsdns-hostmaster.amazon.com",NOERROR,dualstack.etaika-load-balancer-676663302.eu-north-1.elb.amazonaws.com,,,,,,,
[x],paymentwall.lahitapiola.fi,20.76.227.250,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],piisami.lahitapiola.fi,193.209.71.50,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],pluto.tapiola.fi,193.209.71.235,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],pp.verkkopalvelu.lahitapiolarahoitus.fi,213.28.69.47,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],pp.verkkopalvelucms.lahitapiolarahoitus.fi,213.28.69.47,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],preprod.myynti.lahitapiolarahoitus.fi,193.209.71.45,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],preprod.myyntipalvelu.lahitapiolarahoitus.fi,193.209.71.46,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],previewpreproduat.lahitapiolarahoitus.fi,213.28.69.66,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],prod.verkkopalvelu.lahitapiolarahoitus.fi,213.28.69.48,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],pulssi.lahitapiola.fi,165.227.245.98,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,"ASPMX.L.GOOGLE.COM, ALT1.ASPMX.L.GOOGLE.COM, ALT4.ASPMX.L.GOOGLE.COM, ALT3.ASPMX.L.GOOGLE.COM, ALT2.ASPMX.L.GOOGLE.COM",,v=spf1 include:_spf.google.com ~all,,,,
[x],qap.lahitapiola.fi,,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],r109.info.lahitapiola.fi,172.82.233.109,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],r111.info.lahitapiola.fi,172.82.233.111,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],r50.info2.lahitapiola.fi,172.82.239.50,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1527.awsdns-62.org, ns-1856.awsdns-40.co.uk, ns-261.awsdns-32.com, ns-653.awsdns-17.net",,,,,
[x],r53.info2.lahitapiola.fi,172.82.239.53,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],rautu.lahitapiola.fi,193.209.71.250,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],remote.lahitapiola.fi,213.28.69.131,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],res.info.lahitapiola.fi,"18.66.122.16, 18.66.122.67, 18.66.122.57, 18.66.122.10","ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],res.info2.lahitapiola.fi,"18.66.112.102, 18.66.112.121, 18.66.112.40, 18.66.112.93","ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],rs.tapiola.fi,217.29.227.116,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],scheddev.lahitapiola.fi,193.209.71.222,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],schedprod.lahitapiola.fi,,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],schedtest.lahitapiola.fi,193.209.71.212,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],secdevops.lahitapiola.fi,213.28.69.49,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],sectrans.lahitapiola.fi,193.209.71.250,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],secure.lahitapiola.fi,193.209.71.78,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],signicatnotify.lahitapiolarahoitus.fi,193.209.71.11,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],siili.tapiola.fi,193.209.71.110,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],sip.lahitapiola.fi,52.112.192.11,"admin.nsatc.net, dns.level3.net",NOERROR,sipdir.online.lync.com,,,,,,2603:1027:0:48::20,
[x],sit-ipa.lahitapiola.fi,20.50.2.67,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,B2602B9254A052BBC8568E71EF1356B7D8E4F0EA8441D9CEC988AB2005A659D4,True,azure,,
[x],sit-login.lahitapiola.fi,,"ns1.fb-t-msedge.net, msnhst.microsoft.com",NOERROR,"b2cnonprodazurefrontdoor-b8gbhkbvhyf3b6db.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fb-t-msedge.net",,,,,,,
[x],sitapim-api.lahitapiola.fi,20.105.201.221,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],sitapim-mgmt.lahitapiola.fi,20.105.201.221,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],sitdevelopers.lahitapiola.fi,"13.107.237.67, 13.107.238.67","ns1.fdv2-t-msedge.net, msnhst.microsoft.com, ns1.fb-t-msedge.net",NOERROR,"sitltdevelopers.azureedge.net, sitltdevelopers.afd.azureedge.net, star-azureedge-prod.trafficmanager.net, shed.dual-low.part-0039.t-0009.fdv2-t-msedge.net, part-0039.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0039.t-0009.fb-t-msedge.net, part-0039.t-0009.fb-t-msedge.net",,,,,,"2620:1ec:4e:1::67, 2620:1ec:4f:1::67",
[x],sitweb-api.lahitapiola.fi,13.94.145.4,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,True,azure,,
[x],sms.lahitapiola.fi,"46.137.184.71, 54.228.203.7, 34.253.60.240","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,elb-url-shortener-prod-163531535.eu-west-1.elb.amazonaws.com,,,,,,,
[x],sonerar.tapiola.fi,193.209.71.1,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],st-extranet.tapiola.fi,193.209.71.175,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],st-verkkopalvelu.lahitapiola.fi,,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],st-verkkopalvelu2.tapiola.fi,,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],st-webservices.tapiola.fi,193.209.71.189,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],stage.tapiola.fi,217.29.227.231,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],stagepft.tapiola.fi,217.29.229.88,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],sts.lahitapiola.fi,131.207.109.185,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],sy20-ext-tc3.lahitapiola.fi,193.209.71.187,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,st-verkkopalvelu.lahitapiola.fi,,,,,,,
[x],sy21-ext-tc3.lahitapiola.fi,193.209.71.187,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,st-verkkopalvelu.lahitapiola.fi,,,,,,,
[x],sy22-ext-tc3.lahitapiola.fi,193.209.71.187,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,st-verkkopalvelu.lahitapiola.fi,,,,,,,
[x],sy30-ext-tc3.lahitapiola.fi,193.209.71.187,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,st-verkkopalvelu.lahitapiola.fi,,,,,,,
[x],sy31-ext-tc3.lahitapiola.fi,193.209.71.187,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,st-verkkopalvelu.lahitapiola.fi,,,,,,,
[x],syke.lahitapiola.fi,165.227.245.98,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,"ASPMX.L.GOOGLE.COM, ALT4.ASPMX.L.GOOGLE.COM, ALT1.ASPMX.L.GOOGLE.COM, ALT2.ASPMX.L.GOOGLE.COM, ALT3.ASPMX.L.GOOGLE.COM",,,,,,
[x],t.info.lahitapiola.fi,"34.249.231.0, 34.254.104.7","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,lahitapiola-mid-prod1-v7qgw-162295328.eu-west-1.elb.amazonaws.com,,,,,,,
[x],t.info2.lahitapiola.fi,"54.228.215.138, 52.212.171.178","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,lahitapiola-mkt-prod2-sueew-2067567794.eu-west-1.elb.amazonaws.com,,,,,,,
[x],tapahtumat.lahitapiola.fi,81.22.248.112,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],tapahtumat.tapiola.fi,81.22.248.112,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,,,,,,
[x],tapiola.fi,193.209.71.143,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,secure.lahitapiola.fi,"ns1.lanwan.fi, ns2.lanwan.fi, ns1.z.fi, ns2.z.fi","qsQv5fo/NLDPZ68pFN41wmXfWSQqKR16H81CPe2KdJ+jcgORuXtqNk4VyddeKEUZkf9ygMUA87EGpyeeolxKhA==, MS=ms42859269",,,,
[x],tarvekartoitus.lahitapiola.fi,194.100.38.171,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,,,"ns2.lanwan.fi, ns1.lanwan.fi, ns2.z.fi, ns1.z.fi",,,,,
[x],teams.lahitapiola.fi,95.216.30.124,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,"atlassian.lahitapiola.fi, jira.lahitapiola.eficode.io, lahitapiola.eficode.io",,,,,,,
[x],terveyshelppi.lahitapiola.fi,51.105.156.115,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,ikaalinen-web.westeurope.cloudapp.azure.com,,,,True,azure,,
[x],tes1-ext-tc3.lahitapiola.fi,193.209.71.187,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,st-verkkopalvelu.lahitapiola.fi,,,,,,,
[x],tes2-ext-tc3.lahitapiola.fi,193.209.71.187,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,st-verkkopalvelu.lahitapiola.fi,,,,,,,
[x],tes3-ext-tc3.lahitapiola.fi,193.209.71.187,"ns1.lanwan.fi, hostmaster.lanwan.fi",NOERROR,st-verkkopalvelu.lahitapiola.fi,,,,,,,
[x],test.api.lemmikkihelppi.lahitapiola.fi,13.95.82.181,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,"naantali-test.azurewebsites.net, waws-prod-am2-165.sip.azurewebsites.windows.net, waws-prod-am2-165.westeurope.cloudapp.azure.com",,,,True,azure,,
[x],test.api.lhvetapp.lahitapiola.fi,13.95.82.181,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,"naantali-doctor-test.azurewebsites.net, waws-prod-am2-165.sip.azurewebsites.windows.net, waws-prod-am2-165.westeurope.cloudapp.azure.com",,,,True,azure,,
