new,host,a,soa,status_code,cdn,cdn-name,cname,caa,aaaa,ns
,login-stage.intigriti.com,"18.66.233.57, 18.66.233.100, 18.66.233.27, 18.66.233.41","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,
,login-uat.intigriti.com,"13.224.189.55, 13.224.189.19, 13.224.189.31, 13.224.189.96","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,
,mail.intigriti.com,"199.60.103.227, 199.60.103.29","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"7473434.group34.sites.hubspot.net, group34.sites.hscoscdn30.net",,"2606:2c40::c73c:67e3, 2606:2c40::c73c:671d",
,mta-sts.intigriti.com,"99.86.4.51, 99.86.4.84, 99.86.4.17, 99.86.4.124","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,
,newsletter.intigriti.com,34.107.103.177,"andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,landing.subscribepage.com,,,
,status.intigriti.com,"3.136.110.218, 52.14.73.211","ns-1918.awsdns-47.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,cname.uptime.com,,,
,swag.intigriti.com,23.227.38.74,"ns1.dnsimple.com, admin.dnsimple.com, dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,shops.myshopify.com,"digicert.com, globalsign.com, letsencrypt.org",,
,t.intigriti.com,"54.243.161.55, 54.166.96.114, 54.221.50.8","ns-834.awsdns-40.net, awsdns-hostmaster.amazon.com",NOERROR,,,custom-tracking.salesloft.com,"comodoca.com, digicert.com, letsencrypt.org, pki.goog",,
,trust.intigriti.com,"104.22.26.212, 172.67.27.232, 104.22.27.212","austin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,6095b20d8041cfc51601b06b.cname.vantatrust.com,,"2606:4700:10::6816:1ad4, 2606:4700:10::6816:1bd4, 2606:4700:10::ac43:1be8",
,www-demo.intigriti.com,"13.227.219.58, 13.227.219.116, 13.227.219.21, 13.227.219.6","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,
,www-stage.intigriti.com,"13.227.219.116, 13.227.219.58, 13.227.219.6, 13.227.219.21","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,
,www-uat.intigriti.com,"52.222.174.67, 52.222.174.9, 52.222.174.75, 52.222.174.13","ns-515.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,
,www-v1.intigriti.com,54.144.128.85,,NOERROR,,,,,,
,www.intigriti.com,"76.76.21.142, 76.76.21.98","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,cname.vercel-dns.com,"letsencrypt.org, globalsign.com, sectigo.com",,
