input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,cdn_name,webserver,tech_,cdn,final_url,csp_domains_
chat.clario.co,Chat Login Page,200,725,chat.clario.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-06-06T00:00:00Z,2023-06-06T23:59:59Z,CN=*.clario.co,*.clario.co,clario.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ad0550421609654162214a51dbbc70a8,d55fdf6851d8b38b022677223786035484335cd432e75c32719405cc19be5e79,True,ctls,chat.clario.co,443,https://chat.clario.co:443,https,text/html,GET,3.225.201.64,/,-986470109,52.200.177.183,28,False,,nginx,Nginx,,https://chat.clario.co/login?redirect_url=https%3A%2F%2Fchat.clario.co%2F&auth_type=chat,https://crm.clario.co
clario.co,Clario - Cybersecurity Software Made Simple,200,674810,clario.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2023-10-05T23:59:59Z,CN=clario.co,clario.co,*.clario.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7f381dcb4592cf8e501f6a10202c9a27,1b6e46870a3395c401d9027b2c9551d9afa7a2f766d842fcef8c8525183cf91f,True,ctls,clario.co,443,https://clario.co:443,https,text/html,GET,13.32.99.27,/,-329949529,13.32.99.71,3105,False,cloudfront,nginx,Sentry:5.5.0,True,,*.google.vg
crm.clario.co,,200,2,crm.clario.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-06-06T00:00:00Z,2023-06-06T23:59:59Z,CN=*.clario.co,*.clario.co,clario.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ad0550421609654162214a51dbbc70a8,d55fdf6851d8b38b022677223786035484335cd432e75c32719405cc19be5e79,True,ctls,crm.clario.co,443,https://crm.clario.co:443,https,text/html,GET,52.200.177.183,/,1494302000,54.204.183.247,1,False,,nginx,Nginx,,,
crm.mackeeper.com,,200,2,crm.mackeeper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-25T00:00:00Z,2024-03-25T23:59:59Z,CN=*.mackeeper.com,*.mackeeper.com,*.mackeeper.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,2bd0c36e33bf1a97367ea9e1f3505a35,be68dbca1711a4b9c8e0373d32c2363797b6213cee7b2b000e9723aaf447c571,True,ctls,crm.mackeeper.com,443,https://crm.mackeeper.com:443,https,text/html,GET,3.225.201.64,/,566218143,54.204.183.247,1,False,,nginx,Nginx,,,
dcs.clario.co,404 Not Found,404,548,dcs.clario.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-13T00:00:00Z,2024-03-13T23:59:59Z,CN=*.clario.co,*.clario.co,*.clario.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e52cf2d59dfe3311b14b282e7b4ac9cd,cba74379f5f972b4112adc02c116be70eb610f3c0f6421a2a4d4da093c67c6c4,True,ctls,dcs.clario.co,443,https://dcs.clario.co:443,https,text/html,GET,34.195.55.5,/,566218143,34.224.178.161,14,False,,nginx,Nginx,,,
dl.clario.co,,404,13,dl.clario.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2023-10-05T23:59:59Z,CN=clario.co,clario.co,*.clario.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7f381dcb4592cf8e501f6a10202c9a27,1b6e46870a3395c401d9027b2c9551d9afa7a2f766d842fcef8c8525183cf91f,True,ctls,dl.clario.co,80,http://dl.clario.co:80,http,application/json,GET,143.204.215.27,/,-927398177,143.204.215.119,1,False,cloudfront,,Amazon Web Services,True,https://dl.clario.co/,
dl.mackeeper.com,,404,31,,,,,,,,,,,,,,,,,,,,80,http://dl.mackeeper.com:80,http,text/html,GET,18.66.147.98,/,741860890,18.66.147.71,2,False,cloudfront,AmazonS3,Amazon Web Services,True,,
dl.sz.clario.co,Access Forbidden,403,1589,dl.sz.clario.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2023-10-12T23:59:59Z,CN=sz.clario.co,sz.clario.co,*.sz.clario.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,fadc632842d4ad2a4a1c9b2732f49e5d,21b48d1612a228cd8b29fe601b77314bd8aa87f298157ee3233da13eb459e715,True,ctls,dl.sz.clario.co,443,https://dl.sz.clario.co:443,https,text/html,GET,18.66.97.51,/,-534073640,18.66.97.114,25,False,cloudfront,CloudFront,Amazon Web Services,True,,
dl.sz.mackeeper.com,Access Forbidden,403,1589,dl.sz.mackeeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-01T00:00:00Z,2023-08-13T23:59:59Z,CN=*.sz.mackeeper.com,*.sz.mackeeper.com,*.sz.mackeeper.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0366aa05c71fa100d2ae993d913456a7,3533d0f7cf4e756331eadee86c99fcee390b11ccf4d34b7679f0084b7a07e4f0,True,ctls,dl.sz.mackeeper.com,443,https://dl.sz.mackeeper.com:443,https,text/html,GET,13.32.27.42,/,-534073640,13.32.27.47,25,False,cloudfront,CloudFront,Amazon Web Services,True,,
download.mackeeper.com,,404,12,download.mackeeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-22T00:00:00Z,2024-03-22T23:59:59Z,CN=*.mackeeper.com,*.mackeeper.com,*.mackeepersecurity.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,89fc14ccac49d66096c36a683edc3023,fbf97cd73de2c2bb562759f90d8c57caffb013cc9e318b8be06fcf5b2cf8c79b,True,ctls,download.mackeeper.com,443,https://download.mackeeper.com:443,https,application/json,GET,18.66.112.83,/,-1390272404,18.66.112.11,1,False,cloudfront,nginx,Nginx,True,,
event.clario.co,,404,18,event.clario.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-06-06T00:00:00Z,2023-06-06T23:59:59Z,CN=*.clario.co,*.clario.co,clario.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ad0550421609654162214a51dbbc70a8,d55fdf6851d8b38b022677223786035484335cd432e75c32719405cc19be5e79,True,ctls,event.clario.co,443,https://event.clario.co:443,https,text/plain,GET,13.32.27.28,/,-1840324437,13.32.27.25,1,False,cloudfront,,Amazon Web Services,True,,
event.mackeeper.com,,404,18,event.mackeeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-19T00:00:00Z,2024-05-17T23:59:59Z,CN=mackeeper.com,mackeeper.com,*.mackeeper.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,961fdd0c83fa84ded68eec1454d20460,c3b5611342689f5f737e6dcf2131e2129e99e186d4815700156f1e600f488c47,True,ctls,event.mackeeper.com,443,https://event.mackeeper.com:443,https,text/plain,GET,18.66.122.28,/,-1840324437,18.66.122.121,1,False,cloudfront,,Amazon Web Services,True,,
files.clario.co,,403,255,files.clario.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-28T00:00:00Z,2023-08-08T23:59:59Z,CN=*.clario.co,*.clario.co,*.zoomsupport.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,884c148ac106718f00bce7eee86098bf,bbc44db50a089c66efd038afc0f1d2d30fb151b122a75318b0c39393b316e9f0,True,ctls,files.clario.co,80,http://files.clario.co:80,http,application/xml,GET,18.66.112.28,/,882811507,18.66.112.25,2,False,cloudfront,AmazonS3,Amazon Web Services,True,https://files.clario.co/,
get.mackeeper.com,,404,12,get.mackeeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-22T00:00:00Z,2024-03-22T23:59:59Z,CN=*.mackeeper.com,*.mackeeper.com,*.mackeepersecurity.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,89fc14ccac49d66096c36a683edc3023,fbf97cd73de2c2bb562759f90d8c57caffb013cc9e318b8be06fcf5b2cf8c79b,True,ctls,get.mackeeper.com,443,https://get.mackeeper.com:443,https,application/json,GET,18.66.112.83,/,-1390272404,18.66.112.11,1,False,cloudfront,nginx,Nginx,True,,
h1.tz.mackeeper.com,Google,200,51060,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,80,http://h1.tz.mackeeper.com:80,http,text/html,GET,13.32.99.107,/,140611342,13.32.99.20,64,False,cloudfront,gws,HTTP/3,True,https://www.google.com/,http:
h2.tz.mackeeper.com,Google,200,1948,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,80,http://h2.tz.mackeeper.com:80,http,application/xhtml+xml,GET,13.32.99.20,/,-1620238071,13.32.99.107,1,False,cloudfront,gws,HTTP/3,True,https://www.google.com/,https:
help.mackeeper.com,MacKeeper Help Center,200,79663,mackeeper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-19T00:00:00Z,2024-05-17T23:59:59Z,CN=mackeeper.com,mackeeper.com,*.mackeeper.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,961fdd0c83fa84ded68eec1454d20460,c3b5611342689f5f737e6dcf2131e2129e99e186d4815700156f1e600f488c47,True,ctls,mackeeper.com,443,https://help.mackeeper.com:443,https,text/html,GET,13.32.121.91,/,815647756,13.32.121.119,489,False,cloudfront,nginx,Nginx,True,https://mackeeper.com/help/,*.doubleclick.net
image.email.mackeeper.com,,200,78,,,,,,,,,,,,,,,,,,,,443,https://image.email.mackeeper.com:443,https,text/html,GET,217.175.192.51,/,-1840324437,217.175.192.51,1,False,,nginx,Nginx,,http://suite45.emarsys.net/docroot.html,
inapp.sz.clario.co,Customer-Lab,200,729,inapp.sz.clario.co,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2023-10-12T23:59:59Z,CN=sz.clario.co,sz.clario.co,*.sz.clario.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,fadc632842d4ad2a4a1c9b2732f49e5d,21b48d1612a228cd8b29fe601b77314bd8aa87f298157ee3233da13eb459e715,True,ctls,inapp.sz.clario.co,80,http://inapp.sz.clario.co:80,http,text/html,GET,108.138.7.90,/,1269448597,108.138.7.47,14,False,cloudfront,AmazonS3,Amazon Web Services,True,https://inapp.sz.clario.co/,
