new,host,cname,soa,status_code,a,cdn,cdn-name,ns,txt,aaaa,caa,mx,has_internal_ips,internal_ips,ptr
[x],api-ne.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"52.45.110.156, 3.226.246.218, 34.232.92.239",,,,,,,,,,
[x],api-ne.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"34.232.92.239, 52.45.110.156, 3.226.246.218",,,,,,,,,,
[x],api-ne.sz.clario.co,,"ns-1611.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"13.32.121.29, 13.32.121.117, 13.32.121.110, 13.32.121.22",True,cloudfront,,,,,,,,
[x],api-ne.sz.mackeeper.com,,"ns-1875.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"18.66.233.100, 18.66.233.82, 18.66.233.68, 18.66.233.120",True,cloudfront,,,,,,,,
[x],api.account.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"143.204.215.71, 143.204.215.23, 143.204.215.124, 143.204.215.46",True,cloudfront,,,,,,,,
[x],api.account.sz.clario.co,,"ns-1611.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"13.32.27.121, 13.32.27.87, 13.32.27.118, 13.32.27.22",True,cloudfront,,,,,,,,
[x],api.account.tz.clario.co,,"ns-1221.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,"108.138.64.55, 108.138.64.13, 108.138.64.10, 108.138.64.16",True,cloudfront,,,,,,,,
[x],api.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"52.7.222.118, 3.89.230.152, 44.214.17.92",,,,,,,,,,
[x],app1.account.eu.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,52.58.13.139,,,,,,,,,,
[x],app1.account.us.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,52.5.18.55,,,,,,,,,,
[x],app1.at.eu.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,52.29.79.140,,,,,,,,,,
[x],app1.site.eu.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,52.28.220.131,,,,,,,,,,
[x],app1.site.us.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,52.20.195.144,,,,,,,,,,
[x],app2.account.eu.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,52.58.21.204,,,"ns-1326.awsdns-37.org, ns-1671.awsdns-16.co.uk, ns-448.awsdns-56.com, ns-569.awsdns-07.net",,,,,,,
[x],app2.at.eu.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,52.29.253.237,,,"ns-1326.awsdns-37.org, ns-1671.awsdns-16.co.uk, ns-448.awsdns-56.com, ns-569.awsdns-07.net",,,,,,,
[x],app2.site.us.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,52.22.138.192,,,,,,,,,,
[x],asap.tz.clario.co,,"ns-1221.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,"18.158.33.7, 35.157.54.0",,,,,,,,,,
[x],assets.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"54.159.225.9, 54.211.127.50",,,,,,,,,,
[x],assets.sz.mackeeper.com,,"ns-1875.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"3.217.123.113, 3.230.181.145, 3.221.17.174",,,,,,,,,,
[x],astra-admin-static.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"18.66.97.9, 18.66.97.30, 18.66.97.75, 18.66.97.84",True,cloudfront,,,,,,,,
[x],av-db-signed.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"108.138.217.64, 108.138.217.89, 108.138.217.104, 108.138.217.68",True,cloudfront,,,,,,,,
[x],bastion.eu.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,54.93.54.116,,,,,,,,,,
[x],bastion.us.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,34.198.126.74,,,"ns-1326.awsdns-37.org, ns-1671.awsdns-16.co.uk, ns-448.awsdns-56.com, ns-569.awsdns-07.net",,,,,,,
[x],bg.tz.clario.co,,"ns-1221.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,"52.84.93.16, 52.84.93.23, 52.84.93.115, 52.84.93.7",True,cloudfront,"ns-1221.awsdns-24.org, ns-1749.awsdns-26.co.uk, ns-387.awsdns-48.com, ns-696.awsdns-23.net",,,,,,,
[x],bglink.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,199.36.158.100,,,,,,,,,,
[x],bn.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"18.154.63.96, 18.154.63.108, 18.154.63.67, 18.154.63.49",True,cloudfront,,,,,,,,
[x],bn.sz.mackeeper.com,,"ns-1875.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"65.9.66.52, 65.9.66.45, 65.9.66.35, 65.9.66.94",True,cloudfront,,,,,,,,
[x],cdn.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"18.66.147.70, 18.66.147.97, 18.66.147.127, 18.66.147.14",True,cloudfront,,,,,,,,
[x],cf.mackeeper.com,d2aanv31v8takf.cloudfront.net,"ns-286.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,"52.222.236.97, 52.222.236.110, 52.222.236.119, 52.222.236.125",True,cloudfront,"ns-286.awsdns-35.com, ns-817.awsdns-38.net, ns-1195.awsdns-21.org, ns-1711.awsdns-21.co.uk",,,,,,,
[x],chat-crm.account.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"54.204.183.247, 52.200.177.183, 3.225.201.64",,,,,,,,,,
[x],chat-crm.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"3.225.201.64, 54.204.183.247, 52.200.177.183",,,,,,,,,,
[x],chat.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"3.225.201.64, 54.204.183.247, 52.200.177.183",,,,,,,,,,
[x],clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"108.157.214.116, 108.157.214.98, 108.157.214.72, 108.157.214.100",True,cloudfront,"ns-763.awsdns-31.net, ns-1341.awsdns-39.org, ns-1916.awsdns-47.co.uk, ns-365.awsdns-45.com","v=spf1 include:amazonses.com ~all, ahrefs-site-verification_b97b30071f949aee2c6ecf02647b4e5783c3e9a23c19c45abc9341985b9bc2d1, facebook-domain-verification=sk8qtxb88px6yz026d5lydx3b9qsco, google-site-verification=1oz5BjR6qHbH_siwg_VMHCUSju6f2_G8JUSkyluReNw, google-site-verification=5kPh_XJooNdQCCY_kgGrHjdkHRdK3zAg9LwPU8WFtBY, google-site-verification=79bbNl5LeqYxnhxaseMJIkVGPckyjWnNwxRi-uaqIRk, google-site-verification=A4C7EXgBQmfAi3IrhRIJdP3lKx6GY1EuJatJqFFPInE, google-site-verification=FCjUNpA28Iz9gARiNXgiZueqWNHaG6gknDPs6UdkYss, google-site-verification=TySXH7l3gqcWIvzMqXMPOzlhthefEk90KjMEicO5sco, google-site-verification=W93ShxStmbKIQi83bwIpMCn-Wp7GPA2U7f7x1QCgcig, spycloud-domain-verification=80136afb-8b14-4adb-b116-8344d142daab, trustpilot-one-time-verification-id=7d849c70-dbb4-42c1-accf-01637f2e7e38",,,"alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, aspmx.l.google.com",,,
[x],connect.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,18.157.252.15,,,,,,,,,,
[x],crm.account.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"54.204.183.247, 3.225.201.64, 52.200.177.183",,,,,,,,,,
[x],crm.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"3.225.201.64, 52.200.177.183, 54.204.183.247",,,,,,,,,,
[x],crm.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"52.200.177.183, 54.204.183.247, 3.225.201.64",,,,,,,,,,
[x],dcs.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"54.147.76.119, 34.224.178.161, 34.195.55.5",,,,,,,,,,
[x],dl.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"143.204.215.40, 143.204.215.119, 143.204.215.7, 143.204.215.27",True,cloudfront,,,,,,,,
[x],dl.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"18.66.147.5, 18.66.147.45, 18.66.147.71, 18.66.147.98",True,cloudfront,,,,,,,,
[x],dl.sz.clario.co,,"ns-1611.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"108.156.60.25, 108.156.60.13, 108.156.60.8, 108.156.60.40",True,cloudfront,,,,,,,,
[x],dl.sz.mackeeper.com,,"ns-1875.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"13.227.219.107, 13.227.219.79, 13.227.219.9, 13.227.219.73",True,cloudfront,,,,,,,,
[x],download.mackeeper.com,d1os6uhwk7avbx.cloudfront.net,"ns-698.awsdns-23.net, awsdns-hostmaster.amazon.com",NOERROR,"18.164.52.95, 18.164.52.93, 18.164.52.98, 18.164.52.47",True,cloudfront,"ns-1828.awsdns-36.co.uk, ns-1530.awsdns-63.org, ns-5.awsdns-00.com, ns-698.awsdns-23.net",,,,,,,
[x],download2.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],e.mackeeper.com,response.wc07.net,"ns1.whatcounts.com, hostmaster.wc07.net",NOERROR,"34.210.132.119, 52.36.173.12",,,,"v=spf1 ip4:207.170.245.128/25 ip4:74.203.48.0/23 ip4:74.203.57.0/24 ip4:174.46.206.0/23 ip4:209.49.182.1/23 ip4:66.238.238.0/24,  ip4:209.49.12.0/24 ip4:67.90.142.0/24 ip4:54.68.98.211 a mx ~all",,,bounce.whatcounts.com,,,
[x],email.mackeeper.com,,"ns0.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,"ns1.emarsys.net, ns3.emarsys.net, ns2.emarsys.net, ns4.emarsys.net","google-site-verification=uB0tT0ky3ya6b5kER-imlMkRmsg8MV4DxYF28Zvmdpg, v=spf1 include:emarsys.us include:emsmtp.us ~all",,,"return0.emarsys.net, return1.emarsys.net",,,
[x],event.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"108.157.229.115, 108.157.229.116, 108.157.229.37, 108.157.229.89",True,cloudfront,,,,,,,,
[x],event.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"108.157.214.108, 108.157.214.100, 108.157.214.127, 108.157.214.123",True,cloudfront,,,,,,,,
[x],event.sz.clario.co,,"ns-1611.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"13.224.245.58, 13.224.245.112, 13.224.245.87, 13.224.245.74",True,cloudfront,"ns-1407.awsdns-47.org, ns-1611.awsdns-09.co.uk, ns-485.awsdns-60.com, ns-782.awsdns-33.net",,,,,,,
[x],files.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"13.224.222.85, 13.224.222.57, 13.224.222.7, 13.224.222.94",True,cloudfront,"ns-1341.awsdns-39.org, ns-1916.awsdns-47.co.uk, ns-365.awsdns-45.com, ns-763.awsdns-31.net",,,,,,,
[x],get.mackeeper.com,d1os6uhwk7avbx.cloudfront.net,"ns-698.awsdns-23.net, awsdns-hostmaster.amazon.com",NOERROR,"18.66.112.104, 18.66.112.83, 18.66.112.11, 18.66.112.61",True,cloudfront,"ns-698.awsdns-23.net, ns-1530.awsdns-63.org, ns-1828.awsdns-36.co.uk, ns-5.awsdns-00.com",,,,,,,
[x],grafana.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,54.152.6.208,,,,,,,,,,
[x],gw-mgm.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,52.58.229.180,,,,,,,,,,
[x],h1.tz.mackeeper.com,,"ns-1038.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,"18.66.233.62, 18.66.233.37, 18.66.233.43, 18.66.233.88",True,cloudfront,,,,,,,,
[x],h2.tz.mackeeper.com,,"ns-1038.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,"13.32.99.107, 13.32.99.94, 13.32.99.20, 13.32.99.26",True,cloudfront,,,,,,,,
[x],help.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"13.32.121.126, 13.32.121.91, 13.32.121.125, 13.32.121.119",True,cloudfront,,google-site-verification=_7efxoG50trCSZNH-B9m4NLacelYShC0uzqu659WpYQ,,,,,,
[x],help.sz.mackeeper.com,,"ns-1875.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"13.249.9.35, 13.249.9.99, 13.249.9.124, 13.249.9.16",True,cloudfront,,,,,,,,
[x],image.email.mackeeper.com,suite45.emarsys.net,"ns10.digicertdns.com, dns.digicertdns.com",NOERROR,217.175.192.51,,,,,,,,,,
[x],inapp.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"18.67.76.127, 18.67.76.49, 18.67.76.3, 18.67.76.42",True,cloudfront,,,,,,,,
[x],inapp.sz.clario.co,,"ns-1611.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"99.84.108.32, 99.84.108.40, 99.84.108.59, 99.84.108.115",True,cloudfront,,,,,,,,
[x],kbill.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"52.2.208.122, 54.157.15.71, 3.224.160.48",,,"ns-1326.awsdns-37.org, ns-1671.awsdns-16.co.uk, ns-448.awsdns-56.com, ns-569.awsdns-07.net",,,,,,,
[x],land.sz.mackeeper.com,,"ns-1875.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],lb.account.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"34.198.69.130, 52.201.20.20, 34.196.85.198",,,,,,,,,,
[x],lb.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"3.92.36.254, 3.230.89.91",,,,,,,,,,
[x],ldr.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"3.223.166.68, 18.206.110.179, 34.226.31.25",,,,,,,,,,
[x],link.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,199.36.158.100,,,,,,,,,,
[x],link.email.mackeeper.com,suite45.emarsys.net,"ns10.digicertdns.com, dns.digicertdns.com",NOERROR,,,,,,,,,,,
[x],lnk.tz.clario.co,,"ns-1221.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,"151.101.65.195, 151.101.1.195",True,fastly,,,,,,,,
[x],localhost.mail.mackeeper.com,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,127.0.0.1,,,"ns4.exacttarget.com, ns2.exacttarget.com, ns1.exacttarget.com, ns3.exacttarget.com",,,,,True,127.0.0.1,
[x],mackeeperapp.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"3.223.166.68, 18.206.110.179, 34.226.31.25",,,"ns-1326.awsdns-37.org, ns-1671.awsdns-16.co.uk, ns-448.awsdns-56.com, ns-569.awsdns-07.net",,,,,,,
[x],mackeeperapp1.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"18.206.110.179, 3.223.166.68, 34.226.31.25",,,,,,,,,,
[x],mackeeperapp2.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"3.223.166.68, 18.206.110.179, 34.226.31.25",,,,,,,,,,
[x],mackeeperapp3.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"34.226.31.25, 18.206.110.179, 3.223.166.68",,,,,,,,,,
[x],mail1.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,198.2.186.198,,,,,,,,,,mail1.mackeeper.com
[x],mail2.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,198.2.186.199,,,,,,,,,,mail2.mackeeper.com
[x],manual.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"108.138.64.46, 108.138.64.61, 108.138.64.37, 108.138.64.57",True,cloudfront,,,,,,,,
[x],manual.sz.mackeeper.com,,"ns-1875.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"65.9.66.94, 65.9.66.35, 65.9.66.45, 65.9.66.52",True,cloudfront,,,,,,,,
[x],mc.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"52.222.139.88, 52.222.139.98, 52.222.139.28, 52.222.139.3",True,cloudfront,,,,,,,,
[x],mc.sz.mackeeper.com,,"ns-1875.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"52.222.139.35, 52.222.139.89, 52.222.139.115, 52.222.139.81",True,cloudfront,,,,,,,,
[x],metaauth.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,,
[x],metaconfig.sz.mackeeper.com,,"ns-1875.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"52.85.242.79, 52.85.242.34, 52.85.242.43, 52.85.242.90",True,cloudfront,,,,,,,,
[x],mkapi.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"18.165.201.101, 18.165.201.80, 18.165.201.63, 18.165.201.126",True,cloudfront,"ns-1326.awsdns-37.org, ns-1671.awsdns-16.co.uk, ns-448.awsdns-56.com, ns-569.awsdns-07.net",,,,,,,
[x],mkapistage.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,91.196.156.126,,,"ns-1326.awsdns-37.org, ns-1671.awsdns-16.co.uk, ns-448.awsdns-56.com, ns-569.awsdns-07.net",,,,,,,
[x],mx.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,198.72.110.62,,,,,,,,,,
[x],mx1.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,34.200.131.104,,,,,,,,,,
[x],mx2.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,52.73.138.126,,,,,,,,,,
[x],nifi.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,34.234.90.122,,,,,,,,,,
[x],patcher-api.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"143.204.231.84, 143.204.231.25, 143.204.231.110, 143.204.231.92",True,cloudfront,,,,,,,,
[x],pkg.mackeeper.com,d1os6uhwk7avbx.cloudfront.net,"ns-698.awsdns-23.net, awsdns-hostmaster.amazon.com",NOERROR,"18.66.112.61, 18.66.112.11, 18.66.112.104, 18.66.112.83",True,cloudfront,"ns-5.awsdns-00.com, ns-698.awsdns-23.net, ns-1530.awsdns-63.org, ns-1828.awsdns-36.co.uk",,,,,,,
[x],postman.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"52.201.134.129, 18.207.172.41, 3.234.4.87",,,,,,,,,,
[x],prometheus-us.account.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"18.213.178.122, 54.85.35.196",,,,,,,,,,
[x],prometheus.account.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"3.123.211.240, 52.59.149.15, 18.194.188.147",,,,,,,,,,
[x],prometheus.account.sz.clario.co,,"ns-1611.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"35.157.220.152, 3.73.20.149, 18.194.185.148",,,,,,,,,,
[x],pub-mc.mackeeper.com,pub.redtrack.io,"ns-727.awsdns-26.net, awsdns-hostmaster.amazon.com",NOERROR,46.165.253.101,,,,"v=spf1 ip4:95.168.166.87 ip4:37.48.122.169 ip4:46.165.252.203 -all, google-site-verification=gklCguI1InHHsVp9GwIVPLeQUm3laIdCBujtBXuzWLU",,,,,,
[x],rdt.mackeeper.com,"vpfsf.rdtk.io, ams.rdtk.io","ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,37.48.87.182,,,,,,,,,,
[x],slave.account.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,52.0.158.217,,,,,,,,,,
[x],stage-mkapi.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],static-cdn.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"18.154.63.32, 18.154.63.30, 18.154.63.77, 18.154.63.76",True,cloudfront,,,,,,,,
[x],static-cdn.sz.clario.co,,"ns-1611.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"13.225.78.70, 13.225.78.69, 13.225.78.12, 13.225.78.67",True,cloudfront,,,,,,,,
[x],static-cdn.sz.mackeeper.com,,"ns-1875.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"143.204.215.123, 143.204.215.3, 143.204.215.17, 143.204.215.69",True,cloudfront,,,,,,,,
[x],static-site.mackeeper.com,d39wwedyif9a4r.cloudfront.net,"ns-1036.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,"52.222.214.116, 52.222.214.113, 52.222.214.33, 52.222.214.7",True,cloudfront,"ns-1537.awsdns-00.co.uk, ns-1036.awsdns-01.org, ns-951.awsdns-54.net, ns-137.awsdns-17.com",,,,,,,
[x],static.mackeeper.com,d211q1i6v7lwo2.cloudfront.net,"ns-400.awsdns-50.com, awsdns-hostmaster.amazon.com",NOERROR,"52.222.236.50, 52.222.236.67, 52.222.236.69, 52.222.236.29",True,cloudfront,"ns-400.awsdns-50.com, ns-660.awsdns-18.net, ns-1385.awsdns-45.org, ns-1561.awsdns-03.co.uk",,,,,,,
[x],statistic.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"13.32.121.125, 13.32.121.126, 13.32.121.91, 13.32.121.119",True,cloudfront,,,,,,,,
[x],statistic.sz.mackeeper.com,,"ns-1875.awsdns-42.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"52.222.139.47, 52.222.139.8, 52.222.139.122, 52.222.139.78",True,cloudfront,,,,,,,,
[x],store.mackeeper.com,mackeeper-s.cleverbridge.com,"drew.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.243.229, 104.16.242.229",True,cloudflare,,,,,,,,
[x],stun.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,3.67.105.164,,,,,,,,,,
[x],support.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"54.204.183.247, 52.200.177.183, 3.225.201.64",,,"ns-1326.awsdns-37.org, ns-1671.awsdns-16.co.uk, ns-448.awsdns-56.com, ns-569.awsdns-07.net",,,,,,,
[x],sz.clario.co,,"ns-1611.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"52.84.93.54, 52.84.93.92, 52.84.93.61, 52.84.93.108",True,cloudfront,"ns-1407.awsdns-47.org, ns-1611.awsdns-09.co.uk, ns-485.awsdns-60.com, ns-782.awsdns-33.net",google-site-verification=OGeVWaBXG8eHAC7XFZEwGvJtv7pppGnKFaETv1Z3w9c,,,,,,
[x],trackmymac.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"3.223.166.68, 34.226.31.25, 18.206.110.179",,,,,,,,,,
[x],tz.clario.co,,"ns-1221.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],tz.mackeeper.com,,"ns-1038.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,"205.251.192.240, 205.251.194.210, 205.251.196.14, 205.251.199.163",,,"ns-1955.awsdns-52.co.uk, ns-722.awsdns-26.net, ns-240.awsdns-30.com, ns-1038.awsdns-01.org",,,,,,,
