new,host,a,aaaa,soa,status_code,cdn,cdn-name,ns,cname,txt
[x],s.bingx.com,"104.18.0.241, 104.18.1.241","2606:4700::6812:f1, 2606:4700::6812:1f1","clay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],staging-gcp-ssh-jiratunnel-mx.blog.bingx.com,"192.0.78.186, 192.0.78.192",,"ns1.wordpress.com, hostmaster.wordpress.com",NOERROR,,,"ns2.wordpress.com, ns3.wordpress.com, ns1.wordpress.com",blog.bingx.com,
[x],stagingsoftball-atsugi.blog.bingx.com,"192.0.78.186, 192.0.78.192",,"ns1.wordpress.com, hostmaster.wordpress.com",NOERROR,,,"ns1.wordpress.com, ns2.wordpress.com, ns3.wordpress.com",blog.bingx.com,
[x],static-app.bingx.com,"104.18.0.241, 104.18.1.241","2606:4700::6812:f1, 2606:4700::6812:1f1","clay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],static.bingx.com,"104.18.0.241, 104.18.1.241","2606:4700::6812:f1, 2606:4700::6812:1f1","clay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],support.bingx.com,"104.16.51.111, 104.16.53.111",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,bingx.zendesk.com,"v=spf1 include:mail.zendesk.com ~all, pod=25"
[x],swap.bingx.pro,"18.66.97.13, 18.66.97.64, 18.66.97.40, 18.66.97.41",,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],uat-c2c.bingx.com,"104.18.1.241, 104.18.0.241","2606:4700::6812:f1, 2606:4700::6812:1f1","clay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],www.bingx.com,"104.18.1.241, 104.18.0.241","2606:4700::6812:f1, 2606:4700::6812:1f1","clay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],www.bingx.pro,"18.66.97.40, 18.66.97.41, 18.66.97.64, 18.66.97.13",,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,
[x],www.blog.bingx.com,"192.0.78.186, 192.0.78.192",,"ns1.wordpress.com, hostmaster.wordpress.com",NOERROR,,,"ns1.wordpress.com, ns2.wordpress.com, ns3.wordpress.com",blog.bingx.com,
