new,host,a,cname,soa,status_code,cdn,cdn-name,ns,aaaa,mx,txt,has_internal_ips,internal_ips,caa
[x],api-pns.us.tiktok.com,"95.101.111.166, 95.101.111.137","api-pns.us.tiktok.com.edgekey.net, e74347.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-ru.tiktokv.com,"96.16.54.128, 96.16.54.176, 96.16.54.154, 96.16.54.112, 96.16.54.147, 96.16.54.120, 96.16.54.178, 96.16.54.153, 96.16.54.169","api-ru.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-s1-h2.tiktokv.com,161.117.96.158,,"a9-66.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-s1-quic.tiktokv.com,161.117.96.158,,"a9-66.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-t.tiktokv.com,"92.122.215.106, 92.122.215.8, 2.20.142.74, 2.20.142.112, 2.20.142.72, 92.122.215.11, 2.20.142.99, 92.122.215.19, 92.122.215.41","api-t.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-t1.tiktokv.com,151.101.46.73,bytedance.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],api-t2.tiktokv.com,146.75.118.73,bytedance.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],api-t3.tiktokv.com,,api-t3.tiktokv.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],api-test.us.tiktokv.com,10.113.7.75,inner-all.tiktok-lb-ttp.useast5.tiktokd.net,"ns1.p201.dns.oraclecloud.net, hostmaster.tiktokd.net",NOERROR,,,,,,,True,10.113.7.75,
[x],api-useast2a.tiktok.com,"147.160.190.40, 147.160.190.53",tiktok-lb-gcp.byteoversea.net,"a9-66.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api-va.tiktokv.com,"92.122.215.8, 2.20.142.74, 2.20.142.112, 2.20.142.72, 92.122.215.11, 2.20.142.99, 92.122.215.19, 92.122.215.41, 92.122.215.106","api-va.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.tiktok.com,"95.101.111.158, 95.101.111.149, 95.101.111.151, 95.101.111.153","api.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.tiktokv.com,"96.16.54.128, 96.16.54.147, 96.16.54.176, 96.16.54.154, 96.16.54.153, 96.16.54.112, 96.16.54.178, 96.16.54.120, 96.16.54.169","api.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api.us.tiktok.com,"184.29.143.168, 184.29.143.176","api.us.tiktok.com.edgesuite.net, a2041.w183.akamai.net","n0w183.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api15-core-useast1a.tiktokv.com,"108.138.7.98, 108.138.7.54, 108.138.7.109, 108.138.7.81",d20d2og4rx7i3x.cloudfront.net,"ns-1288.awsdns-33.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],api15-core-useast2a.tiktokv.com,"99.86.4.106, 99.86.4.45, 99.86.4.31, 99.86.4.63",d1hcx2d1465d4d.cloudfront.net,,NOERROR,True,cloudfront,,,,,,,
[x],api15-h2.tiktokv.com,"143.204.215.56, 143.204.215.81, 143.204.215.27, 143.204.215.22",d3rbtc9rqobfk5.cloudfront.net,"ns-1984.awsdns-56.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1984.awsdns-56.co.uk, ns-375.awsdns-46.com, ns-654.awsdns-17.net, ns-1508.awsdns-60.org","2600:9000:214f:b000:1c:2ab4:e140:93a1, 2600:9000:214f:4c00:1c:2ab4:e140:93a1, 2600:9000:214f:8e00:1c:2ab4:e140:93a1, 2600:9000:214f:e00:1c:2ab4:e140:93a1, 2600:9000:214f:7000:1c:2ab4:e140:93a1, 2600:9000:214f:5c00:1c:2ab4:e140:93a1, 2600:9000:214f:8800:1c:2ab4:e140:93a1, 2600:9000:214f:1000:1c:2ab4:e140:93a1",,,,,
[x],api15-normal-probe-alisg.tiktokv.com,"18.165.83.123, 18.165.83.6, 18.165.83.81, 18.165.83.124, 205.251.192.191, 205.251.194.170, 205.251.197.191, 205.251.198.253",d14vllwqpf0b1o.cloudfront.net,"ns-191.awsdns-23.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1789.awsdns-31.co.uk, ns-191.awsdns-23.com, ns-682.awsdns-21.net, ns-1471.awsdns-55.org",,,,,,
[x],api15-normal-probe-useast1a.tiktokv.com,"18.160.41.102, 18.160.41.15, 18.160.41.19, 18.160.41.34, 205.251.193.214, 205.251.195.146, 205.251.197.154, 205.251.198.219",d1ptgm4icremfm.cloudfront.net,"ns-1755.awsdns-27.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-914.awsdns-50.net, ns-1434.awsdns-51.org, ns-1755.awsdns-27.co.uk, ns-470.awsdns-58.com",,,,,,
[x],api15-normal-useast1a.tiktokv.com,,d254xd0vk7uzvq.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,,,,
[x],api15-va.tiktokv.com,"65.9.66.41, 65.9.66.72, 65.9.66.89, 65.9.66.40",d3q41o6cespj51.cloudfront.net,"ns-1511.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-197.awsdns-24.com, ns-718.awsdns-25.net, ns-1511.awsdns-60.org, ns-1873.awsdns-42.co.uk",,,,,,
[x],api15.tiktokv.com,"13.225.34.100, 13.225.34.71, 13.225.34.61, 13.225.34.70",d1x42e18jvyu3w.cloudfront.net,"ns-517.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1590.awsdns-06.co.uk, ns-49.awsdns-06.com, ns-517.awsdns-00.net, ns-1071.awsdns-05.org","2600:9000:219c:3a00:1d:f68d:fb00:93a1, 2600:9000:219c:ee00:1d:f68d:fb00:93a1, 2600:9000:219c:9c00:1d:f68d:fb00:93a1, 2600:9000:219c:7400:1d:f68d:fb00:93a1, 2600:9000:219c:a000:1d:f68d:fb00:93a1, 2600:9000:219c:1c00:1d:f68d:fb00:93a1, 2600:9000:219c:6400:1d:f68d:fb00:93a1, 2600:9000:219c:b800:1d:f68d:fb00:93a1",,,,,
[x],api16-core-alisg.tiktokv.com,"23.72.252.64, 23.72.252.59, 23.72.252.89, 23.72.252.56, 23.72.252.90, 23.72.252.51, 23.72.252.57, 23.72.252.50, 23.72.252.58","api16-core-alisg.tiktokv.com.edgesuite.net, a2047.api4.akamai.net","n0api4.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core-apix-quic-alisg.tiktokv.com,,"api16-core-apix-quic-alisg.tiktokv.com.edgesuite.net, a392.t.akamai.net","n0t.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core-apix-quic-useast1a.tiktokv.com,"2.16.107.106, 2.16.107.80","api16-core-apix-quic-useast1a.tiktokv.com.edgesuite.net, a1905.t.akamai.net","n0t.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core-apix-useast1a.tiktokv.com,"2.19.11.12, 2.19.11.7","api16-core-apix-useast1a.tiktokv.com.edgesuite.net, a305.api3.akamai.net","n0api3.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core-baseline-useast1a.tiktokv.com,"2.16.187.64, 2.16.187.98, 2.16.187.19, 2.16.187.90, 2.16.187.49, 2.16.187.146, 2.16.187.137, 2.16.187.115, 2.16.187.138","api16-core-baseline-useast1a.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core-baseline-useast2a.tiktokv.com,"62.115.252.9, 62.115.252.49, 80.239.137.170, 62.115.252.73, 62.115.252.25, 80.239.137.136, 62.115.252.11, 62.115.252.75, 62.115.252.26","api16-core-baseline-useast2a.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core-baseline.tiktokv.com,"62.115.252.65, 62.115.252.58, 80.239.137.152, 62.115.252.66, 80.239.137.146, 80.239.137.161, 80.239.137.160, 62.115.252.35, 80.239.137.153","api16-core-baseline.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core-c-alisg.tiktokv.com,"104.126.36.194, 104.126.36.184, 104.126.36.147, 104.126.36.209, 104.126.36.219, 104.126.36.235, 104.126.37.9, 104.126.36.187, 104.126.36.240","api16-core-c-alisg.tiktokv.com.edgekey.net, e28622.api3.akamaiedge.net","n0api3.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core-c-useast1a.tiktokv.com,"2.23.209.37, 2.23.209.59, 2.23.209.26, 2.23.209.33, 2.23.209.30, 2.23.209.45, 2.23.209.56, 2.23.209.11, 2.23.209.40","api16-core-c-useast1a.tiktokv.com.edgekey.net, e28622.api4.akamaiedge.net","n0api4.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core-c-useast2a.tiktokv.com,"104.126.37.154, 104.126.37.137, 104.126.37.128, 104.126.37.186, 104.126.37.178, 104.126.37.169, 104.126.37.184, 104.126.37.176, 104.126.37.155","api16-core-c-useast2a.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core-c.tiktokv.com,"104.126.37.145, 104.126.37.129, 104.126.37.168, 104.126.37.152, 104.126.37.128, 104.126.37.138, 104.126.37.139, 104.126.37.185, 104.126.37.153","api16-core-c.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core-c4-alisg.tiktokv.com,,,"a9-66.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core-c4-useast1a.tiktokv.com,"23.53.43.104, 23.53.43.113, 23.53.43.98, 23.37.226.81, 23.53.43.120, 23.37.226.113, 23.37.226.115, 23.37.226.83, 23.53.43.178","api16-core-c4-useast1a.tiktokv.com.edgekey.net, e28622.api2.akamaiedge.net","n0api2.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core-delay-alisg.tiktokv.com,"2.16.241.74, 2.16.241.75, 2.16.241.68, 2.16.241.79, 2.16.241.97, 2.16.241.86, 2.16.241.95, 2.16.241.82, 2.16.241.94","api16-core-delay-alisg.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core-i.tiktokv.com,"23.213.161.200, 23.213.161.207, 23.213.161.222, 23.213.161.208, 23.213.161.202, 23.213.161.224, 23.213.161.211, 23.213.161.199, 23.213.161.213","api16-core-i.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core-n-alisg.tiktokv.com,"23.213.161.219, 23.213.161.201, 23.213.161.215, 23.213.161.218, 23.213.161.225, 23.213.161.196, 23.213.161.209, 23.213.161.226, 23.213.161.210","api16-core-n-alisg.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core-n-useast1a.tiktokv.com,"95.101.111.159, 95.101.111.162, 95.101.111.181, 95.101.111.149, 95.101.111.146, 95.101.111.133, 95.101.111.140, 95.101.111.173, 95.101.111.176","api16-core-n-useast1a.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core-quic-useast1a.tiktokv.com,"2.16.202.106, 2.16.202.67","api16-core-quic-useast1a.tiktokv.com.edgesuite.net, a407.r.akamai.net","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core-quic-useast2a.tiktokv.com,"185.225.250.19, 185.225.250.49","api16-core-quic-useast2a.tiktokv.com.edgesuite.net, a115.r.akamai.net","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core-useast1a.tiktokv.com,"184.86.251.148, 184.86.251.134, 184.86.251.136, 184.86.251.159, 184.86.251.144, 184.86.251.150, 184.86.251.149, 184.86.251.140, 184.86.251.145","api16-core-useast1a.tiktokv.com.edgesuite.net, a2047.api3.akamai.net","n0api3.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core-va.tiktokv.com,"2.16.241.80, 2.16.241.87, 2.16.241.69, 2.16.241.91, 2.16.241.98, 2.16.241.92, 2.16.241.88, 2.16.241.90, 2.16.241.89","api16-core-va.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core-ycru.tiktokv.com,"96.16.54.129, 96.16.54.153, 96.16.54.179, 96.16.54.170, 96.16.54.128, 96.16.54.161, 96.16.54.193, 96.16.54.169, 96.16.54.138","api16-core-ycru.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-core.tiktokv.com,"2.20.142.112, 2.20.142.72, 92.122.215.11, 2.20.142.99, 92.122.215.19, 92.122.215.41, 92.122.215.106, 92.122.215.8, 2.20.142.74","api16-core.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-normal-aion-useast5.us.tiktokv.com,"2.20.142.82, 92.122.215.10","api16-normal-aion-useast5.us.tiktokv.com.edgekey.net, e117933.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-normal-alisg.tiktokv.com,"184.29.143.169, 184.29.143.171, 184.29.143.184, 184.29.143.177, 184.29.143.179, 184.29.143.178, 184.29.143.176, 184.29.143.185, 184.29.143.186","api16-normal-alisg.tiktokv.com.edgesuite.net, a2047.api2.akamai.net","n0api2.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-normal-apix-alisg.tiktokv.com,"184.25.127.74, 184.25.127.85","api16-normal-apix-alisg.tiktokv.com.edgesuite.net, a1195.api3.akamai.net","n0api3.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-normal-apix-quic-alisg.tiktokv.com,"2.16.186.27, 2.16.186.9","api16-normal-apix-quic-alisg.tiktokv.com.edgesuite.net, a1141.t.akamai.net","n0t.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-normal-apix-quic-useast1a.tiktokv.com,"2.16.186.9, 2.16.186.32","api16-normal-apix-quic-useast1a.tiktokv.com.edgesuite.net, a877.t.akamai.net","n0t.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-normal-apix-quic-useast2a.tiktokv.com,"23.72.252.58, 23.72.252.64","api16-normal-apix-quic-useast2a.tiktokv.com.edgesuite.net, a1875.t.akamai.net","n0t.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-normal-apix-useast1a.tiktokv.com,"23.72.252.59, 23.72.252.56","api16-normal-apix-useast1a.tiktokv.com.edgesuite.net, a535.api1.akamai.net","n0api1.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-normal-baseline-alisg.tiktokv.com,,"api16-normal-baseline-alisg.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-normal-baseline-useast1a.tiktokv.com,"23.0.174.105, 23.0.174.83, 23.0.174.91, 23.0.174.120, 23.0.174.107, 23.0.174.98, 23.0.174.131, 23.0.174.81, 23.0.174.113","api16-normal-baseline-useast1a.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api16-normal-baseline.tiktokv.com,"23.12.147.141, 23.12.147.158, 23.12.147.149, 23.12.147.166, 23.12.147.157, 23.12.147.132, 23.12.147.151, 23.12.147.164, 23.12.147.175","api16-normal-baseline.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
