input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_expired,tls_mismatched,final_url,tls_subject_org_
sdfp-va-useast2a.tiktokv.com,502 Bad Gateway,502,552,sdfp-va-useast2a.tiktokv.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-12T00:00:00Z,2023-09-12T23:59:59Z,CN=*.tiktokv.com,*.tiktokv.com,tiktokv.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",c285c4454729ec56967f1a33375712c9,aaf29afdbd44828b52ad261d728ebde3351bc74f4b188d63f79bf85f038cd419,True,ctls,sdfp-va-useast2a.tiktokv.com,,443,https://sdfp-va-useast2a.tiktokv.com:443,https,nginx,text/html,GET,95.101.111.134,/,1172015762,95.101.111.151,Nginx,14,False,,,,,,
sdfp-va.tiktokv.com,502 Bad Gateway,502,150,sdfp-va.tiktokv.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-15T00:00:00Z,2024-01-15T23:59:59Z,CN=*.tiktokv.com,*.tiktokv.com,tiktokv.com,"CN=RapidSSL ECC CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL ECC CA 2018,DigiCert Inc,fa46cbd21eb87eeff13f39d42248e3c8,3172f6da82179b1751f393192d0cbf953c1cad7af8dfcf33f61bc937934df83a,True,ctls,sdfp-va.tiktokv.com,,443,https://sdfp-va.tiktokv.com:443,https,nginx,text/html,GET,2.16.186.40,/,-803400545,2.16.186.25,Nginx,8,False,,,,,,
sdfp16-normal-c-useast1a.tiktokv.com,502 Bad Gateway,502,552,sdfp16-normal-c-useast1a.tiktokv.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-12T00:00:00Z,2023-09-12T23:59:59Z,CN=*.tiktokv.com,*.tiktokv.com,tiktokv.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",c285c4454729ec56967f1a33375712c9,aaf29afdbd44828b52ad261d728ebde3351bc74f4b188d63f79bf85f038cd419,True,ctls,sdfp16-normal-c-useast1a.tiktokv.com,,443,https://sdfp16-normal-c-useast1a.tiktokv.com:443,https,nginx,text/html,GET,95.101.111.169,/,1172015762,95.101.111.174,Nginx,14,False,,,,,,
sdfp16-tmp-normal-useast1a.tiktokv.com,502 Bad Gateway,502,150,sdfp16-tmp-normal-useast1a.tiktokv.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-12T00:00:00Z,2023-09-12T23:59:59Z,CN=*.tiktokv.com,*.tiktokv.com,tiktokv.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",c285c4454729ec56967f1a33375712c9,aaf29afdbd44828b52ad261d728ebde3351bc74f4b188d63f79bf85f038cd419,True,ctls,sdfp16-tmp-normal-useast1a.tiktokv.com,,443,https://sdfp16-tmp-normal-useast1a.tiktokv.com:443,https,nginx,text/html,GET,2.21.79.64,/,-803400545,2.21.79.48,Nginx,8,False,,,,,,
search.tiktokv.com,404 Not Found,404,146,search.tiktokv.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-12T00:00:00Z,2023-09-12T23:59:59Z,CN=*.tiktokv.com,*.tiktokv.com,tiktokv.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",c285c4454729ec56967f1a33375712c9,aaf29afdbd44828b52ad261d728ebde3351bc74f4b188d63f79bf85f038cd419,True,ctls,search.tiktokv.com,,443,https://search.tiktokv.com:443,https,nginx,text/html,GET,2.21.79.56,/,1494302000,23.3.88.209,Nginx,8,False,,,,,,
search15-normal-alisg.tiktokv.com,404 Not Found,404,146,search15-normal-alisg.tiktokv.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-22T00:00:00Z,2023-09-22T23:59:59Z,CN=*.tiktokv.com,*.tiktokv.com,tiktokv.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",afbd6563119a709e115e8a7c44d8361d,22bb91e07a0ac42d227c020324b119ea2622447a31ecc452681d589897e25e6c,True,ctls,search15-normal-alisg.tiktokv.com,cloudfront,443,https://search15-normal-alisg.tiktokv.com:443,https,nginx,text/html,GET,52.222.214.125,/,1494302000,52.222.214.69,Nginx,8,False,True,,,,,
search15-normal-useast1a.tiktokv.com,404 Not Found,404,146,search15-normal-useast1a.tiktokv.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-22T00:00:00Z,2023-09-22T23:59:59Z,CN=*.tiktokv.com,*.tiktokv.com,tiktokv.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",afbd6563119a709e115e8a7c44d8361d,22bb91e07a0ac42d227c020324b119ea2622447a31ecc452681d589897e25e6c,True,ctls,search15-normal-useast1a.tiktokv.com,cloudfront,443,https://search15-normal-useast1a.tiktokv.com:443,https,nginx,text/html,GET,18.66.112.40,/,1494302000,18.66.112.22,Nginx,8,False,True,,,,,
search15-normal-useast2a.tiktokv.com,404 Not Found,404,548,search15-normal-useast2a.tiktokv.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-22T00:00:00Z,2023-09-22T23:59:59Z,CN=*.tiktokv.com,*.tiktokv.com,tiktokv.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",afbd6563119a709e115e8a7c44d8361d,22bb91e07a0ac42d227c020324b119ea2622447a31ecc452681d589897e25e6c,True,ctls,search15-normal-useast2a.tiktokv.com,cloudfront,443,https://search15-normal-useast2a.tiktokv.com:443,https,nginx,text/html,GET,52.222.236.11,/,566218143,52.222.236.112,Nginx,14,False,True,,,,,
search16-normal-c-alisg.tiktokv.com,404 Not Found,404,146,search16-normal-c-alisg.tiktokv.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-12T00:00:00Z,2023-09-12T23:59:59Z,CN=*.tiktokv.com,*.tiktokv.com,tiktokv.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",c285c4454729ec56967f1a33375712c9,aaf29afdbd44828b52ad261d728ebde3351bc74f4b188d63f79bf85f038cd419,True,ctls,search16-normal-c-alisg.tiktokv.com,,443,https://search16-normal-c-alisg.tiktokv.com:443,https,nginx,text/html,GET,95.101.111.187,/,1494302000,95.101.111.149,Nginx,8,False,,,,,,
search16-normal-c-useast1a.tiktokv.com,404 Not Found,404,548,search16-normal-c-useast1a.tiktokv.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-12T00:00:00Z,2023-09-12T23:59:59Z,CN=*.tiktokv.com,*.tiktokv.com,tiktokv.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",c285c4454729ec56967f1a33375712c9,aaf29afdbd44828b52ad261d728ebde3351bc74f4b188d63f79bf85f038cd419,True,ctls,search16-normal-c-useast1a.tiktokv.com,,443,https://search16-normal-c-useast1a.tiktokv.com:443,https,nginx,text/html,GET,2.21.79.72,/,566218143,2.21.79.65,Nginx,14,False,,,,,,
