new,host,a,soa,status_code,aaaa,cname,cdn,cdn-name,mx,txt,ns
[x],staticaws.okx.com,"47.246.48.228, 47.246.48.225, 47.246.48.230, 47.246.48.229, 47.246.48.224, 47.246.48.226, 47.246.48.227, 47.246.48.231","slns1.gds.kunlunsl.com, root.taobao.com",NOERROR,,staticaws.okx.com.w.kunlunsl.com,,,,,
[x],supdljgzdhc.okx.com,"104.18.248.37, 104.18.249.37","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,,okexsupport.zendesk.com,True,cloudflare,mail-pod-13.int.zendesk.com,"v=spf1 include:mail.zendesk.com ~all, pod=13",
[x],wallet.okx.com,"18.66.97.24, 18.66.97.17, 18.66.97.37, 18.66.97.60",,NOERROR,"2600:9000:223c:ec00:1:91db:35c0:93a1, 2600:9000:223c:200:1:91db:35c0:93a1, 2600:9000:223c:a000:1:91db:35c0:93a1, 2600:9000:223c:6e00:1:91db:35c0:93a1, 2600:9000:223c:7a00:1:91db:35c0:93a1, 2600:9000:223c:ae00:1:91db:35c0:93a1, 2600:9000:223c:c600:1:91db:35c0:93a1, 2600:9000:223c:5a00:1:91db:35c0:93a1",d1w1p0smpsoh5j.cloudfront.net,True,cloudfront,,,
[x],ws.okx.com,"104.18.3.151, 104.18.2.151","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:397, 2606:4700::6812:297",ws.okx.com.cdn.cloudflare.net,True,cloudflare,,,
[x],wsaws.okx.com,"43.198.69.37, 16.162.72.188, 16.163.125.15, 16.163.166.85, 18.163.4.1, 18.166.181.140, 18.167.1.96, 43.198.60.243","ns-1509.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],wsdex.okx.com,"104.18.2.151, 104.18.3.151","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:297, 2606:4700::6812:397",wsdex.okx.com.cdn.cloudflare.net,True,cloudflare,,,
[x],wspri.okx.com,"104.18.2.151, 104.18.3.151",,NOERROR,,wspri.okx.com.cdn.cloudflare.net,True,cloudflare,,,
[x],wssfp.okx.com,"104.18.2.151, 104.18.3.151","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:397, 2606:4700::6812:297",wssfp.okx.com.cdn.cloudflare.net,True,cloudflare,,,
[x],wsweb.okx.com,"104.18.2.151, 104.18.3.151","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:397, 2606:4700::6812:297",wsweb.okx.com.cdn.cloudflare.net,True,cloudflare,,,
[x],wswebpap.okx.com,"104.18.3.151, 104.18.2.151",,NOERROR,"2606:4700::6812:397, 2606:4700::6812:297",wswebpap.okx.com.cdn.cloudflare.net,True,cloudflare,,,
[x],www.okx.com,"104.18.2.151, 104.18.3.151",,NOERROR,"2606:4700::6812:397, 2606:4700::6812:297",www.okx.com.cdn.cloudflare.net,True,cloudflare,,,
