new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,ns,txt,mx
[x],hydraulics-group.com,212.123.6.254,,"ns.be.hostbasket.com, postmaster.hydraulics-group.com",NOERROR,,,,"ns.be.hostbasket.com, ns.fr.hostbasket.com","MS=ms52599233, v=spf1 include:spf.protection.outlook.com -all",hydraulicsgroup-com02e.mail.protection.outlook.com
[x],lyncdiscover.hydass.be,52.112.193.16,webdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,2603:1027:0:48::21,,,
[x],lyncdiscover.hydraulics-group.com,52.112.193.16,webdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,2603:1027::e,,,
[x],lyncdiscover.remb.be,52.112.70.76,webdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,"2603:1037:0:7::e, 2603:1037:0:15::d, 2603:1037:0:c::12, 2603:1037::e, 2603:1037:0:5::e, 2603:1037:0:2::e, 2603:1037:0:a::e, 2603:1037:0:3::e",,,
[x],mail.remb.be,194.78.67.82,,"ns1.cloud.telenet.be, postmaster.remb.be",NOERROR,,,,,,
[x],nav.remb.be,194.78.67.82,,"ns1.cloud.telenet.be, postmaster.remb.be",NOERROR,,,,,,
[x],portal.remb.be,,,"ns1.cloud.telenet.be, postmaster.remb.be",NOERROR,,,,,,
[x],rem-b.com,86.39.240.68,,,NOERROR,,,,,"MS=ms23765800, \""v=spf1 include:spf.protection.outlook.com -all\""",
[x],rembconnect.be,40.114.240.25,,"ns.be.hostbasket.com, postmaster.rembconnect.be",NOERROR,True,azure,,"ns.be.hostbasket.com, ns.nl.hostbasket.com, ns.fr.hostbasket.com",,
[x],sip.hydass.be,52.112.192.11,sipdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,2603:1027::b,,,
[x],vpn.remb.be,194.78.67.82,,"ns1.cloud.telenet.be, postmaster.remb.be",NOERROR,,,,"ns2.cloud.telenet.be, ns3.cloud.telenet.be, ns1.cloud.telenet.be",,
[x],webmail.hydraulics-group.com,194.78.67.82,,"ns.be.hostbasket.com, postmaster.hydraulics-group.com",NOERROR,,,,"ns.fr.hostbasket.com, ns.be.hostbasket.com",,
[x],webserver.remb.be,194.78.67.82,mail.remb.be,"ns1.cloud.telenet.be, postmaster.remb.be",NOERROR,,,,,,
[x],www.hydraulics-group.com,212.123.6.254,,"ns.be.hostbasket.com, postmaster.hydraulics-group.com",NOERROR,,,,,,
[x],www.rem-b.com,86.39.240.68,rem-b.com,"ns.hostyou4ever.be, info.hostyou.be",NOERROR,,,,"ns.hostyou4ever.nl, ns.hostyou4ever.com, ns.hostyou4ever.be","MS=ms23765800, \""v=spf1 include:spf.protection.outlook.com -all\""",remb-com0i.mail.protection.outlook.com
[x],www.remb.be,212.123.6.254,,"ns1.cloud.telenet.be, postmaster.remb.be",NOERROR,,,,,,
[x],www.rembconnect.be,40.114.240.25,,"ns.be.hostbasket.com, postmaster.rembconnect.be",NOERROR,True,azure,,,,
