input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,final_url,csp_domains_,tls_expired,tls_subject_org_
17-58-97-59.blog.nubank.com.br,404 Not Found,404,146,17-58-97-59.blog.nubank.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-10-26T00:00:00Z,2023-11-26T23:59:59Z,CN=*.go-vip.co,*.go-vip.co,go-vip.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d51af03687c293dec2c285852810803,7ba1890722651102d76192474a1776c6dbccba857a51f36fe41d2280b6e924ef,True,ctls,17-58-97-59.blog.nubank.com.br,443,https://17-58-97-59.blog.nubank.com.br:443,https,nginx,text/html,GET,192.0.66.216,/,1494302000,192.0.66.216,Nginx,8,False,,,,,,
17-58-98-85.blog.nubank.com.br,404 Not Found,404,548,,,,,,,,,,,,,,,,,,,,80,http://17-58-98-85.blog.nubank.com.br:80,http,nginx,text/html,GET,192.0.66.216,/,566218143,192.0.66.216,Nginx,14,False,,,,,,
1mn2.blog.nubank.com.br,404 Not Found,404,548,,,,,,,,,,,,,,,,,,,,80,http://1mn2.blog.nubank.com.br:80,http,nginx,text/html,GET,192.0.66.216,/,566218143,192.0.66.216,Nginx,14,False,,,,,,
37-courier.blog.nubank.com.br,404 Not Found,404,548,37-courier.blog.nubank.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-10-26T00:00:00Z,2023-11-26T23:59:59Z,CN=*.go-vip.co,*.go-vip.co,go-vip.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d51af03687c293dec2c285852810803,7ba1890722651102d76192474a1776c6dbccba857a51f36fe41d2280b6e924ef,True,ctls,37-courier.blog.nubank.com.br,443,https://37-courier.blog.nubank.com.br:443,https,nginx,text/html,GET,192.0.66.216,/,566218143,192.0.66.216,Nginx,14,False,,,,,,
66-220-157-64.blog.nubank.com.br,404 Not Found,404,146,66-220-157-64.blog.nubank.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-10-26T00:00:00Z,2023-11-26T23:59:59Z,CN=*.go-vip.co,*.go-vip.co,go-vip.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d51af03687c293dec2c285852810803,7ba1890722651102d76192474a1776c6dbccba857a51f36fe41d2280b6e924ef,True,ctls,66-220-157-64.blog.nubank.com.br,443,https://66-220-157-64.blog.nubank.com.br:443,https,nginx,text/html,GET,192.0.66.216,/,1494302000,192.0.66.216,Nginx,8,False,,,,,,
69-171-244-84.blog.nubank.com.br,404 Not Found,404,548,69-171-244-84.blog.nubank.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-10-26T00:00:00Z,2023-11-26T23:59:59Z,CN=*.go-vip.co,*.go-vip.co,go-vip.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d51af03687c293dec2c285852810803,7ba1890722651102d76192474a1776c6dbccba857a51f36fe41d2280b6e924ef,True,ctls,69-171-244-84.blog.nubank.com.br,443,https://69-171-244-84.blog.nubank.com.br:443,https,nginx,text/html,GET,192.0.66.216,/,566218143,192.0.66.216,Nginx,14,False,,,,,,
a-nps2-da.blog.nubank.com.br,404 Not Found,404,146,,,,,,,,,,,,,,,,,,,,80,http://a-nps2-da.blog.nubank.com.br:80,http,nginx,text/html,GET,192.0.66.216,/,1494302000,192.0.66.216,Nginx,8,False,,,,,,
accesspediatricsauth.blog.nubank.com.br,404 Not Found,404,146,accesspediatricsauth.blog.nubank.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-10-26T00:00:00Z,2023-11-26T23:59:59Z,CN=*.go-vip.co,*.go-vip.co,go-vip.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d51af03687c293dec2c285852810803,7ba1890722651102d76192474a1776c6dbccba857a51f36fe41d2280b6e924ef,True,ctls,accesspediatricsauth.blog.nubank.com.br,443,https://accesspediatricsauth.blog.nubank.com.br:443,https,nginx,text/html,GET,192.0.66.216,/,1494302000,192.0.66.216,Nginx,8,False,,,,,,
account-confluencewikiuser-v4-englishmediaconfig-helpdesk.blog.nubank.com.br,404 Not Found,404,146,account-confluencewikiuser-v4-englishmediaconfig-helpdesk.blog.nubank.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-10-26T00:00:00Z,2023-11-26T23:59:59Z,CN=*.go-vip.co,*.go-vip.co,go-vip.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d51af03687c293dec2c285852810803,7ba1890722651102d76192474a1776c6dbccba857a51f36fe41d2280b6e924ef,True,ctls,account-confluencewikiuser-v4-englishmediaconfig-helpdesk.blog.nubank.com.br,443,https://account-confluencewikiuser-v4-englishmediaconfig-helpdesk.blog.nubank.com.br:443,https,nginx,text/html,GET,192.0.66.216,/,1494302000,192.0.66.216,Nginx,8,False,,,,,,
account-enlargeyourparis.blog.nubank.com.br,404 Not Found,404,548,account-enlargeyourparis.blog.nubank.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-10-26T00:00:00Z,2023-11-26T23:59:59Z,CN=*.go-vip.co,*.go-vip.co,go-vip.co,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3d51af03687c293dec2c285852810803,7ba1890722651102d76192474a1776c6dbccba857a51f36fe41d2280b6e924ef,True,ctls,account-enlargeyourparis.blog.nubank.com.br,443,https://account-enlargeyourparis.blog.nubank.com.br:443,https,nginx,text/html,GET,192.0.66.216,/,566218143,192.0.66.216,Nginx,14,False,,,,,,
