new,host,a,cname,soa,status_code,cdn,cdn-name,caa,mx,txt,aaaa,ns
[x],napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"comodoca.com, digicert.com; cansignhttpexchanges=yes, letsencrypt.org, pki.goog; cansignhttpexchanges=yes, sectigo.com",napoleongames-be.mail.protection.outlook.com,"915bdba84fe099f71ba4c20b7390be35e4ecbc0d6452a6b864, DZC='oEGeX67', MS=ms14483599, _globalsign-domain-verification=Tj34lJ7cKLxajfOKajuMTuM6tN3Mk43SL_uGDzc2Us, adobe-idp-site-verification=172fd8b9afe596b8e01f1ccb32d1f2ef08af15c904e62dc669cc2d60cedc2b24, apple-domain-verification=RCfk0UoUufJU9ZG3, asv=734b806d88b1eec6344253fda285fbb0, atlassian-domain-verification=YUL69ORDu1yGnuSh8GnZYN6pkHW1JGTkzidQhrtqYkWxztwQ8PbMvcDUxMn9daIx, canva-site-verification=8ZwIDhAaJPfMa4GAdRQGAg, docusign=457c67b7-d04b-4940-bf4e-b1ef74fa09f3, facebook-domain-verification=wqhf0yivpfq8kfcracgtrwrf4kyx4k, google-site-verification=79pPDmqkxs2V2NeZovFGbFdDh0la8_U7rR7LnqIsXqM, google-site-verification=VTRm28w0emk10lEY6nrNDRzipRpts2xz6uWOa5CxaG0, gqSLSPxQ1XBZxTEKtGumhjAZAvGsYnDbX5pNpLtT0yfAOH3bDkIOS61UWcmW1LZyKdFq+VfKaESvrhqSy1QT/Q==, hcp-domain-verification=75c8c7ab12d45e2a6347f1bbd4d847fd4cccc719f8f3f1e54be9d141629069cc, miro-verification=ffcceb50cbdbdf8446e9f07ca6051030ecf37331, mongodb-site-verification=aisrJpmH9rtY5w8yrbxSo6Odh4qEmlpw, notion-domain-verification=8RWR63K5WptQCfy9VmPB3pXJwWg0KHR7Vlt8vZiULfV, onetrust-domain-verification=5878bda58743490e9dab293ab8b2b74e, storiesonboard-verification=EE403C078D664C508C5820842A5EE5BE, teamviewer-sso-verification=53cc0fa9308942a18cbc7da651398ebb, v=spf1 ip4:185.77.12.0/22 ip4:194.213.114.69 include:fdspfus.freshemail.io include:u1620006.wl007.sendgrid.net include:spf.protection.outlook.com include:spf.eu.exclaimer.net ~all",,"cash.ns.cloudflare.com, linda.ns.cloudflare.com"
[x],natourcriterium.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],netent-test.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],news.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,news-napoleongames-be.mail.protection.outlook.com,v=spf1 a mx include:spf.slgnt.eu -all,,
[x],newsletter.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],nl-be.casino.napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],nl-be.napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],nl-be.sports.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],nv.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],o2.em.transactional.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
