new,host,a,soa,status_code,has_internal_ips,internal_ips,aaaa,cname,ns,caa,cdn,cdn-name,mx,txt
,rais.app.sbb.ch,"35.157.225.80, 52.28.127.176, 52.57.148.72","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,ras.sbb.ch,91.230.141.178,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,rcm-auftrag-deve.sbb.ch,52.233.155.168,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,"sbb-rcmorder-dev.azurewebsites.net, waws-prod-am2-113.sip.azurewebsites.windows.net, waws-prod-am2-113.westeurope.cloudapp.azure.com",,,True,azure,,
,rcm-auftrag.sbb.ch,52.233.164.195,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,"sbb-rcmorder.azurewebsites.net, waws-prod-am2-133.sip.azurewebsites.windows.net, waws-prod-am2-133.cloudapp.net",,,True,azure,,
,reqfz.sbb.ch,10.171.160.59,"ns-1096.awsdns-09.org, awsdns-hostmaster.amazon.com",NOERROR,True,10.171.160.59,,reqfz.sbb-wzu.net,,,,,,
,resources.swisspass.ch,193.203.121.145,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,"ns-1021.awsdns-63.net, ns-1031.awsdns-00.org, ns-1587.awsdns-06.co.uk, ns-90.awsdns-11.com, ns.sbb.ch",,,,,
,risgeoshop-test.sbb.ch,,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,rismobile-test.sbb.ch,,,,,,
,rismobile.sbb.ch,193.203.121.134,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,router-default.apps.control01p.otc.sbb.ch,10.106.107.131,"ns-810.awsdns-37.net, awsdns-hostmaster.amazon.com",NOERROR,True,10.106.107.131,,,,,,,,
,router-default.apps.kafka02p.otc.sbb.ch,10.106.113.203,"ns-810.awsdns-37.net, awsdns-hostmaster.amazon.com",NOERROR,True,10.106.113.203,,,,,,,,
,router-default.apps.nokia01t.otc-test.sbb.ch,10.106.95.26,"ns-1217.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,True,10.106.95.26,,,"ns-1217.awsdns-24.org, ns-160.awsdns-20.com, ns-1639.awsdns-12.co.uk, ns-817.awsdns-38.net",,,,,
,router-default.apps.sputnix.otc.sbb.ch,10.106.106.174,"ns-810.awsdns-37.net, awsdns-hostmaster.amazon.com",NOERROR,True,10.106.106.174,,,,,,,,
,rpn-int.sbb.ch,168.119.27.14,"bop-corens.seiler-vision.com, infrastructure-support.b-op.com",NOERROR,,,,realmstage.coloc-01.b-op.com,,,,,,
,rpn-test.sbb.ch,5.100.16.12,"bop-corens.seiler-vision.com, infrastructure-support.b-op.com",NOERROR,,,,realmstage.coloc-04.b-op.com,,,,,,
,rpn.sbb.ch,92.42.191.35,"bop-corens.seiler-vision.com, infrastructure-support.b-op.com",NOERROR,,,,realmstage.coloc-03.b-op.com,,,,,,
,rsdiext.sbb.ch,194.150.244.231,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,rsdtext.sbb.ch,,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,rsu-deve.sbb.ch,,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,"sbb-urlredirect-api-dev.azurewebsites.net, waws-prod-am2-113.sip.azurewebsites.windows.net, waws-prod-am2-113.westeurope.cloudapp.azure.com",,,True,azure,,
,s-int.app.sbb.ch,"52.57.148.72, 35.157.225.80, 52.28.127.176","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,s-test.app.sbb.ch,"18.184.23.107, 18.184.49.10, 3.121.210.209","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,s-test.sbb.ch,"3.121.210.209, 18.184.23.107, 18.184.49.10","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,s-test.app.sbb.ch,"ns-1304.awsdns-35.org, ns-1632.awsdns-12.co.uk, ns-233.awsdns-29.com, ns-650.awsdns-17.net",,,,,
,s.app.sbb.ch,"35.157.225.80, 52.57.148.72, 52.28.127.176","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,s.sbb.ch,"35.157.225.80, 52.28.127.176, 52.57.148.72","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,s.app.sbb.ch,,,,,,
,sapdms-inte.sbb.ch,13.69.68.18,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,"sbb-sapdmsv2-test.azurewebsites.net, waws-prod-am2-289.sip.azurewebsites.windows.net, waws-prod-am2-289.westeurope.cloudapp.azure.com",,,True,azure,,
,sapdms-test.sbb.ch,52.233.155.168,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,"sbb-sapdmsv2-dev.azurewebsites.net, waws-prod-am2-113.sip.azurewebsites.windows.net, waws-prod-am2-113.westeurope.cloudapp.azure.com",,,True,azure,,
,sapdms.sbb.ch,40.118.102.46,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,"sbb-sapdmsv2.azurewebsites.net, waws-prod-am2-175.sip.azurewebsites.windows.net, waws-prod-am2-175.cloudapp.net",,,True,azure,,
,sapikat.sbb.ch,194.150.245.38,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,sappo-int-ws.sbb.ch,193.203.121.91,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,sappo-test-ws.sbb.ch,193.203.121.25,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,sappo-ws.sbb.ch,193.203.121.182,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,sbb-angular.app.sbb.ch,"52.57.26.73, 3.123.94.26, 18.194.68.34","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,sbbaktiv.sbb.ch,194.209.222.161,"dns3.swisscom.com, admin\.dns.swisscom.com",NOERROR,,,,"sbbaktiv.sbb.zoon.ch, scapp.swisscom.com",,,,,"mail10.swisscom.com, mail20.swisscom.com, mail.swisscom.com",v=spf1 include:spf.swisscom.com include:servers.mcsv.net include:stspg-customer.com ~all
,sbbmail.sbb.ch,194.150.245.7,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
