new,host,a,soa,status_code,cname,caa,cdn,cdn-name,aaaa,ns,mx,txt,has_internal_ips,internal_ips
,oktamail.trellix.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,u18980731.wl232.sendgrid.net,,,,,,mx.sendgrid.net,v=spf1 ip4:159.183.193.109 ip4:159.183.200.101 ip4:159.183.213.105 ip4:159.183.213.107 ip4:159.183.213.204 ip4:159.183.214.96 ip4:167.89.110.192 ip4:167.89.126.180 ip4:50.31.57.204 -all,,
,one-console.dev.design.trellix.com,"18.65.39.115, 18.65.39.22, 18.65.39.49, 18.65.39.5","ns-1447.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,"ns-107.awsdns-13.com, ns-1447.awsdns-52.org, ns-1618.awsdns-10.co.uk, ns-619.awsdns-13.net",,,,
,origin-www.trellix.com,34.102.130.47,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,google,,,,,,
,partnerbusinesscenter.beta.manage.trellix.com,"54.149.202.255, 52.38.150.231","ns-1269.awsdns-30.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,partnerbusinesscenter.manage.trellix.com,"52.24.116.139, 34.213.221.180","ns-847.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,partnernews.trellix.com,23.239.25.111,"ns1.linode.com, support.purechannelapps.com",NOERROR,trellix.portal.impartner.co.uk,,,,2600:3c00::f03c:92ff:feaa:1532,,"mxa.mailgun.org, mxb.mailgun.org",v=spf1 include:mailgun.org ~all,,
,partners-uat.trellix.com,34.111.35.32,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,google,,,,,,
,partners.trellix.com,35.190.63.45,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,google,,,,,,
,partnerteam.trellix.com,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1224.awsdns-25.org, ns-136.awsdns-17.com, ns-1563.awsdns-03.co.uk, ns-758.awsdns-30.net","mx1.emailsrvr.com, mx2.emailsrvr.com",v=spf1 include:emailsrvr.com ~all,,
,pavvpn1.trellix.com,161.69.153.188,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,pdt.skyhighsecurity.com,"3.215.172.219, 34.237.219.119, 18.208.125.13, 3.92.120.28, 52.54.96.194","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"go.pardot.com, pi.pardot.com, pi-ue1.pardot.com, pi-ue1-public-lb-f0209c6950285322.elb.us-east-1.amazonaws.com",,,,,"ns-1286.awsdns-32.org, ns-1826.awsdns-36.co.uk, ns-281.awsdns-35.com, ns-844.awsdns-41.net",,,,
,pdtqa.trellix.com,"54.81.98.132, 174.129.247.16, 52.204.164.236","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"go.demo.pardot.com, pi.demo.pardot.com, pi-demo-ue1-public-lb-086ce2601bda5d6e.elb.us-east-1.amazonaws.com",,,,,,,,,
,preprod.auth.trellix.com,"35.166.148.210, 44.225.244.152, 100.21.32.163","ns-368.awsdns-46.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1008.awsdns-62.net, ns-1273.awsdns-31.org, ns-1586.awsdns-06.co.uk, ns-368.awsdns-46.com",,,,
,preprod.uam.api.trellix.com,"52.85.132.99, 52.85.132.119, 52.85.132.104, 52.85.132.120, 205.251.193.44, 205.251.195.4, 205.251.197.49, 205.251.199.56","ns-1329.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,"ns-300.awsdns-37.com, ns-772.awsdns-32.net, ns-1329.awsdns-38.org, ns-1848.awsdns-39.co.uk",,,,
,preview-login.trellix.com,"13.248.236.251, 76.223.106.183","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,"preview-trellix.customdomains.oktapreview.com, op1-custom-crtrs.oktapreview.com, op1-custom-crtrs.oktaedge.oktapreview.com, a9dcaea81ce6d4aa6.awsglobalaccelerator.com",,,,,,,,,
,prm-tools-uat.trellix.com,161.69.38.148,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,prod.xconsole.trellix.com,,"ns-622.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-429.awsdns-53.com, ns-622.awsdns-13.net, ns-1095.awsdns-08.org, ns-1591.awsdns-06.co.uk",,,,
,protex.corp.trellix.com,10.40.6.158,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,True,10.40.6.158
,qa-login.trellix.com,"99.83.239.254, 75.2.114.79","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,"qa-login-trellix.customdomains.okta.com, ok1-custom-crtrs.okta.com, ok1-custom-crtrs.oktaedge.okta.com, a2e40bf056f673113.awsglobalaccelerator.com",,,,,,,,,
,qa-sftp.trellix.com,136.179.57.118,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,qa.apps.helix.trellix.com,"52.37.243.127, 35.82.99.133, 44.236.160.12","ns-1293.awsdns-33.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1293.awsdns-33.org, ns-159.awsdns-19.com, ns-1801.awsdns-33.co.uk, ns-902.awsdns-48.net",,,,
,qa.telemetry.trellix.com,"52.35.128.24, 52.12.72.141, 54.187.124.158","ns-508.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,d-hbzinlh2wa.execute-api.us-west-2.amazonaws.com,,,,,,,,,
,rcsearch.trellix.com,161.69.17.37,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,rdp.manage.trellix.com,"52.41.15.192, 54.213.96.56","ns-847.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,rebates-uat.trellix.com,151.80.151.248,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,vps-27.qchi.net,,,,,,,,,
,rebates.trellix.com,178.33.40.80,"dom.ns.cloudflare.com, dns.cloudflare.com",NOERROR,theo.qchi.net,,,,,,,,,
,saaspartner.api.beta.manage.trellix.com,"52.38.150.231, 54.149.202.255","ns-1269.awsdns-30.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,saaspartner.api.manage.trellix.com,"52.24.116.139, 34.213.221.180","ns-847.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,sales-uat.trellix.com,34.111.35.32,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,google,,,,,,
,sales.trellix.com,161.69.29.118,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,sandbox.xconsole.trellix.com,"52.222.139.103, 52.222.139.19, 52.222.139.41, 52.222.139.65","ns-287.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,"ns-883.awsdns-46.net, ns-1090.awsdns-08.org, ns-1705.awsdns-21.co.uk, ns-287.awsdns-35.com",,,,
,sapinbound.trellix.com,136.179.56.23,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,scp-uat.trellix.com,161.69.38.119,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1224.awsdns-25.org, ns-136.awsdns-17.com, ns-1563.awsdns-03.co.uk, ns-758.awsdns-30.net",,,,
