new,host,a,cname,soa,status_code,aaaa,ns,cdn,cdn-name,mx,txt
[x],bugfixonlynormalizeimageifimag.next.nos.nl,"3.121.37.51, 3.66.66.237, 52.29.195.181, 52.57.213.175, 52.29.248.163, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1081.awsdns-07.org, ns-1584.awsdns-06.co.uk, ns-299.awsdns-37.com, ns-759.awsdns-30.net",,,,
[x],bugfixsentrysourcemaps.next.nos.nl,"52.29.195.181, 52.29.248.163, 3.121.37.51, 52.58.140.166, 52.57.213.175, 3.66.66.237",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],bugfixtokyo2020-error-handling.next.nos.nl,"52.29.195.181, 3.66.66.237, 52.29.248.163, 3.121.37.51, 52.57.213.175, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],bugfixvideoplaceholdersizesfix.next.nos.nl,"52.57.213.175, 52.58.140.166, 3.121.37.51, 52.29.195.181, 52.29.248.163, 3.66.66.237",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],bugfixweb3819fixmarginsarticle.next.nos.nl,"52.58.140.166, 52.29.248.163, 3.121.37.51, 3.66.66.237, 52.29.195.181, 52.57.213.175",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],bugfixweb3886fixorderfrontpage.next.nos.nl,"52.58.140.166, 52.29.195.181, 52.29.248.163, 3.121.37.51, 52.57.213.175, 3.66.66.237",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],bugmeisternpmupdate.next.nos.nl,"3.66.66.237, 52.58.140.166, 52.29.195.181, 3.121.37.51, 52.29.248.163, 52.57.213.175",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],bugmeistersanitizestoriesapi.next.nos.nl,"52.29.248.163, 3.121.37.51, 52.58.140.166, 3.66.66.237, 52.29.195.181, 52.57.213.175",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],bugmeistersanitizestoriesartic.next.nos.nl,"3.121.37.51, 52.29.195.181, 52.29.248.163, 52.57.213.175, 52.58.140.166, 3.66.66.237",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],cdn.nos.nl,"185.173.162.68, 185.173.162.71, 185.173.162.69, 185.173.162.72, 185.173.162.70","ff53ed04-b5fc-4ccf-b357-c1c4a2dd582a.customer.scalia.network, cname.cdn.scalia.network, node01.nl-nal-1.cdn.scalia.network, node01.nl-ams-2.cdn.scalia.network","ns-1387.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,"2a00:7c83:0:5::aaaa:200, 2a00:7c83:0:5::aaaa:300, 2a00:7c83:0:5::aaaa:a00, 2a00:7c83:0:5::aaaa:900, 2a00:7c83:0:5::aaaa:500, 2a00:7c83:0:5::aaaa:400, 2a00:7c83:0:5::aaaa:600, 2a00:7c83:0:5::aaaa:700, 2a00:7c83:0:5::aaaa:800",,,,,
[x],cf-test-fe1.nos.nl,"108.138.233.12, 108.138.233.100, 108.138.233.124, 108.138.233.116",d10p18t6ftml5j.cloudfront.net,"ns-1171.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2113:8000:15:5aa3:65c0:93a1, 2600:9000:2113:9000:15:5aa3:65c0:93a1, 2600:9000:2113:1200:15:5aa3:65c0:93a1, 2600:9000:2113:3a00:15:5aa3:65c0:93a1, 2600:9000:2113:3400:15:5aa3:65c0:93a1, 2600:9000:2113:4c00:15:5aa3:65c0:93a1, 2600:9000:2113:8e00:15:5aa3:65c0:93a1, 2600:9000:2113:4800:15:5aa3:65c0:93a1","ns-1171.awsdns-18.org, ns-720.awsdns-26.net, ns-6.awsdns-00.com, ns-1852.awsdns-39.co.uk",True,cloudfront,,
[x],cf-test.nos.nl,,d38v7us35guozt.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,
[x],cf.nos.nl,,,,NOERROR,2602:fcbc:0:3::11,,,,,
[x],collaborative-filter.api.nos.nl,"52.29.248.163, 52.57.213.175, 52.29.195.181, 3.66.66.237, 52.58.140.166, 3.121.37.51",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],core.nos.nl,"52.57.213.175, 52.29.248.163, 3.66.66.237, 52.29.195.181, 3.121.37.51, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],cploginaccept-domain.next.nos.nl,"52.58.140.166, 52.29.195.181, 52.29.248.163, 52.57.213.175, 3.121.37.51, 3.66.66.237",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],demo-origin.nos.nl,"3.66.66.237, 52.29.248.163, 52.57.213.175, 52.58.140.166, 52.29.195.181, 3.121.37.51",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],demo.next.nos.nl,"52.29.248.163, 52.57.213.175, 52.29.195.181, 3.121.37.51, 3.66.66.237, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],demo.nos.nl,"108.138.7.79, 108.138.7.10, 108.138.7.27, 108.138.7.6",dw026g8of7d5k.cloudfront.net,"ns-1999.awsdns-57.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2490:d200:c:6be3:5600:93a1, 2600:9000:2490:9600:c:6be3:5600:93a1, 2600:9000:2490:d000:c:6be3:5600:93a1, 2600:9000:2490:8c00:c:6be3:5600:93a1, 2600:9000:2490:1600:c:6be3:5600:93a1, 2600:9000:2490:ec00:c:6be3:5600:93a1, 2600:9000:2490:ac00:c:6be3:5600:93a1, 2600:9000:2490:7c00:c:6be3:5600:93a1","ns-1234.awsdns-26.org, ns-197.awsdns-24.com, ns-1999.awsdns-57.co.uk, ns-613.awsdns-12.net",True,cloudfront,,
[x],dependabotnpmandyarnbabeleslin.next.nos.nl,"52.29.248.163, 52.58.140.166, 3.66.66.237, 52.29.195.181, 3.121.37.51, 52.57.213.175",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],dependabotnpmandyarnnexttransp.next.nos.nl,,apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],dependabotnpmandyarntypescript.next.nos.nl,"52.29.248.163, 3.66.66.237, 52.58.140.166, 3.121.37.51, 52.29.195.181, 52.57.213.175",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],dev.inos4.intern.nos.nl,,,,NOERROR,,,,,,
[x],dev.inosmam.intern.nos.nl,54.144.128.85,,,NOERROR,,,,,,
[x],download.nos.nl,"3.66.66.237, 3.121.37.51, 52.29.248.163, 52.57.213.175, 52.29.195.181, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],download2.nos.nl,"52.29.248.163, 3.66.66.237, 52.57.213.175, 52.58.140.166, 52.29.195.181, 3.121.37.51",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],enterpriseenrollment.nos.nl,52.236.189.96,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu02.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,
[x],featureaddlinkcontainernormali.next.nos.nl,"3.66.66.237, 52.29.248.163, 52.57.213.175, 3.121.37.51, 52.29.195.181, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureaddlinktoslides.next.nos.nl,"3.121.37.51, 52.29.195.181, 52.29.248.163, 52.57.213.175, 52.58.140.166, 3.66.66.237",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureaddsmalllabeljjstoryboo.next.nos.nl,"52.29.248.163, 52.29.195.181, 52.57.213.175, 52.58.140.166, 3.66.66.237, 3.121.37.51",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featurecacheheaders.next.nos.nl,"52.29.195.181, 3.121.37.51, 52.29.248.163, 52.58.140.166, 52.57.213.175, 3.66.66.237",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featurecleanupirrelevantpipeli.next.nos.nl,"52.58.140.166, 52.29.195.181, 3.121.37.51, 52.57.213.175, 3.66.66.237, 52.29.248.163",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featurefullscreentracking.next.nos.nl,,apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureimplementlinkblocklistj.next.nos.nl,,apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureimplementlinkblokcontai.next.nos.nl,"52.57.213.175, 52.29.195.181, 52.58.140.166, 3.121.37.51, 3.66.66.237, 52.29.248.163",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureremoveoldkantarimplementa.next.nos.nl,"3.121.37.51, 3.66.66.237, 52.29.248.163, 52.58.140.166, 52.29.195.181, 52.57.213.175",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3040vervanghtmlparsi.next.nos.nl,"3.121.37.51, 3.66.66.237, 52.29.195.181, 52.57.213.175, 52.29.248.163, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1081.awsdns-07.org, ns-1584.awsdns-06.co.uk, ns-299.awsdns-37.com, ns-759.awsdns-30.net",,,,
[x],featureweb3058donotjumptotop.next.nos.nl,"3.66.66.237, 52.57.213.175, 52.58.140.166, 3.121.37.51, 52.29.248.163, 52.29.195.181",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3097storiesindexw3c.next.nos.nl,"52.29.248.163, 3.66.66.237, 52.57.213.175, 3.121.37.51, 52.58.140.166, 52.29.195.181",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3098storiesarticlew3.next.nos.nl,"3.121.37.51, 52.29.248.163, 3.66.66.237, 52.57.213.175, 52.58.140.166, 52.29.195.181",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3560itemrequiredprop.next.nos.nl,,apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3561footer.next.nos.nl,"3.66.66.237, 52.58.140.166, 52.57.213.175, 52.29.248.163, 52.29.195.181, 3.121.37.51",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3564broadcastsection.next.nos.nl,"3.121.37.51, 52.29.195.181, 52.29.248.163, 52.57.213.175, 52.58.140.166, 3.66.66.237",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3564uitzendingenrout.next.nos.nl,"52.29.195.181, 3.66.66.237, 52.58.140.166, 52.29.248.163, 52.57.213.175, 3.121.37.51",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3577seoschemajj.next.nos.nl,"52.29.195.181, 3.66.66.237, 52.58.140.166, 52.57.213.175, 52.29.248.163, 3.121.37.51",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3616jjstorybookimage.next.nos.nl,,apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3617implementimagejj.next.nos.nl,"52.29.248.163, 52.58.140.166, 52.29.195.181, 52.57.213.175, 3.66.66.237, 3.121.37.51",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3651implementimagemo.next.nos.nl,"52.29.248.163, 3.121.37.51, 52.29.195.181, 52.57.213.175, 3.66.66.237, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3657linkcontainersto.next.nos.nl,"52.29.248.163, 3.121.37.51, 52.29.195.181, 52.57.213.175, 3.66.66.237, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3661tableimplementat.next.nos.nl,"3.121.37.51, 52.57.213.175, 3.66.66.237, 52.58.140.166, 52.29.195.181, 52.29.248.163",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3662twitterembed.next.nos.nl,"52.57.213.175, 52.29.248.163, 52.29.195.181, 3.66.66.237, 3.121.37.51, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3663twitterdataservi.next.nos.nl,"52.29.195.181, 52.58.140.166, 52.29.248.163, 52.57.213.175, 3.121.37.51, 3.66.66.237",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3664twitterstorybook.next.nos.nl,"52.57.213.175, 52.29.195.181, 52.29.248.163, 52.58.140.166, 3.121.37.51, 3.66.66.237",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3667youtubestorytell.next.nos.nl,"3.66.66.237, 3.121.37.51, 52.58.140.166, 52.29.248.163, 52.57.213.175, 52.29.195.181",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3672headercomponent.next.nos.nl,"3.66.66.237, 3.121.37.51, 52.29.195.181, 52.29.248.163, 52.57.213.175, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3672storybookheaderc.next.nos.nl,"52.57.213.175, 52.58.140.166, 3.66.66.237, 3.121.37.51, 52.29.195.181, 52.29.248.163",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3683mockdatahomepage.next.nos.nl,"52.29.195.181, 3.121.37.51, 52.29.248.163, 52.58.140.166, 52.57.213.175, 3.66.66.237",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3688implementnewlive.next.nos.nl,"52.58.140.166, 52.29.195.181, 3.121.37.51, 52.57.213.175, 3.66.66.237, 52.29.248.163",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3709offsetcontainer.next.nos.nl,"3.66.66.237, 52.57.213.175, 52.29.195.181, 52.58.140.166, 52.29.248.163, 3.121.37.51",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3720dataservicepolla.next.nos.nl,"52.29.248.163, 52.58.140.166, 3.121.37.51, 52.29.195.181, 3.66.66.237, 52.57.213.175",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3720dataservicepollp.next.nos.nl,"52.29.248.163, 3.121.37.51, 52.29.195.181, 52.57.213.175, 3.66.66.237, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3724implementdataser.next.nos.nl,"3.121.37.51, 3.66.66.237, 52.29.195.181, 52.57.213.175, 52.29.248.163, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1081.awsdns-07.org, ns-1584.awsdns-06.co.uk, ns-299.awsdns-37.com, ns-759.awsdns-30.net",,,,
[x],featureweb3767formimplementati.next.nos.nl,"52.57.213.175, 3.66.66.237, 52.29.195.181, 52.29.248.163, 3.121.37.51, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3768jeugdsnackbar.next.nos.nl,"52.29.248.163, 52.57.213.175, 52.58.140.166, 52.29.195.181, 3.66.66.237, 3.121.37.51",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3785frontpagevideocl.next.nos.nl,"52.58.140.166, 52.29.195.181, 3.121.37.51, 3.66.66.237, 52.29.248.163, 52.57.213.175",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3787dataservicecomme.next.nos.nl,"52.29.248.163, 52.57.213.175, 52.58.140.166, 3.121.37.51, 3.66.66.237, 52.29.195.181",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3799customsectionnor.next.nos.nl,"52.29.248.163, 52.57.213.175, 52.58.140.166, 52.29.195.181, 3.66.66.237, 3.121.37.51",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3810implementweather.next.nos.nl,"3.121.37.51, 52.57.213.175, 52.58.140.166, 3.66.66.237, 52.29.195.181, 52.29.248.163",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3810weatherstorybook.next.nos.nl,"52.57.213.175, 52.58.140.166, 3.66.66.237, 3.121.37.51, 52.29.195.181, 52.29.248.163",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3824seoschemauitzend.next.nos.nl,"52.57.213.175, 3.66.66.237, 52.29.195.181, 3.121.37.51, 52.29.248.163, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3830sterff.next.nos.nl,"3.121.37.51, 3.66.66.237, 52.29.195.181, 52.29.248.163, 52.58.140.166, 52.57.213.175",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3831broadcasttitlege.next.nos.nl,,apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3832uitzendingenpagi.next.nos.nl,,apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3833uitzendingenview.next.nos.nl,"52.29.195.181, 52.57.213.175, 52.58.140.166, 3.66.66.237, 3.121.37.51, 52.29.248.163",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3837frontpagespacing.next.nos.nl,"52.57.213.175, 52.58.140.166, 3.66.66.237, 3.121.37.51, 52.29.195.181, 52.29.248.163",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3837visualoffsetingr.next.nos.nl,"52.29.195.181, 52.57.213.175, 3.66.66.237, 52.29.248.163, 52.58.140.166, 3.121.37.51",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3849textboxahover.next.nos.nl,"52.29.248.163, 3.121.37.51, 52.29.195.181, 52.57.213.175, 3.66.66.237, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3856decreasespacingb.next.nos.nl,"52.57.213.175, 3.121.37.51, 3.66.66.237, 52.29.248.163, 52.58.140.166, 52.29.195.181",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3876implementshortli.next.nos.nl,"3.121.37.51, 52.29.248.163, 3.66.66.237, 52.29.195.181, 52.57.213.175, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3888catchclicks.next.nos.nl,"3.66.66.237, 3.121.37.51, 52.29.195.181, 52.29.248.163, 52.57.213.175, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3889datatracking.next.nos.nl,"52.58.140.166, 52.29.195.181, 52.29.248.163, 52.57.213.175, 3.66.66.237, 3.121.37.51",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3895ochtendjournaalt.next.nos.nl,"52.57.213.175, 52.29.248.163, 52.29.195.181, 3.66.66.237, 3.121.37.51, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],featureweb3899videoicon.next.nos.nl,"52.57.213.175, 52.29.248.163, 3.121.37.51, 3.66.66.237, 52.29.195.181, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],feeds.nos.nl,"52.29.195.181, 3.121.37.51, 52.29.248.163, 3.66.66.237, 52.57.213.175, 52.58.140.166",apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1081.awsdns-07.org, ns-1584.awsdns-06.co.uk, ns-299.awsdns-37.com, ns-759.awsdns-30.net",,,,
[x],fixfixhovervideo.next.nos.nl,,apps.nos.cluster.chp4.io,"ns-1081.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
