new,host,a,aaaa,cname,soa,status_code,mx,ns,txt,cdn,cdn-name,caa,has_internal_ips,internal_ips
[x],update-wiki-2022redirect.dpgmedia.nl,"75.2.104.177, 99.83.132.111",,dpgmedia.nl,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.coml, aspmx3.googlemail.com","eur2.akam.net, eur5.akam.net, eur6.akam.net, usc2.akam.net, use2.akam.net, use5.akam.net, ns1-25.akam.net, ns1-125.akam.net","MS=ms67078813, apple-domain-verification=rhgBCR84l7Uc5cMp, miro-verification=6ab58ecb32755bd8fe2c2255f7fce54a0f770a62, google-site-verification=9BOW7AtoeMAiQCOR3Zsi_u62trb62MCyyPQvoEOLnmg, google-site-verification=BS9bRgQCaGMV-qV7KXIW3k9PKEroMT8ZkO9SXCCupe8, google-site-verification=HCULTGPeBKe3q6PXsdBGZwX_u9vcLA5Ag5MK6S6FFlI, google-site-verification=L7RecrH5RTtWIgjCAdqoKi8GHMgoCtfPMk1MQ-_A61A, google-site-verification=OFuT0sku1FNyBn8NGNrWIYeMnBxdj3Cw8RnmPKTF3mg, globalsign-domain-verification=D8tRjhFB3jo9I1zhzbeimuR1ZZFWeM3TdNy9K1TY8G, globalsign-domain-verification=fxO-oZ6xBPNZcHaVlYx6ceobJ6drHbywrgO8594L_X, _globalsign-domain-verification=Oq6NKVBlI5zFkmVbiHpDvh43BHnogvLZ3krBbrIKaP, _globalsign-domain-verification=nsqnD7wwhGNdAOhsaYaOrHYUUv235YiSl78GYluXBl, pardot396912=d103e8fb586b4ea12a5eef9ab8db50f225ffa9534121042c3c6f19110507cc0d, atlassian-domain-verification=ssHGvZHDdS5FmfVQpIMaFz7N72WfDW4eBo9yqtYNFjK/GIpJ1yW8IiERm5km/bSj, v=spf1 ip4:146.185.48.0/21 include:_spf.google.com include:et._spf.pardot.com include:_spf.salesforce.com include:spf1.dpgmedia.nl include:spf2.dpgmedia.nl include:mail.zendesk.com -all",,,,,
[x],upload.dpgmedia.be,"75.2.104.177, 99.83.132.111",,dpgredirects.business-hosting.dpgmedia.cloud,"ns-865.awsdns-44.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],upload.dpgmedia.nl,146.185.54.241,,www5526.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,
[x],us-east-2.tickets.dpgmedia.be,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,peak.proxy.tickoweb.net,"ns1.ethera.be, dns.tigron.net",NOERROR,,,,,,,,
[x],vacature.dpgmedia.be,"95.101.74.139, 95.101.74.133","2a02:26f0:c900:9::5f65:4a85, 2a02:26f0:c900:9::5f65:4a8b","vacature.dpp.edgekey.net, e15742.dscksd.akamaiedge.net","n0dscksd.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],vacatures.dpgmedia.nl,35.242.209.60,,secure.recruitee.com,"ns-803.awsdns-36.net, awsdns-hostmaster.amazon.com",NOERROR,,,,True,google,letsencrypt.org,,
[x],verkiezingen.dpgmedia.nl,"2.16.204.92, 2.16.204.85","2a02:26f0:f700:8::58dd:5c93, 2a02:26f0:f700:8::58dd:5ca7","dpgmedia-nl-wc.edgekey.net, e27429.dscb.akamaiedge.net, e27429.dscb.akamaiedge.net.0.1.cn.akamaiedge.net","n0cn.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],www.advertising.dpgmedia.be,"95.101.133.65, 80.239.254.22","2001:2030:0:17::50ef:fe16, 2001:2030:0:17::5f65:8541","common2.dpp.edgekey.net, e12230.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],www.dpgmedia.be,"95.101.133.17, 80.239.254.26","2001:2030:0:17::50ef:fe1a, 2001:2030:0:17::5f65:8511","dpgmsancert.edgekey.net, e84567.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],www.dpgmedia.nl,,,"dpgmsancert.edgekey.net, e84567.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],www.flex.dpgmedia.nl,185.46.183.27,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,
[x],www.materiaalportaal.dpgmedia.nl,83.96.170.83,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,
[x],www.onboarding.dpgmedia.nl,185.46.183.27,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,
[x],www.vacatures.dpgmedia.nl,35.242.209.60,,secure.recruitee.com,"ns-803.awsdns-36.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1157.awsdns-16.org, ns-1634.awsdns-12.co.uk, ns-420.awsdns-52.com, ns-803.awsdns-36.net",,True,google,letsencrypt.org,,
[x],www.werkenbij.dpgmedia.be,"23.213.161.197, 23.213.161.214","2a02:26f0:64::214:8485, 2a02:26f0:64::214:848b","common2.dpp.edgekey.net, e12230.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],zendesk2.dpgmedia.be,"162.159.128.7, 162.159.138.6",,mail2.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,mail.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,True,cloudflare,,,
[x],zendesk4.dpgmedia.be,"162.159.138.6, 162.159.128.7",,mail4.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,mail.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,True,cloudflare,,,
