input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,csp_domains_,webserver,tls_wildcard_certificate,tls_mismatched,cdn_name,cdn
https://api.ipify.org,,200,12,AS18450,WEBNX,US,173.231.16.0/21,api.ipify.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-02-18T23:59:59Z,CN=*.ipify.org,*.ipify.org,,ipify.org,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,43df44a778b34f90886599c0b5ee30ab,77c3d0b52df4abf0fbe4ec3e615df86bff5255a809ed26279bb1b949de6f4cf0,ctls,api.ipify.org,443,https://api.ipify.org:443,https,text/plain,GET,173.231.16.77,/,-1840324437,,64.185.227.155,,1,False,,,True,,,
https://connexys-3045.my.salesforce-sites.com,,200,89340,AS14340,SALESFORCE,US,160.8.0.0/16,connexys-3045.my.salesforce-sites.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-05T00:00:00Z,2023-12-04T23:59:59Z,"CN=cdg.my.salesforce-sites.com, O=salesforce.com\, inc., L=San Francisco, ST=California, C=US",cdg.my.salesforce-sites.com,"salesforce.com, inc.",*.my.salesforce-sites.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,4e3069234d2db5a59eb1f04758bbcc2b,e6ffbd1d2d3693aadd1864dea2c5f97f705f0776afae01705c6ba71001a611f9,ctls,connexys-3045.my.salesforce-sites.com,443,https://connexys-3045.my.salesforce-sites.com:443,https,text/html,GET,160.8.246.142,/,1433417005,,85.222.145.14,Salesforce,789,False,,,True,,,
https://connexys-3045.my.salesforce.com,Sign in to your account,200,202238,AS14340,SALESFORCE,US,85.222.128.0/19,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,80,http://connexys-3045.my.salesforce.com:80,http,text/html,GET,85.222.144.14,/,1433417005,https://login.microsoftonline.com/9e3ee5fe-3a99-45db-ac6e-691e86febef3/saml2?SAMLRequest=jZPbbqMwEIZfBfkewiGkgEoqGtpCcyIhB%2BgNMmASGrABm7Tk6ZemrdTdi2pH8oU14%2F%2BfGX2%2BvXsvC%2B6MGpoTbAJJEAGHcELSHB9MsN088hq4G99SWBZyZVgtO%2BI1qltEGdc%2FxNT4zJigbbBBIM2pgWGJqMESw7fmM0MWRKNqCCMJKQBnUYoa1ltNCKZtiRofNec8Qdv1zARHxipqDAYJwRi9d5RXxKEqlJ1AYYFoRpoECQkp7ygxRdEWQ%2FEj5LxMNMDZfUc5huw6xbdQQQ45Fso8aQglGSO4yPFVYqAjBSE1Q7wCdZ0fqmnMw2SE%2BJEuIW2UoRhlyuA6GuBc2wSRPLH6CHN%2FKLXR3Lbe%2Fj0faa1B0rltHh7htvNO8ej5uVMb2dvPlboMljs7KJo2eJo6obezkyqHz%2FL2cSLp7st6OWovVQxvHFKuIqxltWafWmUhBcF8tib%2BawpL2E2lhzqqyPA%2BOVluTZ52p8UBExIFSZSepg4Lc9mJJ%2FkCSZlexwuxkp7S1%2BA%2B0SPkb6pKDcVVv4f60maKvqcXvmjfFXVfE9dt68xdqR7VnLc354LStW6tJHvpwLUyjT0Wdd7eX6q8vj3WQzIhKcPKYnVzs8THjg9R6FMURsrswTr026K0RS6mDGJmAlmUFV5UeVHfyLIxVA1VEXRp9AI474uJ%2Bxx%2FsvYbQPFnETWczcbjvaW%2FAdzum9m%2BAHwRalzdm59o%2Fi4Mv3kE4%2F%2Bk73bw02n8df37a4z%2FAA%3D%3D&RelayState=%2F&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&Signature=SDg%2BwZDu6m%2F72WqdMRnBLEGIil6YRyspceBq8vxtOq73z1l19Ko%2FE6%2BHoehmnQ9NpYoSt2j0RtIxQrPH5HOO97DRNDA99mEvumkxmTgYngdraGt72tIfR6MmVfw0yllGdKQXXglTKPFzHnNnwzVrCCpszD4c1ttUAxw5iLxT8FuRrsI1mfNVYH9FV5F6mh8KPUAdoas7ZmFZ1U78hpKK0KnTZUcK1Yk1kW5NZ0GskwZgIMUx8Pu4vY8Z4q%2F28CsLEme2mcpNdBl7NmXsziRAViaJhjREf9I0YqNiXuO%2FKC8tRSWc1DXiOOkH9oPTmijZDeZAxYXMNs3IICLcyXRs2g%3D%3D,160.8.246.142,HSTS,174,False,,,,,,
https://fonts.gstatic.com,Error 404 (Not Found)!!1,404,1561,AS15169,GOOGLE,US,142.250.0.0/15,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,ctls,fonts.gstatic.com,443,https://fonts.gstatic.com:443,https,text/html,GET,142.250.186.67,/,302920777,,2a00:1450:4001:82f::2003,HTTP/3,12,False,,sffe,True,,,
https://googleads.g.doubleclick.net,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,200,128610,AS15169,GOOGLE,US,142.250.0.0/15,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,marketingplatform.google.com,443,https://googleads.g.doubleclick.net:443,https,text/html,GET,142.250.185.98,/,-1184133586,https://marketingplatform.google.com/about/enterprise/,2a00:1450:4001:803::2002,HTTP/3,2179,False,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,sffe,True,,,
https://googleadservices.com,Error 404 (Not Found)!!1,404,1561,AS15169,GOOGLE,US,142.250.0.0/15,googleadservices.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:59:59Z,2023-07-17T11:59:58Z,CN=*.googleadservices.com,*.googleadservices.com,,googleadservices.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5cd131737674e9399dc250bce3982d2d,15c55d227474ae0ae7c87fe613f6b8eab17533a89d3a0a6a0eb7a5b73e55b61f,ctls,googleadservices.com,443,https://googleadservices.com:443,https,text/html,GET,142.250.186.130,/,302920777,,142.250.186.130,HTTP/3,12,False,,sffe,True,,,
https://pagead2.googlesyndication.com,Error 404 (Not Found)!!1,404,1561,AS15169,GOOGLE,US,142.250.0.0/15,pagead2.googlesyndication.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:03Z,2023-07-17T11:56:02Z,CN=*.g.doubleclick.net,*.g.doubleclick.net,,media.admob.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7537813f9cec62d62aeeb713a1d681b1,60265b3d3be43ac96f8f845506ba2d564b975a23d4b654ac18c63f2efaac49d0,ctls,pagead2.googlesyndication.com,443,https://pagead2.googlesyndication.com:443,https,text/html,GET,142.250.185.98,/,-1184133586,,2a00:1450:4001:82b::2002,HTTP/3,12,False,,sffe,True,True,,
https://player.vimeo.com,Features and Tools | Vimeo,200,138945,AS13335,CLOUDFLARENET,US,162.159.160.0/24,vimeo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-21T00:00:00Z,2023-09-20T23:59:59Z,"CN=vimeo.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",vimeo.com,"Cloudflare, Inc.",vimeo.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",abfbe98ee21ae761e7c907a2c2b11739,194c25b1c83430e1b8571f3a61c8671e0c371c345f741e485c2458d8b9e2a85b,ctls,vimeo.com,443,https://player.vimeo.com:443,https,text/html,GET,162.159.128.61,/,1154390870,https://vimeo.com/features,162.159.138.60,Varnish,1060,False,https:,cloudflare,True,,cloudflare,True
https://ssl.gstatic.com,Error 404 (Not Found)!!1,404,1561,AS15169,GOOGLE,US,142.250.0.0/15,ssl.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,ctls,ssl.gstatic.com,443,https://ssl.gstatic.com:443,https,text/html,GET,142.250.186.131,/,302920777,,142.250.186.131,HTTP/3,12,False,,sffe,True,,,
https://stats.g.doubleclick.net,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,marketingplatform.google.com,443,https://stats.g.doubleclick.net:443,https,text/html,GET,108.177.15.156,/,302920777,https://marketingplatform.google.com/about/analytics/,2a00:1450:400c:c00::9c,HTTP/3,1831,False,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,sffe,True,,,
https://tagmanager.google.com,Google Analytics,200,558207,AS15169,GOOGLE,US,142.250.0.0/15,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,ctls,accounts.google.com,443,https://tagmanager.google.com:443,https,text/html,GET,142.250.186.142,/,-1343681433,https://accounts.google.com/v3/signin/identifier?dsh=S-1844773989%3A1683672349512463&continue=https%3A%2F%2Ftagmanager.google.com%2F&followup=https%3A%2F%2Ftagmanager.google.com%2F&ifkv=Af_xneHL0heOa6_E2-gQu5FBf-Rf9uoRwA4htLsia0RZJ2iH1jOHAO1wojvw2oqLYBpct262Efcqvg&passive=1209600&service=analytics&flowName=GlifWebSignIn&flowEntry=ServiceLogin,2a00:1450:4001:82a::200e,HTTP/3,46,False,,ESF,True,,,
https://vimeo.com,Vimeo – Video Experience Platform,200,282612,AS13335,CLOUDFLARENET,US,162.159.160.0/24,vimeo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-21T00:00:00Z,2023-09-20T23:59:59Z,"CN=vimeo.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",vimeo.com,"Cloudflare, Inc.",vimeo.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",abfbe98ee21ae761e7c907a2c2b11739,194c25b1c83430e1b8571f3a61c8671e0c371c345f741e485c2458d8b9e2a85b,ctls,vimeo.com,443,https://vimeo.com:443,https,text/html,GET,162.159.138.60,/,1154390870,,162.159.128.61,Varnish,520,False,https:,cloudflare,True,,cloudflare,True
https://www.google.com,Google,200,34645,AS15169,GOOGLE,US,142.250.0.0/15,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,ctls,www.google.com,443,https://www.google.com:443,https,text/html,GET,142.250.184.196,/,708578229,,2a00:1450:4001:828::2004,HTTP/3,15,False,http:,gws,,,,
https://www.gstatic.com,Error 404 (Not Found)!!1,404,1561,AS15169,GOOGLE,US,142.250.0.0/15,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,ctls,www.gstatic.com,443,https://www.gstatic.com:443,https,text/html,GET,142.250.185.99,/,302920777,,2a00:1450:4001:808::2003,HTTP/3,12,False,,sffe,True,,,
redirect.pggm.nl,Wij zijn PGGM. Een vaste waarde in zorg en welzijn | PGGM,200,321558,AS1136,KPN KPN National,NL,145.4.224.0/20,www.pggm.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-03T00:00:00Z,2023-06-21T23:59:59Z,"CN=www.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",www.pggm.nl,PGGM N.V.,pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3dd5ffba069ed4e6c9a13f07e0f901c5,c438343c29f5529a6e1888a4e85db5a1052eaec3004ef0266de6fcf137a7e0bd,ctls,www.pggm.nl,80,http://redirect.pggm.nl:80,http,text/html,GET,145.4.229.29,/,-380175258,https://www.pggm.nl/,145.4.229.29,HSTS,2541,False,*.analytics.google.com,cloudflare,,,,
upawse-m.t.pggm.nl,403 - Forbidden: Access is denied.,403,1233,AS1136,KPN KPN National,NL,145.4.224.0/20,upawse-m.t.pggm.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-21T00:00:00Z,2023-08-21T23:59:59Z,"CN=upawse-m.t.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",upawse-m.t.pggm.nl,PGGM N.V.,upawse-m.t.pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1fe51c08e1697223ed227ef68c0f6fde,bdfbe9f79ab9ebab0e2763965d4130f4a9201e46df3b28291668ef914be8023e,ctls,upawse-m.t.pggm.nl,80,http://upawse-m.t.pggm.nl:80,http,text/html,GET,145.4.238.28,/,1631801191,https://upawse-m.t.pggm.nl/,145.4.238.28,HSTS,30,False,,,,,,
ws.pggm.nl,Wij zijn PGGM. Een vaste waarde in zorg en welzijn | PGGM,200,321558,AS1136,KPN KPN National,NL,145.4.224.0/20,www.pggm.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-03T00:00:00Z,2023-06-21T23:59:59Z,"CN=www.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",www.pggm.nl,PGGM N.V.,pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3dd5ffba069ed4e6c9a13f07e0f901c5,c438343c29f5529a6e1888a4e85db5a1052eaec3004ef0266de6fcf137a7e0bd,ctls,www.pggm.nl,80,http://ws.pggm.nl:80,http,text/html,GET,145.4.229.29,/,-208447054,https://www.pggm.nl/,145.4.229.29,HSTS,2541,False,https://connexys-3045.my.salesforce-sites.com,cloudflare,,,,
