new,host,a,cname,soa,status_code,cdn,cdn-name,ns,aaaa,txt,has_internal_ips,internal_ips,mx,caa
[x],customer.mc.starlinkisp.net,143.131.0.1,,"dns31.cloudns.net, isp\.abuse.spacex.com",NOERROR,,,,2605:59c0::,,,,,
[x],data.starlinkisp.net,"44.227.8.238, 52.26.232.162",search-ground-elk-x657xg3jf3hdjbsvpp53jfmkcq.us-west-2.es.amazonaws.com,"ns-679.awsdns-20.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],device.starlink.com,,,"ns1-06.azuregov-dns.us, azuredns-hostmaster.microsoft.com",NOERROR,,,"ns1-06.azuregov-dns.us, ns2-06.azuregov-dns.us, ns3-06.azuregov-dns.us, ns4-06.azuregov-dns.us",,,,,,
[x],dishy.starlink.com,192.168.100.1,,"ns51.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,True,192.168.100.1,,
[x],docker.starlinkisp.net,54.190.154.8,,"dns31.cloudns.net, isp\.abuse.spacex.com",NOERROR,,,,,,,,,
[x],e.starlink.com,"173.201.193.148, 45.40.140.6, 45.40.130.41, 173.201.193.133, 45.40.130.40, 173.201.193.20, 173.201.193.5, 68.178.252.20",email.secureserver.net,"cns1.secureserver.net, dns.jomax.net",NOERROR,,,,,,,,,
[x],em6374.starlink.com,,u12253253.wl004.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 ip4:167.89.59.43 ip4:167.89.70.193 ip4:167.89.80.233 ip4:168.245.7.87 -all,,,mx.sendgrid.net,
[x],email.starlink.com,"68.178.252.20, 45.40.140.6, 45.40.130.41, 173.201.193.20, 45.40.130.40, 173.201.193.5, 173.201.193.148, 173.201.193.133",email.secureserver.net,"cns1.secureserver.net, dns.jomax.net",NOERROR,,,,,,,,,
[x],france.starlink.com,"76.76.21.9, 76.76.21.142",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,"letsencrypt.org, globalsign.com, sectigo.com"
[x],geoip.starlinkisp.net,"99.86.4.114, 99.86.4.72, 99.86.4.70, 99.86.4.77",d3ptjmqwyu8vok.cloudfront.net,"ns-351.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-2037.awsdns-62.co.uk, ns-516.awsdns-00.net, ns-351.awsdns-43.com, ns-1215.awsdns-23.org",,,,,,
[x],germany.starlink.com,"76.76.21.93, 76.76.21.123",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,"globalsign.com, sectigo.com, letsencrypt.org"
[x],git.starlinkisp.net,54.149.165.19,,"dns31.cloudns.net, isp\.abuse.spacex.com",NOERROR,,,,2600:1f14:480:fa00:18c8:520a:bb92:3002,,,,,
[x],grafana-prom.starlinkisp.net,"35.82.126.83, 52.25.196.1",alb-1-145642559.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"2600:1f14:480:fa00:8608:a736:eb63:a300, 2600:1f14:480:fa16:db:2235:8b3d:560a",,,,,
[x],grafana-test.starlinkisp.net,"52.25.196.1, 35.82.126.83",alb-1-145642559.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"2600:1f14:480:fa16:db:2235:8b3d:560a, 2600:1f14:480:fa00:8608:a736:eb63:a300",,,,,
[x],hcaptcha.starlink.com,34.111.246.71,,"ns51.domaincontrol.com, dns.jomax.net",NOERROR,True,google,,,,,,,
[x],idn.starlinkisp.net,,alb-1-145642559.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1475.awsdns-56.org, ns-1769.awsdns-29.co.uk, ns-332.awsdns-41.com, ns-560.awsdns-06.net","2600:1f14:480:fa00:8608:a736:eb63:a300, 2600:1f14:480:fa16:db:2235:8b3d:560a",,,,,
[x],imgs.hcaptcha.starlink.com,34.111.246.71,,"ns51.domaincontrol.com, dns.jomax.net",NOERROR,True,google,,,,,,,
[x],kafka01.starlinkisp.net,44.242.122.112,,"dns31.cloudns.net, isp\.abuse.spacex.com",NOERROR,,,,,,,,,
[x],librenms.starlinkisp.net,"52.25.196.1, 35.82.126.83",alb-1-145642559.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"2600:1f14:480:fa00:8608:a736:eb63:a300, 2600:1f14:480:fa16:db:2235:8b3d:560a",,,,,
[x],lyncdiscover.starlink.com,52.112.192.142,webdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,,2603:1027:0:48::21,,,,,
[x],mail.starlink.com,"173.201.193.97, 68.178.252.116, 68.178.252.117, 68.178.252.246, 68.178.252.247, 68.178.252.153, 68.178.252.154, 173.201.193.240","pop.secureserver.net, pop.vox.secureserver.net, pop.us-phx.vox.secureserver.net","ans01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,
