input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,tls_subject_org_,csp_domains_,final_url
andronicos.pbis-cf.instacart.com,,403,16,cloudflare,443,https://andronicos.pbis-cf.instacart.com:443,https,cloudflare,text/plain,GET,104.18.22.168,/,1253481126,2606:4700::6812:16a8,HTTP/3,1,False,True,andronicos.pbis-cf.instacart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-05T00:00:00Z,2024-03-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",57daa8169d85738c6c844cf2beb30c0f,3e37b31a3da9a4c8d1067fe29c8ae5330e114c680ce283fde220712dca35b1be,True,ctls,andronicos.pbis-cf.instacart.com,"Cloudflare, Inc.",,
api-catalog.instacart.com,Instacart - Page not found,404,38474,cloudflare,443,https://api-catalog.instacart.com:443,https,cloudflare,text/html,GET,104.18.19.84,/,-1534040993,2606:4700::6812:1354,HTTP/3,193,False,True,api-catalog.instacart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-16T00:00:00Z,2023-07-16T23:59:59Z,"CN=api-catalog.instacart.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",api-catalog.instacart.com,*.api-catalog.instacart.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",d4d6ffb657d1ce53b3816bdd8ab7a8d3,a4eea2b6b0e9733db7b188caa19efce8f173a1b2161c59c3cc28204025dcac5c,True,ctls,api-catalog.instacart.com,"Cloudflare, Inc.",,
assets.instacart.com,,200,,,443,https://assets.instacart.com:443,https,,,GET,52.31.191.243,/,-1840324437,34.240.117.131,,1,False,,assets.instacart.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-14T06:34:05Z,2023-07-13T06:34:04Z,CN=assets.instacart.com,assets.instacart.com,s.assets.instacart.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7993552cc0fafff06812ac3e39425feb,b48a86ba98606e125f8fa665688be212654c5c4a58567a40d65637b0a42a93a6,,ctls,assets.instacart.com,,,
assets.prd.weg.cf.enterprise.instacart.com,,403,111,cloudflare,443,https://assets.prd.weg.cf.enterprise.instacart.com:443,https,cloudflare,application/xml,GET,104.18.31.245,/,1343071695,2606:4700::6812:1ef5,HTTP/3,1,False,True,assets.prd.weg.cf.enterprise.instacart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-11T00:00:00Z,2024-03-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f68a5adec6de84b596adae58a6883745,49ef0b64fb95387735479ef337e38746162daded633fd7fee7f60340b05f4fa1,True,ctls,assets.prd.weg.cf.enterprise.instacart.com,"Cloudflare, Inc.",,
assets.uat.fdl.cf.enterprise.instacart.com,,403,111,cloudflare,443,https://assets.uat.fdl.cf.enterprise.instacart.com:443,https,cloudflare,application/xml,GET,104.18.31.100,/,1343071695,2606:4700::6812:1e64,HTTP/3,1,False,True,assets.uat.fdl.cf.enterprise.instacart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-26T00:00:00Z,2024-01-25T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,uat.fdl.cf.enterprise.instacart.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",c42ff4fce1628d0491f4fac91974eee6,4fd94b30d9838872436b44737d0bbe6e0a83b22f4948144c27f61ea0bbcff233,True,ctls,assets.uat.fdl.cf.enterprise.instacart.com,"Cloudflare, Inc.",,
assets.uat.ftm.cf.enterprise.instacart.com,,403,111,cloudflare,443,https://assets.uat.ftm.cf.enterprise.instacart.com:443,https,cloudflare,application/xml,GET,104.18.6.38,/,1343071695,2606:4700::6812:626,HTTP/3,1,False,True,assets.uat.ftm.cf.enterprise.instacart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-26T00:00:00Z,2024-01-25T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.uat.ftm.cf.enterprise.instacart.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5cba04e56ba890f675fea18b1145bbe8,4e31c9de8ff24a1297f1452dc83ae28408b9411faec44fa3558695660d7448be,True,ctls,assets.uat.ftm.cf.enterprise.instacart.com,"Cloudflare, Inc.",,
assets.uat.har.cf.enterprise.instacart.com,,403,111,cloudflare,443,https://assets.uat.har.cf.enterprise.instacart.com:443,https,cloudflare,application/xml,GET,104.18.30.25,/,1343071695,2606:4700::6812:1f19,HTTP/3,1,False,True,assets.uat.har.cf.enterprise.instacart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-12T00:00:00Z,2024-02-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,uat.har.cf.enterprise.instacart.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e3d02d1f7eb458352b77b0a10c1776e7,b625fc0628a818af0986f4a1af59f88260652c420f8af5974169c0d914225f35,True,ctls,assets.uat.har.cf.enterprise.instacart.com,"Cloudflare, Inc.",,
assets.uat.pch.cf.enterprise.instacart.com,,403,111,cloudflare,443,https://assets.uat.pch.cf.enterprise.instacart.com:443,https,cloudflare,application/xml,GET,104.18.31.39,/,1343071695,2606:4700::6812:1e27,HTTP/3,1,False,True,assets.uat.pch.cf.enterprise.instacart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-25T00:00:00Z,2024-01-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",98aeb431bff9b8a6664dcbee6e9a56fa,963fe018bbc40e5652bcf449aea5d8e9b37f3f5bd032ad3ba434f9d7c3fbe78a,True,ctls,assets.uat.pch.cf.enterprise.instacart.com,"Cloudflare, Inc.",,
assets.uat.plm.cf.enterprise.instacart.com,,403,111,cloudflare,443,https://assets.uat.plm.cf.enterprise.instacart.com:443,https,cloudflare,application/xml,GET,104.18.2.151,/,1343071695,2606:4700::6812:397,HTTP/3,1,False,True,assets.uat.plm.cf.enterprise.instacart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-12T00:00:00Z,2024-02-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.uat.plm.cf.enterprise.instacart.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",0b4db48893654fb90e384a285cab7934,b3e9a3b5f9070b944a13f82b21cb6c613b33f1ca29a7cd88d82f7bcda4061ebf,True,ctls,assets.uat.plm.cf.enterprise.instacart.com,"Cloudflare, Inc.",,
assets.uat.ray.cf.enterprise.instacart.com,,403,111,cloudflare,443,https://assets.uat.ray.cf.enterprise.instacart.com:443,https,cloudflare,application/xml,GET,104.18.6.100,/,1343071695,2606:4700::6812:664,HTTP/3,1,False,True,assets.uat.ray.cf.enterprise.instacart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-03-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",eff04ae413dd038b13b2ba844dea4a39,14ba668333bb990ed0d1392b6de604ecd8f87235964d4fb002a175a926cbcad5,True,ctls,assets.uat.ray.cf.enterprise.instacart.com,"Cloudflare, Inc.",,
assets.uat.tfm.cf.enterprise.instacart.com,,403,111,cloudflare,443,https://assets.uat.tfm.cf.enterprise.instacart.com:443,https,cloudflare,application/xml,GET,104.18.26.20,/,1343071695,2606:4700::6812:1b14,HTTP/3,1,False,True,assets.uat.tfm.cf.enterprise.instacart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-26T00:00:00Z,2024-01-25T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",115b93b55ba584668bb06c453e5b96dd,b3e66a5ab3668d893c9963b80dc88d09766e863cdcd44de0672fbe9d3beb895c,True,ctls,assets.uat.tfm.cf.enterprise.instacart.com,"Cloudflare, Inc.",,
atlantic-superstore.pbis-cf.instacart.com,,403,16,cloudflare,443,https://atlantic-superstore.pbis-cf.instacart.com:443,https,cloudflare,text/plain,GET,104.18.20.160,/,1253481126,2606:4700::6812:14a0,HTTP/3,1,False,True,atlantic-superstore.pbis-cf.instacart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-02-01T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a73606ebe7e4ed0a503843500233736c,0b2e7ee36fb1f08cb46d2323196692ddf6dc60fe4b5bb868ebc63ef964fa88fc,True,ctls,atlantic-superstore.pbis-cf.instacart.com,"Cloudflare, Inc.",,
atlantis.dev.instacart.tools,Instacart - Sign In,200,22042,,443,https://atlantis.dev.instacart.tools:443,https,nginx,text/html,GET,54.235.246.84,/,-1297760895,3.91.130.237,Nginx,501,False,,instacart.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,True,ctls,instacart.okta.com,"Okta, Inc.",pendo-static-5391521872216064.storage.googleapis.com,https://instacart.okta.com/oauth2/v1/authorize?client_id=0oavm10bjCMZobjFA356&redirect_uri=https%3A%2F%2Fatlantis.dev.instacart.tools%2Foauth2%2Fidpresponse&response_type=code&scope=openid&state=yUdwc%2BQiDbiUzUurbIy6R%2BiACGy1dKz23YJHxOALSv8FKVWu5FvkNK5DNo2ousKCGuJ%2FlxubboqDXROCFRn1vC0O5G1Z%2BPyvcQWN2DgemVpfXFaoSMCBo%2BaJnBDGw85%2BQYBc1mPFAQTYkMV5%2BOGCKiACuxiQLPwS%2BPUdedAJWMAfD8epNhkHc5dpiKs9gbQGhSjdWAs%3D
atlas.dev.instacart.tools,Atlas,200,1523,,443,https://atlas.dev.instacart.tools:443,https,nginx,text/html,GET,34.194.137.44,/,173805444,54.159.230.220,Ruby on Rails,42,False,,atlas.dev.instacart.tools,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-03-23T23:59:59Z,CN=dev.instacart.tools,dev.instacart.tools,*.dev.instacart.tools,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,656deaf0b5865cc85cb4118a4a876fbc,ffda643a9cb836c178f2bcf54f77c6fae37b0c0dfeefd084bc6980cdb81907de,True,ctls,atlas.dev.instacart.tools,,,
atlas.instacart.tools,Atlas,200,1537,,80,http://atlas.instacart.tools:80,http,nginx,text/html,GET,3.229.169.233,/,173805444,52.6.227.39,Ruby on Rails,42,False,,atlas.instacart.tools,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-21T00:00:00Z,2024-02-19T23:59:59Z,CN=instacart.tools,instacart.tools,*.instacart.tools,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1ddd235770f125eb27865eb34a06ee07,445948165dee6daf3aaf7de9f6abfffc2a070b66bda15992ff44e938b9dd1dd2,True,ctls,atlas.instacart.tools,,,https://atlas.instacart.tools/
atlas.kamino-test2.instacart.tools,503 Service Temporarily Unavailable,503,162,,443,https://atlas.kamino-test2.instacart.tools:443,https,awselb/2.0,text/html,GET,34.199.96.203,/,1862162275,34.199.96.203,,7,False,,atlas.kamino-test2.instacart.tools,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-18T00:00:00Z,2024-04-15T23:59:59Z,CN=kamino-test2.instacart.tools,kamino-test2.instacart.tools,*.kamino-test2.instacart.tools,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,60edcf6475d176d5dece21ae4f15b817,712306cdbd445dac67b990365e29356ad03b551ecc1580b37f1641be6c92a959,True,ctls,atlas.kamino-test2.instacart.tools,,,
atlas.sandbox.instacart.tools,503 Service Temporarily Unavailable,503,162,,443,https://atlas.sandbox.instacart.tools:443,https,awselb/2.0,text/html,GET,18.213.188.108,/,1862162275,18.213.188.108,,7,False,,atlas.sandbox.instacart.tools,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-07-28T23:59:59Z,CN=sandbox.instacart.tools,sandbox.instacart.tools,*.sandbox.instacart.tools,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,76de0d99b04742c83db32895f1cc1bbf,7cde169e893ec9a133103c0ef82b356e40c5ec4bc454159ecc5c34f26c9a3757,True,ctls,atlas.sandbox.instacart.tools,,,
balduccis.instacart.com,,409,16,cloudflare,80,http://balduccis.instacart.com:80,http,cloudflare,text/plain,GET,104.18.28.245,/,1000520165,2606:4700::6812:1df5,Cloudflare,1,False,True,,,,,,,,,,,,,,,,,,,,,
bashas.pbis-cf.instacart.com,,403,16,cloudflare,443,https://bashas.pbis-cf.instacart.com:443,https,cloudflare,text/plain,GET,104.18.4.144,/,1253481126,2606:4700::6812:590,HTTP/3,1,False,True,bashas.pbis-cf.instacart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-05T00:00:00Z,2024-03-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",adc65b556f7a9a9bc4f87d918534ed85,1c31857a70aef1e21686264a0cffde813292ccb2b5f31d610d3ac71f84306100,True,ctls,bashas.pbis-cf.instacart.com,"Cloudflare, Inc.",,
beta-connect.instacart.com,,404,9,,443,https://beta-connect.instacart.com:443,https,awselb/2.0,text/plain,GET,34.198.40.64,/,-738705486,44.207.164.147,,1,False,,beta-connect.instacart.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-10-31T23:59:59Z,CN=instacart.com,instacart.com,*.instacart.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,43f20919120be96efe14abd528fcdcae,923abdbba4f0d3cb80548f13dc1bd0649bf409dd24b71c732b8712efc316d035,True,ctls,beta-connect.instacart.com,,,
beta.instacart.com,Instacart | Grocery Delivery or Pickup from Local Stores Near You,200,761813,cloudflare,443,https://beta.instacart.com:443,https,cloudflare,text/html,GET,104.18.2.222,/,1126835021,2606:4700::6812:3de,HTTP/3,152,False,True,beta.instacart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-27T00:00:00Z,2024-01-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,beta.instacart.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",65b2fce15cf1a844c7d24627775739f0,047729c7be5f0e14aeae8a11f9d2baab3bfed6c4a200fea65c6e4be718735702,True,ctls,beta.instacart.com,"Cloudflare, Inc.",,
bi-rite-market.pbis-cf.instacart.com,,403,16,cloudflare,443,https://bi-rite-market.pbis-cf.instacart.com:443,https,cloudflare,text/plain,GET,104.18.27.16,/,1253481126,2606:4700::6812:1a10,HTTP/3,1,False,True,bi-rite-market.pbis-cf.instacart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T22:12:31Z,2023-07-16T22:12:30Z,CN=bi-rite-market.pbis-cf.instacart.com,bi-rite-market.pbis-cf.instacart.com,*.bi-rite-market.pbis-cf.instacart.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,07e72b140c84d6bebd0b5ec9ac335cb4,e9759c635e5ff38c17edd2895b764e57949eb8d7a949cf9da3ffc12d718bec20,True,ctls,bi-rite-market.pbis-cf.instacart.com,,,
binnys.instacart.com,Binny's Express Powered by Instacart,200,44732,cloudflare,443,https://binnys.instacart.com:443,https,cloudflare,text/html,GET,104.18.21.234,/,1126835021,2606:4700::6812:14ea,HTTP/3,152,False,True,binnys.instacart.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2024-03-13T23:59:59Z,"CN=binnys.instacart.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",binnys.instacart.com,binnys.instacart.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",156fbe606ee2e8fe93ac3ea68586468a,4cb702c94b75ce5c2c105a860ddbb4f30f28ed594057288bc90ad7b7dcbf5f49,,ctls,binnys.instacart.com,"Cloudflare, Inc.",,
blazer-backend.instacart.tools,,200,460,,443,https://blazer-backend.instacart.tools:443,https,nginx,text/html,GET,100.24.110.119,/,-1534040993,34.198.162.2,Nginx,8,False,,blazer-backend.instacart.tools,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-21T00:00:00Z,2024-02-19T23:59:59Z,CN=instacart.tools,instacart.tools,*.instacart.tools,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1ddd235770f125eb27865eb34a06ee07,445948165dee6daf3aaf7de9f6abfffc2a070b66bda15992ff44e938b9dd1dd2,True,ctls,blazer-backend.instacart.tools,,,https://blazer-backend.instacart.tools/login
