new,host,a,soa,txt,status_code,cname,mx,cdn,cdn-name,aaaa,ns,caa,has_internal_ips,internal_ips
[x],cms.zgold-dev.razer.com,"13.228.198.233, 18.139.157.150","ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],cms.zgold-qa.razer.com,"34.236.45.123, 52.23.128.83, 3.81.242.172, 3.211.63.186","ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],cmssvc.gold.razer.com,"3.212.97.204, 3.216.165.241, 35.175.14.230, 107.22.89.128","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,zgp-alb-wan-api-2094325119.us-east-1.elb.amazonaws.com,,,,,,,,
[x],cmssvc.zgold-dev.razer.com,"18.139.157.150, 13.228.198.233","ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],cn.razer.com,"104.16.190.67, 104.16.191.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,cn.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700::6810:be43, 2606:4700::6810:bf43",,,,
[x],codigosteam-test.gold.razer.com,"104.16.190.67, 104.16.191.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,codigosteam.gold.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700::6810:bf43, 2606:4700::6810:be43",,,,
[x],codigosteam.gold.razer.com,"13.249.9.19, 13.249.9.111, 13.249.9.103, 13.249.9.12","ns-22.awsdns-02.com, awsdns-hostmaster.amazon.com",,NOERROR,d3ukwzkwsmgchb.cloudfront.net,,True,cloudfront,"2600:9000:2552:a400:1b:a2da:4bc0:93a1, 2600:9000:2552:8000:1b:a2da:4bc0:93a1, 2600:9000:2552:d200:1b:a2da:4bc0:93a1, 2600:9000:2552:8e00:1b:a2da:4bc0:93a1, 2600:9000:2552:3c00:1b:a2da:4bc0:93a1, 2600:9000:2552:a200:1b:a2da:4bc0:93a1, 2600:9000:2552:ea00:1b:a2da:4bc0:93a1, 2600:9000:2552:f200:1b:a2da:4bc0:93a1","ns-1237.awsdns-26.org, ns-856.awsdns-43.net, ns-1560.awsdns-03.co.uk, ns-22.awsdns-02.com",,,
[x],cortex.razer.com,"23.213.161.201, 23.213.161.202","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"cortex.razer.com.edgekey.net, e29596.dscb.akamaiedge.net",,,,"2a02:26f0:3500:14::1724:a248, 2a02:26f0:3500:14::1724:a247",,,,
[x],customs.razer.com,18.139.67.206,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,,
[x],daus-test.merchant.razer.com,3.0.6.98,"ns-1834.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,d-t2m1946pc4.execute-api.ap-southeast-1.amazonaws.com,,,,,,,,
