input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,tls_mismatched,tls_subject_org_,csp_domains_,final_url,tls_self_signed
config-config-vip-svnusers.tianma-prd-in.vivo.com,403 Forbidden,403,548,,443,https://config-config-vip-svnusers.tianma-prd-in.vivo.com:443,https,nginx,text/html,GET,129.227.254.190,/,-797321697,129.227.254.190,Nginx,14,False,,config-config-vip-svnusers.tianma-prd-in.vivo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-01T00:00:00Z,2023-12-02T23:59:59Z,"CN=*.tianma-prd-in.vivo.com, O=vivo Mobile Communication Co.\, Ltd., L=Dongguan, ST=Guangdong Province, C=CN",*.tianma-prd-in.vivo.com,*.tianma-prd-in.vivo.com,"CN=Secure Site CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site CA G2,DigiCert Inc,e9e8432b3ca8671e3edaf95c1361f3c5,9771e622205c39200c8fec707d64b52d11979b54e1e5b711492f9845ecabbddd,True,ctls,config-config-vip-svnusers.tianma-prd-in.vivo.com,,"vivo Mobile Communication Co., Ltd.",,,
config-config-vip-svnusers.websitebuilder.easyname.com,"easyname - Webhosting, Website Builder und Domains",200,147478,,443,https://config-config-vip-svnusers.websitebuilder.easyname.com:443,https,nginx,text/html,GET,185.51.8.148,/,1494302000,185.51.8.148,React,2111,False,,www.easyname.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-19T07:19:25Z,2023-07-18T07:19:24Z,CN=easyname.de,easyname.de,www.easyname.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,dfe10670788eb266f63d6656e7aeb1ed,ca968455da93bf4044c3c6e89ce6a62cd8ae47cc3ed53fc36818d65d3cc31010,,ctls,www.easyname.de,,,,https://www.easyname.de/de,
config-configconfig.odoo.com,Typo | Odoo,200,42585,,443,https://config-configconfig.odoo.com:443,https,nginx,text/html,GET,141.94.74.34,/,1767814336,141.94.74.34,Python,596,False,,www.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T07:30:56Z,2023-07-14T07:30:55Z,CN=*.odoo.com,*.odoo.com,odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c67064c2551df279623555c2339e1e44,bf8db9cb4860282a546534b8cebd2e8c228c647ee61af6c0d72a3af11f4f5384,True,ctls,www.odoo.com,,,,https://www.odoo.com/typo?domain=config-configconfig.odoo.com&autodbname=config-configconfig&hosting=eu177a.odoo.com,
config-configmijn-repository-postgresmx.runbot108.odoo.com,404 Not Found,404,555,,443,https://config-configmijn-repository-postgresmx.runbot108.odoo.com:443,https,nginx,text/html,GET,141.95.203.16,/,-1523547558,141.95.203.16,Nginx,14,False,,config-configmijn-repository-postgresmx.runbot108.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-17T11:01:30Z,2023-06-15T11:01:29Z,CN=*.runbot108.odoo.com,*.runbot108.odoo.com,runbot108.odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6d330be997fb8fc2d98e98c9b14a3499,9da38db8913990f4c4fa6d6a0ada37847823ca9e4c30f62a0d427351da16f924,True,ctls,config-configmijn-repository-postgresmx.runbot108.odoo.com,,,,,
config-configmijn-repository-postgresmx.sandbox.directly.com,Sign up | Directly,200,10530,,443,https://config-configmijn-repository-postgresmx.sandbox.directly.com:443,https,Apache,text/html,GET,54.208.171.77,/,1899044793,34.235.174.84,Pure CSS,283,False,,config-configmijn-repository-postgresmx.sandbox.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-08-01T23:59:59Z,CN=*.sandbox.directly.com,*.sandbox.directly.com,sandbox.directly.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8c1320cadbb50eba871d441b68b57227,60a9f529e1797339f521c9bca32b89870a708fa4de9d4518131ece5faaf4e597,True,ctls,config-configmijn-repository-postgresmx.sandbox.directly.com,,,*.licdn.com,https://config-configmijn-repository-postgresmx.sandbox.directly.com/login/auth,
config-configmijn-repository-postgresmx.sg-dev.seek.com,,418,31,cloudflare,443,https://config-configmijn-repository-postgresmx.sg-dev.seek.com:443,https,cloudflare,text/plain,GET,104.18.0.110,/,-2113662151,2606:4700::6812:6e,HSTS,2,False,True,config-configmijn-repository-postgresmx.sg-dev.seek.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:11:51Z,2023-07-11T00:54:39Z,CN=*.sg-dev.seek.com,*.sg-dev.seek.com,*.sg-dev.seek.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,62957cde799fbb44d2a6cb2f7ed2bc95,8bc3458824dc5e1c9f6b5aa5b6dcdf2affba1d6e51a06d8688a63893cfa672df,True,ctls,config-configmijn-repository-postgresmx.sg-dev.seek.com,,,,,
config-configmijn-repository-postgresmx.tianma-prd-in.vivo.com,403 Forbidden,403,146,,443,https://config-configmijn-repository-postgresmx.tianma-prd-in.vivo.com:443,https,nginx,text/html,GET,129.227.254.190,/,1064219860,129.227.254.190,Nginx,8,False,,config-configmijn-repository-postgresmx.tianma-prd-in.vivo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-01T00:00:00Z,2023-12-02T23:59:59Z,"CN=*.tianma-prd-in.vivo.com, O=vivo Mobile Communication Co.\, Ltd., L=Dongguan, ST=Guangdong Province, C=CN",*.tianma-prd-in.vivo.com,*.tianma-prd-in.vivo.com,"CN=Secure Site CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site CA G2,DigiCert Inc,e9e8432b3ca8671e3edaf95c1361f3c5,9771e622205c39200c8fec707d64b52d11979b54e1e5b711492f9845ecabbddd,True,ctls,config-configmijn-repository-postgresmx.tianma-prd-in.vivo.com,,"vivo Mobile Communication Co., Ltd.",,,
config-configvip-db-postgresgit.sg-dev.seek.com,,418,31,cloudflare,443,https://config-configvip-db-postgresgit.sg-dev.seek.com:443,https,cloudflare,text/plain,GET,104.18.0.110,/,-2113662151,2606:4700::6812:16e,HSTS,2,False,True,config-configvip-db-postgresgit.sg-dev.seek.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:11:51Z,2023-07-11T00:54:39Z,CN=*.sg-dev.seek.com,*.sg-dev.seek.com,*.sg-dev.seek.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,62957cde799fbb44d2a6cb2f7ed2bc95,8bc3458824dc5e1c9f6b5aa5b6dcdf2affba1d6e51a06d8688a63893cfa672df,True,ctls,config-configvip-db-postgresgit.sg-dev.seek.com,,,,,
config-configvip-db-postgresgit.stage.twilio.com,ERROR: The request could not be satisfied,403,919,cloudfront,443,https://config-configvip-db-postgresgit.stage.twilio.com:443,https,CloudFront,text/html,GET,13.32.99.43,/,823951548,13.32.99.111,Amazon Web Services,20,False,True,config-configvip-db-postgresgit.stage.twilio.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-07-11T23:59:59Z,CN=*.stage.twilio.com,*.stage.twilio.com,stage.twilio.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7f19924c5b19296db5ca31ca73e10275,fcdf3196449bbbfd932304ebb150172e33211ace148eb1beb1e172510376e1da,True,ctls,config-configvip-db-postgresgit.stage.twilio.com,,,,,
config-configvip-db-postgresgit.tianma-prd-in.vivo.com,403 Forbidden,403,146,,443,https://config-configvip-db-postgresgit.tianma-prd-in.vivo.com:443,https,nginx,text/html,GET,129.227.254.190,/,-1773447702,129.227.254.190,Nginx,8,False,,config-configvip-db-postgresgit.tianma-prd-in.vivo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-01T00:00:00Z,2023-12-02T23:59:59Z,"CN=*.tianma-prd-in.vivo.com, O=vivo Mobile Communication Co.\, Ltd., L=Dongguan, ST=Guangdong Province, C=CN",*.tianma-prd-in.vivo.com,*.tianma-prd-in.vivo.com,"CN=Secure Site CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site CA G2,DigiCert Inc,e9e8432b3ca8671e3edaf95c1361f3c5,9771e622205c39200c8fec707d64b52d11979b54e1e5b711492f9845ecabbddd,True,ctls,config-configvip-db-postgresgit.tianma-prd-in.vivo.com,,"vivo Mobile Communication Co., Ltd.",,,
