input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn
containerantiviruspre.hp.payportal.net,404 Not Found,404,146,containerantiviruspre.hp.payportal.net,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-05-01T04:01:41Z,2024-04-30T04:01:41Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,75c847b472a0a5379b3adffbde78ed61,39021763b9cdc7be49b7eb218a24a88492afa070b61aaf9d21bbbffe7f3654f4,ctls,containerantiviruspre.hp.payportal.net,google,443,https://containerantiviruspre.hp.payportal.net:443,https,text/html,GET,35.222.187.28,/,1494302000,35.222.187.28,HSTS,8,False,True
controllerlink-tunnel-mx.hp.payportal.net,404 Not Found,404,548,controllerlink-tunnel-mx.hp.payportal.net,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-05-01T04:01:41Z,2024-04-30T04:01:41Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,75c847b472a0a5379b3adffbde78ed61,39021763b9cdc7be49b7eb218a24a88492afa070b61aaf9d21bbbffe7f3654f4,ctls,controllerlink-tunnel-mx.hp.payportal.net,google,443,https://controllerlink-tunnel-mx.hp.payportal.net:443,https,text/html,GET,35.222.187.28,/,566218143,35.222.187.28,HSTS,14,False,True
converseai.hp.payportal.net,404 Not Found,404,146,,,,,,,,,,,,,,,,,,,,,google,80,http://converseai.hp.payportal.net:80,http,text/html,GET,35.222.187.28,/,1494302000,35.222.187.28,,8,False,True
corp-dns.hp.payportal.net,404 Not Found,404,146,corp-dns.hp.payportal.net,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-05-01T04:01:41Z,2024-04-30T04:01:41Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,75c847b472a0a5379b3adffbde78ed61,39021763b9cdc7be49b7eb218a24a88492afa070b61aaf9d21bbbffe7f3654f4,ctls,corp-dns.hp.payportal.net,google,443,https://corp-dns.hp.payportal.net:443,https,text/html,GET,35.222.187.28,/,1494302000,35.222.187.28,HSTS,8,False,True
corphelpdesk.hp.payportal.net,404 Not Found,404,146,corphelpdesk.hp.payportal.net,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-05-01T04:01:41Z,2024-04-30T04:01:41Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,75c847b472a0a5379b3adffbde78ed61,39021763b9cdc7be49b7eb218a24a88492afa070b61aaf9d21bbbffe7f3654f4,ctls,corphelpdesk.hp.payportal.net,google,443,https://corphelpdesk.hp.payportal.net:443,https,text/html,GET,35.222.187.28,/,1494302000,35.222.187.28,HSTS,8,False,True
cpmail-vpn.hp.payportal.net,404 Not Found,404,146,cpmail-vpn.hp.payportal.net,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-05-01T04:01:41Z,2024-04-30T04:01:41Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,75c847b472a0a5379b3adffbde78ed61,39021763b9cdc7be49b7eb218a24a88492afa070b61aaf9d21bbbffe7f3654f4,ctls,cpmail-vpn.hp.payportal.net,google,443,https://cpmail-vpn.hp.payportal.net:443,https,text/html,GET,35.222.187.28,/,1494302000,35.222.187.28,HSTS,8,False,True
cppm.hp.payportal.net,404 Not Found,404,146,,,,,,,,,,,,,,,,,,,,,google,80,http://cppm.hp.payportal.net:80,http,text/html,GET,35.222.187.28,/,1494302000,35.222.187.28,,8,False,True
cri.hp.payportal.net,404 Not Found,404,548,cri.hp.payportal.net,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-05-01T04:01:41Z,2024-04-30T04:01:41Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,75c847b472a0a5379b3adffbde78ed61,39021763b9cdc7be49b7eb218a24a88492afa070b61aaf9d21bbbffe7f3654f4,ctls,cri.hp.payportal.net,google,443,https://cri.hp.payportal.net:443,https,text/html,GET,35.222.187.28,/,566218143,35.222.187.28,HSTS,14,False,True
crmpublic-panel.hp.payportal.net,404 Not Found,404,548,,,,,,,,,,,,,,,,,,,,,google,80,http://crmpublic-panel.hp.payportal.net:80,http,text/html,GET,35.222.187.28,/,566218143,35.222.187.28,,14,False,True
cry6.hp.payportal.net,404 Not Found,404,146,cry6.hp.payportal.net,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-05-01T04:01:41Z,2024-04-30T04:01:41Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,75c847b472a0a5379b3adffbde78ed61,39021763b9cdc7be49b7eb218a24a88492afa070b61aaf9d21bbbffe7f3654f4,ctls,cry6.hp.payportal.net,google,443,https://cry6.hp.payportal.net:443,https,text/html,GET,35.222.187.28,/,1494302000,35.222.187.28,HSTS,8,False,True
cs.hp.payportal.net,404 Not Found,404,146,,,,,,,,,,,,,,,,,,,,,google,80,http://cs.hp.payportal.net:80,http,text/html,GET,35.222.187.28,/,1494302000,35.222.187.28,,8,False,True
cuckoo.hp.payportal.net,404 Not Found,404,548,,,,,,,,,,,,,,,,,,,,,google,80,http://cuckoo.hp.payportal.net:80,http,text/html,GET,35.222.187.28,/,566218143,35.222.187.28,,14,False,True
customers-arli.hp.payportal.net,404 Not Found,404,548,,,,,,,,,,,,,,,,,,,,,google,80,http://customers-arli.hp.payportal.net:80,http,text/html,GET,35.222.187.28,/,566218143,35.222.187.28,,14,False,True
