new,host,a,soa,status_code,cdn,cdn-name,ns,txt
[x],accenture.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],acceptatie-accept-stagingrow.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],acceptatie-masterrings.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],acceptatieci-helpdesk.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],acceptatieoceania.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],access-admin-wikiintegrationarchivecorp.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],access-iapps.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],access-prodpreferencesdev-miembros.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],accessas01.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],accessconnecthelp-helporigin.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],accessdownloadspostgresmx.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],accessfms7.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],accessmasterrings.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],accessv1-demomobile.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],account-mijn-new-corp.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],account-preferencesconnect.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],account-v3-status-acc.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],accountd37cunkgihswbz.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],accountjenkinsv2-meta-corporate.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],accountprivatebackupssignup.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],accounts-fc9.cpanel.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],accountsbeta.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],accountspacific.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],accountvpn-backup-chefapi-account-helpdeskcorporate.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],acculabo.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],accutica.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],ack.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],acpprdweb1-nic2.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],admin-private.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],admin-stagingsslvpncmsdb1-origin.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],admin-system-blog-backupsproxy-vpn.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],admin.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],adminalpha-uploadteamauth-accessrelay-config-redirect.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],adminbucket-slave-us.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],adminipbetatemp-exchangedns.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],adminlog-examplestunnel-mx.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],adminmach131-87-133-27.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],adminupload-originmeet-git.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],admissions.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],adrvdsstore.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],affine.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],afrc-coin-sds.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],afw-6-8-7.hp.payportal.net,35.222.187.28,,NOERROR,True,google,,
[x],aintlbrazil.hp.payportal.net,,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],airbaltic.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],airflow-adr.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],alertmanager.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],algar.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],alpha-accountassetsbetatemp-exchangedns.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],alpha-alpha-public-panel.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],alpha-d1gs38qfpcqawv.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],alpha-fms1.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],alpha-intranetpostgresmx.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],alpha-uatstorage.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],alpha-web-jenkinsb2b-oceania-exchangedns.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],alphaauth-configlog-storage.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],alphadevb2bmy-oceania.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],alphapostgresql-my-oceania.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],alphatemptemp-publicproxyslaveconfig.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],alt-app-extranet.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],altsftp.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],amsacta.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],analytics-service.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],analyticsbc.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],andoniafrum.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],apac-tw-qr.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],apax.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],apgea-131-92-81-47.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],api-ci.hp.payportal.net,,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],api-datasci.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],api-glb-usw2b.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],api-mum.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],api-siri-asae1b.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],api-updatessomy-external-domain.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],api-usersstatusoffice-clients-stats-corp.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],api-v3-statuslabmysqlbackups-www-test.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],api.payportal.net,34.120.95.12,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],apialt.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],apibid46d5.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],apibucket-beta-monitorenglish-storage.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],apiconfigusers-vpn-backup-chefapi-account-helpdeskcorporate.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],apidoc.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],apidukece.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],apimy.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],apiprod-eventsgit.hp.payportal.net,,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],app54.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],app72.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],app87.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],appliedmythology.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],apps-config.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],apps-start-storage.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],appservice-permissions.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],appsp.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],archive-returns.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],archiveedtech.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],archivelms.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],askbrianwood.hp.payportal.net,35.222.187.28,,NOERROR,True,google,,
[x],assetsatlc-lab.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],assetscustomers-preferences-connect-dns.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],assetsv3.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],asu.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],atl-p-iamdb-01a.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],atl-p-rdfsv-01b.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],atl-prd-esxb-01b.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],atl-prd-infvip.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],atl-prd-infwjmp-01b.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],atl-prd-spdb-28.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],atland.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],audit-console.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],austria.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],auth-a-96-119-29-80.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],auth-bucket-partner-qa-apiproduction.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],auth-data-log-b2bsystem.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],auth-debug-upgrade-paymentsmysqlbackups-www-test.hp.payportal.net,,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],auth-partner.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],auth-vpn-system-postgresgit.hp.payportal.net,,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],aws-iarsystems.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],awsb2bsystem.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],b2b-bin.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],b2bdeve.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],b2bvirtualexpert.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],backendapril.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],backup-cache-data-proxy-vpn.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],backup-new.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],backuparchive-temp-storage.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],backupdemo-dal12.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
[x],backupnew-static.hp.payportal.net,35.222.187.28,"ines.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,
