input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url,csp_domains_,tls_expired
dev.buffer.com,Buffer: All-you-need social media toolkit for small businesses,200,204929,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,dev.buffer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-23T23:59:59Z,"CN=buffer.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",buffer.com,"Cloudflare, Inc.",buffer.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",67ccffe4dabc37f6ef78ae2bd04fe7fa,6f7085703a670feb69d6bcf891ae24d78c48ef89641e662bd104487feb155f9f,True,ctls,dev.buffer.com,cloudflare,443,https://dev.buffer.com:443,https,cloudflare,text/html,GET,104.16.140.52,/,-839307715,2606:4700::6810:8d34,webpack,356,False,True,,,,
dev2.buffer.com,Social Media Management Platform | Buffer,530,411518,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,dev2.buffer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-23T23:59:59Z,"CN=buffer.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",buffer.com,"Cloudflare, Inc.",buffer.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",67ccffe4dabc37f6ef78ae2bd04fe7fa,6f7085703a670feb69d6bcf891ae24d78c48ef89641e662bd104487feb155f9f,True,ctls,dev2.buffer.com,cloudflare,443,https://dev2.buffer.com:443,https,cloudflare,text/html,GET,104.16.140.52,/,240692527,2606:4700::6810:8c34,Cloudflare,148,False,True,,,,
dev3.buffer.com,Social Media Management Platform | Buffer,530,411518,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,dev3.buffer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-23T23:59:59Z,"CN=buffer.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",buffer.com,"Cloudflare, Inc.",buffer.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",67ccffe4dabc37f6ef78ae2bd04fe7fa,6f7085703a670feb69d6bcf891ae24d78c48ef89641e662bd104487feb155f9f,True,ctls,dev3.buffer.com,cloudflare,443,https://dev3.buffer.com:443,https,cloudflare,text/html,GET,104.16.141.52,/,1447750845,2606:4700::6810:8d34,Cloudflare,148,False,True,,,,
dev4.buffer.com,Social Media Management Platform | Buffer,530,411519,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,dev4.buffer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-23T23:59:59Z,"CN=buffer.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",buffer.com,"Cloudflare, Inc.",buffer.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",67ccffe4dabc37f6ef78ae2bd04fe7fa,6f7085703a670feb69d6bcf891ae24d78c48ef89641e662bd104487feb155f9f,True,ctls,dev4.buffer.com,cloudflare,443,https://dev4.buffer.com:443,https,cloudflare,text/html,GET,104.16.141.52,/,-1799940620,2606:4700::6810:8c34,Cloudflare,148,False,True,,,,
developers.buffer.com,Overview – Buffer Developers,200,5272,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,developers.buffer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-23T23:59:59Z,"CN=buffer.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",buffer.com,"Cloudflare, Inc.",buffer.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",67ccffe4dabc37f6ef78ae2bd04fe7fa,6f7085703a670feb69d6bcf891ae24d78c48ef89641e662bd104487feb155f9f,True,ctls,developers.buffer.com,cloudflare,443,https://developers.buffer.com:443,https,cloudflare,text/html,GET,104.16.140.52,/,1512314905,2606:4700::6810:8d34,Varnish,161,False,True,,,,
discourse.buffer.com,Buffer - Discourse,200,23561,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,discourse.buffer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-23T23:59:59Z,"CN=buffer.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",buffer.com,"Cloudflare, Inc.",buffer.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",67ccffe4dabc37f6ef78ae2bd04fe7fa,6f7085703a670feb69d6bcf891ae24d78c48ef89641e662bd104487feb155f9f,True,ctls,discourse.buffer.com,cloudflare,443,https://discourse.buffer.com:443,https,cloudflare,text/html,GET,104.16.141.52,/,-1840324437,2606:4700::6810:8c34,Ruby on Rails,136,False,True,,https://discourse.buffer.com/login,,
email-links.buffer.com,,404,,AS15169,GOOGLE,US,35.227.192.0/18,email-links.buffer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T10:57:33Z,2023-07-11T10:57:32Z,CN=*.customer.io,*.customer.io,,customer.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c31ca52b67bf88f5a6b5b9119a2bca36,673537e2dbb6ae582f97009c90e98b19de6082642086d78ca80e02046955ef69,True,ctls,email-links.buffer.com,google,443,https://email-links.buffer.com:443,https,,,GET,35.227.225.220,/,2115503941,35.227.225.220,HTTP/3,1,False,True,True,,,
engage.buffer.com,Buffer - Engagement,200,3877,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,engage.buffer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-23T23:59:59Z,"CN=buffer.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",buffer.com,"Cloudflare, Inc.",buffer.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",67ccffe4dabc37f6ef78ae2bd04fe7fa,6f7085703a670feb69d6bcf891ae24d78c48ef89641e662bd104487feb155f9f,True,ctls,engage.buffer.com,cloudflare,443,https://engage.buffer.com:443,https,cloudflare,text/html,GET,104.16.141.52,/,-1555503792,2606:4700::6810:8c34,HTTP/3,40,False,True,,,,
faq.buffer.com,Security check,403,7694,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,support.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-26T23:43:46Z,2023-06-24T23:43:45Z,CN=support.buffer.com,support.buffer.com,,support.buffer.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,25b43ad46137b7638b23b93e80ec76a2,440734a0389c86457be66907fbc5dc77ae4a43c656cd1e60828f551545cc6bc7,,ctls,support.buffer.com,cloudflare,443,https://faq.buffer.com:443,https,cloudflare,text/html,GET,104.16.141.52,/,-131898293,2606:4700::6810:8c34,Cloudflare,103,False,True,,https://support.buffer.com/hc/en-us,,
fastimage.buffer.com,Error,404,525,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,fastimage.buffer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-23T23:59:59Z,"CN=buffer.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",buffer.com,"Cloudflare, Inc.",buffer.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",67ccffe4dabc37f6ef78ae2bd04fe7fa,6f7085703a670feb69d6bcf891ae24d78c48ef89641e662bd104487feb155f9f,True,ctls,fastimage.buffer.com,cloudflare,443,https://fastimage.buffer.com:443,https,cloudflare,text/html,GET,104.16.140.52,/,-543589568,2606:4700::6810:8c34,Node.js,12,False,True,,,,
gateway.dev.buffer.com,Social Media Management Platform | Buffer,530,411540,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,gateway.dev.buffer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-23T23:59:59Z,"CN=buffer.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",buffer.com,"Cloudflare, Inc.",buffer.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",67ccffe4dabc37f6ef78ae2bd04fe7fa,6f7085703a670feb69d6bcf891ae24d78c48ef89641e662bd104487feb155f9f,True,ctls,gateway.dev.buffer.com,cloudflare,443,https://gateway.dev.buffer.com:443,https,cloudflare,text/html,GET,104.16.140.52,/,-1993032267,2606:4700::6810:8c34,Cloudflare,148,False,True,,,,
graph.dev.buffer.com,,400,51,AS14618,AMAZON-AES,US,34.224.0.0/12,graph.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-07-01T23:59:59Z,CN=*.buffer.com,*.buffer.com,,*.analyze.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f2c431c62fe0699b8a9827c39810c779,8ca18e07f9f1098b2b6b10a139f961af1e95022a2e0818d9c50abdf38ce7706a,True,ctls,graph.dev.buffer.com,,443,https://graph.dev.buffer.com:443,https,,application/json,GET,34.239.237.208,/,-1328029541,18.205.229.110,,1,False,,True,,,
hello.buffer.com,Social Media Management Platform | Buffer,530,411522,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,hello.buffer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-23T23:59:59Z,"CN=buffer.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",buffer.com,"Cloudflare, Inc.",buffer.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",67ccffe4dabc37f6ef78ae2bd04fe7fa,6f7085703a670feb69d6bcf891ae24d78c48ef89641e662bd104487feb155f9f,True,ctls,hello.buffer.com,cloudflare,443,https://hello.buffer.com:443,https,cloudflare,text/html,GET,104.16.140.52,/,1236725422,2606:4700::6810:8d34,Cloudflare,148,False,True,,,,
https://accounts.google.com,Sign in - Google Accounts,200,559798,AS15169,GOOGLE,US,142.250.0.0/15,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,True,ctls,accounts.google.com,,443,https://accounts.google.com:443,https,ESF,text/html,GET,142.250.185.77,/,708578229,2a00:1450:4001:800::200d,HTTP/3,46,False,,,https://accounts.google.com/v3/signin/identifier?dsh=S-502570148%3A1683744162904434&continue=https%3A%2F%2Faccounts.google.com%2F&followup=https%3A%2F%2Faccounts.google.com%2F&ifkv=Af_xneFiqpxwV7dm2pcaWgEmGLwMCBS6CKTk7kUuTqSl9hPW5HtyDAf10kGTt7k4vpFAB4WJZ8Uvwg&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin,https://www.googletagmanager.com,
https://cdn-audio-1.medium.com,,403,243,AS16509,AS16509,Unknown,13.225.96.0/21,cdn-audio-1.medium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-03-13T23:59:59Z,CN=cdn-audio-1.medium.com,cdn-audio-1.medium.com,,cdn-audio-1.medium.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,0d6e224e98d55bd15a0042d68db96696,d0e6c80ae798242abc061e790cbd927f79a89a81e7190d65028018b0b786d743,,ctls,cdn-audio-1.medium.com,cloudfront,443,https://cdn-audio-1.medium.com:443,https,AmazonS3,application/xml,GET,13.225.78.16,/,-1217794333,2600:9000:21f3:3200:16:413b:3e80:93a1,Amazon Web Services,2,False,True,,,,
https://cdn-static-1.medium.com,,403,243,AS13335,CLOUDFLARENET,US,162.159.160.0/24,cdn-static-1.medium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-22T00:00:00Z,2023-07-21T23:59:59Z,"CN=medium.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",medium.com,"Cloudflare, Inc.",*.medium.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",afa19f4d674e384cbc3f5c4c868798f1,617dfa398b93f41055aa81f2e9e260ed1506eba8e3009fc8842d6b016990e3bf,True,ctls,cdn-static-1.medium.com,cloudflare,443,https://cdn-static-1.medium.com:443,https,cloudflare,application/xml,GET,162.159.152.4,/,-1654011928,2606:4700:7::a29f:9804,HTTP/3,2,False,True,,,,
https://cdn-videos-1.medium.com,,403,243,AS16509,AMAZON-02,US,65.9.112.0/23,cdn-videos-1.medium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2020-08-19T00:00:00Z,2022-10-05T12:00:00Z,"CN=*.medium.com, O=A Medium Corporation, L=San Francisco, ST=California, C=US",*.medium.com,A Medium Corporation,medium.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,429a5798e227ba0ce1d742eb9f7d1fcb,a04328b1db9394ef6e8eda51be27b2c70e2f232cc695317b4c4f23526b783423,True,ctls,cdn-videos-1.medium.com,cloudfront,443,https://cdn-videos-1.medium.com:443,https,AmazonS3,application/xml,GET,65.9.66.60,/,-1134261214,2600:9000:206f:b600:17:ade1:1b80:93a1,Amazon Web Services,2,False,True,,,,True
https://csp.medium.com,A Medium Corporation,200,481,AS13335,CLOUDFLARENET,US,162.159.160.0/24,csp.medium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-22T00:00:00Z,2023-07-21T23:59:59Z,"CN=medium.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",medium.com,"Cloudflare, Inc.",*.medium.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",afa19f4d674e384cbc3f5c4c868798f1,617dfa398b93f41055aa81f2e9e260ed1506eba8e3009fc8842d6b016990e3bf,True,ctls,csp.medium.com,cloudflare,443,https://csp.medium.com:443,https,cloudflare,text/html,GET,162.159.152.4,/,-398751936,2606:4700:7::a29f:9804,HTTP/3,3,False,True,,,,
https://d1fcbxp97j4nb2.cloudfront.net,,403,243,AS16509,AMAZON-02,US,18.66.132.0/24,d1fcbxp97j4nb2.cloudfront.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,True,ctls,d1fcbxp97j4nb2.cloudfront.net,cloudfront,443,https://d1fcbxp97j4nb2.cloudfront.net:443,https,AmazonS3,application/xml,GET,18.66.121.105,/,-229584504,18.66.121.152,Amazon Web Services,2,False,True,,,,
https://d262ilb51hltx0.cloudfront.net,,200,15,AS16509,AMAZON-02,US,52.222.248.0/22,miro.medium.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-22T00:00:00Z,2023-07-21T23:59:59Z,"CN=medium.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",medium.com,"Cloudflare, Inc.",*.medium.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",afa19f4d674e384cbc3f5c4c868798f1,617dfa398b93f41055aa81f2e9e260ed1506eba8e3009fc8842d6b016990e3bf,True,ctls,miro.medium.com,cloudfront,443,https://d262ilb51hltx0.cloudfront.net:443,https,cloudflare,application/json,GET,52.222.250.99,/,1442543297,52.222.250.57,HTTP/3,1,False,True,,https://miro.medium.com/,,
https://dnqgz544uhbo8.cloudfront.net,,403,275,AS0,Not routed,None,13.249.248.0/24,dnqgz544uhbo8.cloudfront.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,True,ctls,dnqgz544uhbo8.cloudfront.net,cloudfront,443,https://dnqgz544uhbo8.cloudfront.net:443,https,AmazonS3,application/xml,GET,13.249.247.81,/,-1826185079,2600:9000:2127:ca00:1b:9390:d600:21,Amazon Web Services,2,False,True,,,,
https://getpocket.com,Pocket: Home,200,12638,AS0,Not routed,None,18.155.132.0/23,getpocket.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2023-10-16T23:59:59Z,CN=getpocket.com,getpocket.com,,api.getpocket.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5101a9f9fda37fdd70da52f5727ee0d5,e5529fd85c8457beccac8cfe1fb3e77d7aaef2b5dbfd0387f160b7231e7ade0a,,ctls,getpocket.com,cloudfront,443,https://getpocket.com:443,https,meinheld/1.0.2,text/html,GET,18.155.129.24,/,-126773956,18.155.129.75,HSTS,279,False,True,,https://getpocket.com/en/,assets.getpocket.com,
