new,host,status_code,soa,txt,a,ns,aaaa,cdn,cdn-name,mx,cname,caa,has_internal_ips,internal_ips
,au.ibm.com,NOERROR,"asia3.akam.net, qip.au1.ibm.com","v=spf1 ip4:148.163.158.5 ip4:148.163.156.1 ip4:125.16.236.1/20 ip4:202.81.18.128/26 ip4:122.248.162.1/28 ip4:32.97.182.0/24 ip4:32.97.110.0/24 ip4:202.81.31.128/27 ip4:59.255.155.0/28 ~all, atlassian-domain-verification=a32Aj0uoXQRh6QseDFFrlufYlkbeSdok7az3sY0DQNVXpW1Iqj8zlsuXFZgHMojH",,"ns1-99.akam.net, usw2.akam.net, eur2.akam.net, usc3.akam.net, asia3.akam.net, eur5.akam.net, ns1-206.akam.net, usc2.akam.net",,,,"mx0a-001b2d01.pphosted.com, mx0b-001b2d01.pphosted.com",,,,
,au04dns011ccpra.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",,,,,,,,,,,
,au1.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com","MS=540B0F0D2395C42F46AA01E1937624E39D2382C7, v=spf1 ip4:148.163.158.5 ip4:148.163.156.1 ip4:125.16.236.1/20 ip4:202.81.18.128/26 ip4:122.248.162.1/28 ip4:32.97.182.0/24 ip4:32.97.110.0/24 ip4:202.81.31.128/27 ip4:59.255.155.0/28 ~all, atlassian-domain-verification=a32Aj0uoXQRh6QseDFFrlufYlkbeSdok7az3sY0DQNVXpW1Iqj8zlsuXFZgHMojH, google-site-verification=QOZACxT1m_L9-RmkT4v1xYsYK3oy_19uB0NkIADrJl4",,,,,,"mx0a-001b2d01.pphosted.com, mx0b-001b2d01.pphosted.com",,,,
,aucbzp0048.sl1189917.sl.edst.ibm.com,NOERROR,"ns1.softlayer.com, aamorris.us.ibm.com",,168.1.38.228,,,,,,,,,
,aucbzp0051.sl1189917.sl.edst.ibm.com,NOERROR,"ns1.softlayer.com, aamorris.us.ibm.com",,168.1.38.230,,,,,,,,,
,auibmvsg01.au.ibm.com,NOERROR,"asia3.akam.net, qip.au1.ibm.com",,202.81.18.40,,,,,,,,,
,auibmvsg02.au.ibm.com,NOERROR,"asia3.akam.net, qip.au1.ibm.com",,202.81.18.41,,,,,,,,,
,aus01.blockchain.ibm.com,NOERROR,"ns1.softlayer.com, support.softlayer.com",,,,,,,,,,,
,aus02.blockchain.ibm.com,NOERROR,"ns1.softlayer.com, support.softlayer.com",,,,,,,,,,,
,aus1wf-lig.nssouth.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",atlassian-domain-verification=WAjTH82C5Zx475WLKAA2nrdlsoA/kN0ej9igrLrED4h15KMHPOm+A5H3GndKAxDC,,,,,,,,,,
,aus2wf-lig.nssouth.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",atlassian-domain-verification=WAjTH82C5Zx475WLKAA2nrdlsoA/kN0ej9igrLrED4h15KMHPOm+A5H3GndKAxDC,,,,,,,,,,
,ausgsa.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",atlassian-domain-verification=WAjTH82C5Zx475WLKAA2nrdlsoA/kN0ej9igrLrED4h15KMHPOm+A5H3GndKAxDC,,,,,,,,,,
,austin.ibm.com,NOERROR,"asia3.akam.net, dnsteam.us.ibm.com",v=spf1 ip4:148.163.158.5 ip4:148.163.156.1 ~all,,"eur2.akam.net, eur5.akam.net, asia3.akam.net, ns1-206.akam.net, ns1-99.akam.net, usc2.akam.net, usw2.akam.net, usc3.akam.net",,,,"mx0a-001b2d01.pphosted.com, mx0b-001b2d01.pphosted.com",,,,
,auth-b2b-twc.ibm.com,NOERROR,"n0dsca.akamaiedge.net, hostmaster.akamai.com",,23.222.35.24,,"2a02:26f0:c900:288::29d9, 2a02:26f0:c900:28c::29d9",,,,"eis.ibm.com.edgekey.net, e10713.dsca.akamaiedge.net",,,
,auth-ext-lb.edst.ibm.com,NOERROR,"ns1.softlayer.com, aamorris.us.ibm.com",,,,,,,,,,,
