new,host,soa,ns,txt,status_code,a,cdn,cdn-name,cname,mx,caa,aaaa,has_internal_ips,internal_ips
[x],st.redislabs.com,"ns-1900.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,107.21.205.19,,,,,,,,
[x],stage-search-service.redislabs.com,"ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,"172.67.7.171, 104.22.1.115, 104.22.0.115",True,cloudflare,stage-search-service.redislabs.com.cdn.cloudflare.net,,,"2606:4700:10::ac43:7ab, 2606:4700:10::6816:173, 2606:4700:10::6816:73",,
[x],stage-university.redis.com,"ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,"172.67.15.16, 104.22.10.46, 104.22.11.46",True,cloudflare,stage-university.redis.com.cdn.cloudflare.net,,,"2606:4700:10::6816:a2e, 2606:4700:10::ac43:f10, 2606:4700:10::6816:b2e",,
[x],stage-university.redislabs.com,"ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,"104.22.0.115, 104.22.1.115, 172.67.7.171",True,cloudflare,stage-university.redislabs.com.cdn.cloudflare.net,,,"2606:4700:10::6816:73, 2606:4700:10::6816:173, 2606:4700:10::ac43:7ab",,
[x],staging.learn.redis.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,True,google,,,,,,
[x],status-qa.redis.com,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,52.215.192.132,,,j9kgf7kzxjrs.stspg-customer.com,,"globalsign.com;, letsencrypt.org",,,
[x],status-qa.redislabs.com,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,52.215.192.131,,,j9kgf7kzxjrs.stspg-customer.com,,"letsencrypt.org, globalsign.com;",,,
[x],status.redis.com,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,j6ydyp75k0zx.stspg-customer.com,,"globalsign.com;, letsencrypt.org",,,
[x],status.redislabs.com,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,52.215.192.133,,,j6ydyp75k0zx.stspg-customer.com,,"globalsign.com;, letsencrypt.org",,,
[x],support.redis.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com","ns-1133.awsdns-13.org, ns-1966.awsdns-53.co.uk, ns-78.awsdns-09.com, ns-800.awsdns-36.net, ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net","pod=18, v=spf1 include:mail.zendesk.com ~all",NOERROR,"52.29.47.211, 52.57.251.200, 3.121.243.158",True,cloudflare,"support.redislabs.com, redislabs.zendesk.com",mail-pod-18.int.zendesk.com,,,,
[x],support.redislabs.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com","ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net","pod=18, v=spf1 include:mail.zendesk.com ~all",NOERROR,"104.16.53.111, 104.16.51.111, 52.29.47.211, 52.57.251.200, 3.121.243.158",True,cloudflare,redislabs.zendesk.com,mail-pod-18.int.zendesk.com,,,,
[x],tableau-2022.redis.com,"ns-1133.awsdns-13.org, awsdns-hostmaster.amazon.com",,,NOERROR,44.209.210.217,,,,,,,,
[x],tableau.redis.com,"ns-1133.awsdns-13.org, awsdns-hostmaster.amazon.com",,,NOERROR,44.209.210.217,,,,,,,,
[x],test.redislabs-training.redislabs.com,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,34.71.124.2,True,google,,,,,,
[x],test2f612cf4.openshift-qa.redislabs.com,,,,NOERROR,54.144.128.85,,,,,,,,
[x],test390b341c.openshift-qa.redislabs.com,,,,NOERROR,,,,,,,,,
[x],test527203b2.openshift-qa.redislabs.com,,,,NOERROR,,,,,,,,,
[x],test60018299.openshift-qa.redislabs.com,,,,NOERROR,,,,,,,,,
[x],test6413cd49.openshift-qa.redislabs.com,,,,NOERROR,,,,,,,,,
[x],test71b91039.openshift-qa.redislabs.com,,,,NOERROR,54.144.128.85,,,,,,,,
[x],test7bbde852.openshift.qa.redislabs.com,,,,NOERROR,,,,,,,,,
[x],test8d9dffb8.cs.redislabs.com,,,,NOERROR,,,,,,,,,
[x],test967c3fe6.openshift.qa.redislabs.com,,,,NOERROR,,,,,,,,,
[x],testb0dbfb88.openshift.qa.redislabs.com,,,,NOERROR,,,,,,,,,
[x],testc13cbf51.openshift.qa.redislabs.com,,,,NOERROR,,,,,,,,,
[x],teste3bab597.openshift.qa.redislabs.com,,,,NOERROR,54.144.128.85,,,,,,,,
[x],testpcf619d1.qa.redislabs.com,"ns-184.awsdns-23.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,,
[x],thanos.sm-qa.qa.redislabs.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,"heritage=external-dns,external-dns/owner=sm-qa-zone,external-dns/resource=ingress/prometheus/thanos-query",NOERROR,34.138.146.29,True,google,,,,,,
[x],tools-dev.redislabs-training.redislabs.com,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,34.121.30.80,True,google,,,,,,
[x],tools.redislabs-training.redislabs.com,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,35.225.175.200,True,google,,,,,,
[x],uaa.sys.avasseur-pcf.demo.redislabs.com,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,34.120.18.12,True,google,,,,,,
[x],university.redis.com,"ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,"104.22.10.46, 104.22.11.46, 172.67.15.16",True,cloudflare,university.redis.com.cdn.cloudflare.net,,,"2606:4700:10::ac43:f10, 2606:4700:10::6816:b2e, 2606:4700:10::6816:a2e",,
[x],university.redislabs.com,"ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,"104.22.0.115, 172.67.7.171, 104.22.1.115",True,cloudflare,university.redislabs.com.cdn.cloudflare.net,,,"2606:4700:10::6816:173, 2606:4700:10::ac43:7ab, 2606:4700:10::6816:73",,
[x],view.redis.com,"hasslo.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,"104.18.37.84, 172.64.150.172",True,cloudflare,redis.usp.highspot.com,,,"2606:4700:4400::ac40:96ac, 2606:4700:4400::6812:2554",,
[x],waf-test.dev.redislabs.com,"ns-1103.awsdns-09.org, awsdns-hostmaster.amazon.com",,,NOERROR,34.111.163.47,True,google,,,,,,
[x],webapi--sm.k8s-dev.sm-qa.qa.redislabs.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,"heritage=external-dns,external-dns/owner=sm-qa-zone,external-dns/resource=ingress/k8s-dev/webapi",NOERROR,34.138.146.29,True,google,,,,,,
[x],webapi-qa.qa.redislabs.com,"ns1.impervadns.net, hostmaster.incapsula.com",,,NOERROR,45.60.123.1,True,incapsula,kdif2vc.impervadns.net,,,,,
[x],webapi-sm.dev-vitaly.sm-test.qa.redislabs.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,"heritage=external-dns,external-dns/owner=sm-test-zone,external-dns/resource=ingress/dev-vitaly/webapi",NOERROR,34.23.17.204,True,google,,,,,,
[x],webapi-sm.k8s-aa.sm-qa.qa.redislabs.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,34.138.146.29,True,google,,,,,,
[x],webapi-sm.k8s-ci-auto-dynamic.sm-qa.qa.redislabs.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,"heritage=external-dns,external-dns/owner=sm-qa-zone,external-dns/resource=ingress/k8s-ci-auto-dynamic/webapi",NOERROR,34.138.146.29,True,google,,,,,,
[x],webapi-sm.k8s-dev-uirefresh.sm-qa.qa.redislabs.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,"heritage=external-dns,external-dns/owner=sm-qa-zone,external-dns/resource=ingress/k8s-dev-uirefresh/webapi",NOERROR,34.138.146.29,True,google,,,,,,
[x],webapi-sm.k8s-dev.sm-qa.qa.redislabs.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,"heritage=external-dns,external-dns/owner=sm-qa-zone,external-dns/resource=ingress/k8s-dev/webapi",NOERROR,34.138.146.29,True,google,,,,,,
[x],webapi-sm.k8s-gh.sm-qa.qa.redislabs.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,"heritage=external-dns,external-dns/owner=sm-qa-zone,external-dns/resource=ingress/k8s-gh/webapi",NOERROR,34.138.146.29,True,google,,,,,,
[x],webapi-sm.k8s-idm.sm-qa.qa.redislabs.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,"heritage=external-dns,external-dns/owner=sm-qa-zone,external-dns/resource=ingress/k8s-idm/webapi",NOERROR,34.138.146.29,True,google,,,,,,
[x],webapi-sm.k8s-integration.sm-qa.qa.redislabs.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,"heritage=external-dns,external-dns/owner=sm-qa-zone,external-dns/resource=ingress/k8s-integration/webapi",NOERROR,34.138.146.29,True,google,,,,,,
