new,host,soa,status_code,a,aaaa,cname,caa,mx,ns,txt,cdn,cdn-name,has_internal_ips,internal_ips
,authsmtp.vrst.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,"165.160.15.20, 165.160.13.20",,,,,,,,,,
,autodiscover.dcsg.com,"lbns2.dcsgomni.com, hostmaster.lbns2.dcsgomni.com, lbns1.dcsgomni.com, hostmaster.lbns1.dcsgomni.com",NOERROR,199.30.195.192,,autodiscover.dns.dcsgomni.com,,,,,,,,
,availability.dickssportinggoods.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,88.221.169.39,"2a02:26f0:fe00:386::25db, 2a02:26f0:fe00:39e::25db, 2a02:26f0:fe00:38a::25db, 2a02:26f0:fe00:3ac::25db, 2a02:26f0:fe00:380::25db","availability.dickssportinggoods.com.edgekey.net, e9691.dscx.akamaiedge.net",,,,,,,,
,beta-aos.golfgalaxy.com,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.218.142.14,,"beta-aos.golfgalaxy.com.edgekey.net, e13910.x.akamaiedge.net",,,,,,,,
,beta.dickssportinggoods.com,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,2.18.162.137,,"beta.dickssportinggoods.com.edgekey.net, e9691.x.akamaiedge.net",,,,,,,,
,beta.fieldandstreamshop.com,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,104.102.48.19,,"beta.fieldandstreamshop.com.edgekey.net, e13508.x.akamaiedge.net",,,,,,,,
,beta.golfgalaxy.com,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.197.153.119,,"beta.golfgalaxy.com.edgekey.net, e13910.x.akamaiedge.net",,,,,,,,
,bitbucket.dcsg.com,,NOERROR,52.149.215.200,,"bitbucket-dcsgcloud.msappproxy.net, cwap-nam1-runtime.routing.msappproxy.net, nam.proxy-3.appproxy.msidentity.com, www.tm.nam.proxy-3.appproxy.trafficmanager.net",,,,,True,azure,,
,blog.dickssportinggoods.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,"165.160.15.20, 165.160.13.20",,,,,,,,,,
,calia.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,"165.160.15.20, 165.160.13.20",,,,custmx.cscdns.net,"dns1.cscdns.net, dns2.cscdns.net",google-site-verification=G_GQxVh7Y13-U7y1-3sZpQIiQrYGccq9VVaYB4810Ug,,,,
