new,host,a,soa,status_code,cname,ns,aaaa,cdn,cdn-name,has_internal_ips,internal_ips,txt,caa,mx
[x],sin155.oob.ikarem.io,172.24.255.41,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.41,,,
[x],sin156.meraki.com,192.168.255.176,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"ns-112.awsdns-14.com, ns-1423.awsdns-49.org, ns-1777.awsdns-30.co.uk, ns-855.awsdns-42.net",,,,True,192.168.255.176,,,
[x],sin157.meraki.com,209.206.61.48,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,2620:12f:c008:0:6a05:caff:fe8a:402c,,,,,,,
[x],sin157.oob.ikarem.io,172.24.255.43,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.43,,,
[x],sin158.meraki.com,209.206.61.49,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,2620:12f:c008:0:6a05:caff:fe8a:3fa8,,,,,,,
[x],sin158.oob.ikarem.io,172.24.255.44,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.44,,,
[x],sin159.meraki.com,209.206.61.50,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,2620:12f:c008:0:6a05:caff:fe8a:4430,,,,,,,
[x],sin159.oob.ikarem.io,172.24.255.45,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.45,,,
[x],sin160.meraki.com,192.168.255.175,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,192.168.255.175,,,
[x],sin160.oob.ikarem.io,172.24.255.46,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.46,,,
[x],sin161.meraki.com,192.168.255.174,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,192.168.255.174,,,
[x],sin161.oob.ikarem.io,172.24.255.47,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.47,,,
[x],sin162.meraki.com,192.168.255.173,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,192.168.255.173,,,
[x],sin163.meraki.com,192.168.255.172,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"ns-112.awsdns-14.com, ns-1423.awsdns-49.org, ns-1777.awsdns-30.co.uk, ns-855.awsdns-42.net",,,,True,192.168.255.172,,,
