input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,tech_,lines,failed,cdn,tls_expired,tls_subject_org_,final_url,chain_status_codes_,csp_domains_,tls_wildcard_certificate
https://api.segment.io,,404,,api.segment.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-02-10T23:59:59Z,CN=*.segment.io,*.segment.io,segment.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3fb1eb635b3daf3aa0089de7d39b7b99,71a21a5375123c800827ed5abfbfed0d8fa7f6f9ddd36da877c6d02599a87f59,ctls,api.segment.io,,443,https://api.segment.io:443,https,awselb/2.0,text/plain,GET,52.26.170.249,/,-1840324437,,1,False,,,,,,,True
https://api2.branch.io,Branch | Mobile Growth & Attribution Platform for Enterprises and Brands,200,103120,www.branch.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T23:25:20Z,2023-06-12T23:25:19Z,CN=www.branch.io,www.branch.io,www.branch.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b2182c389d60750b3899e98eaaa8c30d,f5844ff88ceb0775e70c75ea40e6b5283f0a37e791ec9cc21f7ae424d9bb3e87,ctls,www.branch.io,cloudfront,443,https://api2.branch.io:443,https,cloudflare,text/html,GET,108.138.17.56,/,1114301902,Yoast SEO:20.6,1186,False,True,,,https://www.branch.io/,200,,
https://api2.goldenvolunteer.com,Error,404,136,api2.goldenvolunteer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-24T14:43:05Z,2023-10-12T13:09:14Z,CN=*.goldenvolunteer.com,*.goldenvolunteer.com,goldenvolunteer.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",8a02da01858e54ddc62467084fa481b0,5163b452b260f64529139df98f3d1091a0642fcbf1186d52f6a244ae0a4d8d4c,ctls,api2.goldenvolunteer.com,,443,https://api2.goldenvolunteer.com:443,https,nginx/1.22.1,text/html,GET,54.196.74.167,/,-561665101,Nginx:1.22.1,11,False,,,,,,,True
https://app.link,What Is app.link And How Does It Work? | Branch,200,83532,www.branch.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T23:25:20Z,2023-06-12T23:25:19Z,CN=www.branch.io,www.branch.io,www.branch.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b2182c389d60750b3899e98eaaa8c30d,f5844ff88ceb0775e70c75ea40e6b5283f0a37e791ec9cc21f7ae424d9bb3e87,ctls,www.branch.io,cloudfront,443,https://app.link:443,https,cloudflare,text/html,GET,99.86.4.58,/,1274734426,Yoast SEO:20.0,880,False,True,,,https://www.branch.io/applink/,200,,
https://assets.goldenvolunteer.com,,200,10862,assets.goldenvolunteer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-24T14:43:05Z,2023-10-12T13:09:14Z,CN=*.goldenvolunteer.com,*.goldenvolunteer.com,goldenvolunteer.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",8a02da01858e54ddc62467084fa481b0,5163b452b260f64529139df98f3d1091a0642fcbf1186d52f6a244ae0a4d8d4c,ctls,assets.goldenvolunteer.com,cloudfront,443,https://assets.goldenvolunteer.com:443,https,AmazonS3,application/xml,GET,18.66.218.57,/,1668523909,Amazon Web Services,2,False,True,,,,,,True
https://cdn.goldenvolunteer.com,,403,275,cdn.goldenvolunteer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-24T14:43:05Z,2023-10-12T13:09:14Z,CN=*.goldenvolunteer.com,*.goldenvolunteer.com,goldenvolunteer.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",8a02da01858e54ddc62467084fa481b0,5163b452b260f64529139df98f3d1091a0642fcbf1186d52f6a244ae0a4d8d4c,ctls,cdn.goldenvolunteer.com,cloudfront,443,https://cdn.goldenvolunteer.com:443,https,AmazonS3,application/xml,GET,108.138.7.100,/,-183900547,Amazon Web Services,2,False,True,,,,,,True
https://cdn.goldenvolunteer.eu,,403,243,cdn.goldenvolunteer.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-14T00:00:00Z,2024-05-12T23:59:59Z,CN=*.goldenvolunteer.eu,*.goldenvolunteer.eu,*.goldenvolunteer.eu,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5ea059ff7b5ee3bab7ad8a2030517997,8485e4d46df663f37e079c7a2ab9835b223e60e76595ec6b71ca165d02b0472f,ctls,cdn.goldenvolunteer.eu,cloudfront,443,https://cdn.goldenvolunteer.eu:443,https,AmazonS3,application/xml,GET,108.138.17.111,/,577727832,Amazon Web Services,2,False,True,,,,,,True
https://cdn.jsdelivr.net,"jsDelivr - A free, fast, and reliable CDN for JS and open source",200,44736,www.jsdelivr.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-18T00:00:00Z,2024-02-18T23:59:59Z,CN=jsdelivr.com,jsdelivr.com,www.jsdelivr.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7edcee051c7a1971888c011dea856f69,ceefdfd713af3bc65890a7c06bc9cae123b2b42c1b97f8c81aad79b24bfab23a,ctls,www.jsdelivr.com,fastly,443,https://cdn.jsdelivr.net:443,https,nginx,text/html,GET,146.75.121.229,/,-2029005286,Nginx,55,False,True,,,https://www.jsdelivr.com,200,,
https://cdn.mxpnl.com,Page not found - Mixpanel | Product Analytics,404,3310,cdn.mxpnl.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-11T00:00:00Z,2023-07-28T23:59:59Z,CN=*.mxpnl.com,*.mxpnl.com,mxpnl.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",44850e2537d45b41ce620b2ebad2674c,3546f8014e0506436a5bfe879ff2c89f868b92da2e63590e25c67e3a1013149f,ctls,cdn.mxpnl.com,google,443,https://cdn.mxpnl.com:443,https,UploadServer,text/html,GET,35.186.235.23,/,-1155933505,HTTP/3,105,False,True,,,,,,True
https://cdn.segment.com,,404,49,cdn.segment.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-01-12T23:59:59Z,CN=*.segment.com,*.segment.com,*.segment.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,60f87df08a4d0f4a95226e9a7147ac4c,6d2bc915033d7449a20ea8a52326dec0dcb65d96778138fc2baab203f6bf25a0,ctls,cdn.segment.com,cloudfront,443,https://cdn.segment.com:443,https,AmazonS3,text/plain,GET,108.138.203.175,/,138222360,Amazon Web Services,2,False,True,,,,,,True
https://cdnjs.cloudflare.com,cdnjs.cloudflare.com,200,8867,cdnjs.cloudflare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8789a4791c80fe9fc769847a7ba6e4b5,9454c62828b954228efbbb6b7e3865ae64ba54e5a4ccdd89936d068e2ac94dd3,ctls,cdnjs.cloudflare.com,cloudflare,443,https://cdnjs.cloudflare.com:443,https,cloudflare,text/html,GET,104.17.25.14,/,2023033722,HTTP/3,169,False,True,,"Cloudflare, Inc.",,,,True
https://embed.tawk.to,,404,,embed.tawk.to,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4c6de91430cafe2e9d58dbc65eb3c34f,f065f36900437a97bf0fe71464537c463c4e5ed7954aa7519c60733180714643,ctls,embed.tawk.to,cloudflare,443,https://embed.tawk.to:443,https,cloudflare,application/x-javascript,GET,172.67.38.66,/,-1840324437,HTTP/3,1,False,True,,"Cloudflare, Inc.",,,,True
https://fonts.googleapis.com,Error 404 (Not Found)!!1,404,1607,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,f5e19b0c15918f4e4bcfa456133d1ad7,2d3b52058a876e74ebd8c6b8f539d46ff307058680fed77df5bfad75473dab9c,ctls,fonts.googleapis.com,,443,https://fonts.googleapis.com:443,https,ESF,text/html,GET,142.250.185.138,/,-606046040,HTTP/3,1,False,,,,,,,True
https://fonts.gstatic.com,Error 404 (Not Found)!!1,404,1561,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,ctls,fonts.gstatic.com,,443,https://fonts.gstatic.com:443,https,sffe,text/html,GET,172.217.16.195,/,302920777,HTTP/3,12,False,,,,,,,True
https://golden-dev.s3.amazonaws.com,,403,243,golden-dev.s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2023-12-19T23:59:59Z,CN=*.s3.amazonaws.com,*.s3.amazonaws.com,s3.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c786d7d836f7ec7d65e625b0bca2ab2,25b0a7826fcb8f6ae0c7bc14d8e53ea2741097aac08c7243810f2a739d63f6c4,ctls,golden-dev.s3.amazonaws.com,,443,https://golden-dev.s3.amazonaws.com:443,https,AmazonS3,application/xml,GET,52.216.58.233,/,1636361767,Amazon Web Services,2,False,,,,,,,True
https://golden-eu-files.s3.amazonaws.com,,403,243,golden-eu-files.s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2023-12-19T23:59:59Z,CN=*.s3.amazonaws.com,*.s3.amazonaws.com,s3.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c786d7d836f7ec7d65e625b0bca2ab2,25b0a7826fcb8f6ae0c7bc14d8e53ea2741097aac08c7243810f2a739d63f6c4,ctls,golden-eu-files.s3.amazonaws.com,,443,https://golden-eu-files.s3.amazonaws.com:443,https,AmazonS3,application/xml,GET,52.219.169.147,/,1817402273,Amazon Web Services,2,False,,,,,,,True
https://golden-eu-prod.s3.amazonaws.com,,403,243,golden-eu-prod.s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2023-12-19T23:59:59Z,CN=*.s3.amazonaws.com,*.s3.amazonaws.com,s3.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c786d7d836f7ec7d65e625b0bca2ab2,25b0a7826fcb8f6ae0c7bc14d8e53ea2741097aac08c7243810f2a739d63f6c4,ctls,golden-eu-prod.s3.amazonaws.com,,443,https://golden-eu-prod.s3.amazonaws.com:443,https,AmazonS3,application/xml,GET,52.219.75.201,/,1022026255,Amazon Web Services,2,False,,,,,,,True
https://golden-files-dev.s3.amazonaws.com,,403,255,golden-files-dev.s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2023-12-19T23:59:59Z,CN=*.s3.amazonaws.com,*.s3.amazonaws.com,s3.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c786d7d836f7ec7d65e625b0bca2ab2,25b0a7826fcb8f6ae0c7bc14d8e53ea2741097aac08c7243810f2a739d63f6c4,ctls,golden-files-dev.s3.amazonaws.com,,443,https://golden-files-dev.s3.amazonaws.com:443,https,AmazonS3,application/xml,GET,3.5.20.195,/,129976279,Amazon Web Services,2,False,,,,,,,True
https://golden-prod.s3.amazonaws.com,,403,243,golden-prod.s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2023-12-19T23:59:59Z,CN=*.s3.amazonaws.com,*.s3.amazonaws.com,s3.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c786d7d836f7ec7d65e625b0bca2ab2,25b0a7826fcb8f6ae0c7bc14d8e53ea2741097aac08c7243810f2a739d63f6c4,ctls,golden-prod.s3.amazonaws.com,,443,https://golden-prod.s3.amazonaws.com:443,https,AmazonS3,application/xml,GET,52.217.71.12,/,-464022053,Amazon Web Services,2,False,,,,,,,True
https://golden-staging-new.s3.amazonaws.com,,403,243,golden-staging-new.s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2023-12-19T23:59:59Z,CN=*.s3.amazonaws.com,*.s3.amazonaws.com,s3.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c786d7d836f7ec7d65e625b0bca2ab2,25b0a7826fcb8f6ae0c7bc14d8e53ea2741097aac08c7243810f2a739d63f6c4,ctls,golden-staging-new.s3.amazonaws.com,,443,https://golden-staging-new.s3.amazonaws.com:443,https,AmazonS3,application/xml,GET,54.231.195.129,/,774925967,Amazon Web Services,2,False,,,,,,,True
https://graph.facebook.com,,400,287,graph.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-16T00:00:00Z,2023-05-17T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,5110802e765750624ab3d6785aeec848,e17a08756c6cfcd9128edfa651b071c72c0a753718d5415ccf67041f068f4637,ctls,graph.facebook.com,,443,https://graph.facebook.com:443,https,,text/javascript,GET,157.240.253.13,/,-1321378357,HTTP/3,9,False,,,"Meta Platforms, Inc.",,,,True
https://ipinfo.io/,"The trusted source for IP address data, leading IP data provider - IPinfo.io",200,72279,ipinfo.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-27T11:03:46Z,2023-06-25T11:03:45Z,CN=*.host.io,*.host.io,ipinfoio.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5d8b73fca7e80bd1566c46e2ba1d2a87,1610915fd514a39faf4119e4e8dbf4c7fd9581cc0f487e15097aa3552f210af2,ctls,ipinfo.io,google,443,https://ipinfo.io:443,https,,text/html,GET,34.117.59.81,/,242814863,webpack,138,False,True,,,,,,True
https://js.checkr.com/,,403,243,js.checkr.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-27T00:00:00Z,2024-04-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,checkr.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5b7cd3b47198dc33f46d724076a86d3e,8e47ebf3d5a4302d8f1ef18266c615092a6c5d724acdc945b55c90db3d79efc4,ctls,js.checkr.com,cloudflare,443,https://js.checkr.com:443,https,cloudflare,application/xml,GET,104.16.189.53,/,-2063716983,HSTS,2,False,True,,"Cloudflare, Inc.",,,,True
https://js.checkr.com/js/*,,403,243,js.checkr.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-27T00:00:00Z,2024-04-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,checkr.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5b7cd3b47198dc33f46d724076a86d3e,8e47ebf3d5a4302d8f1ef18266c615092a6c5d724acdc945b55c90db3d79efc4,ctls,js.checkr.com,cloudflare,443,https://js.checkr.com:443/js/,https,cloudflare,application/xml,GET,104.16.189.53,/js/,-1185953320,HSTS,2,False,True,,"Cloudflare, Inc.",,,,True
https://js.stripe.com/v3/*,,200,482650,js.stripe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2023-08-05T23:59:59Z,"CN=a.stripecdn.com, O=Stripe\, Inc, L=San Francisco, ST=California, C=US, serialNumber=4675506, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",a.stripecdn.com,edge-invoice.stripe.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,7a7b4fb8a891721cb0d0f58df07c0b93,467cc8ee0a9623374649b9a4473f0312885b8e9617a9b81fb1f04b61da6db08a,ctls,js.stripe.com,fastly,443,https://js.stripe.com:443/v3/,https,Fastly,text/javascript,GET,151.101.128.176,/v3/,-2142583789,Varnish,2,False,True,,"Stripe, Inc",,,,
https://maps.googleapis.com,Google Maps Platform  |  Google Developers,200,205320,developers.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,developers.google.com,,443,https://maps.googleapis.com:443,https,Google Frontend,text/html,GET,172.217.16.138,/,302920777,HTTP/3,8963,False,,,,https://developers.google.com/maps/,200,https://csp.withgoogle.com/csp/devsite/v2,True
https://maps.gstatic.com,Error 404 (Not Found)!!1,404,1561,maps.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,ctls,maps.gstatic.com,,443,https://maps.gstatic.com:443,https,sffe,text/html,GET,142.250.186.163,/,2029750701,HTTP/3,12,False,,,,,,,True
