new,host,a,aaaa,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,cname,ns,txt,mx,caa
[x],storefront-admin.casper.tools,"3.214.191.126, 52.3.180.100",,"ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],storefront.casper.tools,"52.4.72.130, 35.172.88.182",,"ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],stores.casper.com,"104.18.115.52, 104.18.116.52, 104.18.112.52, 104.18.113.52, 104.18.114.52","2606:4700::6812:7234, 2606:4700::6812:7334, 2606:4700::6812:7434, 2606:4700::6812:7034, 2606:4700::6812:7134","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,"stores.casper.com.sitescdn.net, cdn-ac-ff.sitescdn.net, cloudflare.sitescdn.net, cloudflare.sitescdn.net.cdn.cloudflare.net",,google-site-verification=L2cm2lNrJ_ZKoCpBs9mt-VOn4GGA7cpFdWE3gMf-kzQ,,
[x],storybook.casper.tools,"52.217.80.43, 52.217.174.221, 52.217.175.29, 52.217.86.91, 52.217.71.227, 52.216.49.53, 54.231.195.157, 52.217.203.237",,"ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],suppliers.casper.com,"104.16.158.76, 104.16.205.66","2606:4700::6810:cd42, 2606:4700::6810:9e4c","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],uk-stores.casper.com,"104.18.116.52, 104.18.115.52, 104.18.112.52, 104.18.113.52, 104.18.114.52","2606:4700::6812:7434, 2606:4700::6812:7134, 2606:4700::6812:7334, 2606:4700::6812:7034, 2606:4700::6812:7234","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,"uk-stores.casper.com.sitescdn.net, cdn-ac-ff.sitescdn.net, cloudflare.sitescdn.net, cloudflare.sitescdn.net.cdn.cloudflare.net",,,,
[x],validity.casper.com,"34.199.50.80, 44.193.127.48, 50.17.201.241, 107.22.45.86, 3.208.70.8, 3.214.53.254",,"ns-1787.awsdns-31.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,250analytics.com,"ns-281.awsdns-35.com, ns-663.awsdns-18.net, ns-1398.awsdns-46.org, ns-1787.awsdns-31.co.uk",v=spf1 -all,,
[x],vcl.casper.tools,"151.101.65.131, 151.101.1.131, 151.101.129.131, 151.101.193.131",,"ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,True,fastly,,,,,_globalsign-domain-verification=AXbIm_E7CrHwGUSghcdrGgNq3iYOgBjGkySXY6qF8Q,,
[x],welcome.casper.com,"151.101.129.131, 151.101.65.131, 151.101.193.131, 151.101.1.131",,"rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,fastly,,,,,,,
[x],www.casper.com,"104.16.158.76, 104.16.205.66","2606:4700::6810:9e4c, 2606:4700::6810:cd42","rick.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,g87k2k1qwbbj7z5c4m8y9d5lm4vbrkl8,,
