input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_subject_org_,final_url,csp_domains_
email.gh-mail.casper.com,403 Forbidden,403,151,email.gh-mail.casper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-06T00:00:00Z,2020-10-13T23:59:59Z,CN=ssl447130.cloudflaressl.com,ssl447130.cloudflaressl.com,ssl447130.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,df243c43c796517f62ad3a295c8b07ca,5d3ebf6d8c8187cfd36e94f5b641225f47d45a815afd982701ce870664f67441,ctls,email.gh-mail.casper.com,cloudflare,443,https://email.gh-mail.casper.com:443,https,cloudflare,text/html,GET,104.16.205.66,/,1210513009,2606:4700::6810:9e4c,Cloudflare,8,False,True,,,,
enterpriseenrollment.casper.com,Microsoft Intune admin center,200,39990,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,ctls,intune.microsoft.com,azure,443,https://enterpriseenrollment.casper.com:443,https,,text/html,GET,13.74.111.192,/,1631801191,13.74.111.192,HSTS,4,False,True,,Microsoft Corporation,https://intune.microsoft.com/,
help.casper.com,Help,200,190723,help.casper.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-03-11T11:20:19Z,2023-06-09T11:20:18Z,CN=help.casper.com,help.casper.com,help.casper.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a0eaaff94e65599b8124913c88ba8461,0e414ef0e9f537fa2c6dc437b84bb0aeeb0ba3c636937361b06611ee59606a24,ctls,help.casper.com,,443,https://help.casper.com:443,https,,text/html,GET,23.3.88.49,/,1433417005,2a02:26f0:1700:11::b856:6791,HSTS,529,False,,,,https://help.casper.com/s/?language=en_US,https://www.youtube.com
https://fonts.googleapis.com,Error 404 (Not Found)!!1,404,1607,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,f5e19b0c15918f4e4bcfa456133d1ad7,2d3b52058a876e74ebd8c6b8f539d46ff307058680fed77df5bfad75473dab9c,ctls,fonts.googleapis.com,,443,https://fonts.googleapis.com:443,https,ESF,text/html,GET,142.250.186.74,/,-606046040,2a00:1450:4001:80e::200a,HTTP/3,1,False,,True,,,
https://fonts.gstatic.com,Error 404 (Not Found)!!1,404,1561,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,ctls,fonts.gstatic.com,,443,https://fonts.gstatic.com:443,https,sffe,text/html,GET,142.250.185.227,/,302920777,2a00:1450:4001:830::2003,HTTP/3,12,False,,True,,,
https://sentry.io/api/1384371/csp-report/?sentry_key=0ebd9118f0f7412e9a4307b088dbd7e8,,405,,sentry.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2022-06-03T00:00:00Z,2023-07-04T23:59:59Z,"CN=sentry.io, O=Sentry, L=San Francisco, ST=California, C=US",sentry.io,docs.getsentry.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,6b174547e8f703712daa649b8a08a4bd,de3519d9d81936d595ed94c7d2ffbda0e48bf16e4f3c4e3465091448ea8865c9,ctls,sentry.io,google,443,https://sentry.io:443/api/1384371/csp-report/?sentry_key=0ebd9118f0f7412e9a4307b088dbd7e8,https,nginx,,GET,35.188.42.15,/api/1384371/csp-report/?sentry_key=0ebd9118f0f7412e9a4307b088dbd7e8,-1840324437,35.188.42.15,Nginx,1,False,True,,Sentry,,
https://use.fontawesome.com/releases/v5.0.13/js/all.js,,200,799550,use.fontawesome.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-06T03:15:52Z,2023-08-04T03:15:51Z,CN=use.fontawesome.com,use.fontawesome.com,use.fontawesome.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,b18aaf7e2c17a24a9396a09b71be0431,c6386e0c989049c5124f4658c0799c277ad4296c1bba47b3792bdad556d3770a,ctls,use.fontawesome.com,cloudflare,443,https://use.fontawesome.com:443/releases/v5.0.13/js/all.js,https,cloudflare,application/javascript,GET,172.64.132.15,/releases/v5.0.13/js/all.js,-1332815388,2606:4700:e2::ac40:850f,HTTP/3,5,False,True,,,,
ir.casper.com,The Best Bed for Better Sleep  | Casper®,200,1973100,legacy.casper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2022-11-04T20:42:23Z,2023-12-06T20:42:22Z,CN=*.casper.com,*.casper.com,*.casper.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,b05e703d2b2d06fc31c2c7009b8a6f6f,712f74c28bd7dc9a0962b606b08fa15d0bc275292ce1615710f5d861a1a45e34,ctls,legacy.casper.com,fastly,443,https://ir.casper.com:443,https,,text/html,GET,151.101.1.131,/,1467467022,151.101.129.131,Varnish,816,False,True,True,,https://legacy.casper.com/m/,
legacy.casper.com,Casper | Unsupported browser,200,1396,legacy.casper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2022-11-04T20:42:23Z,2023-12-06T20:42:22Z,CN=*.casper.com,*.casper.com,*.casper.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,b05e703d2b2d06fc31c2c7009b8a6f6f,712f74c28bd7dc9a0962b606b08fa15d0bc275292ce1615710f5d861a1a45e34,ctls,legacy.casper.com,fastly,443,https://legacy.casper.com:443,https,,text/html,GET,151.101.65.131,/,193884965,151.101.1.131,Varnish,37,False,True,True,,https://legacy.casper.com/unsupported-browser/,
magasins.casper.com,Passez dans un magasin Casper,200,139754,magasins.casper.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,,2023-04-02T00:00:00Z,2024-04-01T23:59:59Z,"CN=magasins.casper.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",magasins.casper.com,magasins.casper.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",80e67f87829525cf86f06b14f2d28dbb,f5e00949e10c9f3abe0e320447a611585f31ac6f0845b431c196864330992240,ctls,magasins.casper.com,cloudflare,443,https://magasins.casper.com:443,https,cloudflare,text/html,GET,104.18.116.52,/,-1910277539,2606:4700::6812:7034,HTTP/3,1,False,True,,"Cloudflare, Inc.",,
mi.casper.com,Movable Ink Domain,200,79,mi.casper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-09T23:06:00Z,2023-07-08T23:05:59Z,CN=mi.casper.com,mi.casper.com,mi.casper.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b8e4290d1e931b640ec512461e626b29,50a6d958b877ec562b484a588027bf5cef318e97a4ece9b077dfd43bcb1e3f71,ctls,mi.casper.com,,443,https://mi.casper.com:443,https,,,GET,44.231.26.101,/,-1542678720,44.231.26.101,,1,False,,,,,
mulesoft.casper.com,403 Forbidden,403,520,mulesoft.casper.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2022-08-03T00:00:00Z,2023-08-08T23:59:59Z,"CN=mulesoft.casper.com, O=Casper Sleep Inc., L=New York, ST=New York, C=US",mulesoft.casper.com,internal-mulesoft.casper.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,45f38efa3851119c7e7341eb942ad6c4,907a30021cb3fcba71df7c0ebf050ea8fb5beeb02ccb1db709b1266a9095c195,ctls,mulesoft.casper.com,,443,https://mulesoft.casper.com:443,https,,text/html,GET,100.24.245.152,/,-115358342,54.85.37.24,HSTS,13,False,,,Casper Sleep Inc.,,
new.casper.com,The Best Bed for Better Sleep | Casper,200,156239,casper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-01-26T00:00:00Z,2024-01-25T23:59:59Z,"CN=casper.com, O=Casper Sleep Inc., L=New York, ST=New York, C=US",casper.com,www.casper.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ebe9ff833e72f61bf2dd9e8f6668b489,4828e11371e16f123bd41594c8031477ee966c3db80df2e063983e169b6bed3d,ctls,casper.com,cloudflare,443,https://new.casper.com:443,https,cloudflare,text/html,GET,104.16.158.76,/,1299828188,2606:4700::6810:9e4c,Salesforce Commerce Cloud,3391,False,True,,Casper Sleep Inc.,https://casper.com/,
night-owl.casper.tools,,403,42,night-owl.casper.tools,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=casper.tools,casper.tools,*.casper.tools,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,874ee9aae52beeda66fe4f6c34b20e20,d0088b42222a39a2ae822259662578563f33366f72ec06f4b36d61f45d9c1cb3,ctls,night-owl.casper.tools,cloudfront,443,https://night-owl.casper.tools:443,https,,application/json,GET,13.32.121.78,/,768769774,13.32.121.47,Amazon Web Services,1,False,True,True,,,
operator.casper.tools,,403,10,operator.casper.tools,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=casper.tools,casper.tools,*.casper.tools,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,874ee9aae52beeda66fe4f6c34b20e20,d0088b42222a39a2ae822259662578563f33366f72ec06f4b36d61f45d9c1cb3,ctls,operator.casper.tools,,443,https://operator.casper.tools:443,https,Cowboy,,GET,34.235.102.117,/,1391058259,52.21.87.120,HSTS,2,False,,True,,,
ops.casper.tools,,403,23,ops.casper.tools,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=casper.tools,casper.tools,*.casper.tools,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,874ee9aae52beeda66fe4f6c34b20e20,d0088b42222a39a2ae822259662578563f33366f72ec06f4b36d61f45d9c1cb3,ctls,ops.casper.tools,cloudfront,443,https://ops.casper.tools:443,https,,application/json,GET,13.32.121.78,/,968070783,13.32.121.46,Amazon Web Services,1,False,True,True,,,
pages.mail.casper.com,403 - Forbidden: Access is denied.,403,1233,pages.mail.casper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2022-10-18T00:00:00Z,2023-11-18T23:59:59Z,"CN=pages.mail.casper.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",pages.mail.casper.com,pages.mail.casper.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,4b8cd482deec2b0a5937a4e67d2c6ce7,675be1b0166c45a4d56a49d297eaabe14cb9f119800aaf89bc2bdb559a7fd2d1,ctls,pages.mail.casper.com,,443,https://pages.mail.casper.com:443,https,,text/html,GET,13.111.164.222,/,-207424980,13.111.164.222,,30,False,,,"SALESFORCE.COM, INC.",,
pm-bounces.casper.com,Postmark — Email delivery for web apps,200,4374,,,,,,,,,,,,,,,,,,,,,80,http://pm-bounces.casper.com:80,http,AmazonS3,text/html,GET,138.197.30.54,/,-1457628171,138.197.30.54,Amazon Web Services,85,False,,,,,
pos2.casper.tools,ERROR: The request could not be satisfied,403,919,pos2.casper.tools,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=casper.tools,casper.tools,*.casper.tools,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,874ee9aae52beeda66fe4f6c34b20e20,d0088b42222a39a2ae822259662578563f33366f72ec06f4b36d61f45d9c1cb3,ctls,pos2.casper.tools,cloudfront,443,https://pos2.casper.tools:443,https,CloudFront,text/html,GET,13.32.27.29,/,895316041,13.32.27.33,Amazon Web Services,20,False,True,True,,,
quietrooms.casper.com,Casper | Unsupported browser,200,1396,legacy.casper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2022-11-04T20:42:23Z,2023-12-06T20:42:22Z,CN=*.casper.com,*.casper.com,*.casper.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,b05e703d2b2d06fc31c2c7009b8a6f6f,712f74c28bd7dc9a0962b606b08fa15d0bc275292ce1615710f5d861a1a45e34,ctls,legacy.casper.com,fastly,443,https://quietrooms.casper.com:443,https,,text/html,GET,151.101.65.131,/,193884965,151.101.129.131,Varnish,37,False,True,True,,https://legacy.casper.com/unsupported-browser/,
refer.casper.com,refer.casper.com,200,785,refer.casper.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-02-21T00:00:00Z,2023-08-10T23:59:59Z,CN=refer.casper.com,refer.casper.com,refer.casper.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a68e853049892fe679d215ea3f72a634,76d5451fdcf857ef324809dfc69841c969cc0541727467b3fbda57872f407e5a,ctls,refer.casper.com,cloudfront,443,https://refer.casper.com:443,https,AmazonS3,text/html,GET,18.66.192.18,/,970280351,2600:9000:2240:4c00:18:20a4:9940:93a1,Amazon Web Services,26,False,True,,,,
research.casper.com,Attention Required! | Cloudflare,403,4513,research.casper.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,,2023-05-04T00:00:00Z,2024-05-03T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.casper.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3c041ae1436c4c024e9909f99438fc7d,23bbe4f5f0539ce61075c7819c77a1d747c719280935595ab903e7cd3c617725,ctls,research.casper.com,cloudflare,443,https://research.casper.com:443,https,cloudflare,text/html,GET,104.16.205.66,/,715829500,2606:4700::6810:cd42,Cloudflare,94,False,True,True,"Cloudflare, Inc.",,
reststop.casper.com,The Best Bed for Better Sleep  | Casper®,200,1973109,legacy.casper.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2022-11-04T20:42:23Z,2023-12-06T20:42:22Z,CN=*.casper.com,*.casper.com,*.casper.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,b05e703d2b2d06fc31c2c7009b8a6f6f,712f74c28bd7dc9a0962b606b08fa15d0bc275292ce1615710f5d861a1a45e34,ctls,legacy.casper.com,fastly,443,https://reststop.casper.com:443,https,,text/html,GET,151.101.66.49,/,-322716804,151.101.2.49,Varnish,815,False,True,True,,https://legacy.casper.com/,
rts.casper.tools,Casper - Sign In,200,19162,casper.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,ctls,casper.okta.com,,443,https://rts.casper.tools:443,https,nginx,text/html,GET,34.204.159.90,/,1738184885,34.225.209.164,Nginx,489,False,,True,"Okta, Inc.",https://casper.okta.com/login/login.htm?fromURI=%2Fapp%2Fcasper_rtsokta_1%2FexkqjsgwekjzreJsH4x6%2Fsso%2Fsaml%3FSAMLRequest%3DjVPBbptAEP0VbnvCgA2xWRlLrq0qrtIW2aSHXqxlmSTEsEt2htrt13fBuPGhtXpCmn3vzXszwxxFXTV82dKL2sJbC0jOEhEMlVqttMK2BrMD86OU8Lh9SNgLUYPc8wzhSApswIxI6wq91pLQ6%252BQ8YdWYs7ZapRKd0DttoOgDiZHUtSeaZqjtrWJX3gcenA5vr%252Fh8hMPrLwOf8D483XmIuldnzmadsP00ziM%252Fjwr3qbiL3TCeBW4cRoE7K2Q4nuaTPCxmForYwkYhCUUJG%252FvjietHbhBkQcT9mE%252Bm35mTGk1a6upDqYpSPSesNYprgSVyJWpATpLvlp8f%252BHjk8%252FwMQn6fZambft1lzPlmg%252FchLYA5p7pSyDunt5XEZcrXlOY2pxmsssW8Q%252FM%252Bnln8z05qIFEIEnPvmjk%252Fr%252F%252BL7bRZp7oq5U9nWVX6uDIgCBJGpgXmfNSmFnTbW1cp7Tp6KCcjFJagiHmXJsN5QdEfm70tghM5K103wpTYzQ9OQtIl2zVqVdlpbeFpcXOgkssOZ8up%252FRy1KbrVgrQts85Oow0N8f8qfn77h9E%252Fr9e%252FyuI3,*.tiles.mapbox.com
spa.casper.com,The Best Bed for Better Sleep  | Casper®,200,1973644,spa.casper.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,,2023-05-04T00:00:00Z,2024-05-03T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.casper.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3c041ae1436c4c024e9909f99438fc7d,23bbe4f5f0539ce61075c7819c77a1d747c719280935595ab903e7cd3c617725,ctls,spa.casper.com,cloudflare,443,https://spa.casper.com:443,https,cloudflare,text/html,GET,104.16.158.76,/,-1239800835,2606:4700::6810:cd42,Google Tag Manager,767,False,True,True,"Cloudflare, Inc.",,
