new,host,a,soa,status_code,has_internal_ips,internal_ips,txt,aaaa,ns,cdn,cdn-name,mx,caa,cname,ptr
,bluehost.com,"104.18.28.109, 104.18.29.109","cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"MS=ms67698328, google-site-verification=66tEZdAQlA9BLDQd3QylvqYIhriJr5gGoA9cQbIOTp4, google-site-verification=DRKzLI6tQYu_YO6K5pGg0wOuuLxVcDhWpThjGgHA-cE, google-site-verification=Ps-PuyL1E7WcWPrX6y78aC4P2RfLoGvwpsl4-xwJPVw, google-site-verification=_6nbuoY72FRe_b9BN_gDw9Jkfcod1HYfWMzd9X4VwEg, google-site-verification=ka4w6xO8syWscGwCyrEERQm4W6xnC7u1LtEQ1ngICvc, google-site-verification=pFgmIQ6qK3YjcRAAhsKiPzmEiOVcynQslFMEba5lXvs, v=spf1 ip4:209.17.115.0/24 ip4:64.69.218.0/24 include:spf2.bluehost.com include:_spf.qualtrics.com include:_spf.google.com include:_spf.salesforce.com include:sparkpostmail.com include:spf.mailjet.com include:spf.protection.outlook.com include:_spf.myorde, rbox.com -all",,"cody.ns.cloudflare.com, erin.ns.cloudflare.com",True,cloudflare,bluehost-com.mail.eo.outlook.com,"amazon.com, comodoca.com, digicert.com; cansignhttpexchanges=yes, letsencrypt.org, pki.goog; cansignhttpexchanges=yes",,
,bluehost.in,"104.18.15.88, 104.18.14.88, 108.162.193.101, 172.64.33.101, 173.245.59.101, 108.162.192.108, 172.64.32.108, 173.245.58.108","andy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"v=spf1 include:_spf.google.com ip4:66.147.240.0/20 ip4:69.89.16.0/20 ip4:74.220.192.0/19 ip4:67.222.32.0/19 ip4:70.40.192.0/19 ip4:67.20.64.0/18 ip4:173.254.0.0/17 ip4:50.87.0.0/16 ip4:69.195.64.0/18 ip4:139.60.152.0/22 ip4:162.247.216.0/22 ip4:54.186.193, .102/32 ip4:52.222.73.120/32 ip4:52.222.73.83/32 ip4:52.222.62.51/32 ip4:52.222.75.85/32 exists:%{i}._spf.mta.salesforce.com exists:%{i}._spf.sparkpostmail.com ip4:203.13.40.50 ip4:203.13.40.54 ip4:203.13.40.51 ip4:203.13.40.45 ip4:203.13.40.46 ip4:203.13, .40.52 ip4:203.13.40.44 ip4:203.13.40.49 ip4:203.13.40.47 ip4:203.13.40.48 ip4:203.13.40.53 ip4:162.210.70.34 ip4:162.210.70.51 ip4:162.210.70.52/30 ip4:162.210.70.56/30 ip4:162.222.225.9 ip4:162.222.225.10/31 ip4:162.222.225.12/30 ip4:162.222.225.16/28 i, p4:162.222.225.32 ip4:162.222.225.40/31 ip4:162.222.225.58/31 ip4:199.79.62.66 ip4:199.79.63.209 ip4:199.79.63.210/31 ip4:199.79.63.212/30 ip4:199.79.63.216/29 ip4:199.79.63.228 ip4:199.79.63.249 ip4:204.11.59.83 ip4:204.11.59.142 ip4:208.91.198.22 ip4:20, 8.91.198.28 ip4:208.91.198.44 ip4:74.119.239.0/25 ip4:208.91.198.48 ip4:208.91.198.156 ip4:208.91.198.232 ip4:208.91.199.196/31 ip4:208.91.199.206/31 ip4:208.91.199.208/29 ip4:208.91.199.216/30 ip4:208.91.199.220 ip4:208.91.199.224/31 ip4:208.91.199.228/3, 1 ip4:208.91.199.247 ip4:208.75.120.0/22 ip4:199.255.192.0/22 ip4:199.127.232.0/22 ip4:54.240.0.0/18 ip4:69.169.224.0/20 ip4:76.223.176.0/24 ip4:76.223.180.0/23 ip4:76.223.188.0/24 ip4:76.223.189.0/24 ip4:76.223.190.0/24 ip4:66.147.245.12 include:ccsend.c, om include:mail.zendesk.com include:spf.protection.outlook.com -all, google-site-verification=joGbXxSMo98dPnadEGQK5jtlgPJ019VC-SOP9tB03Pg, MS=ms25792713","2606:4700:58::adf5:3b65, 2803:f800:50::6ca2:c165, 2a06:98c1:50::ac40:2165, 2606:4700:50::adf5:3a6c, 2803:f800:50::6ca2:c06c, 2a06:98c1:50::ac40:206c","andy.ns.cloudflare.com, dora.ns.cloudflare.com",True,cloudflare,"us3.mx2.mailhostbox.com, us3.mx1.mailhostbox.com, us3.mx3.mailhostbox.com","letsencrypt.org, amazon.com, comodoca.com, pki.goog; cansignhttpexchanges=yes, digicert.com",,
,bluerock1.bluehost.com,192.185.134.63,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,,
,box1.bluehost.com,69.89.30.141,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box10.bluehost.com,69.89.17.10,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box100.bluehost.com,69.89.22.100,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1000.bluehost.com,69.195.124.200,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1001.bluehost.com,69.195.124.201,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1002.bluehost.com,69.195.124.202,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1003.bluehost.com,69.195.124.203,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1004.bluehost.com,69.195.124.204,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1005.bluehost.com,69.195.124.205,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1006.bluehost.com,69.195.124.206,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1008.bluehost.com,69.195.124.208,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box101.bluehost.com,69.89.22.101,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1011.bluehost.com,69.195.124.211,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1012.bluehost.com,69.195.124.212,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1013.bluehost.com,69.195.124.213,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1014.bluehost.com,69.195.124.214,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1015.bluehost.com,69.195.124.215,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1016.bluehost.com,69.195.124.216,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1017.bluehost.com,69.195.124.217,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1018.bluehost.com,69.195.124.218,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1019.bluehost.com,69.195.124.219,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1020.bluehost.com,69.195.124.220,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1022.bluehost.com,69.195.124.222,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1023.bluehost.com,69.195.124.223,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1024.bluehost.com,69.195.124.224,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1025.bluehost.com,69.195.124.225,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1026.bluehost.com,69.195.124.226,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1027.bluehost.com,69.195.124.227,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1029.bluehost.com,69.195.124.229,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box103.bluehost.com,69.89.22.103,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1030.bluehost.com,69.195.124.230,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1031.bluehost.com,69.195.124.231,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1032.bluehost.com,69.195.124.232,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1033.bluehost.com,69.195.124.233,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1034.bluehost.com,69.195.124.234,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1035.bluehost.com,69.195.124.235,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1036.bluehost.com,69.195.124.236,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1037.bluehost.com,69.195.124.237,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
,box1039.bluehost.com,69.195.124.239,"cody.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,v=spf1 a mx include:bluehost.com ~all,,,,,,,,
