new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,ns,txt,mx,caa
[x],autodiscover.upstox.com,"40.99.204.8, 40.101.80.24, 40.101.81.168, 40.99.204.120","2603:1026:200:3c::8, 2603:1026:c03:3033::8, 2603:1026:200:51::8, 2603:1026:c03:7069::8","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,,,
[x],bo.upstox.com,,,ui-keystone-prod-1633778475.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],bom1.upstox.com,,,,"ns-1312.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],callback-b.upstox.com,"104.18.1.212, 104.18.0.212","2606:4700::6812:d4, 2606:4700::6812:1d4",callback-b.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],callback.upstox.com,"104.18.0.212, 104.18.1.212","2606:4700::6812:1d4, 2606:4700::6812:d4",callback.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],classic-pro.upstox.com,"104.18.0.212, 104.18.1.212","2606:4700::6812:d4, 2606:4700::6812:1d4",classic-pro.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],community.upstox.com,184.104.178.43,2602:fd3f:1:ff01::2b,upstox1.hosted-by-discourse.com,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,mx-corp1.discoursemail.com,letsencrypt.org
[x],console.upstox.com,"104.18.1.212, 104.18.0.212","2606:4700::6812:d4, 2606:4700::6812:1d4",console.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],dev-validate.upstox.com,"104.18.1.212, 104.18.0.212","2606:4700::6812:1d4, 2606:4700::6812:d4",dev-validate.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],dev.upstox.com,,,,"ns-513.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1189.awsdns-20.org, ns-1672.awsdns-17.co.uk, ns-17.awsdns-02.com, ns-513.awsdns-00.net",,,
[x],edis.upstox.com,"13.234.236.195, 52.66.191.230, 3.7.79.165",,edis-service-prod-2052884275.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],fwdkim1.upstox.com,"13.32.151.48, 13.32.151.124, 13.32.151.92, 13.32.151.71",,spfmx1.domainkey.freshemail.io,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,v=spf1 include:sendgrid.net include:fdspfus.freshemail.io include:fdspfeuc.freshemail.io include:fdspfind.freshemail.io include:fdspfaus.freshemail.io ~all,"mxb.freshdesk.com, mxa.freshdesk.com, mx.sendgrid.net",
[x],help.upstox.com,,"2606:4700::6812:d4, 2606:4700::6812:1d4",help.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],historical.static.upstox.com,"104.18.10.68, 104.18.11.68","2606:4700::6812:a44, 2606:4700::6812:b44",historical.static.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],invest.upstox.com,"104.18.0.212, 104.18.1.212","2606:4700::6812:1d4, 2606:4700::6812:d4",invest.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],keystone.upstox.com,"15.206.23.235, 13.235.4.23, 13.235.97.110",,ui-keystone-prod-1633778475.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],login-service-qa-cf.upstox.com,,,login-service-qa-cf.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,
[x],login-uat.access.upstox.com,,,login-uat.access.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,
[x],login-v2.upstox.com,"3.6.50.142, 52.66.179.191, 43.204.46.53",,p-ui-login-ext-ngav2-1675612461.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],login.access.upstox.com,,,login.access.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,
[x],m.access.upstox.com,,,m.access.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,
[x],m.login.access.upstox.com,,,m.login.access.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,
[x],m.uat.access.upstox.com,,,m.uat.access.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,
[x],mum1.upstox.com,115.111.204.182,,,"ns-1312.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],my.upstox.com,"3.110.17.73, 3.111.132.220, 65.2.165.111",,prod-ui-post-trade-ngav2-287955960.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],news-service-prod-cf.upstox.com,,,news-service-prod-cf.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,
[x],news-service-qa-cf.upstox.com,,,news-service-qa-cf.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,
[x],o1.ptr2322.upstox.com,149.72.129.221,,,"ns-1312.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],o3.ptr9287.upstox.com,167.89.35.9,,,"ns-1312.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],origin-lite-services-cf.upstox.com,"104.18.0.212, 104.18.1.212","2606:4700::6812:1d4, 2606:4700::6812:d4",origin-lite-services-cf.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],origin-service-uat.uat1.upstox.com,"104.18.19.25, 104.18.18.25","2606:4700::6812:1219, 2606:4700::6812:1319",origin-service-uat.uat1.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],origin-service-uat.upstox.com,,,service-uat-cf.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,
[x],partner.upstox.com,"13.234.145.143, 13.234.73.227, 3.111.109.210",,prod-ui-partner-dashboard-ngav2-1227657370.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],policy.upstox.com,"15.207.129.107, 13.235.166.226",,policy-documents-1180094876.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],pro-beta.upstox.com,"104.18.0.212, 104.18.1.212","2606:4700::6812:1d4, 2606:4700::6812:d4",pro-beta.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],prod.upstox.com,,,,"ns-1746.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-38.awsdns-04.com, ns-615.awsdns-12.net, ns-1140.awsdns-14.org, ns-1746.awsdns-26.co.uk",ca3-e687324cd8374065b78906c31c20d7f1,,
[x],profile.upstox.com,"3.110.17.73, 3.111.132.220, 65.2.165.111",,"my.upstox.com, prod-ui-post-trade-ngav2-287955960.ap-south-1.elb.amazonaws.com","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],qa-pro-4.upstox.com,"104.18.1.212, 104.18.0.212","2606:4700::6812:1d4, 2606:4700::6812:d4",qa-pro-4.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],qa-pro.upstox.com,"104.18.0.212, 104.18.1.212","2606:4700::6812:d4, 2606:4700::6812:1d4",qa-pro.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],qa-referrals-pro.upstox.com,"104.18.0.212, 104.18.1.212","2606:4700::6812:d4, 2606:4700::6812:1d4",qa-referrals-pro.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],raja-uat-cf.upstox.com,,,raja-uat-cf.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,
[x],referrals-pro.upstox.com,"104.18.0.212, 104.18.1.212","2606:4700::6812:d4, 2606:4700::6812:1d4",referrals-pro.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],rest-pro.upstox.com,"18.67.65.36, 18.67.65.86, 18.67.65.57, 18.67.65.124",,,"ns-1312.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,
[x],romne-proxy-uat.uat1.upstox.com,,,romne-proxy-uat.uat1.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,
[x],roundup.upstox.com,,"2606:4700::6812:d4, 2606:4700::6812:1d4",roundup.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],secops.upstox.com,"3.6.226.209, 3.7.96.106, 35.154.7.180",,iga-web-service-secops-136039370.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],sensibull.upstox.com,,"2606:4700::6812:d4, 2606:4700::6812:1d4",sensibull.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],service-uat.upstox.com,"104.18.3.135, 104.18.2.135","2606:4700::6812:287, 2606:4700::6812:387",service-uat.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],simsim-api.upstox.com,"104.18.0.212, 104.18.1.212","2606:4700::6812:1d4, 2606:4700::6812:d4",simsim-api.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],sip.upstox.com,52.112.192.11,2603:1027:0:48::20,sipdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,,
[x],smallcases.upstox.com,"13.32.121.73, 13.32.121.10, 13.32.121.107, 13.32.121.79",,upstox.smallcase.com,"ns-1731.awsdns-24.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,
[x],sparkline.static-uat.upstox.com,"104.18.21.40, 104.18.20.40","2606:4700::6812:1428, 2606:4700::6812:1528",sparkline.static-uat.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],sparkline.static.upstox.com,"104.18.10.68, 104.18.11.68","2606:4700::6812:b44, 2606:4700::6812:a44",sparkline.static.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],static-uat.upstox.com,,,static-uat.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,
[x],streak.upstox.com,"104.18.1.212, 104.18.0.212","2606:4700::6812:d4, 2606:4700::6812:1d4",streak.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],test-tv.upstox.com,,,test-tv.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,
[x],test.uat1.upstox.com,5.6.7.8,,,"ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],testcallback.upstox.com,,,testcallback.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,
[x],uat-cdn.upstox.com,"18.66.122.80, 18.66.122.2, 18.66.122.94, 18.66.122.118",,,"ns-1312.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,
[x],uat-live-api.upstox.com,"104.18.1.212, 104.18.0.212","2606:4700::6812:d4, 2606:4700::6812:1d4",uat-live-api.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],uat-live-order-margin-calculator.upstox.com,"104.18.1.212, 104.18.0.212","2606:4700::6812:1d4, 2606:4700::6812:d4",uat-live-order-margin-calculator.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],uat-live-ws-api.upstox.com,"104.18.1.212, 104.18.0.212",,uat-live-ws-api.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],uat-live-ws.upstox.com,"104.18.0.212, 104.18.1.212","2606:4700::6812:1d4, 2606:4700::6812:d4",uat-live-ws.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],uat-mutual-funds.upstox.com,,,uat-mutual-funds.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,
[x],uat-pro-4.upstox.com,"104.18.0.212, 104.18.1.212","2606:4700::6812:d4, 2606:4700::6812:1d4",uat-pro-4.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],uat-pro.upstox.com,"104.18.1.212, 104.18.0.212","2606:4700::6812:d4, 2606:4700::6812:1d4",uat-pro.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],uat-referrals-pro.upstox.com,"104.18.0.212, 104.18.1.212","2606:4700::6812:d4, 2606:4700::6812:1d4",uat-referrals-pro.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],uat-user-data-service.upstox.com,"104.18.1.212, 104.18.0.212","2606:4700::6812:d4, 2606:4700::6812:1d4",uat-user-data-service.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],uat.access.upstox.com,,,uat.access.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,
[x],uat1.upstox.com,,,,"ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-472.awsdns-59.com, ns-758.awsdns-30.net, ns-1181.awsdns-19.org, ns-1858.awsdns-40.co.uk",ca3-c759a0fbe9074d018c7fd1070bf2746c,,
[x],uplink.upstox.com,"104.18.1.212, 104.18.0.212","2606:4700::6812:d4, 2606:4700::6812:1d4",uplink.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],upstox-api-rest-service-b.prod.upstox.com,"3.6.106.242, 3.6.47.55, 43.205.152.142",,upstox-api-rest-service-prod-b-1426867471.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],upstox-api-ws-service.prod.upstox.com,"52.66.175.6, 35.154.48.122, 13.126.116.70",,upstox-api-ws-service-prod-1653203220.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],validate.upstox.com,"104.18.0.212, 104.18.1.212","2606:4700::6812:1d4, 2606:4700::6812:d4",validate.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],webapp-uat-dev-1346.upstox.com,"104.18.1.212, 104.18.0.212","2606:4700::6812:1d4, 2606:4700::6812:d4",webapp-uat-dev-1346.upstox.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],ws.upstox.com,,,,"ns-1312.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
[x],www.upstox.com,"13.226.153.71, 13.226.153.5, 13.226.153.112, 13.226.153.40","2600:9000:2182:4000:0:c47c:5c0:93a1, 2600:9000:2182:7c00:0:c47c:5c0:93a1, 2600:9000:2182:d600:0:c47c:5c0:93a1, 2600:9000:2182:8000:0:c47c:5c0:93a1, 2600:9000:2182:dc00:0:c47c:5c0:93a1, 2600:9000:2182:1e00:0:c47c:5c0:93a1, 2600:9000:2182:be00:0:c47c:5c0:93a1, 2600:9000:2182:1a00:0:c47c:5c0:93a1",dx00qblziig47.cloudfront.net,"ns-857.awsdns-43.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1899.awsdns-45.co.uk, ns-36.awsdns-04.com, ns-857.awsdns-43.net, ns-1051.awsdns-03.org",,,
