new,host,a,soa,status_code,cname,cdn,cdn-name,ns,aaaa,has_internal_ips,internal_ips,mx,txt,caa
[x],limedia.atg.se,185.134.13.16,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],live.atg.se,195.198.34.80,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],login.atg.se,195.198.34.21,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],lpoamw.atg.se,195.198.34.37,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],lpoamw.dev.atg.se,"108.156.60.22, 108.156.60.13, 108.156.60.29, 108.156.60.71","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],mail1p.atg.se,195.198.34.219,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],media.atg.se,195.198.34.32,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],medlemsklippet.atg.se,195.198.34.95,,NOERROR,,,,,,,,,,
[x],mgmt.hh.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],mobil.atg.se,195.198.34.108,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],mobilapp.atg.se,"18.66.147.67, 18.66.147.95, 18.66.147.68, 18.66.147.42","ns-1486.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,d30r2oowj8kzmn.cloudfront.net,True,cloudfront,"ns-1486.awsdns-57.org, ns-1612.awsdns-09.co.uk, ns-240.awsdns-30.com, ns-949.awsdns-54.net","2600:9000:225e:6400:10:8789:57c0:93a1, 2600:9000:225e:fe00:10:8789:57c0:93a1, 2600:9000:225e:e00:10:8789:57c0:93a1, 2600:9000:225e:8c00:10:8789:57c0:93a1, 2600:9000:225e:c600:10:8789:57c0:93a1, 2600:9000:225e:600:10:8789:57c0:93a1, 2600:9000:225e:f000:10:8789:57c0:93a1, 2600:9000:225e:1600:10:8789:57c0:93a1",,,,,
[x],mx1p.atg.se,195.198.34.200,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],mx2p.atg.se,195.198.34.201,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],nosportinfo.atg.se,195.198.34.17,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],nymedlem.atg.se,195.198.34.95,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],ocp-prod.hastsportenshus.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],ocpiprod.hastsportenshus.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],ombud.atg.se,195.198.34.37,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],onprem.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],onprem1.atg.se,195.198.34.216,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],onprem2.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],onpremgw.atg.se,195.198.34.211,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],owa.atg.se,195.198.34.211,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],phosworks.atg.se,195.198.34.37,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],poc.atg.se,"195.198.34.211, 195.198.34.66, 195.198.34.67","dnsp1.atg.se, domains.atg.se",NOERROR,,,,"dns6.telia.com, dnsp2.atg.se, dns5.telia.com, dnsp1.atg.se",,,,,,
[x],polopoly.atg.se,"195.198.34.237, 195.198.34.66, 195.198.34.67","dnsp1.atg.se, domains.atg.se",NOERROR,,,,"dnsp2.atg.se, dns5.telia.com, dns6.telia.com, dnsp1.atg.se",,,,,,
[x],portalen.atg.se,195.198.34.20,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],print.atg.se,195.198.34.77,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],prod.network.aws.atg.se,,"ns-620.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],prod.spelassistent.aws.atg.se,,"ns-396.awsdns-49.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-770.awsdns-32.net, ns-1318.awsdns-36.org, ns-1931.awsdns-49.co.uk, ns-396.awsdns-49.com",,,,,,
[x],prod.sre.aws.atg.se,,"ns-794.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1703.awsdns-20.co.uk, ns-199.awsdns-24.com, ns-794.awsdns-35.net, ns-1265.awsdns-30.org",,,,,,
[x],prod.streaming.aws.atg.se,"143.204.231.56, 143.204.231.9, 143.204.231.95, 143.204.231.39","ns-170.awsdns-21.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,"ns-1326.awsdns-37.org, ns-170.awsdns-21.com, ns-1801.awsdns-33.co.uk, ns-858.awsdns-43.net",,,,,,
[x],prometheus.dev.atg.se,"54.76.217.231, 108.128.211.143, 52.213.131.224","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1008.awsdns-62.net, ns-1297.awsdns-34.org, ns-1839.awsdns-37.co.uk, ns-87.awsdns-10.com",,,,,,
[x],promo.atg.se,"104.16.81.104, 104.16.78.104, 104.16.80.104, 104.16.82.104, 104.16.79.104","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"target.bannerflow.com, target.bannerflow.com.cdn.cloudflare.net",True,cloudflare,,"2606:4700::6810:4f68, 2606:4700::6810:5268, 2606:4700::6810:5168, 2606:4700::6810:5068, 2606:4700::6810:4e68",,,,,
[x],push.atg.se,195.198.34.78,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],push.qa.atg.se,195.198.34.122,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],qa.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],qa.hh.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],qa.search.atg.se,"99.84.108.34, 99.84.108.10, 99.84.108.25, 99.84.108.33, 205.251.192.169, 205.251.195.3, 205.251.197.109, 205.251.198.206","ns-1389.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,d2ee3xz5z9bsjh.cloudfront.net,True,cloudfront,"ns-1742.awsdns-25.co.uk, ns-771.awsdns-32.net, ns-169.awsdns-21.com, ns-1389.awsdns-45.org",,,,,,
[x],r121.news.atg.se,192.243.255.121,"ns-1641.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],r122.news.atg.se,192.243.255.122,"ns-1641.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],r124.news.atg.se,192.243.255.124,"ns-1641.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],remote.atg.se,185.134.13.25,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],sdc.atg.se,195.198.34.76,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],search.atg.se,"52.222.214.117, 52.222.214.69, 52.222.214.126, 52.222.214.12","ns-1389.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,d2ee3xz5z9bsjh.cloudfront.net,True,cloudfront,"ns-1389.awsdns-45.org, ns-169.awsdns-21.com, ns-1742.awsdns-25.co.uk, ns-771.awsdns-32.net",,,,,,
[x],service-stage.dev.atg.se,195.198.34.133,"ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],service-test1.dev.atg.se,195.198.34.133,"ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],service-test2.dev.atg.se,195.198.34.133,"ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],service.qa.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],services.mobil.atg.se,195.198.34.106,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],sip.atg.se,52.112.192.139,"admin.nsatc.net, dns.level3.net",NOERROR,sipdir.online.lync.com,,,,2603:1027:0:3::b,,,,,
[x],smetric.atg.se,"63.140.38.120, 63.140.38.225, 63.140.38.15, 63.140.38.139, 63.140.38.137, 63.140.38.178, 63.140.38.0, 63.140.38.163, 63.140.38.226, 63.140.38.123","ns201.adobe.net, hostmaster.adobe.com",NOERROR,atg.se.ssl.d3.sc.omtrdc.net,,,,,,,,,
[x],spela.atg.se,"195.198.34.108, 195.198.34.66, 195.198.34.67","dnsp1.atg.se, domains.atg.se",NOERROR,mobil.atg.se,,,"dns6.telia.com, dnsp2.atg.se, dns5.telia.com, dnsp1.atg.se",,,,,,
[x],spela.mobil.atg.se,195.198.34.107,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],spela2.mobil.atg.se,195.198.34.107,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],spelskolan.atg.se,195.74.38.136,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],spfarm1.atg.se,195.198.34.214,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],sportsystemet.atg.se,195.198.34.214,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],sso.aws.atg.se,,"ns-1168.awsdns-18.org, awsdns-hostmaster.amazon.com",NOERROR,d329mse1e7rczw.cloudfront.net,True,cloudfront,,,,,,,
[x],startlists.aws.atg.se,"54.195.66.19, 54.171.153.74","ns-86.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],sts.atg.se,195.198.34.211,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],suppliers.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],swagger.atg.se,"13.49.141.154, 13.49.154.112, 13.50.230.60","ns-1802.awsdns-33.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1444.awsdns-52.org, ns-1802.awsdns-33.co.uk, ns-50.awsdns-06.com, ns-861.awsdns-43.net",,,,,,
[x],t.email.atg.se,"99.80.215.138, 52.213.160.179","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,abtrav-rt-prod2-ssl1-319621899.eu-west-1.elb.amazonaws.com,,,,,,,,,
[x],t.news.atg.se,"99.81.50.75, 34.246.241.2","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,atg-mkt-prod1-alb-1616781763.eu-west-1.elb.amazonaws.com,,,,,,,,,
[x],tavling.atg.se,"195.198.34.95, 195.198.34.66, 195.198.34.67","dnsp1.atg.se, domains.atg.se",NOERROR,,,,"dnsp2.atg.se, dns5.telia.com, dns6.telia.com, dnsp1.atg.se",,,,,,
[x],test-mailduty.atg.se,"195.198.34.144, 195.198.34.66, 195.198.34.67","dnsp1.atg.se, domains.atg.se",NOERROR,,,,"dns5.telia.com, dnsp2.atg.se, dnsp1.atg.se, dns6.telia.com",,,,,,
[x],test.atg.se,195.198.34.145,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],test.developer.atg.se,"108.157.229.84, 108.157.229.120, 108.157.229.119, 108.157.229.11","ns-1292.awsdns-33.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,"ns-1763.awsdns-28.co.uk, ns-419.awsdns-52.com, ns-607.awsdns-11.net, ns-1292.awsdns-33.org",,,,,,
[x],test.mobil.atg.se,"195.198.34.146, 195.198.34.66, 195.198.34.67","dnsp1.atg.se, domains.atg.se",NOERROR,,,,"dnsp2.atg.se, dns6.telia.com, dns5.telia.com, dnsp1.atg.se",,,,,,
[x],test.suppliers.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],test1.dev.atg.se,"143.204.215.2, 143.204.215.79, 143.204.215.6, 143.204.215.51","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],test1.hh.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],test2.hh.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],test3.hh.atg.se,,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],tillsammans.atg.se,195.198.34.41,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],tillsammans.qa.atg.se,195.198.34.119,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],time1.atg.se,195.198.34.150,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],time2.atg.se,195.198.34.151,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],traefik-internal.dev.cloud.aws.atg.se,"13.48.140.122, 16.16.161.104","ns-464.awsdns-58.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,"heritage=external-dns,external-dns/owner=/hostedzone/Z31WX0QVG2REE1,external-dns/resource=ingress/traefik-internal/traefik-dashboard",
[x],transfer.atg.se,195.198.34.160,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],tspela.mobil.atg.se,195.198.34.147,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],tspela2.mobil.atg.se,195.198.34.147,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],umbraco.atg.se,195.198.34.238,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],vmiv75.atg.se,195.198.34.39,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],waf.dev.atg.se,"18.244.102.41, 18.244.102.31, 18.244.102.69, 18.244.102.42","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],web.dev.atg.se,"13.249.9.123, 13.249.9.53, 13.249.9.19, 13.249.9.32","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,"ns-1008.awsdns-62.net, ns-1297.awsdns-34.org, ns-1839.awsdns-37.co.uk, ns-87.awsdns-10.com",,,,,,
[x],webhooks.atg.se,195.198.34.19,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],webservice.atg.se,195.198.34.31,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],webservicetest.atg.se,195.198.34.32,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],wsinfo.atg.se,"195.198.34.32, 195.198.34.66, 195.198.34.67","dnsp1.atg.se, domains.atg.se",NOERROR,,,,"dnsp2.atg.se, dns5.telia.com, dns6.telia.com, dnsp1.atg.se",,,,,,
[x],www.atg.se,195.198.34.30,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],www.kundservice.dev.atg.se,"143.204.215.51, 143.204.215.6, 143.204.215.2, 143.204.215.79","ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],www.medlemsklippet.atg.se,195.198.34.95,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],www.nymedlem.atg.se,195.198.34.95,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],www.qa.atg.se,195.198.34.121,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],www.tavling.atg.se,195.198.34.95,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
[x],www.tillsammans.atg.se,195.198.34.41,"dnsp1.atg.se, domains.atg.se",NOERROR,,,,,,,,,,
