input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,final_url,csp_domains_,tls_mismatched,tls_subject_org_
accessadmin-tempcontainer-corporate.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722628,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://accessadmin-tempcontainer-corporate.charts.mongodb.com:443,https,,text/html,GET,54.175.147.155,/,-2143930371,52.21.89.200,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
accessmiembros.charts-dev.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722628,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://accessmiembros.charts-dev.mongodb.com:443,https,,text/html,GET,54.175.147.155,/,-2143930371,52.21.89.200,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
account-dev.mongodb.com,Cloud: MongoDB Cloud,200,5371,account-dev.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-22T17:52:46Z,2023-06-20T17:52:45Z,CN=account-dev.mongodb.com,account-dev.mongodb.com,account-dev.mongodb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3a158a736e51882cfeb2ac83a37e22db,1f450e922c6fe67864c4b8c22d0b439f5f6d2ae8149686e95f5c40d653c992f8,ctls,account-dev.mongodb.com,,443,https://account-dev.mongodb.com:443,https,mdbws,text/html,GET,3.231.133.249,/,-611911493,3.231.133.249,HSTS,128,False,,,https://account-dev.mongodb.com/account/login,,,
account.mongodb.com,MongoDB Cloud | MongoDB,200,479007,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://account.mongodb.com:443,https,,text/html,GET,54.81.24.155,/,-1729200187,54.81.24.155,HSTS,362,False,,True,https://www.mongodb.com/cloud,https://*.mongodb.com,,
accountchefsql-us.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722628,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://accountchefsql-us.charts.mongodb.com:443,https,,text/html,GET,52.206.222.245,/,-2143930371,54.175.147.155,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
acme-test-1.test.corp.mongodb.com,404 | MongoDB,404,10152,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://acme-test-1.test.corp.mongodb.com:443,https,,text/html,GET,54.146.255.161,/,-680925535,50.16.165.49,HSTS,148,False,,True,https://www.mongodb.com/404,https://*.mongodb.com,,
acme.test.corp.mongodb.com,404 | MongoDB,404,10151,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://acme.test.corp.mongodb.com:443,https,,text/html,GET,54.146.255.161,/,,50.16.165.49,HSTS,148,False,,True,https://www.mongodb.com/404,https://*.mongodb.com,,
admin-preferences-system-postgresgit.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722628,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://admin-preferences-system-postgresgit.charts.mongodb.com:443,https,,text/html,GET,54.175.147.155,/,-2143930371,52.21.89.200,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
adminalpha-alphaalt-acc-backupsauth-antiviruspre.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722621,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://adminalpha-alphaalt-acc-backupsauth-antiviruspre.charts.mongodb.com:443,https,,text/html,GET,54.175.147.155,/,,52.21.89.200,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
adminpreferences-wwwmiembros.charts.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,722628,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://adminpreferences-wwwmiembros.charts.mongodb.com:443,https,,text/html,GET,52.21.89.200,/,-2143930371,54.175.147.155,HSTS,455,False,,True,https://www.mongodb.com/,https://*.mongodb.com,,
