input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,cdn_name,cdn,final_url,csp_domains_
45.4mbk8s.gcr.io,,404,35,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,45.4mbk8s.gcr.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-04-17T08:24:47Z,2023-07-10T08:24:46Z,CN=*.googlecode.com,*.googlecode.com,googlecode.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccd23e40bdd6360539f037f5ccae2b49,f33ab72d0932a89322ca576477e1b8b6f94765b2b79402148778690556082337,True,ctls,45.4mbk8s.gcr.io,443,https://45.4mbk8s.gcr.io:443,https,Docker Registry,text/plain,GET,108.177.15.82,/,302920777,2a00:1450:400c:c07::52,HTTP/3,1,False,,,,,
52.8mbk8s.gcr.io,,404,35,AS15169,GOOGLE,US,64.233.168.0/23,52.8mbk8s.gcr.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-04-17T08:24:47Z,2023-07-10T08:24:46Z,CN=*.googlecode.com,*.googlecode.com,googlecode.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccd23e40bdd6360539f037f5ccae2b49,f33ab72d0932a89322ca576477e1b8b6f94765b2b79402148778690556082337,True,ctls,52.8mbk8s.gcr.io,443,https://52.8mbk8s.gcr.io:443,https,Docker Registry,text/plain,GET,64.233.166.82,/,302920777,2a00:1450:400c:c03::52,HTTP/3,1,False,,,,,
54a046e5697ac44bd82e27b7974f9735gke.gcr.io,,404,61,AS15169,GOOGLE,US,173.194.96.0/21,54a046e5697ac44bd82e27b7974f9735gke.gcr.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-17T08:28:59Z,2023-07-10T08:28:58Z,CN=*.gcr.io,*.gcr.io,gcr.io,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5f40d822abd8e8aa693f31929e0efacc,d312f8a506110956cdb9160ad0b0020dc7dffc1f07f2b630947bb6103be887fe,True,ctls,54a046e5697ac44bd82e27b7974f9735gke.gcr.io,443,https://54a046e5697ac44bd82e27b7974f9735gke.gcr.io:443,https,Docker Registry,text/plain,GET,173.194.76.82,/,302920777,2a00:1450:400c:c0c::52,HTTP/3,1,False,,,,,
683kbk8s.gcr.io,,404,34,AS15169,GOOGLE,US,74.125.192.0/20,683kbk8s.gcr.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-17T08:28:59Z,2023-07-10T08:28:58Z,CN=*.gcr.io,*.gcr.io,gcr.io,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5f40d822abd8e8aa693f31929e0efacc,d312f8a506110956cdb9160ad0b0020dc7dffc1f07f2b630947bb6103be887fe,True,ctls,683kbk8s.gcr.io,443,https://683kbk8s.gcr.io:443,https,Docker Registry,text/plain,GET,74.125.206.82,/,302920777,2a00:1450:400c:c04::52,HTTP/3,1,False,,,,,
accessconfig-config-cms.gcr.io,,404,49,AS15169,GOOGLE,US,74.125.192.0/20,accessconfig-config-cms.gcr.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-17T08:28:59Z,2023-07-10T08:28:58Z,CN=*.gcr.io,*.gcr.io,gcr.io,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5f40d822abd8e8aa693f31929e0efacc,d312f8a506110956cdb9160ad0b0020dc7dffc1f07f2b630947bb6103be887fe,True,ctls,accessconfig-config-cms.gcr.io,443,https://accessconfig-config-cms.gcr.io:443,https,Docker Registry,text/plain,GET,74.125.206.82,/,302920777,2a00:1450:400c:c04::52,HTTP/3,1,False,,,,,
api.github.com,,200,2262,AS36459,GITHUB,US,140.82.120.0/21,api.github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-16T00:00:00Z,2024-03-15T23:59:59Z,"CN=*.github.com, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.com,github.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,ba7af2959dadde12f1b1a0d702a8b70a,b6174d4c3ec5ae768610ad705544b4600e514a55718a94c636563cbaa4dd664c,True,ctls,api.github.com,443,https://api.github.com:443,https,GitHub.com,application/json,GET,140.82.121.5,/,1848946384,140.82.121.5,HSTS,1,False,"GitHub, Inc.",,,,
appengine.gcr.io,Container Registry  |  Google Cloud,200,751570,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,cloud.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,cloud.google.com,443,https://appengine.gcr.io:443,https,Google Frontend,text/html,GET,108.177.15.82,/,-1713011094,2a00:1450:400c:c07::52,HTTP/3,29423,False,,,,https://cloud.google.com/container-registry/,https://csp.withgoogle.com/csp/devsite/v2
artifacts-sandbox.k8s.io,"GitHub - kubernetes-sigs/porche: This project exists to explore the creation of a redirector for specific artifacts, similar to the redirector for registry.k8s.io.",200,210715,AS15169,GOOGLE,US,34.111.0.0/16,github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,"CN=github.com, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",github.com,www.github.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,d7f89274a26995baaf99c5aac4ebe7d2,92a37fbd5e21a53a95c716e1144f442f582b94d0fafc673eb6717a4eb51a88a7,,ctls,github.com,443,https://artifacts-sandbox.k8s.io:443,https,GitHub.com,text/html,GET,34.110.218.166,/,-138391155,2600:1901:0:3b54::,HSTS,2425,False,"GitHub, Inc.",google,True,https://github.com/kubernetes-sigs/porche,github-production-repository-file-5c1aeb.s3.amazonaws.com
as101-4-ams01-1.gcr.io,,404,41,AS15169,GOOGLE,US,74.125.192.0/20,as101-4-ams01-1.gcr.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-17T08:28:59Z,2023-07-10T08:28:58Z,CN=*.gcr.io,*.gcr.io,gcr.io,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5f40d822abd8e8aa693f31929e0efacc,d312f8a506110956cdb9160ad0b0020dc7dffc1f07f2b630947bb6103be887fe,True,ctls,as101-4-ams01-1.gcr.io,443,https://as101-4-ams01-1.gcr.io:443,https,Docker Registry,text/plain,GET,74.125.206.82,/,302920777,2a00:1450:400c:c04::52,HTTP/3,1,False,,,,,
attacherk8s.gcr.io,,404,37,AS15169,GOOGLE,US,74.125.136.0/21,attacherk8s.gcr.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-17T08:28:59Z,2023-07-10T08:28:58Z,CN=*.gcr.io,*.gcr.io,gcr.io,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5f40d822abd8e8aa693f31929e0efacc,d312f8a506110956cdb9160ad0b0020dc7dffc1f07f2b630947bb6103be887fe,True,ctls,attacherk8s.gcr.io,443,https://attacherk8s.gcr.io:443,https,Docker Registry,text/plain,GET,74.125.133.82,/,302920777,2a00:1450:400c:c07::52,HTTP/3,1,False,,,,,
avatars.githubusercontent.com,GitHub: Let’s build from here · GitHub,200,227573,AS54113,AS54113,Unknown,185.199.108.0/22,github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,"CN=github.com, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",github.com,www.github.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,d7f89274a26995baaf99c5aac4ebe7d2,92a37fbd5e21a53a95c716e1144f442f582b94d0fafc673eb6717a4eb51a88a7,,ctls,github.com,443,https://avatars.githubusercontent.com:443,https,GitHub.com,text/html,GET,185.199.111.133,/,98870310,2606:50c0:8001::154,HSTS,2366,False,"GitHub, Inc.",,,https://github.com,insights.github.com
b.gcr.io,Container Registry  |  Google Cloud,200,751574,AS15169,GOOGLE,US,64.233.168.0/23,cloud.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,cloud.google.com,443,https://b.gcr.io:443,https,Google Frontend,text/html,GET,64.233.167.82,/,-95116970,2a00:1450:400c:c07::52,HTTP/3,29423,False,,,,https://cloud.google.com/container-registry/,https://csp.withgoogle.com/csp/devsite/v2
bbqtown-bucky.docs.canary.k8s.io,,404,50,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.159.0.0/16,bbqtown-bucky.docs.canary.k8s.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-12-21T00:00:00Z,2024-01-21T23:59:59Z,"CN=*.netlify.app, O=Netlify\, Inc, L=San Francisco, ST=California, C=US",*.netlify.app,netlify.app,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,417633b3103244c3b5c76867e4b088ec,28df772cfa74243dc43f799c904905b2525b8b50541551edcd7cd9730d114610,True,ctls,bbqtown-bucky.docs.canary.k8s.io,443,https://bbqtown-bucky.docs.canary.k8s.io:443,https,Netlify,text/plain,GET,34.159.168.235,/,1721922557,2a05:d014:275:cb00::c8,Netlify,1,False,"Netlify, Inc",google,True,,
beta.gcr.io,Container Registry  |  Google Cloud,200,751570,AS15169,GOOGLE,US,64.233.168.0/23,cloud.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,cloud.google.com,443,https://beta.gcr.io:443,https,Google Frontend,text/html,GET,64.233.167.82,/,215622084,2a00:1450:400c:c07::52,HTTP/3,29423,False,,,,https://cloud.google.com/container-registry/,https://csp.withgoogle.com/csp/devsite/v2
bf06d.gcr.io,,404,31,AS15169,GOOGLE,US,74.125.192.0/20,bf06d.gcr.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-17T08:28:59Z,2023-07-10T08:28:58Z,CN=*.gcr.io,*.gcr.io,gcr.io,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5f40d822abd8e8aa693f31929e0efacc,d312f8a506110956cdb9160ad0b0020dc7dffc1f07f2b630947bb6103be887fe,True,ctls,bf06d.gcr.io,443,https://bf06d.gcr.io:443,https,Docker Registry,text/plain,GET,74.125.206.82,/,302920777,2a00:1450:400c:c04::52,HTTP/3,1,False,,,,,
blog.canary.kubernetes.io,Kubernetes,200,22404,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.110.0.0/19,kubernetes.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-14T17:30:12Z,2023-06-12T17:30:11Z,CN=kubernetes.io,kubernetes.io,www.kubernetes.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,74e0cba4e66a076edd0f5ba89a66f9eb,4d81c38b78016e4d4da346818907f0f32f4924851cdf491f9d93089a57f179b3,,ctls,kubernetes.io,80,http://blog.canary.kubernetes.io:80,http,Netlify,text/html,GET,34.107.204.206,/,-2049651815,2600:1901:0:26f3::,YouTube,38,False,,google,True,https://kubernetes.io/,
bucket.gcr.io,Error 400 (Bad Request)!!1,400,1555,AS15169,GOOGLE,US,74.125.192.0/20,bucket.gcr.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-17T08:28:59Z,2023-07-10T08:28:58Z,CN=*.gcr.io,*.gcr.io,gcr.io,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5f40d822abd8e8aa693f31929e0efacc,d312f8a506110956cdb9160ad0b0020dc7dffc1f07f2b630947bb6103be887fe,True,ctls,bucket.gcr.io,443,https://bucket.gcr.io:443,https,Docker Registry,text/html,GET,74.125.206.82,/,302920777,2a00:1450:400c:c04::52,HTTP/3,12,False,,,,,
camo.githubusercontent.com,,404,19,AS54113,AS54113,Unknown,185.199.108.0/22,camo.githubusercontent.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,camo.githubusercontent.com,443,https://camo.githubusercontent.com:443,https,github-camo (1c8e24d2),text/plain,GET,185.199.109.133,/,-138391155,185.199.110.133,Varnish,2,False,"GitHub, Inc.",,,,
canary.k8s.io,Kubernetes,200,22404,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.110.0.0/19,kubernetes.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-14T17:30:12Z,2023-06-12T17:30:11Z,CN=kubernetes.io,kubernetes.io,www.kubernetes.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,74e0cba4e66a076edd0f5ba89a66f9eb,4d81c38b78016e4d4da346818907f0f32f4924851cdf491f9d93089a57f179b3,,ctls,kubernetes.io,443,https://canary.k8s.io:443,https,Netlify,text/html,GET,34.107.204.206,/,-2049651815,2600:1901:0:26f3::,YouTube,38,False,,google,True,https://kubernetes.io/,
canary.kubernetes.io,,404,50,AS54825,PACKET,US,147.75.44.0/24,canary.kubernetes.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-12-21T00:00:00Z,2024-01-21T23:59:59Z,"CN=*.netlify.app, O=Netlify\, Inc, L=San Francisco, ST=California, C=US",*.netlify.app,netlify.app,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,417633b3103244c3b5c76867e4b088ec,28df772cfa74243dc43f799c904905b2525b8b50541551edcd7cd9730d114610,True,ctls,canary.kubernetes.io,443,https://canary.kubernetes.io:443,https,Netlify,text/plain,GET,147.75.40.148,/,-92858018,147.75.40.148,Netlify,1,False,"Netlify, Inc",,,,
cdn.optimizely.com,,403,243,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,cdn.optimizely.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=cdn.optimizely.com, O=Optimizely\, Inc., L=San Francisco, ST=California, C=US",cdn.optimizely.com,cdn.optimizely.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,363957d590c9234509e3953eacb059f7,c552547b0f39026b1278748f18789ed722dc4275729b24d0d3779816ec455499,,ctls,cdn.optimizely.com,443,https://cdn.optimizely.com:443,https,AmazonS3,application/xml,GET,2.19.224.146,/,-886044740,2a02:26f0:480:58b::13b8,HSTS,2,False,"Optimizely, Inc.",,,,
changelog.canary.kubernetes.io,Kubernetes,200,22404,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.110.0.0/19,kubernetes.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-14T17:30:12Z,2023-06-12T17:30:11Z,CN=kubernetes.io,kubernetes.io,www.kubernetes.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,74e0cba4e66a076edd0f5ba89a66f9eb,4d81c38b78016e4d4da346818907f0f32f4924851cdf491f9d93089a57f179b3,,ctls,kubernetes.io,443,https://changelog.canary.kubernetes.io:443,https,Netlify,text/html,GET,34.107.204.206,/,-2049651815,2600:1901:0:26f3::,YouTube,38,False,,google,True,https://kubernetes.io/,
ci-test.kubernetes.io,Google Cloud Platform,200,559007,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.110.0.0/19,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,True,ctls,accounts.google.com,443,https://ci-test.kubernetes.io:443,https,ESF,text/html,GET,34.107.204.206,/,1635203245,2600:1901:0:26f3::,HTTP/3,46,False,,google,True,https://accounts.google.com/v3/signin/identifier?dsh=S-1391767116%3A1683735196496051&continue=https%3A%2F%2Fconsole.cloud.google.com%2Fstorage%2Fbrowser%2Fkubernetes-jenkins%2Flogs&followup=https%3A%2F%2Fconsole.cloud.google.com%2Fstorage%2Fbrowser%2Fkubernetes-jenkins%2Flogs&ifkv=Af_xneFC-sbImJUGfha-PcTx7VIqVaJWYbDygu__mXGjiEnyXeAIF5YdzT7IQY8ZOVrmyaA0LH1-Nw&osid=1&passive=1209600&service=cloudconsole&flowName=GlifWebSignIn&flowEntry=ServiceLogin,https://www.googletagmanager.com
cloud-provider-vsphere.sigs.k8s.io,Introduction · GitBook,200,22919,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.159.0.0/16,cloud-provider-vsphere.sigs.k8s.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-05T05:50:09Z,2023-07-04T05:50:08Z,CN=cloud-provider-vsphere.sigs.k8s.io,cloud-provider-vsphere.sigs.k8s.io,cloud-provider-vsphere.sigs.k8s.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,feda3f70e71d6d5ae0737363dfe61248,e6c5c5db94492c9b537399123055e24b87e6af31394a9cedf1b4b462d756a5fd,,ctls,cloud-provider-vsphere.sigs.k8s.io,443,https://cloud-provider-vsphere.sigs.k8s.io:443,https,Netlify,text/html,GET,34.159.137.246,/,-1160966609,2a05:d014:275:cb01::c8,Netlify,471,False,,google,True,,
