input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,final_url,tls_subject_org_
blog.coda.io,Coda Blog,200,390598,https://pbs.twimg.com,blog.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,CN=blog.coda.io,blog.coda.io,blog.coda.io,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,aaf1ac93dfec7080d23cad4833f133d7,427c93ee4b3245d3519cc2f056b5b9e0df997213bee1c2816b43b1ad08e44754,ctls,blog.coda.io,,443,https://blog.coda.io:443,https,openresty,text/html,GET,52.0.16.118,/,-1485515534,52.4.145.119,PayPal,237,False,,,https://blog.coda.io/?gi=9dcaf24fbb29,
build-links.coda.io,404 Not Found,404,552,,build-links.coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-08-05T23:59:59Z,CN=build-links.coda.io,build-links.coda.io,build-links.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7d8995282d230787415e3ec07c6804a9,eeb7b2e921a8d9c3d3d72f6101c18eab73a483650e3762ee1e964eb07f372358,ctls,build-links.coda.io,cloudfront,443,https://build-links.coda.io:443,https,msys-http,text/plain,GET,108.138.7.99,/,-1840324437,108.138.7.100,HTTP/3,14,False,True,,,
cdn.coda.io,,403,243,,cdn.coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-18T23:59:59Z,CN=cdn.coda.io,cdn.coda.io,cdn.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1c9be594f0f590c5597a104b033f5daf,0e0046e565bd59cc2351da618d0c9e7161c1dedf3bddfa577c8743110fe89ab0,ctls,cdn.coda.io,cloudfront,443,https://cdn.coda.io:443,https,AmazonS3,application/xml,GET,18.66.97.101,/,-1840324437,18.66.97.40,HTTP/3,2,False,True,,,
coda.io,"The doc for everyone, replace dozens of apps - Coda",200,164497,*.intercom-sheets.com,coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-09-10T23:59:59Z,CN=coda.io,coda.io,*.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b61e66b6ca4e33482bfa4ebed62e795f,a0d25a026c06407d2307a5b2c8c7f49c22a190fe1aaafbdc4630e6e1d0075913,ctls,coda.io,cloudfront,443,https://coda.io:443,https,CloudFront,text/html,GET,13.32.27.77,/,-1840324437,13.32.27.116,YouTube,109,False,True,True,,
community.coda.io,Coda Maker Community,200,18053,https://community.coda.io/plugins/discourse-client-performance/javascripts/discourse-client-performance.js,community.coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-27T00:00:03Z,2023-07-26T00:00:02Z,CN=community.coda.io,community.coda.io,community.coda.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ed0aa749d4a5ae6126696ca744b67464,f8ab3c791fe26d3b58b0dc2973751ad3643accc592f79ac49919a4daddc4ed92,ctls,community.coda.io,,443,https://community.coda.io:443,https,nginx,text/html,GET,184.105.99.75,/,-1840324437,2602:fd3f:3:ff02::4b,Ruby on Rails,294,False,,,,
github-bot.dev-infra.coda.io,Error,404,139,,github-bot.dev-infra.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=dev-infra.coda.io,dev-infra.coda.io,*.dev-infra.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f43ac29f496f3772372c33e9e342d74c,1c8f7cee07d3185899751c503ab6106eee655e7b620060836ce744908c6459a8,ctls,github-bot.dev-infra.coda.io,,443,https://github-bot.dev-infra.coda.io:443,https,,text/html,GET,34.218.113.8,/,1593207841,54.186.168.100,Node.js,11,False,,True,,
go.coda.io,GoLinks® | Intuitive link management platform for teams,200,174976,https://optimize.google.com/optimize/,www.golinks.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-09T14:29:35Z,2023-12-11T14:29:35Z,CN=*.golinks.io,*.golinks.io,golinks.io,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",4a672ebbd04c01350b5b0884618d3373,a74793a9e7d3baf5b7c480634462b4369466fa6db0175314ad97eb82b501c312,ctls,www.golinks.io,,443,https://go.coda.io:443,https,Apache,text/html,GET,52.72.13.96,/,1151692879,52.72.13.96,Linkedin Ads,3096,False,,True,https://www.golinks.io/,
head.coda.io,"The doc for everyone, replace dozens of apps - Coda",200,156850,https://use.fontawesome.com,head.coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-08-25T23:59:59Z,CN=head.coda.io,head.coda.io,*.head.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f4f7e91f78ef6903c0dc26c45ebead7c,3423d997ea5ebac4d1c6feb24315d44f827ec75da5c16f6f55a9403e71e9f0d7,ctls,head.coda.io,cloudfront,443,https://head.coda.io:443,https,CloudFront,text/html,GET,13.32.99.9,/,-1840324437,13.32.99.89,YouTube,109,False,True,True,,
origin.coda.io,403 Forbidden,403,520,,origin.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-10-13T23:59:59Z,CN=coda.io,coda.io,*.coda.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,e8eeb8665c7180333b669ec985b92877,c208e957c0a9d7ab02e0f9629071fad5d2a5d675f02407b16fe6314b6c441f5a,ctls,origin.coda.io,,443,https://origin.coda.io:443,https,awselb/2.0,text/html,GET,54.70.89.229,/,2095155567,44.236.25.8,,13,False,,True,,
origin.head.coda.io,403 Forbidden,403,520,,origin.head.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-01-02T23:59:59Z,CN=head.coda.io,head.coda.io,*.head.coda.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,160a9ce0082caa8f79453a7227337294,f53b926aaa585a9a92359d2e48d6c10495be0f65f4a0f75c0f2f3ef525f7814b,ctls,origin.head.coda.io,,443,https://origin.head.coda.io:443,https,awselb/2.0,text/html,GET,52.13.84.27,/,2095155567,2600:1f14:6e8:8901:dbce:bbe:d80e:7433,,13,False,,True,,
origin.staging.coda.io,403 Forbidden,403,118,,origin.staging.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2024-01-02T23:59:59Z,CN=staging.coda.io,staging.coda.io,*.staging.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,344763ff118addce91e345478e90ee98,6029712bf55ff3a2cae5026b820e4a13851071b49f2898918f145d84b4170f8d,ctls,origin.staging.coda.io,,443,https://origin.staging.coda.io:443,https,awselb/2.0,text/html,GET,54.201.173.219,/,1344368402,54.218.2.210,,7,False,,True,,
packs-auth.coda.io,,464,,,packs-auth.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-10-13T23:59:59Z,CN=coda.io,coda.io,*.coda.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,e8eeb8665c7180333b669ec985b92877,c208e957c0a9d7ab02e0f9629071fad5d2a5d675f02407b16fe6314b6c441f5a,ctls,packs-auth.coda.io,,443,https://packs-auth.coda.io:443,https,awselb/2.0,,GET,35.83.71.127,/,-1840324437,52.88.77.95,,1,False,,True,,
packs-auth.head.coda.io,,464,,,packs-auth.head.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-01-02T23:59:59Z,CN=head.coda.io,head.coda.io,*.head.coda.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,160a9ce0082caa8f79453a7227337294,f53b926aaa585a9a92359d2e48d6c10495be0f65f4a0f75c0f2f3ef525f7814b,ctls,packs-auth.head.coda.io,,443,https://packs-auth.head.coda.io:443,https,awselb/2.0,,GET,34.216.126.152,/,-1840324437,52.37.223.209,,1,False,,True,,
packs-auth.staging.coda.io,,464,,,packs-auth.staging.coda.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2024-01-02T23:59:59Z,CN=staging.coda.io,staging.coda.io,*.staging.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,344763ff118addce91e345478e90ee98,6029712bf55ff3a2cae5026b820e4a13851071b49f2898918f145d84b4170f8d,ctls,packs-auth.staging.coda.io,,443,https://packs-auth.staging.coda.io:443,https,awselb/2.0,,GET,44.224.174.116,/,-1840324437,44.225.36.247,,1,False,,True,,
staging.coda.io,"The doc for everyone, replace dozens of apps - Coda",200,156377,https://api.stripe.com,staging.coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-09-07T23:59:59Z,CN=staging.coda.io,staging.coda.io,*.staging.coda.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,2ee4d70519dd8fe87180ea607ace64ba,e8185630ac8447cec140548222ec71082677099098561a6e0b23125f7f8fd7cf,ctls,staging.coda.io,cloudfront,443,https://staging.coda.io:443,https,CloudFront,text/html,GET,99.86.4.121,/,-1840324437,99.86.4.107,YouTube,109,False,True,True,,
statsig.coda.io,,404,63,*.atlassian.net,statsig.coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-15T23:59:59Z,CN=statsig.coda.io,statsig.coda.io,statsig.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f7825e228ea30580eea630faeeafc8b7,3c757a62e96b6da7b58b6247e3c7be0510bbb99a4147ed1634475250bd4dc917,ctls,statsig.coda.io,cloudfront,443,https://statsig.coda.io:443,https,istio-envoy,application/json,GET,65.9.95.49,/,-1793755213,65.9.95.53,HTTP/3,1,False,True,,,
status.coda.io,Coda Status,200,234795,,status.coda.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-31T03:34:44Z,2023-06-29T03:34:43Z,CN=aic.status.akamai.com,aic.status.akamai.com,www.calendlystatus.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ca9fca12f3b65bea4d929bb237ebc7c6,0620f19864540a4883a6b21da5f315381f4e180a696fe580b91afecfef5527ad,ctls,status.coda.io,,443,https://status.coda.io:443,https,,text/html,GET,52.215.192.131,/,-1840324437,52.215.192.131,HSTS,3677,False,,,,
www.coda.io,"The doc for everyone, replace dozens of apps - Coda",200,164497,https://intercom.help,coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-09-10T23:59:59Z,CN=coda.io,coda.io,*.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b61e66b6ca4e33482bfa4ebed62e795f,a0d25a026c06407d2307a5b2c8c7f49c22a190fe1aaafbdc4630e6e1d0075913,ctls,coda.io,cloudfront,443,https://www.coda.io:443,https,CloudFront,text/html,GET,13.32.27.77,/,-1840324437,13.32.27.82,YouTube,109,False,True,True,https://coda.io:443/,
www.head.coda.io,"The doc for everyone, replace dozens of apps - Coda",200,156850,https://pixel.pvd.to,head.coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-08-25T23:59:59Z,CN=head.coda.io,head.coda.io,*.head.coda.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f4f7e91f78ef6903c0dc26c45ebead7c,3423d997ea5ebac4d1c6feb24315d44f827ec75da5c16f6f55a9403e71e9f0d7,ctls,head.coda.io,cloudfront,443,https://www.head.coda.io:443,https,CloudFront,text/html,GET,13.32.99.75,/,-1840324437,13.32.99.9,YouTube,109,False,True,True,https://head.coda.io:443/,
www.staging.coda.io,"The doc for everyone, replace dozens of apps - Coda",200,156377,*.intercom-sheets.com,staging.coda.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-09-07T23:59:59Z,CN=staging.coda.io,staging.coda.io,*.staging.coda.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,2ee4d70519dd8fe87180ea607ace64ba,e8185630ac8447cec140548222ec71082677099098561a6e0b23125f7f8fd7cf,ctls,staging.coda.io,cloudfront,443,https://www.staging.coda.io:443,https,CloudFront,text/html,GET,99.86.4.85,/,-1840324437,99.86.4.107,YouTube,109,False,True,True,https://staging.coda.io:443/,
