new,host,aaaa,soa,status_code,a,cname,cdn,cdn-name,txt,mx,ns
[x],das.nl.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.10,,,,,,
[x],das.staging.nl.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,,,
[x],das.staging.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.74,das.staging.nl.registry.eu,,,,,
[x],das.tryout.lu.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,,,
[x],das.tryout.nl.registry.eu,2001:67c:40:2331::10,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.42,,,,,,
[x],das.tryout.registry.eu,2001:67c:40:2331::10,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.42,das.tryout.nl.registry.eu,,,,,"nsp.netnod.se, ns4.eurid.eu, ns1.eurid.eu, ns3.eurid.eu, ns2.eurid.eu, nsx.eurid.eu"
[x],dialin2.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.5.14,,,,,,
[x],distance-fetching.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.29,distance-fetching.lu.eurid.eu,,,,,
[x],distance-fetching.lu.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.29,,,,,,
[x],dns.eu,,"si.dns.eu, tech.eurid.eu",NOERROR,,,,,,,
[x],dnsprobe.lu.registry.eu,2001:67c:9c:2001::12,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.12,,,,,,
[x],dnsprobe.nl.registry.eu,2001:67c:40:2001::12,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.12,,,,,,
[x],dnsprobe.tryout.eurid.eu,,,NOERROR,,,,,,,
[x],dnssectest.registry.eu,,,NOERROR,,,,,,,
[x],documentation.lu.registry.eu,2001:67c:9c:2011::6,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.6,,,,,,
[x],documentation.nl.registry.eu,2001:67c:40:2011::6,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.6,,,,,,
[x],documentation.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.6,documentation.lu.registry.eu,,,,,
[x],eidastest.eurid.eu,,,NOERROR,,,,,,,
[x],enduser.beta.eurid.eu,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,enduser.beta.eurid.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],enduser.eurid.eu,"2606:4700::6810:7c14, 2606:4700::6810:a534","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.16.165.52, 104.16.124.20",enduser.eurid.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],enduser.staging.lu.eurid.eu,2001:67c:9c:2651::7,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.71,,,,,,
[x],enduser.staging.nl.eurid.eu,2001:67c:40:2651::7,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.71,,,,,,
[x],enduser.tryout.nl.registry.eu,2001:67c:40:2331::7,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.39,,,,,,
[x],enduser.tryout.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.39,enduser.tryout.lu.registry.eu,,,,,
[x],enterpriseenrollment.eurid.eu,,"ns1-201.azure-dns.com, msnhst.microsoft.com, ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,52.236.189.96,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu02.westeurope.cloudapp.azure.com, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com",True,azure,,,
[x],enterpriseregistration.eurid.eu,,"internal.akadns.net, hostmaster.akamai.com",NOERROR,20.190.137.40,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.akadns.net",True,azure,,,
[x],epp.lu.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.8,,,,,,
[x],epp.nl.registry.eu,2001:67c:40:2011::8,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.8,,,,,,
[x],epp.registry.eu,2001:67c:40:2011::8,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.8,epp.nl.registry.eu,,,,,
[x],epp.staging.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,epp.staging.nl.registry.eu,,,,,
[x],epp.tryout.lu.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.40,,,,,,
[x],epp.tryout.nl.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,,,
[x],epp.tryout.registry.eu,2001:67c:40:2331::8,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.40,epp.tryout.nl.registry.eu,,,,,
[x],euipo.beta.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.91,,,,,,
[x],euipo.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.20,euipo.nl.eurid.eu,,,,,
[x],euipo.lu.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.20,,,,,,
[x],euipo.staging.eurid.eu,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,euipo.staging.eurid.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],euipo.tryout.eurid.eu,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.16.124.20, 104.16.165.52",euipo.tryout.eurid.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],eurid.eu,"2001:67c:9c:3937::252, 2001:67c:40:3937::252, 2001:67c:9c:3937::253, 2001:67c:40:3937::253, 2a01:3f1:3033::53, 2a02:568:fe00::6575","ns1.eurid.eu, tech.eurid.eu",NOERROR,"104.16.165.52, 104.16.124.20, 185.36.4.252, 185.36.6.252, 185.36.4.253, 185.36.6.253, 194.58.198.33, 185.151.141.1",,True,cloudflare,"detectify-verification=d8da1c9a0dcf2bd5c73850dbbb7a7906, Sendinblue-code:13a49507496a0d0dd44b7f17b3d4c2e3, 23.03.2022, MS=ms80218150, apple-domain-verification=ds7y5v8V0b3f2Udv, v=spf1 a:mail-out.registry.eu mx:eurid.eu include:spf.dynect.net ip4:205.201.128.0/20 ip4:198.2.128.0/18 ip4:185.36.4.0/22  ip6:2001:67c:40:2153::/64 include:spf.protection.outlook.com include:spf.sendinblue.com include:mail.zendesk.com -all, atlassian-domain-verification=e6x6Xbk8sj0/ob7lxt5MnGgmkJyEWa86jbnrBS8zZEKRbhrazaIMgnTiXyMn21/T, _globalsign-domain-verification=rO50WaaZedPANOGBNIcy6dZ_RicN2wMy9oWxzMJOEp",,"nsp.netnod.se, ns4.eurid.eu, ns1.eurid.eu, ns3.eurid.eu, ns2.eurid.eu, nsx.eurid.eu"
[x],euridwishesyouamerrychristmas.eurid.eu,"2606:4700::6810:7c14, 2606:4700::6810:a534","ns1.eurid.eu, tech.eurid.eu",NOERROR,"104.16.165.52, 104.16.124.20",eurid.eu,True,cloudflare,,,
[x],events.eurid.eu,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.16.124.20, 104.16.165.52",events.eurid.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],events.nl.eurid.eu,2001:67c:40:2011::6,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,,,
[x],gpvpn-nl.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.7.18,,,,,,
[x],labs.eurid.eu,"2606:4700::6810:a534, 2606:4700::6810:7c14","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.16.124.20, 104.16.165.52",labs.eurid.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],link.eurid.eu,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.16.124.20, 104.16.165.52",link.eurid.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],link.lu.eurid.eu,"2001:67c:9c:2011::23, 2001:67c:9c:3937::252, 2001:67c:40:3937::252, 2001:67c:9c:3937::253, 2001:67c:40:3937::253, 2a02:568:fe00::6575","ns1.eurid.eu, tech.eurid.eu",NOERROR,"185.36.4.252, 185.36.6.252, 185.36.4.253, 185.36.6.253, 185.151.141.1",,,,,,"nsx.eurid.eu, ns1.eurid.eu, ns4.eurid.eu, ns2.eurid.eu, ns3.eurid.eu, nsp.netnod.se"
[x],link.nl.eurid.eu,2001:67c:40:2011::23,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.23,,,,,,
[x],link.staging.eurid.eu,"2606:4700::6810:7c14, 2606:4700::6810:a534","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.16.124.20, 104.16.165.52",link.staging.eurid.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],lists.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,,mx.eurid.eu,
[x],lu.eurid.eu,2001:67c:9c:2011::26,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,,,
[x],lu.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,True,cloudflare,,,
[x],lyncdiscover.eurid.eu,,"admin.nsatc.net, dns.level3.net",NOERROR,52.112.192.142,webdir.online.lync.com,,,,,"eu-a.prod1.footprint.net, eu-b.prod1.footprint.net"
[x],mail-out.lu.registry.eu,2001:67c:9c:2001::5,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.5,,,,,,
[x],mail-out.registry.eu,"2001:67c:9c:2001::5, 2001:67c:40:2001::5","ns1.eurid.eu, tech.eurid.eu",NOERROR,"185.36.6.129, 185.36.5.129",,,,,,"ns1.eurid.eu, ns2.eurid.eu, ns3.eurid.eu, ns4.eurid.eu, nsp.netnod.se, nsx.eurid.eu"
[x],mail.ams.eurid.eu,"2001:67c:9c:3937::252, 2001:67c:40:3937::252","ns1.eurid.eu, tech.eurid.eu",NOERROR,"185.36.7.13, 185.36.4.252, 185.36.6.252",,,,,,"nsp.netnod.se, nsx.eurid.eu, ns1.eurid.eu, ns3.eurid.eu, ns4.eurid.eu, ns2.eurid.eu"
[x],mail.lux.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.5.13,,,,,,
[x],mailinglists.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,,mx.eurid.eu,
[x],mailinglists.yadifa.eu,"2606:4700:3032::681c:1303, 2606:4700:3030::681c:1203, 2606:4700:3036::ac43:8027","ns.yadifa.eu, tech.eurid.eu",NOERROR,"104.28.19.3, 172.67.128.39, 104.28.18.3",,,,,,
[x],maintenance.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.6,maintenance.lu.eurid.eu,,,,,
[x],maintenance.lu.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.6,,,,,,
[x],maintenance.nl.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.6,,,,,,
[x],members.eurid.eu,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.16.165.52, 104.16.124.20",members.eurid.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],members.registry.eu,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.16.165.52, 104.16.124.20","members.eurid.eu, members.eurid.eu.cdn.cloudflare.net",True,cloudflare,,,
[x],mm.eurid.eu,"2606:4700::6810:7c14, 2606:4700::6810:a534","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.16.124.20, 104.16.165.52",mm.eurid.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],mrz.beta.eurid.eu,"2606:4700::6810:a534, 2606:4700::6810:7c14","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.16.124.20, 104.16.165.52",mrz.beta.eurid.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],mrz.eurid.eu,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.16.124.20, 104.16.165.52",mrz.eurid.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],mx.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,"185.36.5.5, 185.36.7.5",,,,,,
[x],my.eurid.eu,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,my.eurid.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],my.nl.eurid.eu,,,NOERROR,,,,,,,
[x],my.staging.eurid.eu,"2606:4700::6810:a534, 2606:4700::6810:7c14","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.16.124.20, 104.16.165.52",my.staging.eurid.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],newsletter.registry.eu,,,NOERROR,54.144.128.85,,,,,,
[x],nic.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,"v=spf1 -all, detectify-verification=d8da1c9a0dcf2bd5c73850dbbb7a7906",,
[x],nic.eurid.eu,"2001:67c:9c:3937::252, 2001:67c:9c:3937::253, 2001:67c:40:3937::252, 2001:67c:40:3937::253, 2a02:568:fe00::6575","ns1.eurid.eu, tech.eurid.eu",NOERROR,"104.16.165.52, 104.16.124.20, 185.36.4.252, 185.36.4.253, 185.36.6.252, 185.36.6.253, 185.151.141.1",eurid.eu,True,cloudflare,"apple-domain-verification=ds7y5v8V0b3f2Udv, MS=ms80218150, 23.03.2022, _globalsign-domain-verification=rO50WaaZedPANOGBNIcy6dZ_RicN2wMy9oWxzMJOEp, atlassian-domain-verification=e6x6Xbk8sj0/ob7lxt5MnGgmkJyEWa86jbnrBS8zZEKRbhrazaIMgnTiXyMn21/T, Sendinblue-code:13a49507496a0d0dd44b7f17b3d4c2e3, detectify-verification=d8da1c9a0dcf2bd5c73850dbbb7a7906, v=spf1 a:mail-out.registry.eu mx:eurid.eu include:spf.dynect.net ip4:205.201.128.0/20 ip4:198.2.128.0/18 ip4:185.36.4.0/22  ip6:2001:67c:40:2153::/64 include:spf.protection.outlook.com include:spf.sendinblue.com include:mail.zendesk.com -all","mx.eurid.eu, barra.eurid.eu, cuda.eurid.eu","ns1.eurid.eu, ns2.eurid.eu, ns4.eurid.eu, nsp.netnod.se, nsx.eurid.eu, ns3.eurid.eu"
[x],nl.ambitionhasanaddress.eurid.eu,2001:67c:40:2011::21,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,,,
[x],nl.dns.eu,,"si.dns.eu, tech.eurid.eu",NOERROR,91.200.16.100,,,,,,
[x],nl.eurid.eu,2001:67c:40:2011::26,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,,,
[x],nl.nic.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,91.200.16.100,,,,,,
[x],nl.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,,,
[x],nl.whois.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.9,,,,,,
[x],notify.lu.registry.eu,2001:67c:9c:2001::11,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,,,
[x],notify.nl.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,,,
[x],ns1.eurid.eu,2001:67c:9c:3937::252,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.252,,,,,,
[x],ns2.eurid.eu,2001:67c:40:3937::252,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.252,,,,,,
[x],ns3.eurid.eu,2001:67c:9c:3937::253,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.253,,,,,,
[x],nsx.eurid.eu,2a02:568:fe00::6575,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.151.141.1,,,,,,
[x],office.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,,,
[x],ovpn.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.5.9,ovpn.lu.eurid.eu,,,,,
[x],ovpn.lu.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.5.9,,,,,,
[x],ovpn.nl.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.7.9,,,,,,
[x],project.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,,,
[x],reachcustomers.eurid.eu,,,NOERROR,"104.16.124.20, 104.16.165.52",eurid.eu,True,cloudflare,,,
[x],regex.registry.eu,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.22.47.221, 172.67.20.88, 104.22.46.221",registry.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],registrar.eurid.eu,"2001:67c:9c:3937::252, 2001:67c:9c:3937::253, 2001:67c:40:3937::252, 2001:67c:40:3937::253, 2a02:568:fe00::6575","ns1.eurid.eu, tech.eurid.eu",NOERROR,"104.16.165.52, 104.16.124.20, 185.36.4.252, 185.36.4.253, 185.36.6.252, 185.36.6.253, 185.151.141.1",eurid.eu,True,cloudflare,,"barra.eurid.eu, mx.eurid.eu, cuda.eurid.eu","ns1.eurid.eu, nsx.eurid.eu, nsp.netnod.se, ns4.eurid.eu, ns3.eurid.eu, ns2.eurid.eu"
[x],registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,"104.22.47.221, 172.67.20.88, 104.22.46.221",,True,cloudflare,,mx.eurid.eu,"ns1.eurid.eu, ns2.eurid.eu, ns3.eurid.eu, ns4.eurid.eu, nsp.netnod.se, nsx.eurid.eu"
[x],rpout2.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.5.14,,,,,,
[x],rt.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.18,,,,,,
[x],secure.lu.registry.eu,2001:67c:9c:2011::17,"ns1.eurid.eu, tech.eurid.eu",NOERROR,"104.22.47.221, 104.22.46.221",lu.registry.eu,True,cloudflare,,,
[x],secure.nl.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,nl.registry.eu,,,,,
[x],secure.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,"104.22.46.221, 104.22.47.221",lu.registry.eu,True,cloudflare,,,
[x],sftp.lu.registry.eu,2001:67c:9c:2011::28,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.28,,,,,,
[x],sftp.nl.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.28,,,,,,
[x],sftp.registry.eu,2001:67c:40:2011::28,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.28,sftp.nl.registry.eu,,,,,
[x],sftp.tryout.nl.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.60,,,,,,
[x],sftp.tryout.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.60,sftp.tryout.nl.registry.eu,,,,,
[x],si.dns.eu,2001:1470:8000:100::62,"si.dns.eu, tech.eurid.eu",NOERROR,193.2.221.62,,,,,,
[x],si.nic.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,193.2.221.60,,,,,,
[x],signup.eurid.eu,"2001:67c:9c:3937::252, 2001:67c:9c:3937::253, 2001:67c:40:3937::252, 2001:67c:40:3937::253, 2a02:568:fe00::6575","ns1.eurid.eu, tech.eurid.eu",NOERROR,"185.36.4.252, 185.36.4.253, 185.36.6.252, 185.36.6.253, 185.151.141.1",eurid.eu,True,cloudflare,"MS=ms80218150, detectify-verification=d8da1c9a0dcf2bd5c73850dbbb7a7906, _globalsign-domain-verification=rO50WaaZedPANOGBNIcy6dZ_RicN2wMy9oWxzMJOEp, atlassian-domain-verification=e6x6Xbk8sj0/ob7lxt5MnGgmkJyEWa86jbnrBS8zZEKRbhrazaIMgnTiXyMn21/T, v=spf1 a:mail-out.registry.eu mx:eurid.eu include:spf.dynect.net ip4:205.201.128.0/20 ip4:198.2.128.0/18 ip4:185.36.4.0/22  ip6:2001:67c:40:2153::/64 include:spf.protection.outlook.com include:spf.sendinblue.com include:mail.zendesk.com -all, apple-domain-verification=ds7y5v8V0b3f2Udv, 23.03.2022, Sendinblue-code:13a49507496a0d0dd44b7f17b3d4c2e3",,"ns4.eurid.eu, ns3.eurid.eu, ns1.eurid.eu, ns2.eurid.eu, nsx.eurid.eu, nsp.netnod.se"
[x],ssl.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,5.196.139.97,,,,,,
[x],staging.eurid.eu,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.16.124.20, 104.16.165.52",staging.eurid.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],staging.lu.registry.eu,2001:67c:9c:2651::7,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.71,,,,,,
[x],staging.nl.registry.eu,2001:67c:40:2651::7,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.71,,,,,,
[x],trust.eurid.eu,"2606:4700::6810:a534, 2606:4700::6810:7c14","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.16.165.52, 104.16.124.20",trust.eurid.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],tryout.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,,,
[x],tryout.lu.registry.eu,2001:67c:9c:2331::7,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.39,,,,,,
[x],tryout.registry.eu,"2606:4700:10::ac43:1458, 2606:4700:10::6816:2fdd, 2606:4700:10::6816:2edd","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.22.47.221, 104.22.46.221, 172.67.20.88",tryout.registry.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],uk.nic.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,195.66.241.178,,,,,,
[x],vpn-lu.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.5.11,,,,,,
[x],vpn-nl.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.7.11,,,,,,
[x],w.dns.eu,,"si.dns.eu, tech.eurid.eu",NOERROR,194.0.25.28,,,,,,
[x],webawards.lu.eurid.eu,2001:67c:9c:2011::27,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,,,
[x],webawards.nl.eurid.eu,2001:67c:40:2011::27,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,,,
[x],weblate-test.eurid.eu,2a01:4f8:c0c:c0b7::1,"coby.ns.cloudflare.com, dns.cloudflare.com",NOERROR,116.203.195.124,eurid-test.weblate.cloud,,,,,
[x],weblate.eurid.eu,2a01:4f8:c0c:c0b6::1,"coby.ns.cloudflare.com, dns.cloudflare.com",NOERROR,116.203.195.125,eurid.weblate.cloud,,,,,
[x],webstats.yadifa.eu,"2606:4700:3031::ac43:955c, 2606:4700:3032::6815:29b8","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.21.41.184, 172.67.149.92",yadifa.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],whois.beta.eurid.eu,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,whois.beta.eurid.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],whois.eu,2001:67c:40:2011::9,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.9,,,,,,
