new,host,a,cname,soa,status_code,aaaa,ns,cdn,cdn-name,mx,txt,caa
[x],coaf-refi-web-ui.capitalone.com,"18.66.248.128, 18.66.248.29, 18.66.248.109, 18.66.248.4",coaf-refi-web-ui.aws-fs1.capitalonegslbex.com,"ns-1085.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,
[x],coaf-refi-wrap-up-mfe-qa.capitalone.com,"18.154.63.113, 18.154.63.40, 18.154.63.124, 18.154.63.116",coaf-refi-wrap-up-mfe-qa.aws-fs1-qa.capitalonegslbex.com,"ns-156.awsdns-19.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,
[x],coaf-refi-wrap-up-mfe.capitalone.com,"18.66.122.16, 18.66.122.105, 18.66.122.46, 18.66.122.106",coaf-refi-wrap-up-mfe.aws-fs1.capitalonegslbex.com,"ns-1085.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,
[x],coaf-share-with-dealer.capitalone.com,"99.86.4.104, 99.86.4.45, 99.86.4.91, 99.86.4.114",coaf-share-with-dealer.aws-fs1.capitalonegslbex.com,"ns-1085.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,
[x],coffree.capitalone.com,"108.157.229.114, 108.157.229.29, 108.157.229.122, 108.157.229.26","dcc-website.82b9042191.capitalonegslbex.com, d6p86p2wem8no.cloudfront.net","ns-1894.awsdns-44.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2395:6c00:2:2ce0:d500:93a1, 2600:9000:2395:3600:2:2ce0:d500:93a1, 2600:9000:2395:a400:2:2ce0:d500:93a1, 2600:9000:2395:7200:2:2ce0:d500:93a1, 2600:9000:2395:ea00:2:2ce0:d500:93a1, 2600:9000:2395:1a00:2:2ce0:d500:93a1, 2600:9000:2395:f600:2:2ce0:d500:93a1, 2600:9000:2395:b600:2:2ce0:d500:93a1","ns-602.awsdns-11.net, ns-1124.awsdns-12.org, ns-1894.awsdns-44.co.uk, ns-213.awsdns-26.com",True,cloudfront,,,
[x],commercial.capitalone.com,104.81.114.87,"onex.aws-cb.capitalonegslbex.com, intellix.capitalonebank.com.edgekey.net, e17214.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,
[x],commercialbanking.capitalone.com,13.111.41.198,,"ns1.capitalone.com, hostmaster.capitalone.com",NOERROR,,,,,,,
[x],companystore.capitalone.com,104.154.170.37,companystore-capitalone.mybrightsites.com,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,google,,,
[x],connectdirect.capitalonebank.com,,,,NOERROR,,,,,,,
[x],connectdr.capitalone.co.uk,217.169.165.103,,"ns1.capitalone.com, hostmaster.capitalone.com",NOERROR,,,,,,,
[x],connectst.capitalone.co.uk,217.169.161.55,,"ns1.capitalone.com, hostmaster.capitalone.com",NOERROR,,,,,,,
[x],consent-it.capitalone.com,"52.222.139.122, 52.222.139.52, 52.222.139.116, 52.222.139.53",consent.aws-coreservices-qa.capitalonegslbex.com,"ns-632.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,
[x],consent-sbit.capitalone.com,"65.9.55.70, 65.9.55.125, 65.9.55.119, 65.9.55.58",consent.aws-coreservices-qa.capitalonegslbex.com,"ns-632.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,
[x],consent.capitalone.com,"52.222.214.9, 52.222.214.115, 52.222.214.118, 52.222.214.94",consent.aws-coreservices-prod.capitalonegslbex.com,"ns-1246.awsdns-27.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,
[x],content.capitalone.com,184.51.232.35,"content.capitalone.com.edgekey.net, e8107.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,
[x],copp.capitalone.com,"34.213.94.55, 52.88.234.34, 35.166.164.205","copp.aws-card.capitalonegslbex.com, copp-copp-prod-west-traffic.aws-cof-card-core-pub-prd-waf-uw2.capitalonegslbex.com","ns-787.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],corporatecard.capitalone.com,23.196.76.136,"cde-icce-waf.aws-cb-core-cat1.capitalonegslbex.com, mycard.aws-cb-core-cat1.capitalonegslbex.com, mycard.capitalone.com-v1.edgekey.net, e9749.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,
[x],cos.capitalone.com,,u1333509.wl010.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,mx.sendgrid.net,v=spf1 include:sendgrid.net ~all,
[x],costcoca-pong-perf2.kdc.capitalone.com,,,,NOERROR,,,,,,,
[x],creditapp-staging.capitalone.ca,,,,NOERROR,,,,,,,
[x],creditblog.capitalone.ca,"3.98.63.202, 52.60.165.183, 52.60.160.16",read.uberflip.com,"ns-1251.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],creditkeeper.capitalone.ca,"104.126.37.168, 104.126.37.144","creditkeeper.capitalone.ca.edgekey.net, e101918.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,
[x],creditkeeper.capitalone.com,"143.204.89.21, 143.204.89.24, 143.204.89.6, 143.204.89.35",credit-keeper-cf-prod.aws-card.capitalonegslbex.com,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,
[x],creditwise.capitalone.co.uk,"104.18.22.175, 104.18.23.175",creditwise.capitalone.co.uk.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:16af, 2606:4700::6812:17af",,True,cloudflare,,,
[x],creditwise.capitalone.com,"108.156.60.17, 108.156.60.122, 108.156.60.70, 108.156.60.51",creditwise-akamai.aws-card.capitalonegslbex.com,"ns-336.awsdns-42.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,
[x],criticalstack.com,"104.26.0.99, 104.26.1.99, 172.67.74.42",,"amir.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:20::ac43:4a2a, 2606:4700:20::681a:63, 2606:4700:20::681a:163","amir.ns.cloudflare.com, rose.ns.cloudflare.com",True,cloudflare,"mx0a-001b4101.pphosted.com, mx0b-001b4101.pphosted.com","MS=ms97514927, include:3432065.spf01.hubspotemail.net, google-site-verification=zI8djctkQiOzt93XHpJO4n9LBu44xv4di-J58T71g3Q, v=spf1 ip4:148.163.151.254 ip4:148.163.155.198 ip4:27.126.144.0/21 ip4:63.131.135.40/31 ip4:64.94.36.0/24 ip4:64.106.247.198 ip4:64.209.140.201 ip4:66.70.7.91 ip4:68.233.76.14 ip4:96.43.147.64/28 ip4:97.107.118.192/26 ip4:96.43.151.64/28 ip4:136.146.128.6, 4/28 ip4:153.69.1.211 ip4:203.55.21.0/24 ip4:204.14.232.64/28 ip4:3.93.157.52/32 ip4:167.89.0.0/18 include:_spf.google.com include:spf1.criticalstack.com ~all",
[x],crl.capitalone.com,"108.156.60.9, 108.156.60.124, 108.156.60.93, 108.156.60.65",d2myttf60rjavf.cloudfront.net,"ns-1628.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2394:d000:14:d4b6:32c0:93a1, 2600:9000:2394:f200:14:d4b6:32c0:93a1, 2600:9000:2394:3400:14:d4b6:32c0:93a1, 2600:9000:2394:a00:14:d4b6:32c0:93a1, 2600:9000:2394:ce00:14:d4b6:32c0:93a1, 2600:9000:2394:fa00:14:d4b6:32c0:93a1, 2600:9000:2394:cc00:14:d4b6:32c0:93a1, 2600:9000:2394:3e00:14:d4b6:32c0:93a1","ns-572.awsdns-07.net, ns-1152.awsdns-16.org, ns-1628.awsdns-11.co.uk, ns-491.awsdns-61.com",True,cloudfront,,,
[x],crm.capitalone.com,54.144.128.85,,,NOERROR,,,,,,,
[x],customerapi-tc.capitalone.com,,"api-an.capitalone.com, api-an-prod-rp.aws-coreservices-prod.capitalonegslbex.com, api-an-prod-west-rp.aws-coreservices-prod.capitalonegslbex.com, api-an-prod-west-rp-mig.aws-coreservices-prod.capitalonegslbex.com, apigw-dxgw-an-prod-active-w.aws-cof-eppt-core-pub-prd-waf-uw2.capitalonegslbex.com","ns-1930.awsdns-49.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],customerapi.bluetarp.com,"54.218.220.32, 52.10.50.47, 54.189.77.31","api-an.capitalone.com, api-an-prod-rp.aws-coreservices-prod.capitalonegslbex.com, api-an-prod-west-rp.aws-coreservices-prod.capitalonegslbex.com, api-an-prod-west-rp-mig.aws-coreservices-prod.capitalonegslbex.com, apigw-dxgw-an-prod-active-w.aws-cof-eppt-core-pub-prd-waf-uw2.capitalonegslbex.com","ns-1930.awsdns-49.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1455.awsdns-53.org, ns-1930.awsdns-49.co.uk, ns-319.awsdns-39.com, ns-709.awsdns-24.net, ns-1058.awsdns-04.org, ns-1842.awsdns-38.co.uk, ns-468.awsdns-58.com, ns-660.awsdns-18.net",,,,,
[x],dc.capitalone.com,,,"ns1.capitalone.com, hostmaster.capitalone.com",NOERROR,,,,,"cl1bak2smtp1.ddc.dartmail.net, inc1smtp1.ddc.dartmail.net, cl1bak1smtp1.ddc.dartmail.net, cl1bak1smtp2.ddc.dartmail.net",,
[x],dealernavigator-1.capitalone.com,"13.32.121.61, 13.32.121.107, 13.32.121.49, 13.32.121.121","dealernavigator-1.aws-coaf.capitalonegslbex.com, dealernavigator-1a.aws-coaf.capitalonegslbex.com, dealernavigator-geo.aws-coaf.capitalonegslbex.com, d3cu1ymrvkqqjz.cloudfront.net","ns-526.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1353.awsdns-41.org, ns-1645.awsdns-13.co.uk, ns-321.awsdns-40.com, ns-526.awsdns-01.net",True,cloudfront,,,
[x],dealernavigator-2.capitalone.com,"143.204.68.94, 143.204.68.117, 143.204.68.51, 143.204.68.83","dealernavigator-2.aws-coaf.capitalonegslbex.com, dealernavigator-2a.aws-coaf.capitalonegslbex.com, dealernavigator-geo.aws-coaf.capitalonegslbex.com, d3cu1ymrvkqqjz.cloudfront.net","ns-526.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1353.awsdns-41.org, ns-1645.awsdns-13.co.uk, ns-321.awsdns-40.com, ns-526.awsdns-01.net",True,cloudfront,,,
[x],dealernavigator-2a.capitalone.com,"13.32.145.60, 13.32.145.23, 13.32.145.87, 13.32.145.64","dealernavigator-2a.aws-coaf.capitalonegslbex.com, dealernavigator-geo.aws-coaf.capitalonegslbex.com, d3cu1ymrvkqqjz.cloudfront.net","ns-526.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1353.awsdns-41.org, ns-1645.awsdns-13.co.uk, ns-321.awsdns-40.com, ns-526.awsdns-01.net",True,cloudfront,,,
[x],dealernavigator-vdc.capitalone.com,,,,NOERROR,,,,,,,
[x],dealernavigator.capitalone.com,"143.204.68.117, 143.204.68.83, 143.204.68.51, 143.204.68.94","dealernavigator.aws-coaf.capitalonegslbex.com, dealernavigator-weight.aws-coaf.capitalonegslbex.com, dealernavigator-1.aws-coaf.capitalonegslbex.com, dealernavigator-1a.aws-coaf.capitalonegslbex.com, dealernavigator-geo.aws-coaf.capitalonegslbex.com, d3cu1ymrvkqqjz.cloudfront.net","ns-526.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1353.awsdns-41.org, ns-1645.awsdns-13.co.uk, ns-321.awsdns-40.com, ns-526.awsdns-01.net",True,cloudfront,,,
