new,host,a,cname,soa,status_code,aaaa,cdn,cdn-name,ns,caa,mx,txt,has_internal_ips,internal_ips
[x],att-nca-ga-push.bitdefender.net,184.169.221.12,push-agent-ga-fb70f2b43f8a0e3a.elb.us-west-1.amazonaws.com,"ns-231.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],att-nca-push.bitdefender.net,"52.9.231.19, 3.101.6.83, 13.52.144.84",,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],att-nvi.nimbus.bitdefender.net,"52.3.119.200, 18.235.225.182, 44.197.95.181, 35.173.166.212, 18.235.37.128, 54.242.74.170, 34.236.82.47, 34.196.174.85",att-nvi-nimbus-829917117.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],atts-nvi-push.bitdefender.net,23.20.78.137,,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],auth.mdr.bitdefender.com,"104.17.171.55, 104.17.235.88",mdrp-prod-cd-o7i8fhm99ch4aexu.edge.tenants.eu.auth0.com,"kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700::6811:eb58, 2606:4700::6811:ab37",True,cloudflare,,"digicert.com, letsencrypt.org",,,,
[x],auth.mdrt.bitdefender.com,"104.17.235.88, 104.17.171.55",mdrp-stage-cd-ootxdurv1wrawftg.edge.tenants.eu.auth0.com,"kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700::6811:eb58, 2606:4700::6811:ab37",True,cloudflare,,"digicert.com, letsencrypt.org",,,,
[x],authorization-service.rmm.bitdefender.com,20.105.232.12,"auth-srv-prod.azurewebsites.net, waws-prod-am2-583.sip.azurewebsites.windows.net, waws-prod-am2-583-88da.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,,,
[x],autodiscover-nautilus.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,"pdns210.ultradns.net, pdns210.ultradns.com, pdns210.ultradns.org, pdns210.ultradns.biz",,,,,
[x],autodiscover.apollo.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],autodiscover.preferences.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],autodiscoveraws.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],awake.bitdefender.com,91.199.104.5,,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],awsbeta.gravityzone.bitdefender.com,54.144.128.85,,,NOERROR,,,,,,,,,
[x],awswww.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],baijialedaidashizhendema-wsprivate.blog.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
