new,host,a,soa,status_code,cname,cdn,cdn-name,aaaa,ns,caa,txt,has_internal_ips,internal_ips,mx
[x],communications.kkr.com,13.111.67.8,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,"v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all, SFMC-UTnAiXvj1cYuRTZlUKW94cllavER7Pz9rbqfT1kn",,,reply.s11.exacttarget.com
[x],concur.kkr.com,65.216.176.44,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,redirect.kkr.com,,,,,,,,,
[x],corporatewebsite.kkr.cloud,,"ns-1056.awsdns-04.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-335.awsdns-41.com, ns-584.awsdns-09.net, ns-1056.awsdns-04.org, ns-1930.awsdns-49.co.uk",,,,,
[x],creditmon-qa.kkr.com,,,NOERROR,,,,,,,,,,
[x],dash.kkr.com,"52.222.139.62, 52.222.139.16, 52.222.139.38, 52.222.139.76","ns-1466.awsdns-55.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],datalake.kkr.cloud,,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-516.awsdns-00.net, ns-216.awsdns-27.com, ns-1213.awsdns-23.org, ns-1900.awsdns-45.co.uk",,,,,
[x],dev.portaltest.kkr.com,"18.66.147.27, 18.66.147.66, 18.66.147.83, 18.66.147.64","ns-133.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],dev.service.identity.kkr.com,"52.222.214.103, 52.222.214.77, 52.222.214.129, 52.222.214.69","ns-67.awsdns-08.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,"ns-1162.awsdns-17.org, ns-1547.awsdns-01.co.uk, ns-67.awsdns-08.com, ns-873.awsdns-45.net",,,,,
[x],dialin.kkr.com,,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,nylyncfe1.kkr.com,,,,,,,,,
[x],dlm.kkr.cloud,,"ns-1328.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-734.awsdns-27.net, ns-1328.awsdns-38.org, ns-1953.awsdns-52.co.uk, ns-444.awsdns-55.com",,,,,
[x],docusign.kkr.com,65.216.176.44,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,redirect.kkr.com,,,,,,,,,
[x],drex01.kkr.com,,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],east.cba-uat.identity.kkr.com,"3.90.159.105, 54.236.156.209","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,infra-identity-uat-fr-ig-cba-nlb-d0ed1f4003c3f9c2.elb.us-east-1.amazonaws.com,,,,,,,,,
[x],east.sso-uat.identity.kkr.com,"54.163.88.69, 174.129.139.61, 3.215.146.93, 54.165.82.221","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,infra-identity-uat-fr-lb-ig-01-1114130190.us-east-1.elb.amazonaws.com,,,,,,,,,
[x],east.sso.identity.kkr.com,"44.199.179.186, 52.54.34.82, 54.162.9.72, 107.23.82.205","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,infra-identity-prod-fr-lb-ig-01-2088594348.us-east-1.elb.amazonaws.com,,,,,,,,,
[x],emeamailext.kkr.com,62.190.87.65,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],enroll.kkr.com,65.216.176.44,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,redirect.kkr.com,,,,,,,,,
[x],enterpriseenrollment.kkr.com,,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],enterpriseprocess.kkr.cloud,,"ns-1007.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],equinox.kkr.com,,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],equitiestech.kkr.cloud,,"ns-1477.awsdns-56.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],exec.kkr.com,65.216.176.46,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,portalprodlb.kkr.com,,,,,,,,,
[x],gems.kkr.com,65.216.176.44,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,redirect.kkr.com,,,,"pdns02.domaincontrol.com, pdns01.domaincontrol.com",,,,,
[x],go.kkr.com,"67.199.248.13, 67.199.248.12","ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com, ns-880.awsdns-46.net, awsdns-hostmaster.amazon.com",NOERROR,cname.bitly.com,,,,,"letsencrypt.org, ;",,,,
[x],grafana-prod.observability.kkr.cloud,"18.66.248.110, 18.66.248.54, 18.66.248.33, 18.66.248.9","ns-798.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,dzxg0pokrfdnk.cloudfront.net,True,cloudfront,"2600:9000:224a:2a00:8:205f:7800:93a1, 2600:9000:224a:b800:8:205f:7800:93a1, 2600:9000:224a:da00:8:205f:7800:93a1, 2600:9000:224a:a00:8:205f:7800:93a1, 2600:9000:224a:e800:8:205f:7800:93a1, 2600:9000:224a:f000:8:205f:7800:93a1, 2600:9000:224a:4c00:8:205f:7800:93a1, 2600:9000:224a:3000:8:205f:7800:93a1","ns-798.awsdns-35.net, ns-1315.awsdns-36.org, ns-1867.awsdns-41.co.uk, ns-307.awsdns-38.com",,,,,
[x],green-staging.kkr.com,199.168.174.14,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],greensavings.kkr.com,193.129.163.99,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],guestwifi.kkr.com,203.0.113.1,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,True,203.0.113.1,
[x],help.kkr.com,62.190.87.59,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,ldpbt01.kkr.com,,,,,,,,,
[x],hfportal.kkr.com,3.135.5.176,"ns1134.dns.dyn.com, hostmaster.backstopsolutions.com",NOERROR,"kkr.hosted.investorbridge.com, ib3hosteda.investorbridge.com, ch3basedlb.investorbridge.com",,,,,,,,,
[x],hkmail.sso.kkr.com,203.193.8.54,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],hksip.kkr.com,203.193.8.28,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,"hksip.sso.kkr.com, hksip01.sso.kkr.com",,,,,,,,,
[x],hksip.sso.kkr.com,203.193.8.28,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,hksip01.sso.kkr.com,,,,,,,,,
[x],hksip01.sso.kkr.com,203.193.8.28,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],hycredit.kkr.com,"141.193.213.21, 141.193.213.20","darwin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,m5s0mj1i46gd.wpeproxy.com,,,,,,,,,
[x],identity.kkr.cloud,,"ns-1108.awsdns-10.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-817.awsdns-38.net, ns-1108.awsdns-10.org, ns-1645.awsdns-13.co.uk, ns-275.awsdns-34.com",,,,,
[x],identity.kkr.com,,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],image.communications.kkr.com,"104.126.37.178, 104.126.37.170","n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"tlsprovisioning-san-s11-7.edgekey.net, e92947.dscx.akamaiedge.net",,,"2a02:26f0:3500:1b::1724:a39b, 2a02:26f0:3500:1b::1724:a393",,,,,,
[x],infra-integration-de-1971-idp.delivery.kkr.cloud,,"ns-1472.awsdns-56.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"heritage=external-dns,external-dns/owner=infra-integration-de-1971,external-dns/resource=ingress/kube-monitoring/kubernetes-dashboard-dex",,,
[x],internal.kkr.com,"18.155.129.111, 18.155.129.112, 18.155.129.55, 18.155.129.20","ns-1525.awsdns-62.org, awsdns-hostmaster.amazon.com",NOERROR,lpportal.kkr.com,True,cloudfront,,"ns-763.awsdns-31.net, ns-1525.awsdns-62.org, ns-2040.awsdns-63.co.uk, ns-305.awsdns-38.com",,,,,
[x],investor-api.kkr.com,,,NOERROR,,,,,,,,,,
[x],ir.kkr.com,,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],jira.kkr.com,65.216.176.44,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,redirect.kkr.com,,,,,,,,,
[x],kkrfunds.kkr.com,,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],ldpbt01.kkr.com,62.190.87.59,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],ldpbt02.kkr.com,217.79.162.59,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],localhost.kkr.com,127.0.0.1,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,True,127.0.0.1,
[x],login-dev.identity.kkr.com,"13.248.244.122, 76.223.106.8","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,"kkr.customdomains.oktapreview.com, op3-custom-crtrs.oktapreview.com, op3-custom-crtrs.oktaedge.oktapreview.com, a556120ce37110a35.awsglobalaccelerator.com",,,,,,,,,
[x],login-preprod.identity.kkr.com,"76.223.106.8, 13.248.244.122","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,"kkr-preprod.customdomains.oktapreview.com, op3-custom-crtrs.oktapreview.com, op3-custom-crtrs.oktaedge.oktapreview.com, a556120ce37110a35.awsglobalaccelerator.com",,,,,,,,,
[x],login-qa.identity.kkr.com,,"ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,"kkr-qa.customdomains.oktapreview.com, op3-custom-crtrs.oktapreview.com, op3-custom-crtrs.oktaedge.oktapreview.com, a556120ce37110a35.awsglobalaccelerator.com",,,,,,,,,
[x],login.identity.kkr.com,"52.223.56.218, 35.71.149.114","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,"kkr.customdomains.okta.com, ok12-custom-crtrs.okta.com, ok12-custom-crtrs.oktaedge.okta.com, a9fabdf042c40ac50.awsglobalaccelerator.com",,,,,,,,,
[x],logo.kkr.com,65.216.176.44,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,redirect.kkr.com,,,,,,,,,
[x],lonhbrd.kkr.com,62.190.87.65,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,emeamailext.kkr.com,,,,,,,,,
[x],lonmail.kkr.com,65.216.176.48,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,lonmail.sso.kkr.com,,,,,,,,,
[x],lonmail.sso.kkr.com,65.216.176.48,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],lonmobileaccess1.kkr.com,193.129.163.107,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],lonsip.kkr.com,62.190.87.40,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,"lonsip.sso.kkr.com, lonsip01.sso.kkr.com",,,,,,,,,
[x],lonsip.sso.kkr.com,62.190.87.40,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,lonsip01.sso.kkr.com,,,,,,,,,
[x],lonsip01.sso.kkr.com,62.190.87.40,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],lonsipfile.kkr.com,,,NOERROR,,,,,,,,,,
[x],lonvpn.kkr.com,,,NOERROR,,,,,,,,,,
[x],lonvsp1.kkr.com,62.190.87.49,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],lpportal.kkr.com,"108.156.39.82, 108.156.39.49, 108.156.39.58, 108.156.39.50","ns-1525.awsdns-62.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,"ns-1525.awsdns-62.org, ns-2040.awsdns-63.co.uk, ns-305.awsdns-38.com, ns-763.awsdns-31.net",,,,,
[x],lync.kkr.com,65.216.176.41,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],lyncdiscover.kkr.com,65.216.176.40,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,nylyncfe1.kkr.com,,,,,,,,,
[x],mail.kkr.com,12.185.51.140,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],mail2.kkr.com,99.129.194.5,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],mail4.kkr.com,217.196.232.149,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],media.kkr.com,3.33.207.182,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],meet.kkr.com,,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],mi.kkr.com,99.129.194.51,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,mppmicore01.kkr.com,,,,,,,,,
[x],miapp2.kkr.com,99.129.194.24,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],mirror-internal-api.kkr.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,d29dvcaiudhhk4.cloudfront.net,,,,,,,,,
[x],mirror-internal.kkr.com,"18.66.147.102, 18.66.147.28, 18.66.147.69, 18.66.147.10","ns-1230.awsdns-25.org, awsdns-hostmaster.amazon.com",NOERROR,d3vgxbtn1lt84z.cloudfront.net,True,cloudfront,,"ns-1230.awsdns-25.org, ns-180.awsdns-22.com, ns-1973.awsdns-54.co.uk, ns-608.awsdns-12.net",,,,,
[x],mirror.lpportal.kkr.com,"18.244.102.36, 18.244.102.19, 18.244.102.30, 18.244.102.111","ns-1525.awsdns-62.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],mobileaccess1.kkr.com,99.129.194.21,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],mobileaccess4.kkr.com,63.116.77.32,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],mobileaccess9.kkr.com,99.129.194.25,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],mplegacy.kkr.com,99.129.194.5,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],mpmail.kkr.com,65.216.176.48,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,mpmail.sso.kkr.com,,,,,,,,,
[x],mpmail.sso.kkr.com,,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],mpmobileaccess5.kkr.com,,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],mppmicore01.kkr.com,,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],nylegacy.kkr.com,12.185.51.151,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],nylync.kkr.com,,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,nylyncfe1.kkr.com,,,,,,,,,
[x],nylyncdir.kkr.com,65.216.176.40,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,nylyncfe1.kkr.com,,,,,,,,,
[x],nylyncfe1.kkr.com,65.216.176.40,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],nymail.kkr.com,65.216.176.48,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,nymail.sso.kkr.com,,,,,,,,,
[x],nymail.sso.kkr.com,65.216.176.48,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],nyskype.kkr.com,65.216.176.40,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,nylyncfe1.kkr.com,,,,,,,,,
[x],ocs.kkr.com,,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],on.kkr.com,54.241.242.72,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],pages.kkr.com,13.111.70.10,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,pages.virt.s11.exacttarget.com,,,,,,,,,
[x],platform.kkr.cloud,,"ns-1324.awsdns-37.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1324.awsdns-37.org, ns-1570.awsdns-04.co.uk, ns-442.awsdns-55.com, ns-867.awsdns-44.net",,,,,
[x],portal-bgtest.kkr.com,,"ns-133.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,portaltest.kkr.com,,,,"ns-1252.awsdns-28.org, ns-133.awsdns-16.com, ns-1666.awsdns-16.co.uk, ns-836.awsdns-40.net",,,,,
[x],portal-prod.enterpriseprocess.kkr.cloud,"34.232.57.189, 107.22.247.144, 52.86.16.105, 107.23.138.212","ns-1007.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"heritage=external-dns,external-dns/owner=infra-shared-prod-001,external-dns/resource=ingress/enterpriseprocess-portal-prod/portal-service-generic-public",,,
[x],portal-stats.kkr.com,,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,redirect.kkr.com,,,,,,,,,
[x],portal.kkr.com,"99.86.4.83, 99.86.4.125, 99.86.4.113, 99.86.4.114","ns-1525.awsdns-62.org, awsdns-hostmaster.amazon.com",NOERROR,lpportal.kkr.com,True,cloudfront,,"ns-2040.awsdns-63.co.uk, ns-763.awsdns-31.net, ns-1525.awsdns-62.org, ns-305.awsdns-38.com",,,,,
[x],portalprodlb.kkr.com,65.216.176.46,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],portaltest.kkr.com,,"ns-133.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-133.awsdns-16.com, ns-1666.awsdns-16.co.uk, ns-836.awsdns-40.net, ns-1252.awsdns-28.org",,,,,
[x],portaluploads.kkr.com,65.216.176.46,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,portalprodlb.kkr.com,,,,,,,,,
[x],preprod.dash.kkr.com,"18.154.227.81, 18.154.227.100, 18.154.227.98, 18.154.227.121","ns-1466.awsdns-55.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],preprod.portaltest.kkr.com,"13.224.189.36, 13.224.189.76, 13.224.189.100, 13.224.189.129","ns-133.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],preprod.service.identity.kkr.com,"18.66.112.14, 18.66.112.31, 18.66.112.44, 18.66.112.92","ns-67.awsdns-08.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],prisma.kkr.com,65.216.176.44,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,redirect.kkr.com,,,,,,,,,
[x],processaccess.kkr.com,"107.23.138.212, 107.22.247.144, 52.86.16.105, 34.232.57.189","ns-1007.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,portal-prod.enterpriseprocess.kkr.cloud,,,,,,,,,
[x],pub-ingress-test.identity.kkr.cloud,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,d2a9o9fyoipq59.cloudfront.net,,,,,,,,,
[x],qa.portaltest.kkr.com,"52.222.236.114, 52.222.236.110, 52.222.236.45, 52.222.236.118","ns-133.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],qa.service.identity.kkr.com,"65.9.66.63, 65.9.66.106, 65.9.66.87, 65.9.66.50","ns-67.awsdns-08.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],redirect.kkr.com,65.216.176.44,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],relsci.kkr.com,65.216.176.44,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,redirect.kkr.com,,,,,,,,,
[x],risk.kkr.cloud,,"ns-1310.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1985.awsdns-56.co.uk, ns-379.awsdns-47.com, ns-849.awsdns-42.net, ns-1310.awsdns-35.org",,,,,
[x],samanage.kkr.com,65.216.176.44,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,redirect.kkr.com,,,,,,,,,
[x],saml.sso.kkr.com,203.193.8.54,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],sangha.kkr.cloud,,"ns-1485.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1485.awsdns-57.org, ns-1722.awsdns-23.co.uk, ns-498.awsdns-62.com, ns-802.awsdns-36.net",,,,,
[x],sap.kkr.com,65.216.176.44,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,redirect.kkr.com,,,,,,,,,
[x],sbc.kkr.com,62.190.87.40,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,"sbc.sso.kkr.com, lonsbc.sso.kkr.com",,,,,,,,,
[x],secure1.kkr.com,99.129.194.17,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],secure2.kkr.com,99.129.194.18,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],secureftp.kkr.com,65.216.176.47,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,sftp.kkr.com,,,,,,,,,
[x],security.kkr.cloud,,"ns-1079.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1079.awsdns-06.org, ns-1765.awsdns-28.co.uk, ns-34.awsdns-04.com, ns-699.awsdns-23.net",,,,,
[x],service.identity.kkr.com,"13.32.208.46, 13.32.208.66, 13.32.208.67, 13.32.208.88, 205.251.192.67, 205.251.195.105, 205.251.196.138, 205.251.198.11","ns-67.awsdns-08.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,"ns-67.awsdns-08.com, ns-1547.awsdns-01.co.uk, ns-1162.awsdns-17.org, ns-873.awsdns-45.net",,,,,
[x],sfpbt01.kkr.com,38.76.67.59,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,"pdns02.domaincontrol.com, pdns01.domaincontrol.com",,,,,
[x],sftp.kkr.com,65.216.176.47,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],sglync.kkr.com,202.95.104.44,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],sglyncdir.kkr.com,202.95.104.44,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],sgmail.sso.kkr.com,202.95.104.45,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],sgskype.kkr.com,202.95.104.44,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],sip.kkr.com,65.216.176.41,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],sit.portaltest.kkr.com,"13.224.189.96, 13.224.189.84, 13.224.189.30, 13.224.189.19","ns-133.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],smartspaces-emea-internal.kkr.com,62.190.87.73,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],smartspaces-emea.kkr.com,62.190.87.73,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],sso-uat.identity.kkr.com,"174.129.139.61, 54.165.82.221, 3.215.146.93, 54.163.88.69","ns-1302.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1302.awsdns-34.org, ns-1902.awsdns-45.co.uk, ns-224.awsdns-28.com, ns-929.awsdns-52.net",,,,,
[x],sso.identity.kkr.com,"54.162.9.72, 44.199.179.186, 52.54.34.82, 107.23.82.205","ns-1167.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-497.awsdns-62.com, ns-996.awsdns-60.net, ns-1167.awsdns-17.org, ns-1597.awsdns-07.co.uk",,,,,
[x],sso.kkr.com,,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
