new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,has_internal_ips,internal_ips
[x],janitor.kali.org,192.124.249.67,,,NOERROR,,,,,
[x],janus2.offensive-security.com,3.13.83.4,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],jenkins.kali.org,192.99.150.26,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,hestia.kali.org,,
[x],kube.offensive-security.com,,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],lachesis.kali.org,23.92.17.15,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],learn.offensive-security.com,"199.60.103.30, 199.60.103.226","2606:2c40::c73c:671e, 2606:2c40::c73c:67e2",,NOERROR,,,"5852453.group3.sites.hubspot.net, group3.sites.hscoscdn00.net",,
[x],leto.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],looker-api-1.offensive-security.com,54.159.143.74,,,NOERROR,,,,,
[x],mail.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],mail.offensive-security.com,142.251.41.51,,,NOERROR,,,ghs.google.com,,
[x],manageenglish-storage.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:49f, 2606:4700::6812:59f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],manager.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:59f, 2606:4700::6812:49f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],melpomene.kali.org,54.39.52.157,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],nike.kali.org,"104.18.5.159, 104.18.4.159","2606:4700::6812:59f, 2606:4700::6812:49f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],nl.docs.kali.org,"104.18.5.159, 104.18.4.159","2606:4700::6812:59f, 2606:4700::6812:49f",,NOERROR,True,cloudflare,,,
[x],offensive-security.com,192.124.249.5,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],old.exploit-db.com,192.124.249.13,,,NOERROR,,,,,
[x],old.kali.org,54.39.49.227,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,terpsichore.kali.org,,
[x],oldicorn.offensive-security.com,45.79.131.24,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],pan.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],partnerportal.offensive-security.com,,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],paste.offensive-security.com,104.237.144.146,,,NOERROR,,,paste.offsec.com,,
[x],phab-dev.offensive-security.com,45.79.131.24,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],phab.offensive-security.com,45.79.131.24,,,NOERROR,,,,,
[x],phobos.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],phosphoros.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],pkg.kali.org,192.124.249.9,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],polyhymnia.kali.org,54.39.103.103,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],portal-dev-sec.offensive-security.com,45.79.131.24,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],portal-dev.offensive-security.com,"172.67.22.117, 104.22.48.220, 104.22.49.220","2606:4700:10::6816:30dc, 2606:4700:10::ac43:1675, 2606:4700:10::6816:31dc",,NOERROR,True,cloudflare,portal-dev.offensive-security.com.cdn.cloudflare.net,,
[x],portal-devops.offensive-security.com,45.79.131.24,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],portal-preprod.offensive-security.com,"104.22.49.220, 172.67.22.117, 104.22.48.220","2606:4700:10::6816:31dc, 2606:4700:10::6816:30dc, 2606:4700:10::ac43:1675",,NOERROR,True,cloudflare,portal-preprod.offensive-security.com.cdn.cloudflare.net,,
[x],portal.offensive-security.com,"104.22.48.220, 104.22.49.220, 172.67.22.117",,,NOERROR,True,cloudflare,portal.offensive-security.com.cdn.cloudflare.net,,
[x],poseidon.kali.org,158.69.125.93,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],proctoring.offensive-security.com,18.224.243.5,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],proctoringapi.offensive-security.com,18.224.243.5,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],prod-v2.offensive-security.com,,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
