new,host,a,aaaa,mx,soa,ns,txt,status_code,cdn,cdn-name,cname
,dev-employer-admin.jora.xyz,"3.24.196.220, 13.238.90.87",,,"ns-1055.awsdns-03.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,je-admin-console-dev.ap-southeast-2.elasticbeanstalk.com
,dev-employer-legacy.jora.com,"104.16.103.16, 104.16.104.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,dev-employer.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,e.local.jora.com,,,,"aisha.ns.cloudflare.com, dns.cloudflare.com",,v=spf1 ip4:149.72.112.140 ip4:149.72.112.141 ip4:223.165.118.1 ip4:223.165.118.10 ip4:223.165.118.100 ip4:223.165.118.103 ip4:223.165.118.104 -all,NOERROR,,,u22732603.wl104.sendgrid.net
,e.news.jora.com,,,mx.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,u22732603.wl104.sendgrid.net
,ec.jora.com,"104.16.103.16, 104.16.104.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,emp.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,employer-admin.jora.xyz,"13.55.181.90, 3.105.77.97",,,"ns-1055.awsdns-03.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,je-admin-console-prod.ap-southeast-2.elasticbeanstalk.com
,employer.jora.com,"104.16.103.16, 104.16.104.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,google-site-verification=nHZLNx_E9LpR-wy2gR-lkSgFHjTPBUEXABuz0h17dk8,NOERROR,True,cloudflare,
,es.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,events.jora.com,"13.237.95.252, 13.238.103.242",,,"ns-99.awsdns-12.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,"jupiter-adtracker.ads.ap-southeast-2.aws.joraland.com, awseb-e-7-awsebloa-15mgs4mt6m3y2-1128590035.ap-southeast-2.elb.amazonaws.com"
,firefly.jora.com,"104.16.103.16, 104.16.104.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,fr.jora.com,,"2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,global-lb.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,hk.jora.com,"104.16.103.16, 104.16.104.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,ie.jora.com,"104.16.103.16, 104.16.104.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,in.jora.com,"104.16.103.16, 104.16.104.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,jora-assets.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,jora.com,"104.16.103.16, 104.16.104.16, 108.162.193.164, 172.64.33.164, 173.245.59.164, 108.162.192.248, 172.64.32.248, 173.245.58.248","2606:4700::6810:6710, 2606:4700::6810:6810, 2606:4700:58::adf5:3ba4, 2803:f800:50::6ca2:c1a4, 2a06:98c1:50::ac40:21a4, 2606:4700:50::adf5:3af8, 2803:f800:50::6ca2:c0f8, 2a06:98c1:50::ac40:20f8","mxb-002a9501.gslb.pphosted.com, mxa-002a9501.gslb.pphosted.com","barbara.ns.cloudflare.com, dns.cloudflare.com","ernest.ns.cloudflare.com, barbara.ns.cloudflare.com","miro-verification=5797f3dc784bc0d2032ddda626f6c17392238939, google-site-verification=pUbu5tKwn7y1nu4XZtlpThYleB7dkMrIRxFb2Brei2c, MS=ms56486226, ZOOM_verify_NDvCdg-OQHi5qbN5dAaWeg, v=spf1 include:zoho.com include:spf.mandrillapp.com include:mail.zendesk.com include:corp.spf.seek.com.au include:servers.mcsv.net include:amazonses.com ~all, parkable-domain-verification=CD9k2PVwyfqMT8KJWXMom5ybyp4prKYmlVWCWQIo2E0=, stripe-verification=77d6ad3c8c283a7b757fd7bdc9c249b2f833f16949292a7a01e26c1228e9731a, docker-verification=3807cf08-bdb7-48d8-9ce3-162df3f5b664, adobe-sign-verification=3a9cd4e3b0a64eb77f4abe32b8f7a74c, atlassian-domain-verification=UjEJ5TIlN/cfv8Z5RGR74BHYdiIh2m3tLyzMS2HpFDD7GHXju2QcMMpvecifUxdt, google-site-verification=wdim-h_hdnJ-yXEOVjrLxcR_PFeowFXRQKpL2jF3TO4, stripe-verification=b4c38aaab34fab348bf0a9e0f6424fc01c93baf0c096771f694de337c1004101, google-site-verification=XFboNdPh1kGKHFfoKmQ37kuo8XvSdUMI0j4-VYBoqj0, adobe-idp-site-verification=de862d322efec2e3e2858ed3fbc28c629d56a6f1b76cf197aea58ed8f6f710ea, google-site-verification=hLoKY_x5zxT1oRQkspgrrhN-NccePl_cH-qKgINP1F8",NOERROR,True,cloudflare,
,jora.xyz,"108.162.193.164, 172.64.33.164, 173.245.59.164, 108.162.192.248, 172.64.32.248, 173.245.58.248","2606:4700:58::adf5:3ba4, 2803:f800:50::6ca2:c1a4, 2a06:98c1:50::ac40:21a4, 2606:4700:50::adf5:3af8, 2803:f800:50::6ca2:c0f8, 2a06:98c1:50::ac40:20f8",,"barbara.ns.cloudflare.com, dns.cloudflare.com","barbara.ns.cloudflare.com, ernest.ns.cloudflare.com",,NOERROR,,,
,jupiter-admin.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,jupiter.jora.com,"104.16.103.16, 104.16.104.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,kh.jora.com,"104.16.103.16, 104.16.104.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,l.local.jora.com,,"2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,l.news.jora.com,"104.16.103.16, 104.16.104.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,la.jora.com,,,,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,locate-cld-aapse1.jora.xyz,,,,,,,NOERROR,,,
,mail.jora.com,,,,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,
,mm.jora.com,"104.16.103.16, 104.16.104.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,my.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,news.jora.com,,,,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,
,nz.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,o3708.e.local.jora.com,149.72.112.140,,,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,
,partner-feeds.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,partnerftp.jora.com,52.8.60.167,,,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,
,pe.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,ph.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,pk.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,production-firefly.jora.com,"104.16.103.16, 104.16.104.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,production-uap.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,pt.jora.com,"104.16.103.16, 104.16.104.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,qa.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,sg.jora.com,"104.16.103.16, 104.16.104.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,google-site-verification=g9b4POjduni-TJoGYYI62I4RdgTY7Qw-Cg1T0eACqDU,NOERROR,True,cloudflare,
,staging-cdn.jora.com,"104.16.103.16, 104.16.104.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,t.mail.jora.com,"34.211.245.10, 35.160.128.112, 54.245.105.162, 54.245.105.146",,"9656353.in1.mandrillapp.com, 9656353.in2.mandrillapp.com","ns-720.awsdns-26.net, awsdns-hostmaster.amazon.com","ns-289.awsdns-36.com, ns-720.awsdns-26.net, ns-1127.awsdns-12.org, ns-1934.awsdns-49.co.uk",v=spf1 include:spf.mandrillapp.com ~all,NOERROR,,,mandrillapp.com
,th.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,tor4-34-pda.jora.xyz,54.144.128.85,,,,,,NOERROR,,,
,uk.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,us.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6710, 2606:4700::6810:6810",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,vn.jora.com,"104.16.103.16, 104.16.104.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,google-site-verification=EMFENcFN1rUybYBW5gGW3yFqFBMcgLIZAHX3mr43A6o,NOERROR,True,cloudflare,
,www.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,za.jora.com,"104.16.104.16, 104.16.103.16","2606:4700::6810:6810, 2606:4700::6810:6710",,"barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,
,zendesk1.jora.com,"162.159.138.6, 162.159.128.7",,mail.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,True,cloudflare,mail1.zendesk.com
,zendesk3.jora.com,"162.159.138.6, 162.159.128.7",,mail.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,True,cloudflare,mail3.zendesk.com
,zendesk4.jora.com,"162.159.138.6, 162.159.128.7",,mail.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,True,cloudflare,mail4.zendesk.com
