new,host,a,soa,status_code,cname,mx,ns,txt,aaaa,has_internal_ips,internal_ips
,de.redtube.com,66.254.114.238,"sdns3.ultradns.net, dns.mindgeek.com, dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,redtube.com,"mxa-002a0701.gslb.pphosted.com, mxb-002a0701.gslb.pphosted.com","sdns3.ultradns.biz, sdns3.ultradns.com, sdns3.ultradns.net, sdns3.ultradns.org, dns1.p03.nsone.net, dns2.p03.nsone.net, dns3.p03.nsone.net, dns4.p03.nsone.net","google-site-verification=9gpxCff5vciyFx55Hj_mVTxUoThKaCZyjrni3nuyyuo, 9jm5x38zsnj8c9l8mlfl54ztzbbd8y3s, google-site-verification=nA3sW-BoUeZdxEPNSeHo2fG58wJ_yF2B9aQ9vjMCNsA, V-kzbjHYyHYVtniBJuyiWJ5wDd5cW_BuUbPo9Yo-gIU, bhsdsmd081rdt2fd9l6plb8zwsphcjmq, google-site-verification=JNmeyeScDi8vsIQLhXXG9DEuJGQ-iZnTZlV5ju4_nO4, google-site-verification=moAnpmLNPD6q_dlvxBI0EOfEu3Brvcqk9vrrqTrYsHU, MS=ms41815766, google-site-verification=yXCZcuvHm7yQ5rLhnWiIiKlRCh514J-x3M9upiCtQJ4, rbtwq1jnw88fxz1q3wm9krj5cd2cctrx, v=spf1 a mx include:_spf.google.com include:mail.zendesk.com ip4:208.91.206.64/26 ip4:62.212.83.19/32 ip4:31.192.125.32/28 ip4:208.99.69.22/32 ip4:94.199.252.160/28 mx ip4:162.211.96.66 ip4:162.211.96.67 include:spf-002a0701.pphosted.com include:spf.prote, ction.outlook.com ~all",,,
,document-review.redtube.com,199.36.158.100,"sdns3.ultradns.net, dns.mindgeek.com",NOERROR,,,,,,,
,embed.redtube.com,66.254.114.172,"dns1.p03.nsone.net, hostmaster.nsone.net, sdns3.ultradns.net, dns.mindgeek.com",NOERROR,,,,,,,
,feeds.redtube.com,66.254.114.238,"sdns3.ultradns.net, dns.mindgeek.com",NOERROR,,,,,,,
,fr.redtube.com,"66.254.114.238, 198.51.44.3, 198.51.45.3, 198.51.44.67, 198.51.45.67, 156.154.142.3, 156.154.140.3, 156.154.141.3, 156.154.143.3","sdns3.ultradns.net, dns.mindgeek.com",NOERROR,redtube.com,"mxb-002a0701.gslb.pphosted.com, mxa-002a0701.gslb.pphosted.com","sdns3.ultradns.com, dns4.p03.nsone.net, sdns3.ultradns.org, sdns3.ultradns.biz, dns1.p03.nsone.net, dns3.p03.nsone.net, dns2.p03.nsone.net, sdns3.ultradns.net","google-site-verification=nA3sW-BoUeZdxEPNSeHo2fG58wJ_yF2B9aQ9vjMCNsA, google-site-verification=9gpxCff5vciyFx55Hj_mVTxUoThKaCZyjrni3nuyyuo, bhsdsmd081rdt2fd9l6plb8zwsphcjmq, google-site-verification=yXCZcuvHm7yQ5rLhnWiIiKlRCh514J-x3M9upiCtQJ4, google-site-verification=JNmeyeScDi8vsIQLhXXG9DEuJGQ-iZnTZlV5ju4_nO4, 9jm5x38zsnj8c9l8mlfl54ztzbbd8y3s, v=spf1 a mx include:_spf.google.com include:mail.zendesk.com ip4:208.91.206.64/26 ip4:62.212.83.19/32 ip4:31.192.125.32/28 ip4:208.99.69.22/32 ip4:94.199.252.160/28 mx ip4:162.211.96.66 ip4:162.211.96.67 include:spf-002a0701.pphosted.com include:spf.prote, ction.outlook.com ~all, rbtwq1jnw88fxz1q3wm9krj5cd2cctrx, MS=ms41815766, google-site-verification=moAnpmLNPD6q_dlvxBI0EOfEu3Brvcqk9vrrqTrYsHU, V-kzbjHYyHYVtniBJuyiWJ5wDd5cW_BuUbPo9Yo-gIU","2620:4d:4000:6259:7:3:0:1, 2a00:edc0:6259:7:3::2, 2620:4d:4000:6259:7:3:0:3, 2a00:edc0:6259:7:3::4, 2610:a1:1001::3, 2610:a1:1002::3",,
,gay.redtube.com,54.144.128.85,,NOERROR,,,,,,,
,gsp47-ssl-dlb-st.redtube.com,54.144.128.85,,NOERROR,,,,,,,
,ht.redtube.com,216.18.168.30,"dns1.p03.nsone.net, hostmaster.nsone.net, sdns3.ultradns.net, dns.mindgeek.com",NOERROR,,,,,,,
,in.redtube.com,66.254.114.238,"sdns3.ultradns.net, dns.mindgeek.com, dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,redtube.com,"mxa-002a0701.gslb.pphosted.com, mxb-002a0701.gslb.pphosted.com","sdns3.ultradns.biz, sdns3.ultradns.com, sdns3.ultradns.net, sdns3.ultradns.org, dns1.p03.nsone.net, dns2.p03.nsone.net, dns3.p03.nsone.net, dns4.p03.nsone.net","google-site-verification=9gpxCff5vciyFx55Hj_mVTxUoThKaCZyjrni3nuyyuo, 9jm5x38zsnj8c9l8mlfl54ztzbbd8y3s, google-site-verification=nA3sW-BoUeZdxEPNSeHo2fG58wJ_yF2B9aQ9vjMCNsA, V-kzbjHYyHYVtniBJuyiWJ5wDd5cW_BuUbPo9Yo-gIU, bhsdsmd081rdt2fd9l6plb8zwsphcjmq, google-site-verification=JNmeyeScDi8vsIQLhXXG9DEuJGQ-iZnTZlV5ju4_nO4, google-site-verification=moAnpmLNPD6q_dlvxBI0EOfEu3Brvcqk9vrrqTrYsHU, MS=ms41815766, google-site-verification=yXCZcuvHm7yQ5rLhnWiIiKlRCh514J-x3M9upiCtQJ4, rbtwq1jnw88fxz1q3wm9krj5cd2cctrx, v=spf1 a mx include:_spf.google.com include:mail.zendesk.com ip4:208.91.206.64/26 ip4:62.212.83.19/32 ip4:31.192.125.32/28 ip4:208.99.69.22/32 ip4:94.199.252.160/28 mx ip4:162.211.96.66 ip4:162.211.96.67 include:spf-002a0701.pphosted.com include:spf.prote, ction.outlook.com ~all",,,
,ipv4-c612-ord001-ix.com.redtube.com,,,NOERROR,,,,,,,
,ir.ads03.redtube.com,,"ns.mydomain.com.ads03.redtube.com, hostmaster.mydomain.com",NOERROR,,,,,::1,True,::1
,jp-stage.redtube.com,66.254.114.192,"sdns3.ultradns.net, dns.mindgeek.com, dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,stage.redtube.com,,,,,,
,jp.redtube.com,66.254.114.238,"sdns3.ultradns.net, dns.mindgeek.com, dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,redtube.com,"mxa-002a0701.gslb.pphosted.com, mxb-002a0701.gslb.pphosted.com","sdns3.ultradns.biz, sdns3.ultradns.com, sdns3.ultradns.net, sdns3.ultradns.org, dns1.p03.nsone.net, dns2.p03.nsone.net, dns3.p03.nsone.net, dns4.p03.nsone.net","9jm5x38zsnj8c9l8mlfl54ztzbbd8y3s, MS=ms41815766, V-kzbjHYyHYVtniBJuyiWJ5wDd5cW_BuUbPo9Yo-gIU, bhsdsmd081rdt2fd9l6plb8zwsphcjmq, google-site-verification=9gpxCff5vciyFx55Hj_mVTxUoThKaCZyjrni3nuyyuo, google-site-verification=JNmeyeScDi8vsIQLhXXG9DEuJGQ-iZnTZlV5ju4_nO4, google-site-verification=moAnpmLNPD6q_dlvxBI0EOfEu3Brvcqk9vrrqTrYsHU, google-site-verification=nA3sW-BoUeZdxEPNSeHo2fG58wJ_yF2B9aQ9vjMCNsA, google-site-verification=yXCZcuvHm7yQ5rLhnWiIiKlRCh514J-x3M9upiCtQJ4, rbtwq1jnw88fxz1q3wm9krj5cd2cctrx, v=spf1 a mx include:_spf.google.com include:mail.zendesk.com ip4:208.91.206.64/26 ip4:62.212.83.19/32 ip4:31.192.125.32/28 ip4:208.99.69.22/32 ip4:94.199.252.160/28 mx ip4:162.211.96.66 ip4:162.211.96.67 include:spf-002a0701.pphosted.com include:spf.prote, ction.outlook.com ~all",,,
,m.redtube.com,66.254.114.238,"dns1.p03.nsone.net, hostmaster.nsone.net, sdns3.ultradns.net, dns.mindgeek.com",NOERROR,redtube.com,"mxa-002a0701.gslb.pphosted.com, mxb-002a0701.gslb.pphosted.com","dns2.p03.nsone.net, dns3.p03.nsone.net, dns4.p03.nsone.net, sdns3.ultradns.biz, sdns3.ultradns.com, sdns3.ultradns.net, sdns3.ultradns.org, dns1.p03.nsone.net","MS=ms41815766, google-site-verification=9gpxCff5vciyFx55Hj_mVTxUoThKaCZyjrni3nuyyuo, V-kzbjHYyHYVtniBJuyiWJ5wDd5cW_BuUbPo9Yo-gIU, bhsdsmd081rdt2fd9l6plb8zwsphcjmq, 9jm5x38zsnj8c9l8mlfl54ztzbbd8y3s, google-site-verification=nA3sW-BoUeZdxEPNSeHo2fG58wJ_yF2B9aQ9vjMCNsA, google-site-verification=JNmeyeScDi8vsIQLhXXG9DEuJGQ-iZnTZlV5ju4_nO4, rbtwq1jnw88fxz1q3wm9krj5cd2cctrx, google-site-verification=moAnpmLNPD6q_dlvxBI0EOfEu3Brvcqk9vrrqTrYsHU, v=spf1 a mx include:_spf.google.com include:mail.zendesk.com ip4:208.91.206.64/26 ip4:62.212.83.19/32 ip4:31.192.125.32/28 ip4:208.99.69.22/32 ip4:94.199.252.160/28 mx ip4:162.211.96.66 ip4:162.211.96.67 include:spf-002a0701.pphosted.com include:spf.prote, ction.outlook.com ~all, google-site-verification=yXCZcuvHm7yQ5rLhnWiIiKlRCh514J-x3M9upiCtQJ4",,,
,media.redtube.com,,"sdns3.ultradns.net, dns.mindgeek.com",NOERROR,,,,,,,
,ooxingtui.cn.htmlwww.redtube.com,,,NOERROR,,,,,,,
,outsidepeedesperationredheadpissinpantsbusywith.www.redtube.com,,,NOERROR,,,,,,,
,pl.redtube.com,66.254.114.238,"dns1.p03.nsone.net, hostmaster.nsone.net, sdns3.ultradns.net, dns.mindgeek.com",NOERROR,redtube.com,"mxa-002a0701.gslb.pphosted.com, mxb-002a0701.gslb.pphosted.com","sdns3.ultradns.biz, sdns3.ultradns.com, sdns3.ultradns.net, sdns3.ultradns.org, dns1.p03.nsone.net, dns2.p03.nsone.net, dns3.p03.nsone.net, dns4.p03.nsone.net","9jm5x38zsnj8c9l8mlfl54ztzbbd8y3s, MS=ms41815766, V-kzbjHYyHYVtniBJuyiWJ5wDd5cW_BuUbPo9Yo-gIU, bhsdsmd081rdt2fd9l6plb8zwsphcjmq, google-site-verification=9gpxCff5vciyFx55Hj_mVTxUoThKaCZyjrni3nuyyuo, google-site-verification=JNmeyeScDi8vsIQLhXXG9DEuJGQ-iZnTZlV5ju4_nO4, google-site-verification=moAnpmLNPD6q_dlvxBI0EOfEu3Brvcqk9vrrqTrYsHU, google-site-verification=nA3sW-BoUeZdxEPNSeHo2fG58wJ_yF2B9aQ9vjMCNsA, google-site-verification=yXCZcuvHm7yQ5rLhnWiIiKlRCh514J-x3M9upiCtQJ4, rbtwq1jnw88fxz1q3wm9krj5cd2cctrx, v=spf1 a mx include:_spf.google.com include:mail.zendesk.com ip4:208.91.206.64/26 ip4:62.212.83.19/32 ip4:31.192.125.32/28 ip4:208.99.69.22/32 ip4:94.199.252.160/28 mx ip4:162.211.96.66 ip4:162.211.96.67 include:spf-002a0701.pphosted.com include:spf.prote, ction.outlook.com ~all",,,
,press.redtube.com,66.254.114.170,"sdns3.ultradns.net, dns.mindgeek.com",NOERROR,,,,,,,
,redtube.com,"66.254.114.238, 198.51.44.3, 198.51.45.3, 198.51.44.67, 198.51.45.67, 156.154.142.3, 156.154.140.3, 156.154.141.3, 156.154.143.3","sdns3.ultradns.net, dns.mindgeek.com",NOERROR,,"mxa-002a0701.gslb.pphosted.com, mxb-002a0701.gslb.pphosted.com","sdns3.ultradns.net, dns3.p03.nsone.net, sdns3.ultradns.biz, dns2.p03.nsone.net, dns1.p03.nsone.net, sdns3.ultradns.org, dns4.p03.nsone.net, sdns3.ultradns.com","google-site-verification=yXCZcuvHm7yQ5rLhnWiIiKlRCh514J-x3M9upiCtQJ4, google-site-verification=9gpxCff5vciyFx55Hj_mVTxUoThKaCZyjrni3nuyyuo, v=spf1 a mx include:_spf.google.com include:mail.zendesk.com ip4:208.91.206.64/26 ip4:62.212.83.19/32 ip4:31.192.125.32/28 ip4:208.99.69.22/32 ip4:94.199.252.160/28 mx ip4:162.211.96.66 ip4:162.211.96.67 include:spf-002a0701.pphosted.com include:spf.prote, ction.outlook.com ~all, rbtwq1jnw88fxz1q3wm9krj5cd2cctrx, 9jm5x38zsnj8c9l8mlfl54ztzbbd8y3s, google-site-verification=moAnpmLNPD6q_dlvxBI0EOfEu3Brvcqk9vrrqTrYsHU, bhsdsmd081rdt2fd9l6plb8zwsphcjmq, V-kzbjHYyHYVtniBJuyiWJ5wDd5cW_BuUbPo9Yo-gIU, google-site-verification=JNmeyeScDi8vsIQLhXXG9DEuJGQ-iZnTZlV5ju4_nO4, MS=ms41815766, google-site-verification=nA3sW-BoUeZdxEPNSeHo2fG58wJ_yF2B9aQ9vjMCNsA","2620:4d:4000:6259:7:3:0:1, 2a00:edc0:6259:7:3::2, 2620:4d:4000:6259:7:3:0:3, 2a00:edc0:6259:7:3::4, 2610:a1:1001::3, 2610:a1:1002::3",,
,restricted.comlw.redtube.com,,,NOERROR,,,,,,,
,rt.redtube.com,66.254.114.238,"sdns3.ultradns.net, dns.mindgeek.com",NOERROR,redtube.com,"mxa-002a0701.gslb.pphosted.com, mxb-002a0701.gslb.pphosted.com",,,,,
,ru.redtube.com,66.254.114.238,"dns1.p03.nsone.net, hostmaster.nsone.net, sdns3.ultradns.net, dns.mindgeek.com",NOERROR,redtube.com,"mxb-002a0701.gslb.pphosted.com, mxa-002a0701.gslb.pphosted.com","sdns3.ultradns.com, sdns3.ultradns.net, sdns3.ultradns.org, dns1.p03.nsone.net, dns2.p03.nsone.net, dns3.p03.nsone.net, dns4.p03.nsone.net, sdns3.ultradns.biz","google-site-verification=yXCZcuvHm7yQ5rLhnWiIiKlRCh514J-x3M9upiCtQJ4, rbtwq1jnw88fxz1q3wm9krj5cd2cctrx, v=spf1 a mx include:_spf.google.com include:mail.zendesk.com ip4:208.91.206.64/26 ip4:62.212.83.19/32 ip4:31.192.125.32/28 ip4:208.99.69.22/32 ip4:94.199.252.160/28 mx ip4:162.211.96.66 ip4:162.211.96.67 include:spf-002a0701.pphosted.com include:spf.prote, ction.outlook.com ~all, 9jm5x38zsnj8c9l8mlfl54ztzbbd8y3s, MS=ms41815766, V-kzbjHYyHYVtniBJuyiWJ5wDd5cW_BuUbPo9Yo-gIU, bhsdsmd081rdt2fd9l6plb8zwsphcjmq, google-site-verification=9gpxCff5vciyFx55Hj_mVTxUoThKaCZyjrni3nuyyuo, google-site-verification=JNmeyeScDi8vsIQLhXXG9DEuJGQ-iZnTZlV5ju4_nO4, google-site-verification=moAnpmLNPD6q_dlvxBI0EOfEu3Brvcqk9vrrqTrYsHU, google-site-verification=nA3sW-BoUeZdxEPNSeHo2fG58wJ_yF2B9aQ9vjMCNsA",,,
,sa.redtube.com,66.254.114.238,"sdns3.ultradns.net, dns.mindgeek.com",NOERROR,redtube.com,"mxa-002a0701.gslb.pphosted.com, mxb-002a0701.gslb.pphosted.com","sdns3.ultradns.biz, sdns3.ultradns.com, sdns3.ultradns.net, sdns3.ultradns.org, dns1.p03.nsone.net, dns2.p03.nsone.net, dns3.p03.nsone.net, dns4.p03.nsone.net","google-site-verification=9gpxCff5vciyFx55Hj_mVTxUoThKaCZyjrni3nuyyuo, 9jm5x38zsnj8c9l8mlfl54ztzbbd8y3s, google-site-verification=nA3sW-BoUeZdxEPNSeHo2fG58wJ_yF2B9aQ9vjMCNsA, V-kzbjHYyHYVtniBJuyiWJ5wDd5cW_BuUbPo9Yo-gIU, bhsdsmd081rdt2fd9l6plb8zwsphcjmq, google-site-verification=JNmeyeScDi8vsIQLhXXG9DEuJGQ-iZnTZlV5ju4_nO4, google-site-verification=moAnpmLNPD6q_dlvxBI0EOfEu3Brvcqk9vrrqTrYsHU, MS=ms41815766, google-site-verification=yXCZcuvHm7yQ5rLhnWiIiKlRCh514J-x3M9upiCtQJ4, rbtwq1jnw88fxz1q3wm9krj5cd2cctrx, v=spf1 a mx include:_spf.google.com include:mail.zendesk.com ip4:208.91.206.64/26 ip4:62.212.83.19/32 ip4:31.192.125.32/28 ip4:208.99.69.22/32 ip4:94.199.252.160/28 mx ip4:162.211.96.66 ip4:162.211.96.67 include:spf-002a0701.pphosted.com include:spf.prote, ction.outlook.com ~all",,,
,stage-api.redtube.com,66.254.114.192,"dns1.p03.nsone.net, hostmaster.nsone.net, sdns3.ultradns.net, dns.mindgeek.com",NOERROR,stage.redtube.com,,,,,,
,stage-cms.redtube.com,66.254.114.192,"sdns3.ultradns.net, dns.mindgeek.com",NOERROR,stage.redtube.com,,,,,,
,stage.blog.redtube.com,66.254.114.170,"sdns3.ultradns.net, dns.mindgeek.com",NOERROR,,,,,,,
,stage.cms.redtube.com,66.254.114.192,"sdns3.ultradns.net, dns.mindgeek.com",NOERROR,stage.redtube.com,,,,,,
,stage.redtube.com,66.254.114.192,"sdns3.ultradns.net, dns.mindgeek.com, dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
,stage2.redtube.com,66.254.114.192,"sdns3.ultradns.net, dns.mindgeek.com, dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
,stage3.redtube.com,66.254.114.192,"sdns3.ultradns.net, dns.mindgeek.com",NOERROR,,,,,,,
,stage5.redtube.com,66.254.114.192,"sdns3.ultradns.net, dns.mindgeek.com, dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
,stage6.redtube.com,66.254.114.192,"dns1.p03.nsone.net, hostmaster.nsone.net, sdns3.ultradns.net, dns.mindgeek.com",NOERROR,,,,,,,
,stage7.redtube.com,66.254.114.192,"sdns3.ultradns.net, dns.mindgeek.com",NOERROR,,,,,,,
,static.redtube.com,8.247.219.125,"admin.fpbns.net, dns.level3.net",NOERROR,"static.redtube.com.rncdn1.com, ng-s10-blue.dnssecure.fpbns.net",,,,,,
,tempaccount-salesbetatemp-exchangedns.ads03.redtube.com,0.0.0.0,"ns.mydomain.com.ads03.redtube.com, hostmaster.mydomain.com",NOERROR,,,,,::1,True,"0.0.0.0, ::1"
,thumbs-cdn.redtube.com,"66.254.122.22, 66.254.122.23, 66.254.122.16, 66.254.122.17, 66.254.122.18, 66.254.122.19, 66.254.122.20, 66.254.122.21","cdnns1.rncdn7.com, support.reflected.net",NOERROR,thumbs-cdn.redtube.com.sds.rncdn7.com,,,,,,
,thumbs.redtube.com,94.199.254.6,"sdns3.ultradns.net, dns.mindgeek.com, dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
,uk.redtube.com,66.254.114.238,"dns1.p03.nsone.net, hostmaster.nsone.net, sdns3.ultradns.net, dns.mindgeek.com",NOERROR,redtube.com,"mxa-002a0701.gslb.pphosted.com, mxb-002a0701.gslb.pphosted.com","sdns3.ultradns.biz, sdns3.ultradns.com, sdns3.ultradns.net, sdns3.ultradns.org, dns1.p03.nsone.net, dns2.p03.nsone.net, dns3.p03.nsone.net, dns4.p03.nsone.net","google-site-verification=9gpxCff5vciyFx55Hj_mVTxUoThKaCZyjrni3nuyyuo, 9jm5x38zsnj8c9l8mlfl54ztzbbd8y3s, google-site-verification=nA3sW-BoUeZdxEPNSeHo2fG58wJ_yF2B9aQ9vjMCNsA, V-kzbjHYyHYVtniBJuyiWJ5wDd5cW_BuUbPo9Yo-gIU, bhsdsmd081rdt2fd9l6plb8zwsphcjmq, google-site-verification=JNmeyeScDi8vsIQLhXXG9DEuJGQ-iZnTZlV5ju4_nO4, google-site-verification=moAnpmLNPD6q_dlvxBI0EOfEu3Brvcqk9vrrqTrYsHU, MS=ms41815766, google-site-verification=yXCZcuvHm7yQ5rLhnWiIiKlRCh514J-x3M9upiCtQJ4, rbtwq1jnw88fxz1q3wm9krj5cd2cctrx, v=spf1 a mx include:_spf.google.com include:mail.zendesk.com ip4:208.91.206.64/26 ip4:62.212.83.19/32 ip4:31.192.125.32/28 ip4:208.99.69.22/32 ip4:94.199.252.160/28 mx ip4:162.211.96.66 ip4:162.211.96.67 include:spf-002a0701.pphosted.com include:spf.prote, ction.outlook.com ~all",,,
,umcsfsdeva.jp.redtube.com,,,NOERROR,,,,,,,
,upload.redtube.com,,"sdns3.ultradns.net, dns.mindgeek.com, dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
,widgets.redtube.com,94.199.254.6,"sdns3.ultradns.net, dns.mindgeek.com",NOERROR,,,,,,,
,ww.redtube.com,"66.254.114.238, 198.51.44.3, 198.51.45.3, 198.51.44.67, 198.51.45.67, 156.154.142.3, 156.154.140.3, 156.154.141.3, 156.154.143.3","sdns3.ultradns.net, dns.mindgeek.com",NOERROR,redtube.com,"mxa-002a0701.gslb.pphosted.com, mxb-002a0701.gslb.pphosted.com","sdns3.ultradns.org, sdns3.ultradns.net, dns4.p03.nsone.net, sdns3.ultradns.com, dns1.p03.nsone.net, dns2.p03.nsone.net, sdns3.ultradns.biz, dns3.p03.nsone.net","google-site-verification=yXCZcuvHm7yQ5rLhnWiIiKlRCh514J-x3M9upiCtQJ4, google-site-verification=JNmeyeScDi8vsIQLhXXG9DEuJGQ-iZnTZlV5ju4_nO4, v=spf1 a mx include:_spf.google.com include:mail.zendesk.com ip4:208.91.206.64/26 ip4:62.212.83.19/32 ip4:31.192.125.32/28 ip4:208.99.69.22/32 ip4:94.199.252.160/28 mx ip4:162.211.96.66 ip4:162.211.96.67 include:spf-002a0701.pphosted.com include:spf.prote, ction.outlook.com ~all, bhsdsmd081rdt2fd9l6plb8zwsphcjmq, 9jm5x38zsnj8c9l8mlfl54ztzbbd8y3s, rbtwq1jnw88fxz1q3wm9krj5cd2cctrx, V-kzbjHYyHYVtniBJuyiWJ5wDd5cW_BuUbPo9Yo-gIU, google-site-verification=9gpxCff5vciyFx55Hj_mVTxUoThKaCZyjrni3nuyyuo, google-site-verification=moAnpmLNPD6q_dlvxBI0EOfEu3Brvcqk9vrrqTrYsHU, google-site-verification=nA3sW-BoUeZdxEPNSeHo2fG58wJ_yF2B9aQ9vjMCNsA, MS=ms41815766","2620:4d:4000:6259:7:3:0:1, 2a00:edc0:6259:7:3::2, 2620:4d:4000:6259:7:3:0:3, 2a00:edc0:6259:7:3::4, 2610:a1:1001::3, 2610:a1:1002::3",,
,www-stage.redtube.com,,"dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,stage.redtube.com,,,,,,
,www-stage2.redtube.com,,"sdns3.ultradns.net, dns.mindgeek.com, dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,stage2.redtube.com,,,,,,
,www.aimoyey.com.htmlwww.redtube.com,,,NOERROR,,,,,,,
,www.apetshow.com.htmlwww.redtube.com,,,NOERROR,,,,,,,
,www.lfbojue.com.htmlwww.redtube.com,,,NOERROR,,,,,,,
,www.redtube.com,66.254.114.238,"dns1.p03.nsone.net, hostmaster.nsone.net, sdns3.ultradns.net, dns.mindgeek.com",NOERROR,redtube.com,"mxa-002a0701.gslb.pphosted.com, mxb-002a0701.gslb.pphosted.com","sdns3.ultradns.biz, sdns3.ultradns.com, sdns3.ultradns.net, sdns3.ultradns.org, dns1.p03.nsone.net, dns2.p03.nsone.net, dns3.p03.nsone.net, dns4.p03.nsone.net","google-site-verification=9gpxCff5vciyFx55Hj_mVTxUoThKaCZyjrni3nuyyuo, 9jm5x38zsnj8c9l8mlfl54ztzbbd8y3s, google-site-verification=nA3sW-BoUeZdxEPNSeHo2fG58wJ_yF2B9aQ9vjMCNsA, V-kzbjHYyHYVtniBJuyiWJ5wDd5cW_BuUbPo9Yo-gIU, bhsdsmd081rdt2fd9l6plb8zwsphcjmq, google-site-verification=JNmeyeScDi8vsIQLhXXG9DEuJGQ-iZnTZlV5ju4_nO4, google-site-verification=moAnpmLNPD6q_dlvxBI0EOfEu3Brvcqk9vrrqTrYsHU, MS=ms41815766, google-site-verification=yXCZcuvHm7yQ5rLhnWiIiKlRCh514J-x3M9upiCtQJ4, rbtwq1jnw88fxz1q3wm9krj5cd2cctrx, v=spf1 a mx include:_spf.google.com include:mail.zendesk.com ip4:208.91.206.64/26 ip4:62.212.83.19/32 ip4:31.192.125.32/28 ip4:208.99.69.22/32 ip4:94.199.252.160/28 mx ip4:162.211.96.66 ip4:162.211.96.67 include:spf-002a0701.pphosted.com include:spf.prote, ction.outlook.com ~all",,,
,yyoooyoo.taobao.com.htmlwww.redtube.com,,,NOERROR,,,,,,,
,zsvalaska.ads03.redtube.com,0.0.0.0,"ns.mydomain.com.ads03.redtube.com, hostmaster.mydomain.com",NOERROR,,,,,::1,True,"0.0.0.0, ::1"
