new,host,a,cname,soa,status_code,cdn,cdn-name,ns,has_internal_ips,internal_ips,aaaa
,core-eu.citrixworkspacesapi.net,40.74.35.115,"ctxwsp-core-fdproxy-eu.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,core-us.citrixworkspacesapi.net,40.90.246.186,"ctxwsp-core-fdproxy-us.trafficmanager.net, ctxwsp-eastus-release-b-nt-releasesproxy.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,ctxathp-northeu-06.citrixworkspacesapi.net,20.54.39.134,ctxathpnortheu06-nt0.northeurope.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,cws-australiaeast-release-b.citrixworkspacesapi.net,20.40.184.116,"ctxwsp-cws-australiaeast-release-b.trafficmanager.net, cws-direct-australiaeast-release-b.citrixworkspacesapi.net, ctxwsp-aueast-release-b-nt-cws.australiaeast.cloudapp.azure.com","ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,delegatedadministration-ap-s.citrixworkspacesapi.net,40.82.217.223,"ctxwsp-delegatedadministration-fdproxy-ap-s.trafficmanager.net, ctxwsp-aueast-release-b-nt-releasesproxy.australiaeast.cloudapp.azure.com","ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,gwweu.browser.cloud.com,23.97.218.66,ctxsbweuprodnsha2.westeurope.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,gwwus.browser.cloud.com,40.83.248.94,ctxsbwusprodnsha2.westus.cloudapp.azure.com,"ns1-02.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,healthdataalertstore-direct-westeurope-release-a.citrixworkspacesapi.net,40.114.186.236,ctxwsp-westeu-release-a-nt-healthdataalertstore.westeurope.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,launch-release-a.browser.cloud.com,152.199.21.175,"launch-release-a.azureedge.net, launch-release-a.ec.azureedge.net, scdn110ba.wpc.29f97.kappacdn.net, sni1gl.wpc.kappacdn.net","ns1.kappacdn.net, noc.edgecast.com",NOERROR,,,,,,2606:2800:233:1cb7:261b:1f9c:2074:3c
,launch-release-b.browser.cloud.com,152.199.21.175,"launch-release-b.azureedge.net, launch-release-b.ec.azureedge.net, scdn110a2.wpc.29f97.kappacdn.net, sni1gl.wpc.kappacdn.net","ns1.kappacdn.net, noc.edgecast.com",NOERROR,,,,,,2606:2800:233:1cb7:261b:1f9c:2074:3c
,luidashboard-westeurope.citrixworkspacesapi.net,20.76.174.179,ctxwsp-westeu-release-b-nt9-luidashboard.westeurope.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,
,luidashboardapi-eastus-release-a.citrixworkspacesapi.net,20.81.94.66,"ctxwsp-luidashboardapi-eastus-release-a.trafficmanager.net, luidashboardapi-direct-eastus-release-a.citrixworkspacesapi.net, ctxwsp-eastus-release-a-nt9-luidashboardapi.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,
,luidashboardapi-eastus-release-b.citrixworkspacesapi.net,20.81.38.143,"ctxwsp-luidashboardapi-eastus-release-b.trafficmanager.net, luidashboardapi-direct-eastus-release-b.citrixworkspacesapi.net, ctxwsp-eastus-release-b-nt9-luidashboardapi.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,
,mediastorage-eastus-release-a.citrixworkspacesapi.net,255.255.255.255,ctxwsp-eastus-release-a-nt-mediastorage.eastus.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,True,255.255.255.255,
,messaging-eastus-release-a.citrixworkspacesapi.net,52.150.55.255,"ctxwsp-messaging-eastus-release-a.trafficmanager.net, messaging-direct-eastus-release-a.citrixworkspacesapi.net, ctxwsp-eastus-release-a-nt-messaging.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,messaging-eastus-release-b.citrixworkspacesapi.net,52.142.27.0,"ctxwsp-messaging-eastus-release-b.trafficmanager.net, messaging-direct-eastus-release-b.citrixworkspacesapi.net, ctxwsp-eastus-release-b-nt-messaging.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,messaging-us.citrixworkspacesapi.net,,"ctxwsp-releasesproxy-us.trafficmanager.net, ctxwsp-eastus-release-b-nt-releasesproxy.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,meteringcalculation.citrixworkspacesapi.net,40.74.35.115,"ctxwsp-meteringcalculation-fdproxy-global.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,mockresourceprovider-direct-australiaeast-release-b.citrixworkspacesapi.net,255.255.255.255,ctxwsp-aueast-release-b-nt-mockresourceprovider.australiaeast.cloudapp.azure.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,True,255.255.255.255,
,notifications-australiaeast-release-b.citrixworkspacesapi.net,40.82.220.203,"ctxwsp-notifications-australiaeast-release-b.trafficmanager.net, notifications-direct-australiaeast-release-b.citrixworkspacesapi.net, ctxwsp-aueast-release-b-nt-notifications.australiaeast.cloudapp.azure.com","ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,notifications-westeurope-release-a.citrixworkspacesapi.net,40.114.185.195,"ctxwsp-notifications-westeurope-release-a.trafficmanager.net, notifications-direct-westeurope-release-a.citrixworkspacesapi.net, ctxwsp-westeu-release-a-nt-notifications.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,notifications-westeurope-release-b.citrixworkspacesapi.net,40.74.5.18,"ctxwsp-notifications-westeurope-release-b.trafficmanager.net, notifications-direct-westeurope-release-b.citrixworkspacesapi.net, ctxwsp-westeu-release-b-nt-notifications.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,onboarding-australiaeast-release-a.citrixworkspacesapi.net,20.193.35.99,ctxwsp-aueast-release-a-nt-onboarding.australiaeast.cloudapp.azure.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,onboarding-australiaeast-release-b.citrixworkspacesapi.net,40.82.220.23,ctxwsp-aueast-release-b-nt-onboarding.australiaeast.cloudapp.azure.com,"ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,onboarding-eastus-release-a.citrixworkspacesapi.net,20.185.13.62,ctxwsp-eastus-release-a-nt-onboarding.eastus.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,onboarding-eastus-release-b.citrixworkspacesapi.net,52.224.136.58,ctxwsp-eastus-release-b-nt-onboarding.eastus.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,onboardingapi-eastus-release-b.citrixworkspacesapi.net,52.224.136.194,"ctxwsp-onboardingapi-eastus-release-b.trafficmanager.net, onboardingapi-direct-eastus-release-b.citrixworkspacesapi.net, ctxwsp-eastus-release-b-nt-onboardingapi.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,onboardingapi-westeurope-release-a.citrixworkspacesapi.net,52.150.55.122,"ctxwsp-onboardingapi-westeurope-release-a.trafficmanager.net, onboardingapi-direct-eastus-release-a.citrixworkspacesapi.net, ctxwsp-eastus-release-a-nt-onboardingapi.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,"ns-122.awsdns-15.com, ns-1293.awsdns-33.org, ns-2030.awsdns-61.co.uk, ns-735.awsdns-27.net",,,
,onboardingapi-westeurope-release-b.citrixworkspacesapi.net,52.224.136.194,"ctxwsp-onboardingapi-westeurope-release-b.trafficmanager.net, onboardingapi-direct-eastus-release-b.citrixworkspacesapi.net, ctxwsp-eastus-release-b-nt-onboardingapi.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,ordersapi-australiaeast-release-a.citrixworkspacesapi.net,20.193.35.105,"ctxwsp-ordersapi-australiaeast-release-a.trafficmanager.net, ordersapi-direct-australiaeast-release-a.citrixworkspacesapi.net, ctxwsp-aueast-release-a-nt-ordersapi.australiaeast.cloudapp.azure.com","ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,ordersapi-australiaeast-release-b.citrixworkspacesapi.net,40.82.219.18,"ctxwsp-ordersapi-australiaeast-release-b.trafficmanager.net, ordersapi-direct-australiaeast-release-b.citrixworkspacesapi.net, ctxwsp-aueast-release-b-nt-ordersapi.australiaeast.cloudapp.azure.com","ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,ordersapi-westeurope-release-a.citrixworkspacesapi.net,40.114.185.245,"ctxwsp-ordersapi-westeurope-release-a.trafficmanager.net, ordersapi-direct-westeurope-release-a.citrixworkspacesapi.net, ctxwsp-westeu-release-a-nt-ordersapi.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,ordersapi-westeurope-release-b.citrixworkspacesapi.net,40.74.1.205,"ctxwsp-ordersapi-westeurope-release-b.trafficmanager.net, ordersapi-direct-westeurope-release-b.citrixworkspacesapi.net, ctxwsp-westeu-release-b-nt-ordersapi.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,receiverdemo.citrixworkspacesapi.net,,,,NOERROR,,,,,,
,registry-australiaeast-release-a.citrixworkspacesapi.net,20.193.35.89,"ctxwsp-registry-australiaeast-release-a.trafficmanager.net, registry-direct-australiaeast-release-a.citrixworkspacesapi.net, ctxwsp-aueast-release-a-nt-registry.australiaeast.cloudapp.azure.com","ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,registry-australiaeast-release-b.citrixworkspacesapi.net,20.40.120.179,"ctxwsp-registry-australiaeast-release-b.trafficmanager.net, registry-direct-australiaeast-release-b.citrixworkspacesapi.net, ctxwsp-aueast-release-b-nt-registry.australiaeast.cloudapp.azure.com","ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,registry-direct-westeurope-release-b.citrixworkspacesapi.net,40.119.159.134,ctxwsp-westeu-release-b-nt-registry.westeurope.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,registry-eu.citrixworkspacesapi.net,20.103.12.34,"ctxwsp-agwproxy-eu.trafficmanager.net, ctxwsp-agw-eu-0.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,
,registry-westeurope-release-a.citrixworkspacesapi.net,40.114.186.118,"ctxwsp-registry-westeurope-release-a.trafficmanager.net, registry-direct-westeurope-release-a.citrixworkspacesapi.net, ctxwsp-westeu-release-a-nt-registry.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,registry-westeurope-release-b.citrixworkspacesapi.net,40.119.159.134,"ctxwsp-registry-westeurope-release-b.trafficmanager.net, registry-direct-westeurope-release-b.citrixworkspacesapi.net, ctxwsp-westeu-release-b-nt-registry.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,resourceproviders-ap-s.citrixworkspacesapi.net,40.82.217.223,"ctxwsp-resourceproviders-fdproxy-ap-s.trafficmanager.net, ctxwsp-aueast-release-b-nt-releasesproxy.australiaeast.cloudapp.azure.com","ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,resourceproviders-australiaeast-release-b.citrixworkspacesapi.net,20.53.76.94,"ctxwsp-resourceproviders-australiaeast-release-b.trafficmanager.net, resourceproviders-direct-australiaeast-release-b.citrixworkspacesapi.net, ctxwsp-aueast-release-b-nt-resourceproviders.australiaeast.cloudapp.azure.com","ns1-06.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,resourceproviders-eastus-release-b.citrixworkspacesapi.net,52.150.40.95,"ctxwsp-resourceproviders-eastus-release-b.trafficmanager.net, resourceproviders-direct-eastus-release-b.citrixworkspacesapi.net, ctxwsp-eastus-release-b-nt-resourceproviders.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,resourceproviders-eu.citrixworkspacesapi.net,40.74.35.115,"ctxwsp-resourceproviders-fdproxy-eu.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,resourceproviders-us.citrixworkspacesapi.net,,"ctxwsp-resourceproviders-fdproxy-us.trafficmanager.net, ctxwsp-eastus-release-b-nt-releasesproxy.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,resourceproviders.citrixworkspacesapi.net,40.74.35.115,"ctxwsp-resourceproviders-fdproxy-global.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,rp-release-a.browser.cloud.com,20.66.32.155,"ctxsb-prod-a-tm-rp-profile.trafficmanager.net, rp-us-a.browser.cloud.com, ctxsb-proda2-cp.westus.cloudapp.azure.com","ns1-02.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,rp-release-b.browser.cloud.com,20.86.123.203,"ctxsb-prod-b-tm-rp-profile.trafficmanager.net, rp-eu-b.browser.cloud.com, ctxsb-prodb-cp.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,
,rp.browser.cloud.com,51.144.139.213,"rp-release-a.browser.cloud.com, ctxsb-prod-a-tm-rp-profile.trafficmanager.net, rp-eu-a.browser.cloud.com, ctxsb-proda2-cp.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,storefrontconfiguration-eu.citrixworkspacesapi.net,40.74.35.115,"ctxwsp-releasesproxy-eu.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,storefrontconfiguration-westeurope-release-a.citrixworkspacesapi.net,40.114.187.109,"ctxwsp-storefrontconfiguration-westeurope-release-a.trafficmanager.net, storefrontconfiguration-direct-westeurope-release-a.citrixworkspacesapi.net, ctxwsp-westeu-release-a-nt-storefrontconfiguration.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,ticketing-eu.citrixworkspacesapi.net,40.74.35.115,"ctxwsp-ticketing-fdproxy-eu.trafficmanager.net, ctxwsp-westeu-release-b-nt-releasesproxy.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,trust-eastus-release-b.citrixworkspacesapi.net,52.142.26.171,"ctxwsp-trust-eastus-release-b.trafficmanager.net, trust-direct-eastus-release-b.citrixworkspacesapi.net, ctxwsp-eastus-release-b-nt-trust.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
,trust-westeurope-release-b.citrixworkspacesapi.net,52.157.228.124,"ctxwsp-trust-westeurope-release-b.trafficmanager.net, trust-direct-westeurope-release-b.citrixworkspacesapi.net, ctxwsp-westeu-release-b-nt-trust.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,
