new,host,a,soa,status_code,txt,cname,cdn,cdn-name,ns,aaaa,mx,has_internal_ips,internal_ips
[x],agt-test.wellsfargo.com,"2.16.187.11, 2.16.187.66","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"agt-test.wellsfargo.com.edgekey.net, e106202.b.akamaiedge.net",,,,,,,
[x],agt.g.wellsfargo.com,159.45.88.109,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],agt.wellsfargo.com,"95.101.74.139, 95.101.74.161","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"agt.wellsfargo.com.edgekey.net, e82920.b.akamaiedge.net",,,,,,,
[x],aimm.wellsfargo.com,65.210.48.136,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],aiops-test.wellsfargo.com,159.45.201.52,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,v=spf1 -all,,,,,,,,
[x],aiops.g.wellsfargo.com,159.45.14.85,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],al-oxdc-myed-portal1.wellsfargo.com,159.45.75.101,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],al-oxdc-myed-portal2.wellsfargo.com,,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],al-oxdc-vvex11-top.wellsfargo.com,159.45.75.19,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],al-oxdc-vvex13-top.wellsfargo.com,159.45.75.27,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],amextokens.g.wellsfargo.com,159.45.88.19,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],amextokens.wellsfargo.com,159.45.88.19,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,amextokens.g.wellsfargo.com,,,,,,,
[x],ampx-bcp.wellsfargo.com,159.45.220.43,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],apac.g.wellsfargo.com,159.45.6.57,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],apac.wf.com,,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,apac.g.wellsfargo.com,,,,,,,
[x],api-certification.wellsfargo.com,159.45.14.51,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,api-certification.wellsfargo.com.akadns.net,,,,,,,
[x],api-gw-sit.wellsfargo.com,159.45.201.109,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,api-gw-sit.g.wellsfargo.com,,,,,,,
[x],api-sit.g.wellsfargo.com,159.45.201.48,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],api-sit.wellsfargo.com,159.45.201.48,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,api-sit.g.wellsfargo.com,,,,,,,
[x],api-useraccess.wellsoneexpensemanager.wf.com,128.242.117.13,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],api.wellsfargo.com,159.45.88.81,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,api.wellsfargo.com.akadns.net,,,,,,,
[x],api.wellsoneexpensemanager.wf.com,128.242.117.21,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,v=spf1 -all,,,,,,,,
[x],apimpbbcp.wellsfargo.com,159.45.86.40,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],apimpbprod.wellsfargo.com,159.45.140.33,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],apimpbuat.wellsfargo.com,159.45.213.67,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],apply.wellsfargo.com,"80.239.254.27, 95.101.133.65","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"apply.wellsfargo.com.edgekey.net, e132394.b.akamaiedge.net",,,,,,,
[x],appointments.staging.wellsfargo.com,159.45.104.112,"mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],appointments.wellsfargo.com,"95.101.111.133, 95.101.111.174","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"appointments.wellsfargo.com.edgekey.net, e131795.b.akamaiedge.net",,,,,,,
[x],appwa00a0063.wellsfargo.com,170.43.138.24,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],appwa00a0064.wellsfargo.com,170.43.138.25,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],appwa00a0066.wellsfargo.com,170.43.138.27,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],appwa00a0067.wellsfargo.com,170.43.138.28,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],appwa00a0068.wellsfargo.com,170.43.138.29,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],appwa00a0070.wellsfargo.com,170.43.138.31,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],appwa00a0072.wellsfargo.com,170.43.138.33,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],appwa00a0073.wellsfargo.com,170.43.138.34,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],appwa00a0076.wellsfargo.com,170.43.138.37,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],appwa00a0078.wellsfargo.com,170.43.138.39,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],appwa00a0079.wellsfargo.com,170.43.138.40,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,"a1-189.akam.net, a2-64.akam.net, a24-66.akam.net, edns1.ultradns.biz, edns1.ultradns.org, edns1.ultradns.net, edns1.ultradns.com",,,,
[x],appwa00a0081.wellsfargo.com,170.43.138.42,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],appwa00a0082.wellsfargo.com,170.43.138.43,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],appwa00a0086.wellsfargo.com,170.43.138.47,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],appwa00a0087.wellsfargo.com,170.43.138.48,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],appwa00a0088.wellsfargo.com,170.43.138.49,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],appwa00a0089.wellsfargo.com,170.43.138.50,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],arpwa00a0063.wellsfargo.com,170.43.90.24,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],arpwa00a0064.wellsfargo.com,170.43.90.25,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],arpwa00a0066.wellsfargo.com,170.43.90.27,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],arpwa00a0069.wellsfargo.com,170.43.90.30,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],arpwa00a0070.wellsfargo.com,170.43.90.31,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],arpwa00a0071.wellsfargo.com,170.43.90.32,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],arpwa00a0076.wellsfargo.com,170.43.90.37,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],arpwa00a0077.wellsfargo.com,170.43.90.38,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,"a1-189.akam.net, a2-64.akam.net, a24-66.akam.net, edns1.ultradns.biz, edns1.ultradns.org, edns1.ultradns.net, edns1.ultradns.com",,,,
[x],arpwa00a0080.wellsfargo.com,170.43.90.41,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],arpwa00a0081.wellsfargo.com,170.43.90.42,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],arpwa00a0082.wellsfargo.com,170.43.90.43,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],arpwa00a0083.wellsfargo.com,170.43.90.44,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],arpwa00a0086.wellsfargo.com,170.43.90.47,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],arpwa00a0087.wellsfargo.com,170.43.90.48,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],arpwa00a0088.wellsfargo.com,170.43.90.49,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],arpwa00a0091.wellsfargo.com,170.43.90.52,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],assetseller.wf.com,192.69.135.80,"mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com",NOERROR,,,,,"a24-66.akam.net, edns1.ultradns.net, edns1.ultradns.biz, a1-189.akam.net, edns1.ultradns.com, a2-64.akam.net",,,,
[x],at.wf.com,"141.193.213.11, 141.193.213.10","darwin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,wp.wpenginepowered.com,,,,,,,
[x],auto-loans-uat.wellsfargo.com,159.45.192.14,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],auto-loans.wellsfargo.com,"2.16.187.139, 2.16.187.144","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"financial.wellsfargo.com.edgekey.net, e126867.b.akamaiedge.net",,,,,,,
[x],autodealer.wf.com,146.148.34.2,"jim.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,autodealerprod.wpengine.com,True,google,,,,,
[x],autodealerguide.g.wellsfargo.com,159.45.14.114,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],autodiscover-wfafinet.wellsfargo.com,,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],autodiscover.msgdev.wellsfargo.com,159.45.189.17,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,v=spf1 -all,external-exchange-dev.wellsfargo.com,,,,,,,
[x],autodiscover.msgqa.wellsfargo.com,,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,v=spf1 -all,external-exchange-qa.wellsfargo.com,,,,,,,
[x],av1.wellsfargo.com,"151.151.42.149, 151.151.42.152, 151.151.42.155, 151.151.42.146","edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],axst-dev-mo.wellsfargo.com,159.45.134.21,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,"a1-189.akam.net, a2-64.akam.net, a24-66.akam.net, edns1.ultradns.biz, edns1.ultradns.org, edns1.ultradns.net, edns1.ultradns.com",,,,
[x],axst.wellsfargo.com,159.45.134.16,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,axst.g.wellsfargo.com,,,,,,,
[x],axst2.wellsfargo.com,,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],az1-labs-lbdmz-vip7.wellsfargo.com,151.151.100.129,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],az1-labs-lbdmz-vip8.wellsfargo.com,151.151.100.130,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],az2-labs-lbdmz-vip13.wellsfargo.com,,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],az2-labs-lbdmz-vip20.wellsfargo.com,151.151.76.76,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],azconf.wellsfargo.com,151.151.107.10,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],azuat.wellsfargo.com,151.151.76.87,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],bcp-esourcing.wellsfargo.com,167.138.226.77,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],beacon-m7.wellsfargo.com,159.45.174.134,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],benefits-mortgage-uat.wellsfargo.com,159.45.189.16,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,"a1-189.akam.net, a2-64.akam.net, a24-66.akam.net, edns1.ultradns.biz, edns1.ultradns.org, edns1.ultradns.net, edns1.ultradns.com",,,,
[x],benefits-mortgage.g.wellsfargo.com,159.45.14.243,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],benefits-mortgage.wellsfargo.com,159.45.14.243,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,benefits-mortgage.g.wellsfargo.com,,,,,,,
[x],bhis3.wellsfargo.com,151.151.80.80,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],bidtape.g.wellsfargo.com,159.45.14.134,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],billpay.staging.wellsfargo.com,159.45.104.102,"mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],billpay.wellsfargo.com,"95.101.111.172, 95.101.111.138","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"billpay.wellsfargo.com.edgekey.net, e103413.b.akamaiedge.net",,,,,,,
[x],bird11.wellsfargo.com,65.211.128.132,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],bird13.wellsfargo.com,65.211.128.138,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],bird3.wellsfargo.com,65.211.128.154,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],blogs.wf.com,146.148.34.2,"jim.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,blogswf.wpengine.com,True,google,,,,,
[x],bonddesk-alerts-dev.wellsfargoadvisors.com,169.200.185.239,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],bonddesk-alerts-dr.wellsfargoadvisors.com,169.200.185.241,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],bonddesk-alerts-qa.wellsfargoadvisors.com,,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],bonusoffer.wf.com,12.190.116.32,"mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com",NOERROR,,,,,"edns1.ultradns.biz, edns1.ultradns.net, edns1.ultradns.com, a24-66.akam.net, a2-64.akam.net, a1-189.akam.net",,,,
[x],booker3.wellsfargo.com,65.210.48.132,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],bp1.eml.wellsfargo.com,159.45.225.5,"mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],bpi-www.advisor-connection.com,169.200.182.94,"mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],bpo-cte1.wellsfargo.com,161.231.80.152,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],broker.wellsfargo.com,151.151.29.142,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],brokers.wellsfargo.com,151.151.29.142,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],bsls.hosting.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],business.wellsfargo.com,,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,imh.delivery.net,,
[x],capitalfinance.wellsfargo.com,"159.45.2.212, 159.45.170.212","edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,v=spf1 -all,,,,,,,,
[x],carco-test.wellsfargo.com,159.45.201.51,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],cardbenefits.wf.com,146.148.34.2,"jim.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,cardbenefitprd.wpengine.com,True,google,,,,,
[x],cardsetup.wf.com,146.148.34.2,"jim.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,emoblp.wpengine.com,True,google,,,,,
[x],cashops-oxmoor.wellsfargo.com,159.45.88.108,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],cashops-shoreview.wellsfargo.com,159.45.14.79,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
