new,host,mx,soa,status_code,a,cname,aaaa,txt,ns,cdn,cdn-name,has_internal_ips,internal_ips,caa
[x],career-ptint2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.255.32,,,,,,,,,
[x],cbt.extern.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.152,,,,,,,,,
[x],cdn-test.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,217.71.89.58,,,,,,,,,
[x],cdn.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,217.71.89.57,,,,,,,,,
[x],cert.webstampint2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],cert.ws.ssoint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.60,,,,,,,,,
[x],certmgrtest04.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],chat.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],chatit.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.137,,,,,,,,,
[x],co-star1.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],co-star2.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],co-starint1.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],co-starint2.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],cockpit.post.ch,,"ns1.open-telekom-cloud.com, hostmaster.bsiag.com",NOERROR,213.158.148.13,cockpit.post.ch.bsi-crm.com,,,,,,,,
[x],cockpitint1.post.ch,,"ns1.open-telekom-cloud.com, hostmaster.bsiag.com",NOERROR,213.158.148.11,cockpitint1.post.ch.bsi-crm.com,,,,,,,,
[x],cockpitint2.post.ch,,"ns1.open-telekom-cloud.com, hostmaster.bsiag.com",NOERROR,213.158.148.12,cockpitint2.post.ch.bsi-crm.com,,,,,,,,
[x],cod.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],coddev.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],codint.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],companycars.post.ch,mx0.webpack.hosteurope.de,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.15,,,v=spf1 mx a:wp12966959.server-he.ch ip4:213.158.151.67 include:ispgateway.de ip4:92.51.170.64/27 ip4:80.237.138.0/24  ip4:80.237.132.0/24 ip4:80.237.133.0/24 ip6:2a01:488:42::/48 -all,,,,,,
[x],companycarsint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.25,,,,,,,,,
[x],concept.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],conf.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],confskype.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],confskypebe.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,swisssign-check=D8EmNxFi9mBECQTPfheJqWkiPnGDENlbWvNBcLMB2Y,,,,,,
[x],confskypezo.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,"194.41.216.159, 194.41.216.155",,"2a00:17c8:0:8000::211, 2a00:17c8:0:8000::214",swisssign-check=wUUXHkhll3xB8AoWDQ1BkwEBffOVGIujQx65CJJYQs,,,,,,
[x],connecta.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.146,,,,,,,,,
[x],connecta1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],connectaint1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.253.223,,,,,,,,,
[x],connectaint2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.255.32,,,,,,,,,
[x],consumo.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.195.162,,,,,,,,,
[x],couch-concert1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.190.114,,,,,,,,,
[x],couch-concertint1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.253.223,,,,,,,,,
[x],cpa-i.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.173,,,,,,,,,
[x],cpa.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.132,,,,,,,,,
[x],crl.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.200,,,,,,,,,
[x],crypto-stamp1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.190.114,,,,,,,,,
[x],crypto-stampint1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.253.223,,,,,,,,,
[x],crypto-stampint2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],cs-emm.post.ch,,"ns-187.awsdns-23.com, awsdns-hostmaster.amazon.com",NOERROR,3.123.124.113,"cn1279.awmdm.com, de02pgroup1.awmdm.com",,,,,,,,
[x],cs-emm01.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],cs-emmint.post.ch,,"ns-187.awsdns-23.com, awsdns-hostmaster.amazon.com",NOERROR,3.127.240.112,"cn1273.awmdm.com, de01ugroup1.awmdm.com",,,,,,,,
[x],cs-mdm.post.ch,,"ns-187.awsdns-23.com, awsdns-hostmaster.amazon.com",NOERROR,18.158.156.67,"cn1059.awmdm.com, de01pgroup1.awmdm.com",,,,,,,,
[x],cs-mdmint.post.ch,,"ns-187.awsdns-23.com, awsdns-hostmaster.amazon.com",NOERROR,3.127.240.112,"cn1200.awmdm.com, de01ugroup1.awmdm.com",,,,,,,,
[x],cs1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.146,,,,,,,,,
[x],cs11.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.190.114,,,,,,,,,
[x],cs12.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],cs1int.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.153,,,,,,,,,
[x],cs1int1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.253.223,,,,,,,,,
[x],cs21.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],cs22.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],cs2int.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],cs2int1.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],cs2int2.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],cuore.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,81.17.104.183,,,v=spf1 a:customer-mail-gw01.neo-scale.io -all,,,,,,
[x],customer-service-int1.post.ch,,"ns1.open-telekom-cloud.com, hostmaster.bsiag.com",NOERROR,80.158.32.183,cx-int.opera.bsi.cloud,,,,,,,,
[x],customer-service-int2.post.ch,,"ns1.open-telekom-cloud.com, hostmaster.bsiag.com",NOERROR,80.158.32.183,cx-int.opera.bsi.cloud,,,,,,,,
[x],davos2.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],davosint1.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],ddsint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.233,,,,,,,,,
[x],ddsprod.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.205,,,,,,,,,
