input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_mismatched,tls_subject_org_,final_url,csp_domains_,location
api-geo.as1.gotinder.com,,404,,AS14618,AMAZON-AES,US,34.232.160.0/23,api-geo.as1.gotinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=*.gotinder.com,*.gotinder.com,gotinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4536a5160b34c58eb6090ac069bc9f4e,22ae225a02cb81ea8aab4664e7007b942ba08a0141881d4773cb8411776de358,ctls,api-geo.as1.gotinder.com,,443,https://api-geo.as1.gotinder.com:443,https,,,GET,34.224.154.34,/,-1840324437,34.202.31.51,,1,False,,True,True,,,,
api-geo.gotinder.com,,404,,AS14618,AMAZON-AES,US,174.129.0.0/16,api-geo.gotinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=*.gotinder.com,*.gotinder.com,gotinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4536a5160b34c58eb6090ac069bc9f4e,22ae225a02cb81ea8aab4664e7007b942ba08a0141881d4773cb8411776de358,ctls,api-geo.gotinder.com,,443,https://api-geo.gotinder.com:443,https,,,GET,174.129.65.100,/,-1840324437,100.24.111.60,,1,False,,True,,,,,
api-mr.as1.gotinder.com,,404,,AS14618,AMAZON-AES,US,52.200.0.0/13,api-mr.as1.gotinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=*.gotinder.com,*.gotinder.com,gotinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4536a5160b34c58eb6090ac069bc9f4e,22ae225a02cb81ea8aab4664e7007b942ba08a0141881d4773cb8411776de358,ctls,api-mr.as1.gotinder.com,,443,https://api-mr.as1.gotinder.com:443,https,,,GET,52.206.84.62,/,-1840324437,34.205.56.200,,1,False,,True,True,,,,
api-split.as1.gotinder.com,,404,,AS16509,AS16509,Unknown,3.28.0.0/15,api-split.as1.gotinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-02-05T23:59:59Z,CN=*.gotinder.com,*.gotinder.com,*.gotinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4918a88a8be838018874e0d8c1d2c4d5,a16a32f8d4d02ef9a3fdf01d7a2537f543edeb855a319416f3bfd52c03288c41,ctls,api-split.as1.gotinder.com,,443,https://api-split.as1.gotinder.com:443,https,,,GET,3.6.248.0,/,-1840324437,15.207.173.113,,1,False,,True,True,,,,
api-traffic.as1.gotinder.com,,404,,AS14618,AMAZON-AES,US,54.167.0.0/17,api-traffic.as1.gotinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=*.gotinder.com,*.gotinder.com,gotinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4536a5160b34c58eb6090ac069bc9f4e,22ae225a02cb81ea8aab4664e7007b942ba08a0141881d4773cb8411776de358,ctls,api-traffic.as1.gotinder.com,,443,https://api-traffic.as1.gotinder.com:443,https,,,GET,54.156.81.83,/,-1840324437,3.210.187.122,,1,False,,True,True,,,,
api-traffic.gotinder.com,,404,,AS14618,AMAZON-AES,US,44.213.52.0/23,api-traffic.gotinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=*.gotinder.com,*.gotinder.com,gotinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4536a5160b34c58eb6090ac069bc9f4e,22ae225a02cb81ea8aab4664e7007b942ba08a0141881d4773cb8411776de358,ctls,api-traffic.gotinder.com,,443,https://api-traffic.gotinder.com:443,https,,,GET,44.194.151.246,/,-1840324437,3.211.40.250,,1,False,,True,,,,,
api-trafficsplit.as1.gotinder.com,,404,,AS14618,AMAZON-AES,US,35.168.0.0/13,api-trafficsplit.as1.gotinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=*.gotinder.com,*.gotinder.com,gotinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4536a5160b34c58eb6090ac069bc9f4e,22ae225a02cb81ea8aab4664e7007b942ba08a0141881d4773cb8411776de358,ctls,api-trafficsplit.as1.gotinder.com,,443,https://api-trafficsplit.as1.gotinder.com:443,https,,,GET,35.169.141.177,/,-1840324437,50.17.152.180,,1,False,,True,True,,,,
api-ue1az.gotinder.com,,404,,AS14618,AMAZON-AES,US,3.218.182.0/24,api-ue1az.gotinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=*.gotinder.com,*.gotinder.com,gotinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4536a5160b34c58eb6090ac069bc9f4e,22ae225a02cb81ea8aab4664e7007b942ba08a0141881d4773cb8411776de358,ctls,api-ue1az.gotinder.com,,443,https://api-ue1az.gotinder.com:443,https,,,GET,3.210.187.122,/,-1840324437,34.192.196.185,,1,False,,True,,,,,
api.a.ue1az.gotinder.com,,404,,AS14618,AMAZON-AES,US,34.232.160.0/23,api.a.ue1az.gotinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=*.gotinder.com,*.gotinder.com,gotinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4536a5160b34c58eb6090ac069bc9f4e,22ae225a02cb81ea8aab4664e7007b942ba08a0141881d4773cb8411776de358,ctls,api.a.ue1az.gotinder.com,,443,https://api.a.ue1az.gotinder.com:443,https,,,GET,34.231.62.67,/,-1840324437,18.235.107.36,,1,False,,True,True,,,,
api.b.ue1az.gotinder.com,,404,,AS14618,AMAZON-AES,US,54.236.0.0/15,api.b.ue1az.gotinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=*.gotinder.com,*.gotinder.com,gotinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4536a5160b34c58eb6090ac069bc9f4e,22ae225a02cb81ea8aab4664e7007b942ba08a0141881d4773cb8411776de358,ctls,api.b.ue1az.gotinder.com,,443,https://api.b.ue1az.gotinder.com:443,https,,,GET,54.236.230.55,/,-1840324437,54.224.223.249,,1,False,,True,True,,,,
api.c.as1.gotinder.com,,404,,AS16509,AS16509,Unknown,13.232.0.0/13,api.c.as1.gotinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-02-05T23:59:59Z,CN=*.gotinder.com,*.gotinder.com,*.gotinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4918a88a8be838018874e0d8c1d2c4d5,a16a32f8d4d02ef9a3fdf01d7a2537f543edeb855a319416f3bfd52c03288c41,ctls,api.c.as1.gotinder.com,,443,https://api.c.as1.gotinder.com:443,https,,,GET,13.235.166.138,/,-1840324437,15.206.31.35,,1,False,,True,True,,,,
api.c.ue1az.gotinder.com,,404,,AS14618,AMAZON-AES,US,35.168.0.0/13,api.c.ue1az.gotinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=*.gotinder.com,*.gotinder.com,gotinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4536a5160b34c58eb6090ac069bc9f4e,22ae225a02cb81ea8aab4664e7007b942ba08a0141881d4773cb8411776de358,ctls,api.c.ue1az.gotinder.com,,443,https://api.c.ue1az.gotinder.com:443,https,,,GET,35.173.40.116,/,-1840324437,34.197.150.143,,1,False,,True,True,,,,
api.d.ue1az.gotinder.com,,404,,AS14618,AMAZON-AES,US,54.167.0.0/17,api.d.ue1az.gotinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=*.gotinder.com,*.gotinder.com,gotinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4536a5160b34c58eb6090ac069bc9f4e,22ae225a02cb81ea8aab4664e7007b942ba08a0141881d4773cb8411776de358,ctls,api.d.ue1az.gotinder.com,,443,https://api.d.ue1az.gotinder.com:443,https,,,GET,54.156.81.83,/,-1840324437,3.210.187.122,,1,False,,True,True,,,,
api.s11.tstaging.com,ERROR: The request could not be satisfied,502,960,AS16509,AMAZON-02,US,65.9.112.0/23,api.s11.tstaging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-16T00:00:00Z,2024-04-13T23:59:59Z,CN=*.s11.tstaging.com,*.s11.tstaging.com,*.s11.tstaging.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7b7141b5bcbf9c2681d1144252fca308,65379b4fa6231529a09feea97a87794d8af59b14e4f01a0e5ecac815c2a2202d,ctls,api.s11.tstaging.com,cloudfront,443,https://api.s11.tstaging.com:443,https,CloudFront,text/html,GET,65.9.66.85,/,-910892079,65.9.66.78,Amazon Web Services,20,False,True,True,,,,,
api.ue1.d1.tstaging.com,,404,,AS14618,AMAZON-AES,US,34.224.0.0/12,api.ue1.d1.tstaging.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-03-29T23:59:59Z,CN=*.ue1.d1.tstaging.com,*.ue1.d1.tstaging.com,*.ue1.d1.tstaging.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bc812b97ef6b0d27f246011452087926,329b47693b44a3d69abc027c361dfdd8ae22d3938599dfc9f7106fc6e269b534,ctls,api.ue1.d1.tstaging.com,,443,https://api.ue1.d1.tstaging.com:443,https,nginx,,GET,34.235.56.55,/,-1840324437,54.85.224.205,Nginx,1,False,,True,,,,,
api.ue1.d3.tstaging.com,,503,,AS14618,AMAZON-AES,US,3.224.0.0/12,api.ue1.d3.tstaging.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-08-21T23:59:59Z,CN=*.ue1.d3.tstaging.com,*.ue1.d3.tstaging.com,*.ue1.d3.tstaging.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,befb7b4a2e4613e6923fdec505b05de2,51361d0891b50d5008562379e3bf597410534c5c1601258656779b363383d4a9,ctls,api.ue1.d3.tstaging.com,,443,https://api.ue1.d3.tstaging.com:443,https,,,GET,3.228.152.58,/,-1840324437,34.237.90.215,,1,False,,True,,,,,
api.ue1.d4.tstaging.com,,404,,AS14618,AMAZON-AES,US,3.228.0.0/17,api.ue1.d4.tstaging.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-09-08T23:59:59Z,CN=*.ue1.d4.tstaging.com,*.ue1.d4.tstaging.com,*.ue1.d4.tstaging.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,28b5696192cebda2cec313ab8bc59183,54913e286f5ea9c72da75bfc6df2d135f1eff76c7211918811360ef9730e72c6,ctls,api.ue1.d4.tstaging.com,,443,https://api.ue1.d4.tstaging.com:443,https,nginx,,GET,3.225.177.118,/,-1840324437,3.208.132.40,Nginx,1,False,,True,,,,,
api.ue1.stg1.tstaging.com,,404,,AS16509,AMAZON-02,US,143.204.104.0/24,api.ue1.stg1.tstaging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-18T23:59:59Z,CN=*.ue1.stg1.tstaging.com,*.ue1.stg1.tstaging.com,*.ue1.stg1.tstaging.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,646c4677f665fbbc2d6bc483fd1817b7,647cae8f141e744960db0b457924bf3976407dc168e4b0d831fe13f501a43727,ctls,api.ue1.stg1.tstaging.com,cloudfront,443,https://api.ue1.stg1.tstaging.com:443,https,nginx,,GET,143.204.89.103,/,-1840324437,143.204.89.14,Nginx,1,False,True,True,,,,,
app.pendo.io,pendo.io,200,3122,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.110.0.0/19,app.pendo.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-19T23:31:07Z,2023-07-19T00:21:59Z,CN=pendo.io,pendo.io,*.pendo.io,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,e04a48c3138127ae538ea9f0a36c2229,e9bc1f48c632c79288d25aa968322ab77e40c6a21378249e2cb0b21e73078039,ctls,app.pendo.io,google,443,https://app.pendo.io:443,https,Google Frontend,text/html,GET,34.107.204.85,/,406012577,34.107.204.85,HTTP/3,1,False,True,True,,,,,
assets-ssl.gotinder.com,,403,243,AS16509,AMAZON-02,US,18.66.116.0/23,assets-ssl.gotinder.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-21T00:00:00Z,2024-05-19T23:59:59Z,CN=*.gotinder.com,*.gotinder.com,gotinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,98ea160f5759554ef95004e6ff057c54,9d19deb4735d3c92ad30b60cf04383d8ec6ed041f766721b15ebfa5ca608b249,ctls,assets-ssl.gotinder.com,cloudfront,443,https://assets-ssl.gotinder.com:443,https,AmazonS3,application/xml,GET,18.66.112.100,/,461040010,18.66.112.68,Amazon Web Services,2,False,True,True,,,,,
blog.gotinder.com,Tinder Newsroom - Newsroom Home,200,31497,AS16509,AS16509,Unknown,13.225.96.0/21,www.tinderpressroom.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=www.tinderpressroom.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",www.tinderpressroom.com,www.tinderpressroom.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",928c591a08e1c51276c31360b27fe1de,85b49c2af1d752c48b140d43b6e0ccd44f0387c1f5c80ab91fe427f12594c4a1,ctls,www.tinderpressroom.com,cloudfront,443,https://blog.gotinder.com:443,https,cloudflare,text/html,GET,13.225.78.60,/,-401559840,13.225.78.84,HSTS,718,False,True,,,"Cloudflare, Inc.",https://www.tinderpressroom.com/,,
cdn.pendo.io,,403,300,AS16509,AMAZON-02,US,18.66.116.0/23,cdn.pendo.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,2023-08-28T23:59:59Z,CN=cdn.pendo.io,cdn.pendo.io,cdn.pendo.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6aeb08edf1d8d2fe98a2996959cc28d7,8ca58b5b1f832ea9af924b02ba686e54db2e86d409e1f32ecc6fa2866740add4,ctls,cdn.pendo.io,cloudfront,443,https://cdn.pendo.io:443,https,UploadServer,application/xml,GET,18.66.112.14,/,501560377,2600:9000:223f:dc00:1f:aa31:7740:93a1,Amazon Web Services,1,False,True,,,,,,
clientmodels.ue1.d1.tstaging.com,,403,243,AS16509,AMAZON-02,US,18.66.132.0/24,clientmodels.ue1.d1.tstaging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-03-29T23:59:59Z,CN=*.ue1.d1.tstaging.com,*.ue1.d1.tstaging.com,*.ue1.d1.tstaging.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bc812b97ef6b0d27f246011452087926,329b47693b44a3d69abc027c361dfdd8ae22d3938599dfc9f7106fc6e269b534,ctls,clientmodels.ue1.d1.tstaging.com,cloudfront,443,https://clientmodels.ue1.d1.tstaging.com:443,https,AmazonS3,application/xml,GET,18.66.122.18,/,1395417893,18.66.122.106,Amazon Web Services,2,False,True,True,,,,,
cmp.tinderwebstaging.com,"Tinder | Dating, Make Friends & Meet New People",200,243201,AS16509,AMAZON-02,US,143.204.104.0/24,cmp.tinderwebstaging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-15T00:00:00Z,2024-03-15T23:59:59Z,CN=*.tinderwebstaging.com,*.tinderwebstaging.com,*.tinderwebstaging.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,9df7a47f5cdd3ff1666792ce758f5e5a,9154ff118fafda6d5e5a52d38040031d74c258767234f0a42fd4aa213c205bb2,ctls,cmp.tinderwebstaging.com,cloudfront,443,https://cmp.tinderwebstaging.com:443,https,nginx,text/html,GET,143.204.89.38,/,1622688168,143.204.89.50,React,3,False,True,True,,,,,
data.gotinder.com,,404,,AS14618,AMAZON-AES,US,3.228.0.0/17,data.gotinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-11-12T23:59:59Z,CN=data.gotinder.com,data.gotinder.com,data.gotinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,426107f5412fd2123a5d40e17658fb73,2df6e45e108f70a24432461dd7ad352263dffbd7f379bef266f1a6a3efcf4cc4,ctls,data.gotinder.com,,443,https://data.gotinder.com:443,https,nginx/1.21.6,,GET,3.226.217.169,/,-1840324437,52.23.44.25,Nginx:1.21.6,1,False,,,,,,,
data.pendo.io,pendo.io,200,3122,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.110.0.0/19,data.pendo.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-19T23:31:07Z,2023-07-19T00:21:59Z,CN=pendo.io,pendo.io,*.pendo.io,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,e04a48c3138127ae538ea9f0a36c2229,e9bc1f48c632c79288d25aa968322ab77e40c6a21378249e2cb0b21e73078039,ctls,data.pendo.io,google,443,https://data.pendo.io:443,https,Google Frontend,text/html,GET,34.107.204.85,/,406012577,34.107.204.85,HTTP/3,1,False,True,True,,,,,
