new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,mx,ns,txt,has_internal_ips,internal_ips,caa
[x],enterprise-download.wickr.com,"108.156.60.34, 108.156.60.18, 108.156.60.53, 108.156.60.98","2600:9000:2394:f600:d:6a3d:9500:93a1, 2600:9000:2394:2800:d:6a3d:9500:93a1, 2600:9000:2394:9c00:d:6a3d:9500:93a1, 2600:9000:2394:e00:d:6a3d:9500:93a1, 2600:9000:2394:fa00:d:6a3d:9500:93a1, 2600:9000:2394:600:d:6a3d:9500:93a1, 2600:9000:2394:a600:d:6a3d:9500:93a1, 2600:9000:2394:3a00:d:6a3d:9500:93a1","ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],enterprise.wickr.com,"185.199.108.153, 185.199.109.153, 185.199.110.153, 185.199.111.153","2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153, 2606:50c0:8000::153","dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,wickrinc.github.io,,,,,,"letsencrypt.org, digicert.com"
[x],fed.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],fedramp.wickr.com,"52.61.190.186, 3.32.244.220, 15.205.196.130",,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],finra.wickr.com,54.160.115.165,,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,finra-09aaac22f764c91f.elb.us-east-1.amazonaws.com,,,,,,
[x],fips-gw-pro-prod.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],go.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],gov-cloud-download.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],gw-me-prod.wickr.com,"143.204.215.110, 143.204.215.124, 143.204.215.16, 143.204.215.47","2600:9000:214f:2a00:14:de2:9e00:93a1, 2600:9000:214f:cc00:14:de2:9e00:93a1, 2600:9000:214f:8e00:14:de2:9e00:93a1, 2600:9000:214f:6c00:14:de2:9e00:93a1, 2600:9000:214f:7600:14:de2:9e00:93a1, 2600:9000:214f:5400:14:de2:9e00:93a1, 2600:9000:214f:4600:14:de2:9e00:93a1, 2600:9000:214f:4400:14:de2:9e00:93a1","ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],gw-pro-prod.wickr.com,"13.224.189.92, 13.224.189.29, 13.224.189.70, 13.224.189.16","2600:9000:2368:7e00:c:820b:1d40:93a1, 2600:9000:2368:6e00:c:820b:1d40:93a1, 2600:9000:2368:5600:c:820b:1d40:93a1, 2600:9000:2368:c400:c:820b:1d40:93a1, 2600:9000:2368:2a00:c:820b:1d40:93a1, 2600:9000:2368:5200:c:820b:1d40:93a1, 2600:9000:2368:a400:c:820b:1d40:93a1, 2600:9000:2368:4600:c:820b:1d40:93a1","ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],incyte.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],me-download.test.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],me-download.wickr.com,"52.222.236.77, 52.222.236.62, 52.222.236.85, 52.222.236.82","2600:9000:223e:9000:d:6a3d:9500:93a1, 2600:9000:223e:b800:d:6a3d:9500:93a1, 2600:9000:223e:ca00:d:6a3d:9500:93a1, 2600:9000:223e:1c00:d:6a3d:9500:93a1, 2600:9000:223e:4e00:d:6a3d:9500:93a1, 2600:9000:223e:a600:d:6a3d:9500:93a1, 2600:9000:223e:6200:d:6a3d:9500:93a1, 2600:9000:223e:a200:d:6a3d:9500:93a1","ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],messaging-me-prod.wickr.com,"3.93.85.155, 34.227.240.113, 18.210.65.213",,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],messaging-pro-prod.wickr.com,"13.224.189.92, 13.224.189.29, 13.224.189.16, 13.224.189.70","2600:9000:20eb:4c00:c:820b:1d40:93a1, 2600:9000:20eb:4000:c:820b:1d40:93a1, 2600:9000:20eb:f600:c:820b:1d40:93a1, 2600:9000:20eb:7400:c:820b:1d40:93a1, 2600:9000:20eb:7200:c:820b:1d40:93a1, 2600:9000:20eb:c00:c:820b:1d40:93a1, 2600:9000:20eb:400:c:820b:1d40:93a1, 2600:9000:20eb:a800:c:820b:1d40:93a1","ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],niap.wickr.com,34.201.102.242,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],plus-download.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],preprod-amazon.wickr.com,"34.223.235.93, 52.33.154.147, 44.232.64.50",,"ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,aa3611010c7724f33bf99d4bfbd17904-ca8155c89fcadde8.elb.us-west-2.amazonaws.com,,,,,,
[x],pro-download.test.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],pro-download.wickr.com,"52.222.236.62, 52.222.236.77, 52.222.236.82, 52.222.236.85","2600:9000:2375:0:d:6a3d:9500:93a1, 2600:9000:2375:3800:d:6a3d:9500:93a1, 2600:9000:2375:5600:d:6a3d:9500:93a1, 2600:9000:2375:8e00:d:6a3d:9500:93a1, 2600:9000:2375:9c00:d:6a3d:9500:93a1, 2600:9000:2375:e400:d:6a3d:9500:93a1, 2600:9000:2375:f400:d:6a3d:9500:93a1, 2600:9000:2375:f800:d:6a3d:9500:93a1","ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],register.wickr.com,"18.66.233.3, 18.66.233.7, 18.66.233.98, 18.66.233.2","2600:9000:2435:be00:b:fdd:d2c0:93a1, 2600:9000:2435:3200:b:fdd:d2c0:93a1, 2600:9000:2435:3000:b:fdd:d2c0:93a1, 2600:9000:2435:5400:b:fdd:d2c0:93a1, 2600:9000:2435:3800:b:fdd:d2c0:93a1, 2600:9000:2435:4200:b:fdd:d2c0:93a1, 2600:9000:2435:8c00:b:fdd:d2c0:93a1, 2600:9000:2435:e400:b:fdd:d2c0:93a1","ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],status.wickr.com,52.215.192.131,,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,tkbvpll3gdwl.stspg-customer.com,,,,,,
[x],switchboard-me-prod.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],switchboard-prod.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],temp-admin.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],temp-gw-pro-prod.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],testing-amazon.wickr.com,"54.68.47.69, 52.27.79.149, 54.212.45.245",,"ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,a7cf8ac9485644c9ba48982d02ecd5f1-872b44417882080f.elb.us-west-2.amazonaws.com,,,,,,
[x],wickr.com,"52.85.151.117, 52.85.151.120, 52.85.151.11, 52.85.151.12, 205.251.192.8, 205.251.194.59, 205.251.196.234, 205.251.198.254",,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt3.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com","ns-571.awsdns-07.net, ns-1258.awsdns-29.org, ns-1790.awsdns-31.co.uk, ns-8.awsdns-01.com","google-site-verification=1SxC75BRX_KBqRfve5tQrtP1jmx1HZxE7mh3F1l2lm8, MS=ms32658422, pardot133201=390c84854b769ff21d10ce885919b27f320677364ea8b3eec0b7b98ac2214946, apple-domain-verification=XvDZY2ZX8MoBVAzY, ssmwr3gslmdc559ky74khpl2by0kbs7b, v=spf1 include:_spf.google.com include:mail.zendesk.com include:aspmx.pardot.com ~all, apple-domain-verification=ii2Vj9LNvzfBcXkO, pardot133201=5cb196fcc2e527eeefdef28a56789e301bf1c52748b8ef9c966748c0d90c6678, pardot_133201_*=7c1dbb426dd6eb5426aa4f561d21e2af3bada9d2aba7fb1acec7f503a018c9a8, google-site-verification=yMYfl9Dn-D7JITZSQ_hqwxv4aahtysqWEZyEqI58K54",,,
[x],www.amazon.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],www.fed.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],www.finra.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],www.incyte.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],www.partners.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],www.preprod-amazon.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],www.testing-amazon.wickr.com,,,"ns-1258.awsdns-29.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],www.wickr.com,"108.156.172.75, 108.156.172.51, 108.156.172.7, 108.156.172.120","2600:9000:24f7:5200:1d:523f:580:93a1, 2600:9000:24f7:c400:1d:523f:580:93a1, 2600:9000:24f7:9600:1d:523f:580:93a1, 2600:9000:24f7:5a00:1d:523f:580:93a1, 2600:9000:24f7:3c00:1d:523f:580:93a1, 2600:9000:24f7:da00:1d:523f:580:93a1, 2600:9000:24f7:de00:1d:523f:580:93a1, 2600:9000:24f7:9e00:1d:523f:580:93a1","ns-2046.awsdns-63.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d3sm679bvfdp92.cloudfront.net,,"ns-1032.awsdns-01.org, ns-2046.awsdns-63.co.uk, ns-93.awsdns-11.com, ns-966.awsdns-56.net",,,,
