new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,txt,mx,ns,has_internal_ips,internal_ips,caa
,dealflow.prosus.com,"108.157.229.21, 108.157.229.51, 108.157.229.92, 108.157.229.99","2600:9000:223f:8000:1d:a825:aa00:93a1, 2600:9000:223f:4800:1d:a825:aa00:93a1, 2600:9000:223f:6200:1d:a825:aa00:93a1, 2600:9000:223f:d400:1d:a825:aa00:93a1, 2600:9000:223f:fc00:1d:a825:aa00:93a1, 2600:9000:223f:3e00:1d:a825:aa00:93a1, 2600:9000:223f:b400:1d:a825:aa00:93a1, 2600:9000:223f:6600:1d:a825:aa00:93a1",d2we06p27i0ko8.cloudfront.net,"ns-1048.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,"ns-1048.awsdns-03.org, ns-1630.awsdns-11.co.uk, ns-218.awsdns-27.com, ns-919.awsdns-50.net",,,
,demolegal.naspers.com,"65.9.86.10, 65.9.86.92, 65.9.86.39, 65.9.86.60","2600:9000:2551:1600:4:a635:4440:93a1, 2600:9000:2551:7c00:4:a635:4440:93a1, 2600:9000:2551:6200:4:a635:4440:93a1, 2600:9000:2551:9a00:4:a635:4440:93a1, 2600:9000:2551:e600:4:a635:4440:93a1, 2600:9000:2551:9400:4:a635:4440:93a1, 2600:9000:2551:200:4:a635:4440:93a1, 2600:9000:2551:de00:4:a635:4440:93a1",d1xab76kdo2byp.cloudfront.net,"ns-1293.awsdns-33.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,"ns-1293.awsdns-33.org, ns-151.awsdns-18.com, ns-1784.awsdns-31.co.uk, ns-895.awsdns-47.net",,,
,deployment-brandportal.naspers.com,"172.67.1.48, 104.20.33.28, 104.20.34.28","2606:4700:10::ac43:130, 2606:4700:10::6814:211c, 2606:4700:10::6814:221c",deployment-brandportal.naspers.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,deployment-prosus.naspers.com,,"2606:4700:10::6814:221c, 2606:4700:10::6814:211c, 2606:4700:10::ac43:130",deployment-prosus.naspers.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,deployment-publicpolicy.naspers.com,"104.20.33.28, 104.20.34.28, 172.67.1.48","2606:4700:10::6814:211c, 2606:4700:10::6814:221c, 2606:4700:10::ac43:130",deployment-publicpolicy.naspers.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,develop-tracker.naspers.com,"52.222.214.110, 52.222.214.62, 52.222.214.30, 52.222.214.102",,d2s9ayznqdknqw.cloudfront.net,"ns-546.awsdns-04.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,
,development-naspersbrand.naspers.com,"104.20.33.28, 172.67.1.48, 104.20.34.28",,development-naspersbrand.naspers.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,development-nasperspolicy.naspers.com,"172.67.1.48, 104.20.34.28, 104.20.33.28","2606:4700:10::6814:221c, 2606:4700:10::6814:211c, 2606:4700:10::ac43:130",development-nasperspolicy.naspers.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,development-prosus.naspers.com,"104.20.33.28, 172.67.1.48, 104.20.34.28","2606:4700:10::6814:221c, 2606:4700:10::ac43:130, 2606:4700:10::6814:211c",development-prosus.naspers.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,development.naspers.com,"104.20.34.28, 172.67.1.48, 104.20.33.28","2606:4700:10::6814:211c, 2606:4700:10::6814:221c, 2606:4700:10::ac43:130",development.naspers.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,devsap.naspers.com,52.236.152.156,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,azure,,,,,,
,dmz.naspers.com,152.111.200.1,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,dmz2.naspers.com,152.111.203.1,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,dns01.naspers.com,152.111.198.181,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,dns02.naspers.com,197.80.198.11,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,"dns1.cscdns.net, dns2.cscdns.net",,,
,drive.naspers.com,142.250.184.243,,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,
,ds.naspers.co,"165.160.15.20, 165.160.13.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,ebw.naspers.com,152.111.38.46,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,eds.prosus.com,"34.204.136.105, 23.22.82.232, 44.211.1.241",,prosus-com-1963189488.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,elcweb.naspers.com,152.111.200.225,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,en.naspers.fr,"165.160.15.20, 165.160.13.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,epm.naspers.com,,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,fileupload-dev.epm.naspers.com,20.61.86.129,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,azure,,,,,,
,forgood.naspers.com,102.133.154.32,,"forgood-web-za.azurewebsites.net, waws-prod-jnb21-001.sip.azurewebsites.windows.net, waws-prod-jnb21-001.southafricanorth.cloudapp.azure.com","ns1-09.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,,,,,,
,fusion.naspers.com,,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,googleabs.g.naspers.us,"165.160.15.20, 165.160.13.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,ha3virus.naspers.us,"165.160.13.20, 165.160.15.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,hr.prosus.com,"99.86.4.91, 99.86.4.77, 99.86.4.60, 99.86.4.56","2600:9000:2057:6000:1f:5f57:b8c0:93a1, 2600:9000:2057:1600:1f:5f57:b8c0:93a1, 2600:9000:2057:a600:1f:5f57:b8c0:93a1, 2600:9000:2057:1000:1f:5f57:b8c0:93a1, 2600:9000:2057:7000:1f:5f57:b8c0:93a1, 2600:9000:2057:6400:1f:5f57:b8c0:93a1, 2600:9000:2057:6200:1f:5f57:b8c0:93a1, 2600:9000:2057:0:1f:5f57:b8c0:93a1",d1x115xoo72l7n.cloudfront.net,"ns-1264.awsdns-30.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,"ns-1630.awsdns-11.co.uk, ns-287.awsdns-35.com, ns-634.awsdns-15.net, ns-1264.awsdns-30.org",,,
,ia.naspers.com,41.86.109.242,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,icr.naspers.com,41.86.109.242,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,jobs.naspers.com,"34.231.118.181, 54.204.62.76",,hosting.clinchtalent.com,"ns-537.awsdns-03.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,kardamena-uncovered.naspers.co,"165.160.15.20, 165.160.13.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,legal.naspers.com,"108.138.7.28, 108.138.7.29, 108.138.7.42, 108.138.7.46",,dxb8x0rynklzn.cloudfront.net,"ns-333.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,"ns-535.awsdns-02.net, ns-1344.awsdns-40.org, ns-1625.awsdns-11.co.uk, ns-333.awsdns-41.com",,,
,limpiadordevirus.naspers.fr,"165.160.15.20, 165.160.13.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,login.naspers.com,"13.248.134.123, 76.223.2.241",,"naspers.okta-emea.com, eu1-crtrs.tng.okta-emea.com, eu1-crtrs.oktaedge.okta-emea.com, a9eb9e878755d69b5.awsglobalaccelerator.com","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1484.awsdns-57.org, ns-1949.awsdns-51.co.uk, ns-409.awsdns-51.com, ns-609.awsdns-12.net",,,
,losvirus.naspers.fr,"165.160.13.20, 165.160.15.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,lyncdiscover.naspers.com,52.112.193.16,2603:1027:0:48::21,webdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,,,,
,lyncdiscover.prosus.com,52.112.192.14,2603:1027:0:48::21,webdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,,,,
,m24adb01-ilom.naspers.com,,,,,NOERROR,,,,,,,,
,m24b01-vip.naspers.com,54.144.128.85,,,,NOERROR,,,,,,,,
,m24b02-vip.naspers.com,54.144.128.85,,,,NOERROR,,,,,,,,
,mcpayroll.naspers.com,41.86.109.242,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,mike.naspers.fr,"165.160.13.20, 165.160.15.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,ms.naspers.com,41.86.109.242,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,mx01.naspers.com,152.111.195.100,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,mx02.naspers.com,,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,mx03.naspers.com,152.111.195.101,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,mx04.naspers.com,152.111.195.102,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,mx07.naspers.com,197.80.198.14,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,"dns1.cscdns.net, dns2.cscdns.net",,,
,mx08.naspers.com,197.80.198.15,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,naspers.co,"165.160.15.20, 165.160.13.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,naspers.co.in,178.79.178.218,2a01:7e00:e000:3f7::,,"ns1.lexsynergy.net, dnsmaster.lexsynergy.com",NOERROR,,,v=spf1 redirect=_sdfqklgsl.sdmarc.net,,"ns2.lexsynergy.us, ns3.lexsynergy.info, ns1.lexsynergy.net",,,
,naspers.com,"197.86.41.250, 156.154.130.100, 156.154.131.100","2610:a1:1022::100, 2610:a1:1023::100",,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,"MS=ms95415715 , E101035C72, google-site-verification=z5Dl0pd1DmanEJaQEgJSSB1ZqSMQ4D-Kl828GWrEBr4, 4m54h3c30b22xn611gdz14xsnyqw4gwn, Probely=a0d8f4bf-80ff-4332-9cd3-7fe77cfdc9bd, X2vt4wGab64XkPGlPtor16MRhopjyDtj0oHdN6yByqGG+zhH3I4KeoaINZEM1ej71wvuCpftGmnEx8CZQnJzzQ==, adobe-idp-site-verification=49824141-b1fa-4548-b0b6-ea9c617c9def, ZOOM_verify_efZHIG0qR8qeOil6VtFQcQ, 1w2z9dy79lr2r9nn3xwwsvtsl69ghwb5, 7221fdee91d14c901c0690b97a0bc9ad, MS=ms44537159, MS=ms26141545, v=DKIM1; p=\195\162\194\128\194\14200cff6af425446793f16744a3126eab2a7, v=spf1 redirect=_s5y7iasmk.sdmarc.net, BEyPF47iAx6QT/SKzF+ZK+te1C0AY4tU8E8ldE1EEJs5Oeji6fSzOlFjc/+ilkHy5M72UD8ixRauF4xYhxP7Bg==, EOgz4xQDPBa4o1vbfxDksWFonhulD96fHsywmUf//5HZjXiu9D74PxP8dPWNeJlRFspWWa/1OOpg9qwf2mOICw==, atlassian-domain-verification=CTQoCIWsc6O/1GW/gWRe2qlL1X/S9AFVMBmsWAR9fB5GhhOe2QuHlBVqggipB1xj",naspers-com.mail.protection.outlook.com,"dns2.cscdns.net, dns1.cscdns.net",,,
,naspers.fr,"165.160.15.20, 165.160.13.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,v=spf1 redirect=_sx2jqtoei.sdmarc.net,custmx.cscdns.net,"dns1.cscdns.net, dns2.cscdns.net",,,
,naspers.us,"165.160.15.20, 165.160.13.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,v=spf1 redirect=_scclz4avs.sdmarc.net,custmx.cscdns.net,"dns1.cscdns.net, dns2.cscdns.net",,,
,nav.naspers.com,"172.67.1.48, 104.20.34.28, 104.20.33.28","2606:4700:10::6814:221c, 2606:4700:10::6814:211c, 2606:4700:10::ac43:130",nav.naspers.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,nav.prosus.com,"104.22.63.224, 172.67.21.138, 104.22.62.224","2606:4700:10::ac43:158a, 2606:4700:10::6816:3ee0, 2606:4700:10::6816:3fe0",nav.prosus.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,news.naspers.com,152.111.7.31,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,"dns1.cscdns.net, dns2.cscdns.net",,,
,ns2.naspers.com,152.111.194.123,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,odincovo.naspers.us,"165.160.15.20, 165.160.13.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,okta.prosus.com,"52.223.24.125, 35.71.153.225",,"naspers.customdomains.okta-emea.com, eu1-custom-crtrs.okta-emea.com, eu1-custom-crtrs.oktaedge.okta-emea.com, a977293749abcbf39.awsglobalaccelerator.com","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,onestream.prosus.com,51.137.5.105,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,azure,,,,,,
,openline.prosus.com,197.86.37.9,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,qy915329ctb32f1zf4vkvhw07jqbgvyl,,,,,
,owacpt.naspers.com,54.144.128.85,,,,NOERROR,,,,,,,,
,pandemic.naspers.co,"165.160.15.20, 165.160.13.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,"dns1.cscdns.net, dns2.cscdns.net",,,
,portal.naspers.com,41.86.109.242,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,prosus.com,104.20.235.57,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,cloudflare,"atlassian-domain-verification=CTQoCIWsc6O/1GW/gWRe2qlL1X/S9AFVMBmsWAR9fB5GhhOe2QuHlBVqggipB1xj, v=spf1 redirect=_s21jvmmfh.sdmarc.net, MS=ms61743409, ZOOM_verify_8OGC6jWVRNKDNWIXKgvlbQ, apple-domain-verification=ifvPCsdLYPncMlir, workplace-domain-verification=6F4CHpYGJtw7VcyfYDJbirwfdoEBkV, knowbe4-site-verification=db2df94b8f3d5fb82c73710b7e5e4da0, production-naspers.azurewebsites.net, google-site-verification=2t6cXvQ7UoFEhnglMSxvFYvkURl5qGmW-SlworVabF0",prosus-com.mail.protection.outlook.com,"dns1.cscdns.net, dns2.cscdns.net",,,
,publicpolicy.naspers.com,"104.20.34.28, 104.20.33.28, 172.67.1.48","2606:4700:10::6814:221c, 2606:4700:10::ac43:130, 2606:4700:10::6814:211c",publicpolicy.naspers.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,qa.naspers.com,152.111.192.5,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,quasap.naspers.com,52.236.152.156,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,azure,,,,,,
,rcts-lab.naspers.com,152.111.251.31,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,rememberingantonie.naspers.com,54.144.128.85,,,,NOERROR,,,,,,,,
,reporting.naspers.com,,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,sapcrmprd03.naspers.com,54.144.128.85,,,,NOERROR,,,,,,,,
,sip.naspers.com,52.112.192.139,2603:1027:0:48::20,sipdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,,,,
,sip.prosus.com,52.112.196.46,2603:1027:0:48::20,sipdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,,,,
,sites.naspers.com,196.30.82.200,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,smtp01.devices.naspers.com,185.39.236.167,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,speakup.naspers.com,197.86.37.11,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,speakup.prosus.com,197.86.37.12,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,yf0bb3l9q0zthzqtwyn47jpybzhbmngz,,,,,
,sslvpnwar.naspers.com,152.111.111.4,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,sub-97-155-244.naspers.us,"165.160.13.20, 165.160.15.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,sub-97-44-7.naspers.us,"165.160.13.20, 165.160.15.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,sub-97-7-11.naspers.co,"165.160.13.20, 165.160.15.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,tableau-iars.prosus.com,,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,tapartners.prosus.com,35.208.106.206,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,google,,,,,,
,terminal.epm.naspers.com,185.39.237.172,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,test-nav.naspers.com,"104.20.34.28, 172.67.1.48, 104.20.33.28","2606:4700:10::6814:211c, 2606:4700:10::ac43:130, 2606:4700:10::6814:221c",test-nav.naspers.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,test-nav.prosus.com,,"2606:4700:10::6816:3fe0, 2606:4700:10::ac43:158a, 2606:4700:10::6816:3ee0",test-nav.prosus.com.cdn.cloudflare.net,,NOERROR,True,cloudflare,,,,,,
