input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn,tls_expired
deployment-prosus.naspers.com,,,16,deployment-prosus.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-06-16T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,deployment-prosus.naspers.com,443,https://deployment-prosus.naspers.com:443,https,cloudflare,text/plain,GET,104.20.33.28,HSTS,1,True,
develop-tracker.naspers.com,Legal Tracker,,3081,develop-tracker.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-25T00:00:00Z,CN=develop-tracker.naspers.com,develop-tracker.naspers.com,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,develop-tracker.naspers.com,443,https://develop-tracker.naspers.com:443,https,AmazonS3,text/html,GET,52.222.214.102,Amazon Web Services,36,True,
development-nasperspolicy.naspers.com,,,16,development-nasperspolicy.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,development-nasperspolicy.naspers.com,443,https://development-nasperspolicy.naspers.com:443,https,cloudflare,text/plain,GET,104.20.33.28,HSTS,1,True,
development.naspers.com,,,16,development.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,development.naspers.com,443,https://development.naspers.com:443,https,cloudflare,text/plain,GET,104.20.33.28,HSTS,1,True,
devsap.naspers.com,Application Server Error,,9668,devsap.naspers.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,"CN=*.naspers.com, O=Naspers Limited, L=Cape Town, ST=WESTERN CAPE, C=ZA",*.naspers.com,Naspers Limited,"CN=Thawte RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte RSA CA 2018,DigiCert Inc,ctls,devsap.naspers.com,443,https://devsap.naspers.com:443,https,,text/html,GET,52.236.152.156,HSTS,35,True,
drive.naspers.com,Sign in - Google Accounts,,1469,www.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=www.google.com,www.google.com,,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,www.google.com,80,http://drive.naspers.com:80,http,GSE,text/html,GET,142.250.185.211,OpenGSE,32,,
dxb8x0rynklzn.cloudfront.net,ERROR: The request could not be satisfied,,951,dxb8x0rynklzn.cloudfront.net,443,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,CN=*.cloudfront.net,*.cloudfront.net,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,dxb8x0rynklzn.cloudfront.net,443,https://dxb8x0rynklzn.cloudfront.net:443,https,CloudFront,text/html,GET,108.138.7.29,Amazon Web Services,20,True,
eds.prosus.com,503 Service Temporarily Unavailable,,162,eds.prosus.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-08T00:00:00Z,"CN=eds.prosus.com, O=MIH Technology Holdings B.V., ST=Noord-Holland, C=NL",eds.prosus.com,MIH Technology Holdings B.V.,"CN=Trusted Secure Certificate Authority 5, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority 5,Corporation Service Company,ctls,eds.prosus.com,443,https://eds.prosus.com:443,https,awselb/2.0,text/html,GET,34.204.136.105,,7,,
en.naspers.fr,Home | Naspers,,35932,www.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-06-12T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.naspers.com,80,http://en.naspers.fr:80,http,cloudflare,text/html,GET,165.160.13.20,Microsoft ASP.NET,885,,
en.naspers.us,Home | Naspers,,33903,www.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-06-12T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.naspers.com,80,http://en.naspers.us:80,http,cloudflare,text/html,GET,165.160.15.20,Microsoft ASP.NET,833,,
eu-west-1.quicksight.aws.amazon.com,,,1023,eu-west-1.quicksight.aws.amazon.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-16T00:00:00Z,CN=web-quicksight.eu-west-1.amazonaws.com,web-quicksight.eu-west-1.amazonaws.com,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,eu-west-1.quicksight.aws.amazon.com,443,https://eu-west-1.quicksight.aws.amazon.com:443,https,AWS Server,text/html,GET,52.95.127.59,Java,35,,
fonts.googleapis.com,Error 404 (Not Found)!!1,,1607,fonts.googleapis.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:25:28Z,CN=upload.video.google.com,upload.video.google.com,,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,fonts.googleapis.com,443,https://fonts.googleapis.com:443,https,ESF,text/html,GET,142.250.181.234,HTTP/3,1,,
fonts.gstatic.com,Error 404 (Not Found)!!1,,1561,fonts.gstatic.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:25:28Z,CN=*.gstatic.com,*.gstatic.com,,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,fonts.gstatic.com,443,https://fonts.gstatic.com:443,https,sffe,text/html,GET,172.217.16.195,HTTP/3,12,,
forgood.naspers.com,"Donate or Volunteer at Causes, Charities & NGOs | forgood",,1146,forgood.naspers.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-18T00:00:00Z,CN=forgood.naspers.com,forgood.naspers.com,,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ctls,forgood.naspers.com,443,https://forgood.naspers.com:443,https,Microsoft-IIS/10.0,text/html,GET,102.133.154.32,Windows Server,1,True,
googleabs.g.naspers.us,Home | Naspers,,35943,www.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-06-12T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.naspers.com,80,http://googleabs.g.naspers.us:80,http,cloudflare,text/html,GET,165.160.13.20,Microsoft ASP.NET,885,,
ha3virus.naspers.us,Home | Naspers,,35955,www.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-06-12T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.naspers.com,80,http://ha3virus.naspers.us:80,http,cloudflare,text/html,GET,165.160.15.20,Microsoft ASP.NET,885,,
hr.prosus.com,Prosus HRIS,,1348,hr.prosus.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,CN=hr.prosus.com,hr.prosus.com,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,hr.prosus.com,443,https://hr.prosus.com:443,https,AmazonS3,text/html,GET,99.86.4.91,HSTS,1,True,
https://legal.report-uri.com/r/d/csp/enforce,Report URI: Welcome to report-uri.com,,30914,report-uri.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-05T21:09:26Z,CN=*.report-uri.com,*.report-uri.com,,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,ctls,report-uri.com,443,https://legal.report-uri.com:443/r/d/csp/enforce,https,cloudflare,text/html,GET,104.17.182.88,HTTP/3,534,True,
kardamena-uncovered.naspers.co,Home | Naspers,,35933,www.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-06-12T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.naspers.com,80,http://kardamena-uncovered.naspers.co:80,http,cloudflare,text/html,GET,165.160.15.20,Microsoft ASP.NET,885,,
legal.naspers.com,Prosus - Naspers Legal Management System,,7078,legal.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-01-25T00:00:00Z,CN=legal.naspers.com,legal.naspers.com,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,legal.naspers.com,443,https://legal.naspers.com:443,https,Apache,text/html,GET,108.138.7.42,PHP,122,True,
limpiadordevirus.naspers.fr,Home | Naspers,,35943,www.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-06-12T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.naspers.com,80,http://limpiadordevirus.naspers.fr:80,http,cloudflare,text/html,GET,165.160.15.20,Microsoft ASP.NET,885,,
loncov5.naspers.co,Home | Naspers,,35933,www.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-06-12T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.naspers.com,80,http://loncov5.naspers.co:80,http,cloudflare,text/html,GET,165.160.15.20,Microsoft ASP.NET,885,,
losvirus.naspers.fr,Home | Naspers,,35943,www.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-06-12T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.naspers.com,80,http://losvirus.naspers.fr:80,http,cloudflare,text/html,GET,165.160.15.20,Microsoft ASP.NET,885,,
lyncdiscover.prosus.com,,,356,lyncdiscover.prosus.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-02-03T18:41:36Z,"CN=*.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.online.lync.com,Microsoft Corporation,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,ctls,lyncdiscover.prosus.com,443,https://lyncdiscover.prosus.com:443,https,,application/json,GET,52.112.196.45,Azure,1,,
mike.naspers.fr,Home | Naspers,,35933,www.naspers.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-06-12T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.naspers.com,80,http://mike.naspers.fr:80,http,cloudflare,text/html,GET,165.160.15.20,Microsoft ASP.NET,885,,
