input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_expired,tls_subject_org_,final_url
stage-help.glassdoor.com,Security | Glassdoor,403,53862,stage-help.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,stage-help.glassdoor.com,cloudflare,443,https://stage-help.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.90.51,/,-766087776,104.17.91.51,HTTP/3,181,False,True,True,,"Cloudflare, Inc.",
static.glassdoor.com,Security | Glassdoor,403,53850,static.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,static.glassdoor.com,cloudflare,443,https://static.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.90.51,/,565011383,104.17.91.51,HTTP/3,181,False,True,True,,"Cloudflare, Inc.",
static1.glassdoor.com,Security | Glassdoor,403,53843,static1.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,static1.glassdoor.com,cloudflare,443,https://static1.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.90.51,/,-327477417,104.17.91.51,HTTP/3,181,False,True,True,,"Cloudflare, Inc.",
static2.glassdoor.com,Security | Glassdoor,403,53798,static2.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,static2.glassdoor.com,cloudflare,443,https://static2.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.90.51,/,369677023,104.17.91.51,HTTP/3,181,False,True,True,,"Cloudflare, Inc.",
static3.glassdoor.com,Security | Glassdoor,403,53847,static3.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,static3.glassdoor.com,cloudflare,443,https://static3.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.91.51,/,-1623857791,104.17.90.51,HTTP/3,181,False,True,True,,"Cloudflare, Inc.",
static4.glassdoor.com,Security | Glassdoor,403,53995,static4.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,static4.glassdoor.com,cloudflare,443,https://static4.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.90.51,/,510267302,104.17.91.51,HTTP/3,181,False,True,True,,"Cloudflare, Inc.",
sw.glassdoor.com,,403,275,sw.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,ctls,sw.glassdoor.com,cloudfront,443,https://sw.glassdoor.com:443,https,AmazonS3,application/xml,GET,13.225.84.103,/,-921137622,2600:9000:21f3:c00:8:b766:e980:21,Amazon Web Services,2,False,True,True,,,
ui.glassdoor.com,Security | Glassdoor,403,53863,ui.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-04T02:47:42Z,2023-08-02T02:47:41Z,CN=ui.glassdoor.com,ui.glassdoor.com,ui.glassdoor.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fb46f676dcab3ebe08ede92905e22af5,7e6edfa795f57a75f300498fa28dbeb860200c69c7efc6c5b88f2229e0b877ec,ctls,ui.glassdoor.com,cloudflare,443,https://ui.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.90.51,/,337162629,104.17.91.51,HTTP/3,181,False,True,,,,
uk.glassdoor.com,Security | Glassdoor,403,53949,www.glassdoor.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-06-16T00:00:00Z,2023-06-16T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",0a4f211debf48c488c9388c9019180fb,c5b172a74131c9e336f11d0d7e9127e17bdb03ad13ac1180a024dd679a79af81,ctls,www.glassdoor.co.uk,cloudflare,443,https://uk.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.91.51,/,-1974795832,104.17.90.51,HTTP/3,181,False,True,True,,"Cloudflare, Inc.",https://www.glassdoor.co.uk/?src=gd-domain-redirect
upload.glassdoor.com,Security | Glassdoor,403,53856,www.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,www.glassdoor.com,cloudflare,443,https://upload.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.91.51,/,1218347917,104.17.90.51,HTTP/3,181,False,True,True,,"Cloudflare, Inc.",https://www.glassdoor.com/
