input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,csp_domains_,final_url
ade.otomoto.pl,Ade plus | OTOMOTO,200,121753,AS16509,AMAZON-02,US,99.86.104.0/24,ade.otomoto.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.otomoto.pl,*.otomoto.pl,otomoto.pl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5d96853bcc7b283b9ed988626e53a9be,e74926c26387260a40508105492233552d36197623794bfb0125194f0035502c,True,ctls,ade.otomoto.pl,cloudfront,443,https://ade.otomoto.pl:443,https,openresty/1.21.4.1,text/html,GET,99.86.91.87,/,,99.86.91.4,React,11,False,True,,,,https://ade.otomoto.pl/inventory
admin.otomoto.pl,OTOMOTO - nowe i używane samochody i motocykle oraz części samochodowe. Ogłoszenia motoryzacyjne.,200,141530,AS16509,AMAZON-02,US,18.66.132.0/24,admin.otomoto.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.otomoto.pl,*.otomoto.pl,otomoto.pl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5d96853bcc7b283b9ed988626e53a9be,e74926c26387260a40508105492233552d36197623794bfb0125194f0035502c,True,ctls,admin.otomoto.pl,cloudfront,443,https://admin.otomoto.pl:443,https,openresty/1.21.4.1,text/html,GET,18.66.122.101,/,,18.66.122.18,React,23,False,True,,,,https://admin.otomoto.pl/inventory
adminpostmandatabase.praca.olx.pl,,200,44,AS197226,SPRINT-SDC,PL,185.38.248.0/22,adminpostmandatabase.praca.olx.pl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-30T21:11:02Z,2023-06-28T21:11:01Z,CN=server-185-38-249-192.da.direct,server-185-38-249-192.da.direct,server-185-38-249-192.da.direct,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fc3bf0871262d95eb0924bc1d6ba8dc3,71003092a3703177efd13235ceeb405a4a95f5a075856fb4a247553bd2248a89,,ctls,adminpostmandatabase.praca.olx.pl,,443,https://adminpostmandatabase.praca.olx.pl:443,https,Apache/2,text/html,GET,185.38.249.192,/,-1812417198,185.38.249.192,Apache:2,2,False,,True,,,
adresujemymarzenia.otodom.pl,"Adresujemy
marzenia",200,83340,AS63911,"NETACTUATE-AS-AP NetActuate, Inc",US,157.53.232.0/24,adresujemymarzenia.otodom.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T05:29:36Z,2023-07-02T05:29:35Z,CN=adresujemymarzenia.otodom.pl,adresujemymarzenia.otodom.pl,adresujemymarzenia.otodom.pl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,500280ffeae27c5ddd0000c5ce4ffccd,db37a32b275ee537ae5e197ae112147ab6de572fa466764d07f21f6a81bf9e69,,ctls,adresujemymarzenia.otodom.pl,,443,https://adresujemymarzenia.otodom.pl:443,https,,text/html,GET,157.53.227.1,/,,157.53.227.1,HSTS,870,False,,,,,
adsolx.olx.pl,OLX Ads Self Service - reklama sprzedawana automatycznie,200,478348,AS0,Not routed,None,13.32.100.0/23,adsolx.olx.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2024-04-26T23:59:59Z,CN=ads.olx.pl,ads.olx.pl,adsolx.olx.pl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,936fd289a657e66200afaa4e37dbb160,ddc693421cf80eac9734de5cae91be4eb81050a4e227b8aceb418057faf0c7b7,,ctls,adsolx.olx.pl,cloudfront,443,https://adsolx.olx.pl:443,https,AmazonS3,text/html,GET,13.32.99.54,/,,2600:9000:2251:d600:7:5483:f880:93a1,Vue.js,88,False,True,,,,
advancerepair.olx.pt,Portugal Anúncios Classificados OLX,200,157063,AS0,Not routed,None,99.86.8.0/24,advancerepair.olx.pt,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-16T23:59:59Z,CN=olx.pt,olx.pt,*.olx.pt,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0d1a19d1e10cd0a034fd5debd0ebc7f2,450f1c2efd48ae0bc57daade1c5f8d0ea77d3b1a7d9644f21873bf98579a5925,True,ctls,advancerepair.olx.pt,cloudfront,443,https://advancerepair.olx.pt:443,https,nginx/1.23.0,text/html,GET,99.86.4.54,/,82561444,99.86.4.88,Nginx:1.23.0,195,False,True,,,https:,
advertising.olx.pt,Portugal Anúncios Classificados OLX,200,157063,AS0,Not routed,None,99.86.8.0/24,advertising.olx.pt,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-16T23:59:59Z,CN=olx.pt,olx.pt,*.olx.pt,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0d1a19d1e10cd0a034fd5debd0ebc7f2,450f1c2efd48ae0bc57daade1c5f8d0ea77d3b1a7d9644f21873bf98579a5925,True,ctls,advertising.olx.pt,cloudfront,443,https://advertising.olx.pt:443,https,nginx/1.23.0,text/html,GET,99.86.4.88,/,,99.86.4.54,Nginx:1.23.0,195,False,True,,,https://*.olx.pt,
agentpro.otodom.pl,Otodom - Korzystaj z profesjonalnych narzędzi dla agentów nieruchomości,200,111737,AS63911,"NETACTUATE-AS-AP NetActuate, Inc",US,157.53.232.0/24,agentpro.otodom.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T05:29:07Z,2023-05-28T05:29:06Z,CN=agentpro.otodom.pl,agentpro.otodom.pl,agentpro.otodom.pl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2b31a83d78b2e532387bc9d48530eed1,ee2405030adf321e6ebd399cf35e510b5201fb2bb2c30a772b69146aebd868f2,,ctls,agentpro.otodom.pl,,443,https://agentpro.otodom.pl:443,https,,text/html,GET,157.53.227.1,/,-1143462660,157.53.227.1,YouTube,1574,False,,,,,
agroimport24.otomoto.pl,AgroImport24.com ----- BEZWYPADKOWE auta ciężarowe z Portugalii | OTOMOTO,200,126421,AS16509,AMAZON-02,US,18.66.132.0/24,agroimport24.otomoto.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.otomoto.pl,*.otomoto.pl,otomoto.pl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5d96853bcc7b283b9ed988626e53a9be,e74926c26387260a40508105492233552d36197623794bfb0125194f0035502c,True,ctls,agroimport24.otomoto.pl,cloudfront,443,https://agroimport24.otomoto.pl:443,https,openresty/1.21.4.1,text/html,GET,18.66.122.80,/,,18.66.122.18,React,11,False,True,,,,https://agroimport24.otomoto.pl/inventory
agroteam.otomoto.pl,FUH AGROTEAM Wróbel Grzegorz | OTOMOTO,200,185853,AS16509,AMAZON-02,US,18.66.132.0/24,agroteam.otomoto.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.otomoto.pl,*.otomoto.pl,otomoto.pl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5d96853bcc7b283b9ed988626e53a9be,e74926c26387260a40508105492233552d36197623794bfb0125194f0035502c,True,ctls,agroteam.otomoto.pl,cloudfront,443,https://agroteam.otomoto.pl:443,https,openresty/1.21.4.1,text/html,GET,18.66.122.18,/,,18.66.122.101,React,11,False,True,,,,https://agroteam.otomoto.pl/inventory
ajuda.imovirtual.com,Imovirtual Help Center,200,34260,AS16509,AMAZON-02,US,65.9.112.0/23,ajuda.imovirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-05T00:00:00Z,2024-05-03T23:59:59Z,CN=*.otodom.pl,*.otodom.pl,*.storia.ro,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,890c8c1f716e6f1a44853eeff5f830c0,d509defc716f3b98cd0df57784e87a9ae7a53478bb8d2896673fb4830d64c6cc,True,ctls,ajuda.imovirtual.com,cloudfront,443,https://ajuda.imovirtual.com:443,https,CloudFront,text/html,GET,65.9.66.50,/,1433417005,65.9.66.123,HSTS,468,False,True,True,,https://*.olx.ua,https://ajuda.imovirtual.com/imovirtualhelp/s/
ajuda.standvirtual.com,Standvirtual Help Center,200,30732,AS16509,AMAZON-02,US,52.222.236.0/23,ajuda.standvirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-31T00:00:00Z,2024-04-28T23:59:59Z,CN=*.otomoto.pl,*.otomoto.pl,*.standvirtual.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b482a9a30c14bb2dedfa720e6bcfe8e2,c8ddc0b9efb37306ad2df5122deb3f422792066e5040a5881509092dcdb26daf,True,ctls,ajuda.standvirtual.com,cloudfront,443,https://ajuda.standvirtual.com:443,https,CloudFront,text/html,GET,52.222.236.88,/,,52.222.236.109,HSTS,381,False,True,True,,https://www.google.com,https://ajuda.standvirtual.com/standvirtualhelp/s/
akademia.otomoto.pl,OTOMOTO - nowe i używane samochody i motocykle oraz części samochodowe. Ogłoszenia motoryzacyjne.,200,195271,AS16509,AMAZON-02,US,18.66.132.0/24,akademia.otomoto.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.otomoto.pl,*.otomoto.pl,otomoto.pl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5d96853bcc7b283b9ed988626e53a9be,e74926c26387260a40508105492233552d36197623794bfb0125194f0035502c,True,ctls,akademia.otomoto.pl,cloudfront,443,https://akademia.otomoto.pl:443,https,openresty/1.21.4.1,text/html,GET,18.66.122.101,/,,18.66.122.108,React,23,False,True,,,,https://akademia.otomoto.pl/inventory
akcjepromocyjne.olx.pl,Akcje promocyjne OLX,200,212817,AS209242,"CLOUDFLARESPECTRUM Cloudflare, Inc.",US,141.193.213.0/24,akcjepromocyjne.olx.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-26T00:00:00Z,2023-10-25T23:59:59Z,"CN=akcjepromocyjne.olx.pl, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",akcjepromocyjne.olx.pl,akcjepromocyjne.olx.pl,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a9eefbd6fc069a23704f7952cc8345b5,1def89455af436e1114946b10548e96ab5b30f9c5b3e5e096375f42715fda9d7,,ctls,akcjepromocyjne.olx.pl,,443,https://akcjepromocyjne.olx.pl:443,https,cloudflare,text/html,GET,141.193.213.21,/,,141.193.213.20,WordPress,1010,False,,,"Cloudflare, Inc.",,
aklepagdfieldorfa.olx.pl,SKLEP OUTLET AGD MAXI MEDIA,200,2271986,AS16509,AMAZON-02,US,143.204.216.0/24,aklepagdfieldorfa.olx.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-16T23:59:59Z,CN=olx.pl,olx.pl,*.olx.pl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2b84a440b6a23cf354c81b3a48906b35,4dfc28935fa36bdc146998cc24f5cc50b1bb553fc7515be4cf56c8a3d59ba2e4,True,ctls,aklepagdfieldorfa.olx.pl,cloudfront,443,https://aklepagdfieldorfa.olx.pl:443,https,nginx/1.23.0,text/html,GET,143.204.215.57,/,82561444,143.204.215.110,React,107,False,True,,,https://*.olx.pl,
alfaromeo-jeep.otomoto.pl,Auto Fus Group Autoryzowany Dealer Alfa Romeo i Jeep | OTOMOTO,200,337422,AS16509,AMAZON-02,US,18.66.132.0/24,alfaromeo-jeep.otomoto.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.otomoto.pl,*.otomoto.pl,otomoto.pl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5d96853bcc7b283b9ed988626e53a9be,e74926c26387260a40508105492233552d36197623794bfb0125194f0035502c,True,ctls,alfaromeo-jeep.otomoto.pl,cloudfront,443,https://alfaromeo-jeep.otomoto.pl:443,https,openresty/1.21.4.1,text/html,GET,18.66.122.18,/,,18.66.122.108,React,11,False,True,,,,https://alfaromeo-jeep.otomoto.pl/inventory
algarveimoveis.imovirtual.com,Comprar e arrendar casa | Imovirtual,200,121942,AS16509,AMAZON-02,US,18.66.116.0/23,www.imovirtual.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-12T00:00:00Z,2024-04-09T23:59:59Z,CN=*.imovirtual.com,*.imovirtual.com,imovirtual.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6fff0b1c63ce8c52bdaa6680d66f5dd2,013ae7cfdd1059e9fe5896d792b6d59268ad3d83b298d1a2729aa89847980e7a,True,ctls,www.imovirtual.com,cloudfront,443,https://algarveimoveis.imovirtual.com:443,https,nginx,text/html,GET,18.66.112.49,/,,18.66.112.3,PHP,1639,False,True,,,apps.facebook.com,https://www.imovirtual.com
alpha2022-api.olx.pl,"Ups, mamy problem",404,162367,AS16509,AMAZON-02,US,143.204.216.0/24,alpha2022-api.olx.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-16T23:59:59Z,CN=olx.pl,olx.pl,*.olx.pl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2b84a440b6a23cf354c81b3a48906b35,4dfc28935fa36bdc146998cc24f5cc50b1bb553fc7515be4cf56c8a3d59ba2e4,True,ctls,alpha2022-api.olx.pl,cloudfront,443,https://alpha2022-api.olx.pl:443,https,nginx/1.23.0,text/html,GET,143.204.215.85,/,,143.204.215.57,Nginx:1.23.0,190,False,True,,,https://*.olx.pl,
alvarolivros.olx.pt,particular,200,1506113,AS0,Not routed,None,99.86.8.0/24,alvarolivros.olx.pt,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-16T23:59:59Z,CN=olx.pt,olx.pt,*.olx.pt,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0d1a19d1e10cd0a034fd5debd0ebc7f2,450f1c2efd48ae0bc57daade1c5f8d0ea77d3b1a7d9644f21873bf98579a5925,True,ctls,alvarolivros.olx.pt,cloudfront,443,https://alvarolivros.olx.pt:443,https,nginx/1.23.0,text/html,GET,99.86.4.64,/,82561444,99.86.4.29,React,127,False,True,,,https:,
ambitcar.otomoto.pl,Ambit | OTOMOTO,200,175676,AS16509,AMAZON-02,US,18.66.132.0/24,ambitcar.otomoto.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.otomoto.pl,*.otomoto.pl,otomoto.pl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5d96853bcc7b283b9ed988626e53a9be,e74926c26387260a40508105492233552d36197623794bfb0125194f0035502c,True,ctls,ambitcar.otomoto.pl,cloudfront,443,https://ambitcar.otomoto.pl:443,https,openresty/1.21.4.1,text/html,GET,18.66.122.18,/,,18.66.122.108,React,11,False,True,,,,https://ambitcar.otomoto.pl/inventory
analytics-stg.otodom.pl,"Otodom: Nieruchomości, Mieszkania, Domy, Działki",200,160629,AS16509,AMAZON-02,US,143.204.104.0/24,www.otodom.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-26T00:00:00Z,2024-04-23T23:59:59Z,CN=*.otodom.pl,*.otodom.pl,otodom.pl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ade1b433e0f78df9ec103562923557eb,33a30a245338ef71a9db2f54200617b50176afc9d4df95671de1989ae4c85905,True,ctls,www.otodom.pl,cloudfront,443,https://analytics-stg.otodom.pl:443,https,openresty/1.21.4.1,text/html,GET,143.204.89.109,/,,143.204.89.108,React,1,False,True,,,,https://www.otodom.pl
analytics.otodom.pl,Otodom Analytics - platforma dostarczająca kompleksowe dane na temat rynku mieszkaniowego w Polsce,200,56649,AS16509,AMAZON-02,US,13.32.16.0/20,analytics.otodom.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-11-05T23:59:59Z,CN=*.analytics.otodom.pl,*.analytics.otodom.pl,analytics.otodom.pl,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,52e7344db2330e4cdcc957c2ab9efab9,311ac314ec739efd8a991a6f758f9dccd7150c7b87ad9fa8f69d5bdee45b223e,True,ctls,analytics.otodom.pl,cloudfront,443,https://analytics.otodom.pl:443,https,nginx,text/html,GET,13.32.27.107,/,,13.32.27.7,Nginx,70,False,True,,,,https://analytics.otodom.pl/pl/
analytics.stg.otodom.pl,ERROR: The request could not be satisfied,403,919,AS16509,AMAZON-02,US,143.204.216.0/24,analytics.stg.otodom.pl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-11-05T23:59:59Z,CN=*.analytics.stg.otodom.pl,*.analytics.stg.otodom.pl,analytics.stg.otodom.pl,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,22c511efa9d0bd8656b3e620194d3d5a,ebf7cbee351ae042020d3b7a180d7552340d6ef2d9d67a436e77c915b7c1e135,True,ctls,analytics.stg.otodom.pl,cloudfront,443,https://analytics.stg.otodom.pl:443,https,CloudFront,text/html,GET,143.204.215.109,/,1518551053,143.204.215.39,HSTS,20,False,True,,,,
