new,host,a,soa,status_code,cname,has_internal_ips,internal_ips,cdn,cdn-name,txt,aaaa,ns,mx,caa
[x],pat.td.com,,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,"ciscocidomainverification=3b3aba505c73aef4472da9dced08aad8d1bd72bd327908507c9674fa80e3952e, intersight=4c5ad9ca5c57b66285e0d987c2dc82cb8e5661f21bc6c4584843c67a2459e683",,"a10-66.akam.net, a9-66.akam.net, a1-113.akam.net, a7-65.akam.net, a22-64.akam.net, a16-67.akam.net",,
[x],pat.tdtube-fr.td.com,,,NOERROR,"stg-tdtube-fr.mediaspace.kaltura.com, nvp1.ms-cf.kaltura.com.cdn.cloudflare.net",,,True,cloudflare,,"2606:4700:7::a29f:875b, 2606:4700:7::a29f:885b",,,
[x],pat.tdtube.td.com,"162.159.136.91, 162.159.135.91","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"stg-tdtube.mediaspace.kaltura.com, nvp1.ms-cf.kaltura.com.cdn.cloudflare.net",,,True,cloudflare,,"2606:4700:7::a29f:875b, 2606:4700:7::a29f:885b",,,
[x],pat.us.td.com,,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],pbsispectrum.pat.td.com,,,NOERROR,,,,,,,,,,
[x],pd.td.com,45.60.123.18,"ns1.incapdns.net, hostmaster.incapsula.com, ns1.x.incapdns.net",NOERROR,"pd-td.vscreen.org, 65zy2uy.x.incapdns.net",,,True,incapsula,,,,,
[x],pilot.td.com,,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],pns3.pat.td.com,152.199.17.197,"ns1.upsiloncdn.net, noc.edgecast.com",NOERROR,cs555.adn.upsiloncdn.net,,,,,,,,,
[x],postauth.td.com,152.199.16.69,"ns1.upsiloncdn.net, noc.edgecast.com",NOERROR,cs806.adn.upsiloncdn.net,,,,,,,,,
[x],preapprobation.pretsaetreproprios.pat.td.com,"96.16.54.168, 96.16.54.144","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"preapprobation.pretsaetreproprios.pat.td.com.edgekey.net, e32796.b.akamaiedge.net",,,,,,,,,
[x],preapproval.homeready.pat.td.com,"95.101.74.138, 95.101.74.139","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"preapproval.homeready.pat.td.com.edgekey.net, e32796.b.akamaiedge.net",,,,,,,,,
[x],preferences.pat.td.com,,"n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"preferences.pat.td.com.edgekey.net, e92681.b.akamaiedge.net",,,,,,,,,
[x],preferences.td.com,,,NOERROR,preferences.td.com.edgekey.net,,,,,,,,,
[x],pretsaetreproprios.sit.td.com,"23.206.121.197, 23.206.121.207","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"pretsaetreproprios.sit.td.com.edgekey.net, e85923.b.akamaiedge.net",,,,,,,,,
[x],pretsaetreproprios.td.com,152.199.17.76,"ns1.xicdn.net, noc.edgecast.com",NOERROR,"pretsaetreproprios.td.com.00d1i000000oxuyuam.live.siteforce.com, cs1065.adn.xicdn.net",,,,,,,,,
[x],privacyportal.td.com,"23.213.161.198, 23.213.161.199","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"privacyportal.td.com.edgekey.net, e79012.b.akamaiedge.net",,,,,,,,,
