new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,ns,txt,mx,has_internal_ips,internal_ips,caa
[x],exchange.securityscorecard.io,,,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],info.securityscorecard.com,"104.25.40.102, 104.25.39.102, 172.67.67.250","2606:4700:20::6819:2766, 2606:4700:20::ac43:43fa, 2606:4700:20::6819:2866","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],instant-test.securityscorecard.com,"172.67.67.250, 104.25.39.102, 104.25.40.102","2606:4700:20::6819:2866, 2606:4700:20::6819:2766, 2606:4700:20::ac43:43fa","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],instant.securityscorecard.com,"104.25.40.102, 104.25.39.102, 172.67.67.250","2606:4700:20::6819:2866, 2606:4700:20::ac43:43fa, 2606:4700:20::6819:2766","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],mandrill.securityscorecard.io,,,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],meet.securityscorecard.io,"52.1.10.65, 54.82.94.141, 54.204.178.190",,"ns-2.awsdns-00.com, awsdns-hostmaster.amazon.com",NOERROR,,,"75b3284a-9eb1-470f-869d-6f7a2decb07d.outrch.com, app2a.outrch.com",,,,,,letsencrypt.org
[x],my.securityscorecard.com,,,"dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],o1.sendgrid.securityscorecard.io,149.72.174.231,,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],partners.securityscorecard.com,209.170.205.126,,"ns-732.awsdns-27.net, awsdns-hostmaster.amazon.com",NOERROR,,,prm1.impartner.com,,"_globalsign-domain-verification=Wcu1sck3BYr3S2BfvfNSEoZzQlfvI7Edvj2-OENzKE, v=spf1 ip4:206.71.93.0/25 ip4:206.71.77.1/25 ip4:206.71.94.128/25 ip4:54.244.54.138 ip4:192.174.86.136 include:spf.protection.outlook.com include:mta.impartner.com ~all, v=spf2.0/pra ip4:206.71.77.1/25 ip4:206.71.94.128/25 ip4:54.244.54.138 ~all",mail.thiemail.com,,,
[x],platform-api.securityscorecard.io,"52.84.195.61, 52.84.195.25, 52.84.195.129, 52.84.195.98",,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],platform.securityscorecard.io,"18.66.147.56, 18.66.147.20, 18.66.147.87, 18.66.147.40",,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],portal.team.securityscorecard.io,172.217.168.51,2a00:1450:4017:811::2013,"ns1.google.com, dns-admin.google.com",NOERROR,,,ghs.googlehosted.com,,,,,,
[x],prod.securityscorecard.com,"172.67.67.250, 104.25.39.102, 104.25.40.102","2606:4700:20::6819:2766, 2606:4700:20::6819:2866, 2606:4700:20::ac43:43fa","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],prod.trust.securityscorecard.com,"104.25.40.102, 104.25.39.102, 172.67.67.250","2606:4700:20::6819:2766, 2606:4700:20::ac43:43fa, 2606:4700:20::6819:2866","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],qa-platform.securityscorecard.com,,,"dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],rbc.atlas.securityscorecard.io,"18.160.41.83, 18.160.41.38, 18.160.41.11, 18.160.41.128",,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],realtime.securityscorecard.com,,,"dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],realtime.securityscorecard.io,,,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],registry.securityscorecard.io,"10.0.20.231, 10.0.19.28",,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,True,"10.0.20.231, 10.0.19.28",
[x],resources.securityscorecard.com,"3.208.232.111, 34.202.210.163, 54.84.0.68, 3.228.116.15",,"ns-1821.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,alb-securityscorecard.pathfactory.com,,,,,,
[x],sb.atlas.securityscorecard.io,"65.9.66.120, 65.9.66.47, 65.9.66.6, 65.9.66.111",,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],secops.team.securityscorecard.io,142.250.184.211,2a00:1450:4001:80b::2013,"ns1.google.com, dns-admin.google.com",NOERROR,,,ghs.googlehosted.com,,,,,,
[x],securityscorecard.com,"172.67.67.250, 104.25.39.102, 104.25.40.102","2606:4700:20::ac43:43fa, 2606:4700:20::6819:2766, 2606:4700:20::6819:2866","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,"kirk.ns.cloudflare.com, dana.ns.cloudflare.com","v=spf1 include:securityscorecard.com._nspf.vali.email include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email ~all, google-site-verification=4Yd0sJRBSvFQBv7_XoSuI13wpU3nyMAcfI-W-T0qrAU, google-site-verification=EXIr8fnEYGVQ_U_anxtHE5oj7IBbyTowmHnOKaffEho, 0ed1fe018afbd2d650f6164ad09e93f8, atlassian-domain-verification=VuPDkW1-7ToEJLnNyY7uDFOVcWu028CvH4ZKXqKGRLmbxogiQNuI44v5bPoliQPq, 0ed1fe018a443da7b7cdff4e2c9fd3b1d1725ae96e","aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt4.aspmx.l.google.com, alt3.aspmx.l.google.com",,,
[x],securityscorecard.io,"65.8.158.45, 65.8.158.70, 65.8.158.33, 65.8.158.36",,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],signup.securityscorecard.com,35.202.21.90,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,custom-proxy.leadpages.net,,,,,,letsencrypt.org
[x],smart.securityscorecard.io,147.135.46.73,,"ns-971.awsdns-57.net, awsdns-hostmaster.amazon.com",NOERROR,,,"whs.sendergen.com, www-c0.sendergen.com, vin3-relay.sendergen.com, dal1-relay.sendergen.com, hil3-relay.sendergen.com, vin1-relay.sendergen.com, hil2-relay.sendergen.com, vin2-relay.sendergen.com",,,,,,"digicert.com, letsencrypt.org"
[x],static.securityscorecard.io,"13.32.121.5, 13.32.121.72, 13.32.121.87, 13.32.121.106",,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],status.securityscorecard.com,52.215.192.131,,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,f9zwqyg9kgyd.stspg-customer.com,,,,,,"globalsign.com;, letsencrypt.org"
[x],support.securityscorecard.com,"104.16.53.111, 104.16.51.111",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,securityscorecard.zendesk.com,,"pod=27, v=spf1 include:mail.zendesk.com ~all",mail-pod-27.int.zendesk.com,,,
[x],tech.securityscorecard.com,"104.25.40.102, 104.25.39.102, 172.67.67.250","2606:4700:20::6819:2766, 2606:4700:20::6819:2866, 2606:4700:20::ac43:43fa","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],techblog.securityscorecard.io,"162.159.152.4, 162.159.153.4",,"dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,techblog.securityscorecard.com,,,,,,
[x],threatmap.securityscorecard.com,,,"dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],threatmap.securityscorecard.io,,,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],track.securityscorecard.io,,,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],trust.securityscorecard.com,"172.67.67.250, 104.25.39.102, 104.25.40.102","2606:4700:20::ac43:43fa, 2606:4700:20::6819:2866, 2606:4700:20::6819:2766","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],trust.securityscorecard.io,"18.160.10.110, 18.160.10.63, 18.160.10.69, 18.160.10.102",,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],uat.securityscorecard.com,"172.67.67.250, 104.25.39.102, 104.25.40.102","2606:4700:20::6819:2866, 2606:4700:20::ac43:43fa, 2606:4700:20::6819:2766","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],uat.trust.securityscorecard.com,,,"dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],ui-metadata.securityscorecard.io,"52.222.139.74, 52.222.139.83, 52.222.139.69, 52.222.139.39",,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
[x],url7333.securityscorecard.io,"167.89.123.124, 167.89.118.52, 167.89.123.54, 167.89.118.83",,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,sendgrid.net,"ns12.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns14.dnsmadeeasy.com","v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, p8bnb2lp424dkl3c4io1aemiei, mailru-verification: 2e3995fa8a7d00e0, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE","mx2.sendgrid.net, mx.sendgrid.net",,,"godaddy.com, amazonaws.com"
[x],video.securityscorecard.com,77.78.107.211,,"dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],wp.securityscorecard.com,"104.25.39.102, 104.25.40.102, 172.67.67.250","2606:4700:20::ac43:43fa, 2606:4700:20::6819:2766, 2606:4700:20::6819:2866","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],www.exchange.securityscorecard.io,,,"ns-1626.awsdns-11.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],www.partners.securityscorecard.com,,,"dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],www.trust.securityscorecard.com,"104.25.39.102, 172.67.67.250, 104.25.40.102","2606:4700:20::6819:2766, 2606:4700:20::6819:2866, 2606:4700:20::ac43:43fa","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],zendesk1.securityscorecard.io,"162.159.138.6, 162.159.128.7",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail1.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,mail.zendesk.com,,,
[x],zendesk3.securityscorecard.io,"162.159.128.7, 162.159.138.6",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail3.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,mail.zendesk.com,,,
[x],zendesk4.securityscorecard.io,"162.159.128.7, 162.159.138.6",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail4.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all,mail.zendesk.com,,,
