input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_self_signed,tls_mismatched,tls_subject_org_,final_url,csp_domains_
au.shop.gymshark.com,Gymshark Official Store | Activewear & Gym Clothes | Gymshark,200,135589,au.checkout.gymshark.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T07:38:33Z,2023-08-05T07:38:32Z,CN=au.checkout.gymshark.com,au.checkout.gymshark.com,au.checkout.gymshark.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c8ee585f113134f37bfd59256233ce1e,78bbc143be506d970596fcb3be42b1923cedc52bd35674c4a0270e719733b0b8,,ctls,au.checkout.gymshark.com,,443,https://au.shop.gymshark.com:443,https,cloudflare,text/html,GET,23.227.38.74,/,-1840324437,23.227.38.74,Shopify,3207,False,,,,,https://au.checkout.gymshark.com/,
auth.gymshark.com,Gymshark Official Store: Men's & Women's Workout Apparel,200,1130084,www.gymshark.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T08:40:53Z,2023-07-28T08:40:52Z,CN=www.gymshark.com,www.gymshark.com,www.gymshark.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0f957f2ff3dd89188170f1e4d8ed94b1,6b10c564f15330d292b4fbadb3fda2a7d0008a68069c0a57eaabd0cad1bc19b4,,ctls,www.gymshark.com,cloudflare,443,https://auth.gymshark.com:443,https,cloudflare,text/html,GET,104.17.171.55,/,-738705486,2606:4700::6811:eb58,Shopify,5922,False,True,,,,https://www.gymshark.com/,
autodiscover.s.gymshark.com,Gymshark Ltd - Sign In,200,24412,gymshark.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,True,ctls,gymshark.okta.com,,80,http://autodiscover.s.gymshark.com:80,http,nginx,text/html,GET,52.98.241.184,/,-1249852061,2603:1026:c0d:77::8,Nginx,501,False,,,,"Okta, Inc.",https://gymshark.okta.com/app/office365/exk4zet50dJGlIsDW4x6/sso/wsfed/passive?client-request-id=8e5c1810-8e75-db56-9e56-cbed06169a10&username=&wa=wsignin1.0&wtrealm=urn%3afederation%3aMicrosoftOnline&wctx=estsredirect%3d2%26estsrequest%3drQQIARAAjVE7aNtQAPSLHMVJ8zEZQsYiOiWVraefLYMHxw5Ejog_rR0nbTGyLNmyPs-WZDtWyN4pBLp5KLS0i8fQoWRppw7pkqFd0qVQKCEQKJ0CXWrTpWNuuDu44eBuDYMRmHhA_QNNTpikNA2Sijpx_8FZnguHV58ed4_L316WP9_gK8PwECy6kcbAcpuyY0QUZI0A0fS8tpuIRlHXMxEyIkjTdEVleG6SR1Ffjr4H4AKAKwBGUzGeiUOBhRxHCzxD8TxNR2IUpchCnSI5GXIky9XiZE3gIBlnBIZW6zLPy7XLqaVcqus16QkhR_fV31OzGnKsahu53hB7ATJKT8q4YmNzc6NIbQkHewXJpPbtNOpaTEYkUakkpj1Frkqs59c5xT_oxDL76kanmYbI1mR_o5VSnZJIFXVuu6hls-lHqZ09VGsU8-lGs5ZXrXZfNAqiFmPoTp7r0GbXfAx1VqsK2xrcYQfQFmOU4Wg9eb_SqlbEWKEwwu409CmGj5eykH2O4ait2nr9Igi-B8F1cJ6aToRCc-GZVex-4DYIXk-PPxlGQ7nkjwXx9M-blXdfw4Hz6Wiqtq7LtU0m3-_Hc760SxdLYxHKsJ3Ni1J5t9tL0RlpW_IGhSSbgCc4OMHxM3w2hIUDBJbOwysc_MLB85nA2ewd_ry4By7n2TlcMWXdcpfXDgm9XvWQodpE4pA4sNyqokxcTza7qksknhDjCuLZ0dHRx4XA7eLo56u3Hz59udm6XnpoNv2tdrGitRq5wbrHllJ6R9g17IrRUVtO1s2UG5D1W_pANdnkXw2,fonts.gstatic.com
backinstock.service.gymshark.com,,404,19,backinstock.service.gymshark.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-09T03:32:40Z,2023-07-08T03:32:39Z,CN=backinstock.service.gymshark.com,backinstock.service.gymshark.com,backinstock.service.gymshark.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9c070a9aa7b5cfe1c54d918a5e8bc50f,40e132b14272b2b1218041c219f2cea92dee79146bca6ce8bc6cd0738d52a872,,ctls,backinstock.service.gymshark.com,,443,https://backinstock.service.gymshark.com:443,https,,text/plain,GET,18.208.237.247,/,-138391155,34.231.42.99,,2,False,,,,,,
backinstock.service.staging.gymshark.com,,404,19,backinstock.service.staging.gymshark.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-26T22:02:35Z,2023-07-25T22:02:34Z,CN=backinstock.service.staging.gymshark.com,backinstock.service.staging.gymshark.com,backinstock.service.staging.gymshark.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2ca05044155b0eee3f59576f0f884cbe,85f66b949712e4bf744feb24267bd6d5925def40e9c870adf724733f907c193c,,ctls,backinstock.service.staging.gymshark.com,,443,https://backinstock.service.staging.gymshark.com:443,https,,text/plain,GET,54.159.247.48,/,-138391155,23.23.98.157,,2,False,,,,,,
ca.gymshark.com,Gymshark Official Store: Men's & Women's Workout Apparel,200,464936,ca.gymshark.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-20T00:00:00Z,2024-04-17T23:59:59Z,CN=headless.gymshark.com,headless.gymshark.com,*.gymshark.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2732849fb5dc7ceafa44ba221e75b64b,c06947fececf9b8076964820dd6d787e9383c6ac42b08c52b497e715fb23c6ad,True,ctls,ca.gymshark.com,cloudfront,443,https://ca.gymshark.com:443,https,,text/html,GET,13.32.121.66,/,-2014527107,13.32.121.98,webpack,2,False,True,,,,,
ca.shop.gymshark.com,Gymshark Official Store: Men's & Women's Workout Apparel,200,2311658,ca.checkout.gymshark.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T07:42:33Z,2023-08-05T07:42:32Z,CN=ca.checkout.gymshark.com,ca.checkout.gymshark.com,ca.checkout.gymshark.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fb1c8628bb73194d01cdd926185b5176,e96b1707d9c976605d4bb33804d7c01c6f78bdd33fc93ab8d3bee3fe1216130d,,ctls,ca.checkout.gymshark.com,,443,https://ca.shop.gymshark.com:443,https,cloudflare,text/html,GET,23.227.38.74,/,-1840324437,23.227.38.74,Shopify,10486,False,,,,,https://ca.checkout.gymshark.com/,
ca.shop.staging.gymshark.com,Gymshark | Login required,200,6829,ca.shop.staging.gymshark.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-03T00:00:00Z,2024-03-31T23:59:59Z,CN=headless.staging.gymshark.com,headless.staging.gymshark.com,*.shop.staging.gymshark.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,9240ea268b44d4cf47df99a2ebea5223,6cfe4aa5d33c28adce0e6ae25a5b91f015559724c02a3cd02b731f68b2729b70,True,ctls,ca.shop.staging.gymshark.com,cloudfront,443,https://ca.shop.staging.gymshark.com:443,https,,text/html,GET,13.225.78.125,/,-159296785,13.225.78.124,webpack,1,False,True,,,,,
callback.develop.gymshark.com,,403,23,callback.develop.gymshark.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-09-11T23:59:59Z,CN=*.develop.gymshark.com,*.develop.gymshark.com,*.api.develop.gymshark.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,29c30fe68d7eeebe948290b35aaa9a22,a062db45dc527f21b7e1c923c1946d28facb5081b0a2fbbbc84e16bb1572adf9,True,ctls,callback.develop.gymshark.com,cloudfront,443,https://callback.develop.gymshark.com:443,https,,application/json,GET,18.66.122.62,/,968070783,18.66.122.85,Amazon Web Services,1,False,True,,,,,
callback.gymshark.com,,403,23,callback.gymshark.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-11-20T23:59:59Z,CN=callback.gymshark.com,callback.gymshark.com,callback.gymshark.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,9adbacf4690fdcc69b5cf681b5798334,bb7316edac6d45d227b12c7941b8c202ef909c693fda8d085ef91e51e7c10457,,ctls,callback.gymshark.com,cloudfront,443,https://callback.gymshark.com:443,https,,application/json,GET,18.66.122.26,/,968070783,18.66.122.80,Amazon Web Services,1,False,True,,,,,
