new,host,a,soa,status_code,aaaa,cname,caa,txt,cdn,cdn-name,ns,mx
[x],design.gymshark.com,"52.51.23.169, 63.33.17.94, 54.195.237.234, 205.251.192.103, 205.251.195.234, 205.251.197.159, 205.251.199.199","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",NOERROR,,zeroheight.com,,"google-site-verification=t_LCpWzpUE0xslgqAe-ypZAk6mTXVIvHd5hmPoIcofU, google-site-verification=mkBHGAPOxlk6pIgaGoEaFmHT3LRsGp7XjtZSWnztvDM, google-site-verification=4umc_CvDaQxDND9zzPeTDBna58WZAJv4eJQVA76409Y, MS=ms44942321, detectify-verification=969838a510dd75807234eecda55b8edc, v=spf1 include:_spf.google.com include:mail.zendesk.com include:19492330.spf04.hubspotemail.net include:sendgrid.net mx:amplemarket.com ~all",,,"ns-1991.awsdns-56.co.uk, ns-103.awsdns-12.com, ns-1002.awsdns-61.net, ns-1439.awsdns-51.org","alt3.aspmx.l.google.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, alt4.aspmx.l.google.com, aspmx.l.google.com"
[x],dev.gymshark.com,23.227.38.74,"ns1.dnsimple.com, admin.dnsimple.com, dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,shops.myshopify.com,"globalsign.com, letsencrypt.org, digicert.com",,,,,
[x],develop.gymshark.com,,"ns-1553.awsdns-02.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,"ns-1553.awsdns-02.co.uk, ns-518.awsdns-00.net, ns-221.awsdns-27.com, ns-1369.awsdns-43.org",
[x],develop.gymshark.io,,"ns-1588.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],deviceregistry.service.staging.gymshark.com,"3.216.57.230, 52.86.35.25, 67.202.47.151, 54.159.247.48, 23.23.98.157","ns-251.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],discount-code-minter.gymshark.com,18.210.5.191,"ns-294.awsdns-36.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"ns-1444.awsdns-52.org, ns-1622.awsdns-10.co.uk, ns-294.awsdns-36.com, ns-947.awsdns-54.net",
[x],dk.pwks.gymshark.io,23.20.192.70,"ns-1532.awsdns-63.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],dk.shop.staging.gymshark.com,"13.225.78.125, 13.225.78.3, 13.225.78.124, 13.225.78.11","ns-251.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],dnk.staging.gymshark.com,23.227.38.74,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,shops.myshopify.com,"digicert.com, letsencrypt.org, globalsign.com",,,,,
[x],docs.develop.gymshark.com,"143.204.215.17, 143.204.215.57, 143.204.215.75, 143.204.215.15","ns-1553.awsdns-02.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],dsvnetsuite.service.staging.gymshark.io,"67.202.47.151, 3.216.57.230, 52.86.35.25, 54.159.247.48, 23.23.98.157","ns-1588.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],dyncontent.gymshark.com,"13.249.9.61, 13.249.9.123, 13.249.9.13, 13.249.9.18","ns-1398.awsdns-46.org, awsdns-hostmaster.amazon.com",NOERROR,,d27gzwrcfzrdf.cloudfront.net,,,True,cloudfront,"ns-817.awsdns-38.net, ns-1398.awsdns-46.org, ns-350.awsdns-43.com, ns-2012.awsdns-59.co.uk",
[x],email.gymshark.com,"68.178.252.20, 173.201.193.133, 173.201.193.5, 173.201.193.20, 173.201.193.148, 45.40.140.6, 45.40.130.41, 45.40.130.40","cns1.secureserver.net, dns.jomax.net",NOERROR,,email.secureserver.net,,,,,,
[x],enterpriseregistration.gymshark.com,20.190.137.40,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.akadns.net",,,True,azure,,
[x],eu.pwks.gymshark.io,75.101.233.105,"ns-1532.awsdns-63.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],eu.saved-items.api.gymshark.com,"52.58.103.114, 52.58.87.180","ns-1737.awsdns-25.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],eu.shop.gymshark.com,,"ns-294.awsdns-36.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],eu.shop.staging.gymshark.com,"13.225.78.125, 13.225.78.11, 13.225.78.124, 13.225.78.3","ns-251.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],events-booking.api.gymshark.com,"54.198.84.103, 54.90.23.11, 34.231.42.99, 52.6.80.188, 18.208.237.247","ns-1737.awsdns-25.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],events-booking.api.staging.gymshark.com,"54.159.247.48, 67.202.47.151, 3.216.57.230, 23.23.98.157, 52.86.35.25","ns-251.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],events.platform.gymshark.com,"52.6.80.188, 54.198.84.103, 18.208.237.247, 54.90.23.11, 34.231.42.99","ns-1900.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],events.platform.staging.gymshark.com,"3.216.57.230, 54.159.247.48, 52.86.35.25, 23.23.98.157, 67.202.47.151","ns-251.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],experian.gymshark.com,178.62.27.199,"ns-2016.awsdns-60.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,phplaravel-89108-249735.cloudwaysapps.com,,,,,,
[x],features.develop.gymshark.com,"13.32.99.20, 13.32.99.58, 13.32.99.66, 13.32.99.91","ns-1553.awsdns-02.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],features.staging.gymshark.com,"13.32.121.96, 13.32.121.106, 13.32.121.6, 13.32.121.25","ns-251.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],fi.gymshark.com,23.227.38.74,"dns1.p06.nsone.net, hostmaster.nsone.net, ns1.dnsimple.com, admin.dnsimple.com",NOERROR,,"gymshark-fi.myshopify.com, shops.myshopify.com","globalsign.com, letsencrypt.org, digicert.com",,,,,
[x],fi.pwks.gymshark.io,52.4.212.54,"ns-1532.awsdns-63.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],fi.shop.gymshark.com,"13.32.121.51, 13.32.121.66, 13.32.121.74, 13.32.121.98","ns-294.awsdns-36.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],fi.shop.staging.gymshark.com,"13.225.78.11, 13.225.78.125, 13.225.78.124, 13.225.78.3","ns-251.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],files.gymshark.com,"96.16.53.201, 96.16.53.214","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:480:c::210:f185, 2a02:26f0:480:c::210:f196","login.secureserver.net, wildcard-sni-only.login.secureserver.net.edgekey.net, e64311.dsca.akamaiedge.net",,,,,,
[x],fr.checkout.gymshark.com,23.227.38.74,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,shops.myshopify.com,"letsencrypt.org, digicert.com, globalsign.com",,,,,
[x],fr.gymshark.com,23.227.38.74,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,shops.myshopify.com,"globalsign.com, digicert.com, letsencrypt.org",,,,,
[x],fr.pwks.gymshark.io,35.173.111.191,"ns-1532.awsdns-63.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],fr.shop.gymshark.com,"13.227.219.97, 13.227.219.60, 13.227.219.95, 13.227.219.80","ns-294.awsdns-36.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],fr.shop.staging.gymshark.com,"13.225.78.11, 13.225.78.3, 13.225.78.125, 13.225.78.124","ns-251.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],frontend-training-priscilla.develop.gymshark.com,,,NOERROR,,,,,,,,
[x],frontend-training-sumaya.develop.gymshark.com,,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,"2600:1f16:204:f102:f91f:e576:7b67:9d3a, 2600:1f16:204:f100:2100:720:55a8:df93",gymshark.netlifyglobalcdn.com,,,,,,
[x],fsdkim.gymshark.com,,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,,spfmx3.domainkey.freshemail.io,,v=spf1 include:sendgrid.net ip4:3.222.0.24/29 ip4:3.120.181.200/29 ip4:3.7.25.40/29 ip4:3.25.47.0/29 ~all,,,,"mx.sendgrid.net, mxa.freshdesk.com, mxb.freshdesk.com"
[x],gb.pwks.gymshark.io,35.173.54.153,"ns-1532.awsdns-63.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],gdpr.gymshark.com,,"ns-131.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"ns-1459.awsdns-54.org, ns-1768.awsdns-29.co.uk, ns-733.awsdns-27.net, ns-131.awsdns-16.com",
[x],grafana.k8s.develop.gymshark.com,,"ns-1553.awsdns-02.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],gsadmin.gymshark.com,134.213.108.17,"ns-294.awsdns-36.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],gsinsiders.gymshark.com,"34.204.240.76, 52.6.198.172, 35.175.94.152","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,"external-lb-01.fuelcycle.io, production-v1-external-lb-01-142542950.us-east-1.elb.amazonaws.com",,,,,,
[x],gymshark.com,23.227.38.65,"ns-294.awsdns-36.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"768A5D177E, MS=ms54108504, ZOOM_verify_GCmrKqPkS1mEVoY35z5rIQ, adobe-idp-site-verification=6f9c128b7de6d610f59b8e09d0c6e17bb8c2c358c79ec9dfa0f8ff7e58e73a22, adobe-sign-verification=9196465efaa198d57b080529d28ecda7, apple-domain-verification=2iCba3NvREeEGLrD, atlassian-domain-verification=T0oWTcuY8b8iYmfhPqFYyFoPGkxmQpFBjKARY0pVpnDUYfjnqsBbywHQ0L+VsEv2, fabric_verify_gymshark, facebook-domain-verification=srgiv2xr8n7xzcmhf8gc0orab8rtnp, globalsign-domain-verification=4xTYBen8n6gZOKJejIjAnOmlkExelhHvyzXthBgKqs, google-site-verification=2JmLjOtnXSgYTSKyIGQTHMHBGpa22zJ825w-hTOmqHE, google-site-verification=B3tDbKfzDdQeY1e4xB-sZF18_TR3jIqXLgzYBQ-ukPQ, google-site-verification=N6DjWtF6eBrBSqctUyDb2-kL614YNLYvRvM824heRI0, h1-domain-verification=W7p2RaCvGm3onVNmcc7p4SRKTiKKKgY7ZmhMyvrnWtqhvjvG, mixpanel-domain-verify=6797d266-7add-4b89-a2ce-1b9bacafd40b, onetrust-domain-verification=4ccea19831264c1f958fae84cc296bfa, v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all, wrike-verification=MjA5NDAyMjo3Mjg1NzU4ODJjZTg5MDI2OTY0MThjMjM4ZmMxM2U2YmM4MjQ5NGYxZjI0NTRkNjRiNjEwMDQ1ODliMDNkNzEx, 42b&VLSrCJnJP&KsYaOmTUc*LsVLfnE#BLXG!Ucy5p^L!MrtS&LRQ0TA7duOO$ZS5Rtg@EO!aa%FXmY25@muSng2hAV%AfCK9BL, 6QaKKcNuHGb9rsNTLJD4ULGC3TLv1t6TRUw94i5cN5c=",,,"ns-947.awsdns-54.net, ns-1444.awsdns-52.org, ns-1622.awsdns-10.co.uk, ns-294.awsdns-36.com","mx07-005a6901.pphosted.com, mx08-005a6901.pphosted.com"
[x],gymshark.io,"52.95.142.44, 205.251.193.210, 205.251.195.96, 205.251.196.28, 205.251.199.37","ns-1052.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"ns-1829.awsdns-36.co.uk, ns-864.awsdns-44.net, ns-466.awsdns-58.com, ns-1052.awsdns-03.org",
[x],headless.develop.gymshark.com,"13.227.219.7, 13.227.219.105, 13.227.219.20, 13.227.219.74","ns-1553.awsdns-02.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],headless.gymshark.com,"13.32.121.74, 13.32.121.51, 13.32.121.66, 13.32.121.98","ns-294.awsdns-36.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],headless.staging.gymshark.com,"18.244.155.44, 18.244.155.38, 18.244.155.33, 18.244.155.98","ns-251.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,
[x],ie.pwks.gymshark.io,54.145.200.188,"ns-1532.awsdns-63.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],img.gymshark.com,"151.101.2.0, 151.101.66.0, 151.101.130.0, 151.101.194.0","ns1.fastly.net, hostmaster.fastly.com",NOERROR,"2a04:4e42::512, 2a04:4e42:200::512, 2a04:4e42:400::512, 2a04:4e42:600::512","gymshark.san.cloudinary.com, s5-cloudinary-pin.map.fastly.net",,,True,fastly,,
