input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_expired,cdn_name,cdn,webserver,tls_wildcard_certificate,final_url,csp_domains_,tls_mismatched,tls_emails_,location,tls_self_signed
access.lib.harvard.edu,Error,404,139,AS14618,AMAZON-AES,US,3.228.0.0/17,access.lib.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-31T00:00:00Z,2024-04-30T23:59:59Z,"CN=access2.lib.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",access2.lib.harvard.edu,President and Fellows of Harvard College,access.lib.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,f68a29eeed35a1d247e88763f9194d63,acdc670bb788b194f0099f4886708ceb9f307145a94c4c4900b8673ee1793cd4,ctls,access.lib.harvard.edu,443,https://access.lib.harvard.edu:443,https,text/html,GET,3.224.117.222,/,1593207841,35.168.109.162,Node.js,11,False,,,,,,,,,,,
access2.hz.lib.harvard.edu,Error,404,139,AS14618,AMAZON-AES,US,3.228.0.0/17,access2.hz.lib.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-31T00:00:00Z,2024-04-30T23:59:59Z,"CN=access2.lib.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",access2.lib.harvard.edu,President and Fellows of Harvard College,access.lib.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,f68a29eeed35a1d247e88763f9194d63,acdc670bb788b194f0099f4886708ceb9f307145a94c4c4900b8673ee1793cd4,ctls,access2.hz.lib.harvard.edu,443,https://access2.hz.lib.harvard.edu:443,https,text/html,GET,3.224.117.222,/,1593207841,35.168.109.162,Node.js,11,False,,,,,,,,True,,,
access2.lib.harvard.edu,Error,404,139,AS14618,AMAZON-AES,US,34.192.0.0/12,access2.lib.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-31T00:00:00Z,2024-04-30T23:59:59Z,"CN=access2.lib.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",access2.lib.harvard.edu,President and Fellows of Harvard College,access.lib.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,f68a29eeed35a1d247e88763f9194d63,acdc670bb788b194f0099f4886708ceb9f307145a94c4c4900b8673ee1793cd4,ctls,access2.lib.harvard.edu,443,https://access2.lib.harvard.edu:443,https,text/html,GET,34.203.103.252,/,1593207841,3.224.117.222,Node.js,11,False,,,,,,,,,,,
accessibility.harvard.edu,University Disability Resources,200,43872,AS20940,AKAMAI-ASN1,NL,23.8.0.0/13,accessibility.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-22T22:16:15Z,2023-07-21T22:16:14Z,CN=accessibility.harvard.edu,accessibility.harvard.edu,,accessibility.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e243c5b32c9d1b8fba47fdf61cf923af,1662a04a22bf3a008a1b7de966284d48f524fbac749408cce1aa05daf2668570,ctls,accessibility.harvard.edu,443,https://accessibility.harvard.edu:443,https,text/html,GET,23.2.13.25,/,652649909,23.2.13.57,Red Hat Gluster,427,False,,,,,,,,,,,
accessibility.law.harvard.edu,404 - Not Found,404,3983,AS14618,AMAZON-AES,US,52.86.0.0/15,oops.symplicity.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-17T00:00:00Z,2023-10-20T23:59:59Z,"CN=*.symplicity.com, O=SYMPLICITY CORPORATION, L=Arlington, ST=Virginia, C=US",*.symplicity.com,SYMPLICITY CORPORATION,symplicity.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,a4fcd50b2ba03fa7e8009c13ed27065f,dc02d0ae1d3bbbf98608c4546796da43360ff8a7414fb42806cefc5496139b43,ctls,oops.symplicity.com,443,https://accessibility.law.harvard.edu:443,https,text/html,GET,52.86.201.135,/,,52.86.196.75,HSTS,103,False,,,,Apache,True,https://oops.symplicity.com/404/,,,,,
account.rc.fas.harvard.edu,RC Portal,200,11515,AS1742,HARVARD-UNIV,US,140.247.152.0/24,account.rc.fas.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-16T00:00:00Z,2024-04-15T23:59:59Z,"CN=portal.rc.fas.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",portal.rc.fas.harvard.edu,President and Fellows of Harvard College,portal.rc.fas.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,a1e9bd14e0b174bfaab4905f4cbc06a4,b2472ffdf473b7dfe0d76c1f2ea1a3b3623b5e8a641b4f6a64580f59793289d8,ctls,account.rc.fas.harvard.edu,443,https://account.rc.fas.harvard.edu:443,https,text/html,GET,140.247.151.65,/,-2049473784,140.247.151.65,WordPress,221,False,,,,nginx/1.14.2,,https://account.rc.fas.harvard.edu/login/?next=/rcrt/submit_ticket,,True,,,
accounts.fas.harvard.edu,Welcome to HarvardKey,200,5363,AS14618,AMAZON-AES,US,34.232.160.0/23,accounts.fas.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-02T00:00:00Z,2024-01-02T23:59:59Z,"CN=key.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",key.harvard.edu,President and Fellows of Harvard College,prm.university.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,06e60c10f1c4675abf511dc905636814,6c8b4d8d38eb16ab517af58f88c674e72cf0e340922f8a4fd4c82e722beee870,ctls,accounts.fas.harvard.edu,443,https://accounts.fas.harvard.edu:443,https,text/html,GET,34.225.215.216,/,1306052266,23.23.157.28,Amazon Web Services,105,False,,,,,,,,,,,
acquia.projects.iq.harvard.edu,Web Site Not Found,404,970,AS14618,AMAZON-AES,US,34.232.160.0/23,acquia.projects.iq.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-12T00:00:00Z,2023-11-12T23:59:59Z,"CN=*.prod.acquia-sites.com, O=Acquia Inc, L=Boston, ST=Massachusetts, C=US",*.prod.acquia-sites.com,Acquia Inc,prod.acquia-sites.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8d671bac9a15ab6e5c53b306149c83c6,cbea1b40d41f4f1b4edbe253e32bba76ec1378b18fd966ccc6e35f619885f5aa,ctls,acquia.projects.iq.harvard.edu,443,https://acquia.projects.iq.harvard.edu:443,https,text/html,GET,34.232.27.163,/,-1883206912,34.232.27.163,Nginx,27,False,,,,nginx,True,,,True,,,
adams.harvard.edu,Web Site Not Found,404,970,AS14618,AMAZON-AES,US,54.221.0.0/16,adams.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-03-08T23:59:59Z,"CN=*.devcloud.acquia-sites.com, O=Acquia Inc, L=Boston, ST=Massachusetts, C=US",*.devcloud.acquia-sites.com,Acquia Inc,devcloud.acquia-sites.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3abf9545c6a9c023bff5a88e62f520b9,f9055b3e2828b67c4b036045332b5dba0840d0aa3fb07cae8999559522862567,ctls,adams.harvard.edu,443,https://adams.harvard.edu:443,https,text/html,GET,54.221.225.67,/,-1883206912,54.221.225.67,Nginx,27,False,,,,nginx,True,,,True,,,
adfsdev.harvard.edu,Not Found,404,315,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.160.0.0/11,adfsdev.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-04T00:00:00Z,2024-04-03T23:59:59Z,"CN=adfsdev.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",adfsdev.harvard.edu,President and Fellows of Harvard College,p1-uni-adfs01.huitdev.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,82f379390a8276335a4a1f216a89e962,cb90fc133cb118aac853289f334dd96ff38a0d97930be201d1d9a25048311275,ctls,adfsdev.harvard.edu,443,https://adfsdev.harvard.edu:443,https,text/html,GET,52.186.39.217,/,225052475,52.186.39.217,Microsoft HTTPAPI:2.0,7,False,,azure,True,Microsoft-HTTPAPI/2.0,,,,,,,
admin-hms.hms.harvard.edu,Sign In,200,27274,AS40127,LMANET,US,134.174.0.0/16,sso.med.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=sso.med.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",sso.med.harvard.edu,President and Fellows of Harvard College,itwvfspp04.med.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,d677caddec24e19dd2d23c55a9a48c1d,51cdb15c55d8918dc073f5fd86076db57fc9ef33e427d030d6af68f9918571cf,ctls,sso.med.harvard.edu,80,http://admin-hms.hms.harvard.edu:80,http,text/html,GET,134.174.145.216,/,837633504,134.174.145.216,Microsoft HTTPAPI:2.0,672,False,,,,Microsoft-HTTPAPI/2.0 Microsoft-HTTPAPI/2.0,,https://sso.med.harvard.edu/adfs/ls?SAMLRequest=fZHBbsIwDIbvPMXUO21ooYQIkNiYNiQGFXQ77IJCk9BIbdLFKdrjLzSbNnbA8sWxv1%2F%2B4ynQumrIorWl2vGPloPt3bn4rCsFpGvOgtYooilIIIrWHIgtyH7xsiZxiEhjtNWFroJ%2F2G2KAnBjpVYeWy1nwXbzuN4%2BrTYHPoxTSlOMUFpghmgi8ETgIkknYyTEkQ0TPBIDPPboGzfgdGaBkw16Xg2g5SsFlirr3lGc9NGoP0A5wiSOXb57dOnMSkVth5fWNkCiCECHNWdhSc2ZGhZy1kaUCYgq8FT2bfheKibV6bbPox8C8pznWT%2Fb7nMvsvjx%2F6AVtDU3e27OsuCvu%2FXvKmUNV2tcvjWiBQTzTmN6qUln1szdrKjoCUrZHNxJ2DT62%2B358vrO8y8%3D&RelayState=https%3A%2F%2Fhms.harvard.edu%2Fuser%2Flogin&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&Signature=nW2F%2FEnn8AHoSfO%2BKjFoVgQPvpkhSsNUlHz768ASVkipw8hwNrY3TdO9as%2FEQpEZvKL14usoKV%2FpfaEQjVrmnDqvl6YYJ6sTcD80BskwXLwbMjwJqiNUVlh7UKWyZzdPjeplvsUUOOYAECNRaqon01YimIVYU0eU6rPXvCD8E0RRtsz8%2FPp0C6m5HbadKRiisnLwXzFW8zPnOIr59RR%2FEp5fMnll43v9P64gglrPfz6zswPU5YP9dPyH6qL6oDxsm0ffRBvvWJwkdwz3hrtvnkBi4SfOw6xq8giZpDYeZq31EeyFuhbxowjm7KpHMDu9hZBdpgmOxw1ytUzEv3AEUQ%3D%3D,api-2f8a17a9.duosecurity.com,,,,
admin.dce.harvard.edu,,200,121,AS1742,HARVARD-UNIV,US,140.247.128.0/17,admin.dce.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2022-08-12T00:00:00Z,2023-08-12T23:59:59Z,"CN=dceweb.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",dceweb.harvard.edu,President and Fellows of Harvard College,dceweb.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,71d6456cd25449bb3871b8a31c5eb7ff,bf890f0fa3b50da11c3367ae17231928bd4a502cdf46def57ac3b75308d4a10d,ctls,admin.dce.harvard.edu,443,https://admin.dce.harvard.edu:443,https,text/html,GET,140.247.198.17,/,-26590649,140.247.198.17,Windows Server,5,False,,,,Microsoft-IIS/8.5,,,URL=https://dceweb.harvard.edu/prod/gowlogn3.taf,True,,,
admin.myce.hms.harvard.edu,HMS CME Admin Portal Login,200,7415,AS14618,AMAZON-AES,US,34.232.160.0/23,admin.myce.hms.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-28T00:00:00Z,2023-10-28T23:59:59Z,"CN=myce.hms.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",myce.hms.harvard.edu,President and Fellows of Harvard College,admin.myce.hms.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,c7e5581e51f35142b3055760357261dd,f61e765330c474aca3c8b59a08bb16038a29ef25f2e908a22b23a9e88a8af93f,ctls,admin.myce.hms.harvard.edu,443,https://admin.myce.hms.harvard.edu:443,https,text/html,GET,34.230.159.125,/,-801493740,3.230.124.181,PHP:7.2.24,243,False,,,,Apache/2.4.46 () OpenSSL/1.0.2k-fips PHP/7.2.24,,https://admin.myce.hms.harvard.edu/portal,,,,,
admissions.gsd.harvard.edu,Home - Harvard Graduate School of Design,200,182662,AS14618,AMAZON-AES,US,34.202.28.0/23,www.gsd.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-26T15:27:38Z,2023-07-25T15:27:37Z,CN=www.gsd.harvard.edu,www.gsd.harvard.edu,,www.gsd.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8a03144a0d74f36460c94da033e78bba,03f8f2e0c4922c9a66c2f8d780cc26af1693467f8207abb7ed7248e7ec6f7b98,ctls,www.gsd.harvard.edu,443,https://admissions.gsd.harvard.edu:443,https,text/html,GET,34.198.122.35,/,364426871,34.198.122.35,Yoast SEO:19.14,3254,False,,,,nginx,,https://www.gsd.harvard.edu/,,,,,
admissions.hms.harvard.edu,Harvard Medical School,200,30849,AS19551,AS19551,Unknown,45.60.172.0/23,admissions.hms.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-08T03:58:18Z,2023-11-04T03:58:18Z,CN=imperva.com,imperva.com,,imperva.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,e7b08e1fbe1e65772f44a78fb6ae4b6b,83bdaecd06b8455c164279c0003c9502793d182491c6cf387be7b248f010edf4,ctls,admissions.hms.harvard.edu,443,https://admissions.hms.harvard.edu:443,https,text/html,GET,45.60.80.9,/,-1385596207,45.60.80.9,Windows Server,632,False,,incapsula,True,Microsoft-IIS/10.0,True,https://admissions.hms.harvard.edu/Security/Login.aspx?ReturnUrl=%2f,,True,,,
admissions.sph.harvard.edu,Privacy Notice,200,2529,AS14618,AMAZON-AES,US,34.202.28.0/23,admissions.sph.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-20T00:00:00Z,2023-09-20T23:59:59Z,"CN=admissions.sph.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",admissions.sph.harvard.edu,President and Fellows of Harvard College,admissions.sph.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,2cfc64da974d4d33552093448ff1c0b4,1763a5b999cbdb85ee9a23c0b224b9613fe3485bc71934944efb128b6878de5f,ctls,admissions.sph.harvard.edu,443,https://admissions.sph.harvard.edu:443,https,text/html,GET,34.196.14.46,/,-410139213,3.217.253.54,HSTS,46,False,,,,Apache,,https://admissions.sph.harvard.edu/inquiryform,,,,,
ads.cfa.harvard.edu,Astrophysics Data System,200,3588,AS1742,HARVARD-UNIV,US,131.142.0.0/16,ads.cfa.harvard.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-22T00:00:00Z,2024-01-22T23:59:59Z,"CN=*.adsabs.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",*.adsabs.harvard.edu,President and Fellows of Harvard College,adsabs.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,7680b2dd85c36346a8afb2a98b89c681,732f44c67ba001fc668809328e466a9186bc8b1b34671faf31aae94027fba416,ctls,ads.cfa.harvard.edu,443,https://ads.cfa.harvard.edu:443,https,text/html,GET,131.142.198.210,/,-382149667,131.142.198.210,Nginx:1.14.1,189,False,,,,nginx/1.14.1,True,,,True,,,
ads.gse.harvard.edu,Student Support Services,200,17648,AS20940,AKAMAI-ASN1,NL,23.8.0.0/13,ads.gse.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-06T17:40:38Z,2023-08-04T17:40:37Z,CN=*.gse.harvard.edu,*.gse.harvard.edu,,*.gse.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f1c703d66960bc6c5239152ad9164792,ac230c4fe86d082d1eb18b1cd3febd843676e3d6b668408a8f54747d800e2fef,ctls,ads.gse.harvard.edu,443,https://ads.gse.harvard.edu:443,https,text/html,GET,23.2.13.57,/,607848874,23.2.13.25,Red Hat Gluster,118,False,,,,,True,,,,,,
