new,host,a,soa,has_internal_ips,internal_ips,status_code,cname,ns,cdn,cdn-name,mx,txt,caa,aaaa
[x],accounts.fas.harvard.edu,"23.23.157.28, 34.225.215.216","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,NOERROR,"key.harvard.edu, key.iam.harvard.edu, key1.iam.harvard.edu, key1-front-1a95z55lk28d1-960753089.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",,,,,,
[x],ace-web01.atsea.cloud.huit.harvard.edu,10.137.215.96,"ns-1517.awsdns-61.org, awsdns-hostmaster.amazon.com",True,10.137.215.96,NOERROR,,,,,,,,
[x],ace-web01.int.atsea.cloud.huit.harvard.edu,10.138.232.95,"ns-124.awsdns-15.com, awsdns-hostmaster.amazon.com",True,10.138.232.95,NOERROR,,,,,,,,
[x],ace-web02.atsea.cloud.huit.harvard.edu,10.137.214.236,"ns-1517.awsdns-61.org, awsdns-hostmaster.amazon.com",True,10.137.214.236,NOERROR,,,,,,,,
[x],ace-web02.int.atsea.cloud.huit.harvard.edu,10.138.230.155,"ns-124.awsdns-15.com, awsdns-hostmaster.amazon.com",True,10.138.230.155,NOERROR,,,,,,,,
[x],ace.med.harvard.edu,134.174.150.51,"edns2.med.harvard.edu, netops.hms.harvard.edu",,,NOERROR,orchestraweb.med.harvard.edu,,,,,,,
[x],ace10w1.cadm.harvard.edu,10.138.230.238,"ns-656.awsdns-18.net, awsdns-hostmaster.amazon.com",True,10.138.230.238,NOERROR,ace-web01.test.atsea.cloud.huit.harvard.edu,,,,,,,
[x],aceint.cadm.harvard.edu,"3.229.229.27, 44.206.15.18","ns-124.awsdns-15.com, awsdns-hostmaster.amazon.com",,,NOERROR,ace-lb-pub-int.int.atsea.cloud.huit.harvard.edu,,,,,,,
[x],acetst.cadm.harvard.edu,"52.21.253.243, 44.208.137.200, 35.170.147.185","ns-656.awsdns-18.net, awsdns-hostmaster.amazon.com",,,NOERROR,ace-lb-pub-test.test.atsea.cloud.huit.harvard.edu,,,,,,,
[x],aciref.rc.fas.harvard.edu,140.247.151.161,"iliaddns.rc.fas.harvard.edu, rchelp.fas.harvard.edu",,,NOERROR,,,,,,,,
[x],ackroyd.harvard.edu,128.103.208.29,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],ackroyd2.harvard.edu,128.103.200.198,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],acorn-dev.lib.harvard.edu,10.138.23.136,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",True,10.138.23.136,NOERROR,internal-acorn-dev-2057446685.us-east-1.elb.amazonaws.com,,,,,,,
[x],acorn-qa.lib.harvard.edu,10.137.165.84,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",True,10.137.165.84,NOERROR,internal-acorn-qa-117521171.us-east-1.elb.amazonaws.com,,,,,,,
[x],acorn.lib.harvard.edu,"10.137.167.222, 10.137.165.54, 10.137.166.212",,True,"10.137.167.222, 10.137.165.54, 10.137.166.212",NOERROR,internal-acorn-prod-1294291751.us-east-1.elb.amazonaws.com,,,,,,,
[x],acquia.dce.harvard.edu,23.21.64.187,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],acquia.projects.iq.harvard.edu,34.232.27.163,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],ad.fas.harvard.edu,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,"a16-64.akam.net, a11-67.akam.net, a6-66.akam.net, a1-171.akam.net, a10-66.akam.net, a7-65.akam.net",,,,,,
[x],ad.seas.harvard.edu,"10.139.133.160, 10.139.133.241",,True,"10.139.133.160, 10.139.133.241",NOERROR,"directory.seas.harvard.edu, internal-prod-l4lb-1238769766.us-east-1.elb.amazonaws.com",,,,,,,
[x],ada.harvard.edu,140.247.122.237,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],adams.harvard.edu,54.221.225.67,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],addev.ecommons.med.harvard.edu,134.174.145.95,"edns1.med.harvard.edu, netops.hms.harvard.edu, edns2.med.harvard.edu",,,NOERROR,,,,,,,,
[x],adfs.bidmc.harvard.edu,134.174.104.240,"ns1-external.caregroup.org, networkservices.caregroup.harvard.edu",,,NOERROR,,,,,,,,
[x],adfs.medlab.harvard.edu,52.170.168.185,"edns2.med.harvard.edu, netops.hms.harvard.edu, edns1.med.harvard.edu",,,NOERROR,,,True,azure,,,,
[x],adfsdev.harvard.edu,52.186.39.217,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,True,azure,,,,
[x],admanager.gse.harvard.edu,128.103.154.147,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],admin-apps.fas.harvard.edu,128.103.26.11,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],admin-hms.hms.harvard.edu,134.174.145.216,"edns2.med.harvard.edu, netops.hms.harvard.edu, edns1.med.harvard.edu",,,NOERROR,,,,,,,,
[x],admin.college.harvard.edu,,"ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,admin.college.harvard.edu.cdn.cloudflare.net,,,,,,,
[x],admin.dce.harvard.edu,140.247.198.17,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,"dceweb.harvard.edu, os.dce.harvard.edu",,,,,,,
[x],admin.fas.harvard.edu,140.247.30.41,,,,NOERROR,,,,,,,,
[x],admin.myce.hms.harvard.edu,"34.230.159.125, 3.230.124.181","ns-761.awsdns-31.net, awsdns-hostmaster.amazon.com",,,NOERROR,hms-admin-prod.cabem.com,,,,,,,
[x],admin.unix.fas.harvard.edu,140.247.232.123,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],admin1.tch.harvard.edu,10.7.34.74,,True,10.7.34.74,NOERROR,,,,,,,,
[x],admin2.tch.harvard.edu,10.7.34.43,"bdcnetnsg1.tch.harvard.edu, isddnsadmins-dl.childrens.harvard.edu",True,10.7.34.43,NOERROR,,,,,,31f29f0f01d89aeebcc225332a4d6c01b9,,
[x],admissions.gsd.harvard.edu,34.198.122.35,"ns-615.awsdns-12.net, awsdns-hostmaster.amazon.com",,,NOERROR,cluster.technolutions.net,,,,,google-site-verification=afsuE56DWfJTxJl5HJOlMlo0EuzSLoi1aZFMBAxaKys,letsencrypt.org,
[x],admissions.hms.harvard.edu,45.60.80.9,"ns1.incapdns.net, hostmaster.incapsula.com, ns1.x.incapdns.net",,,NOERROR,krmi9a6.x.incapdns.net,,True,incapsula,,,,
[x],admissions.sph.harvard.edu,"52.45.244.3, 34.196.14.46, 3.217.253.54","ns-41.awsdns-05.com, awsdns-hostmaster.amazon.com",,,NOERROR,webcampaigns-harvardsph.spectrumemp.com,,,,,,,
[x],ads.cfa.harvard.edu,131.142.198.210,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,adsabs0.cfa.harvard.edu,,,,,,,
[x],ads.gse.harvard.edu,"2.16.238.28, 2.16.238.19","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,"edge.projects.iq.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net",,,,,,,
[x],ads.harvard.edu,131.142.198.210,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,adsabs0.cfa.harvard.edu,,,,,,,
[x],adsabs.harvard.edu,131.142.198.210,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,adsabs0.cfa.harvard.edu,,,,,,,
[x],adsabs0.cfa.harvard.edu,131.142.198.210,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],advance.caadsint.harvard.edu,"10.138.226.31, 10.138.226.216, 10.138.225.254",,True,"10.138.226.31, 10.138.226.216, 10.138.225.254",NOERROR,advance.int.atsea.cloud.huit.harvard.edu,,,,,,,
[x],advancedleadership.harvard.edu,"198.49.23.145, 198.49.23.144, 198.185.159.144, 198.185.159.145","a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,"ext1-60ox.noc.harvard.edu, ext2-10wa.noc.harvard.edu",,,
[x],aeontest.hul.harvard.edu,40.123.43.131,"ns1-06.azure-dns.com, msnhst.microsoft.com",,,NOERROR,"harvardsb.aeon.atlas-sys.com, harvard109.eastus2.cloudapp.azure.com",,True,azure,,,,
[x],afamfolklore.fas.harvard.edu,34.225.185.242,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],africa.harvard.edu,"2.16.186.42, 2.16.186.32","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,"edge.projects.iq.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net",,,,,,,
[x],ai-hr.cyber.harvard.edu,128.103.64.94,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],aia.cfa.harvard.edu,131.142.18.202,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,kurasuta-0-0-dmz.cfa.harvard.edu,,,,,,,
[x],aids.harvard.edu,23.185.0.3,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,"2620:12a:8001::3, 2620:12a:8000::3"
[x],aikawalabs.bwh.harvard.edu,170.223.156.228,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,ocrouters.ext.prod-shared-aro-e2.partners.org,,,,,,,
[x],air.gse.harvard.edu,128.103.250.143,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],air.harvard.edu,"128.103.96.254, 23.211.133.66, 23.61.199.65, 193.108.91.171, 96.7.50.66, 84.53.139.67, 23.211.132.64","a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,chem.harvard.edu,"a16-64.akam.net, a7-65.akam.net, a6-66.akam.net, a1-171.akam.net, a10-66.akam.net, a11-67.akam.net",,,chem.harvard.edu,,,"2600:1401:1::42, 2600:1406:1b::40"
[x],air.mgh.harvard.edu,132.183.24.128,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],airflow.fas.harvard.edu,140.247.231.250,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],airlock.nmr.mgh.harvard.edu,155.52.242.20,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],akamai.cfa.harvard.edu,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],ald-2019.rc.fas.harvard.edu,140.247.151.9,"iliaddns.rc.fas.harvard.edu, rchelp.fas.harvard.edu",,,NOERROR,cns1.rc.fas.harvard.edu,,,,,,,
[x],alicetest.tch.harvard.edu,"134.174.12.37, 134.174.21.180, 134.174.21.140","bdcnetnsg1.tch.harvard.edu, isddnsadmins-dl.childrens.harvard.edu",,,NOERROR,chwebtest.tch.harvard.edu,"bdcnetnse1.tch.harvard.edu, ndcnetnse1.tch.harvard.edu, ns2.childrenshospital.org, ns1.childrenshospital.org",,,,,,
[x],almaapi-prod.lib.harvard.edu,"52.0.101.45, 35.172.81.155, 54.211.178.139","ns-1744.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,almaapi-prod.hz.lib.harvard.edu,,,,,,,
[x],aloha2.cfa.harvard.edu,131.142.198.93,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],alp.tch.harvard.edu,10.64.8.25,"bdcnetnsg1.tch.harvard.edu, isddnsadmins-dl.childrens.harvard.edu",True,10.64.8.25,NOERROR,,,,,,315591b61d0ff57caad2cea280c5d2b080,,
[x],alpha.huit.harvard.edu,"95.101.74.198, 95.101.74.220","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,"hwpi.harvard.edu, edge.hwpi.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net",,,,,,,
[x],altair.cfa.harvard.edu,131.142.24.231,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,cfa.harvard.edu,,,
[x],alumni-email.joslin.harvard.edu,134.174.245.227,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,mx2.joslin.harvard.edu,,,
[x],alumni.gsd.harvard.edu,"141.193.213.20, 141.193.213.21","darwin.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,2vc6mosq1if6.wpeproxy.com,,,,,,,
[x],alumni.harvard.edu,151.101.2.133,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,True,fastly,"mx0a-00171101.pphosted.com, mx0b-00171101.pphosted.com",v=spf1 ip4:128.103.109.33 ip4:128.103.229.181 ~all,,"2a04:4e42::645, 2a04:4e42:200::645"
[x],alumni.hks.harvard.edu,20.75.233.53,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,inbound-smtp.us-east-1.amazonaws.com,v=spf1 ip4:128.103.190.0/24 ip4:128.103.253.0/24 a:outbound1.hks.harvard.edu a:outbound2.hks.harvard.edu a:ksgmail2.harvard.edu a:netop2.ksg.harvard.edu a:ksgsmtp.harvard.edu include:amazonses.com ~all,,
[x],alumni.knet.hks.harvard.edu,20.75.233.56,,,,NOERROR,,,,,,,,
[x],alumni.mgh.harvard.edu,"132.183.170.108, 155.52.198.65",,,,NOERROR,,,,,,,,
[x],alumni.sph.harvard.edu,"104.17.134.199, 104.17.131.199, 104.17.130.199, 104.17.133.199, 104.17.132.199","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,"nonhosted.imodules.com, imodusorigin.imodules.com.cdn.cloudflare.net",,True,cloudflare,,,,"2606:4700::6811:82c7, 2606:4700::6811:86c7, 2606:4700::6811:85c7, 2606:4700::6811:84c7, 2606:4700::6811:83c7"
[x],alumnilogin.med.harvard.edu,134.174.150.97,"edns1.med.harvard.edu, netops.hms.harvard.edu, edns2.med.harvard.edu",,,NOERROR,,,,,,,,
[x],alvarezlab.wjh.harvard.edu,140.247.95.116,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],am.hks.harvard.edu,23.185.0.1,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],amadeus.cfa.harvard.edu,131.142.42.227,,,,NOERROR,,,,,,,,
[x],amanitabase.rc.fas.harvard.edu,140.247.64.142,,,,NOERROR,,,,,,,,
[x],amber.dfci.harvard.edu,134.174.140.86,,,,NOERROR,red.dfci.harvard.edu,,,,,,,
[x],amber.mgh.harvard.edu,132.183.161.23,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],amestest.law.harvard.edu,"18.66.112.24, 18.66.112.91, 18.66.112.73, 18.66.112.65","ns-356.awsdns-44.com, awsdns-hostmaster.amazon.com",,,NOERROR,d2lje4jorzoj17.cloudfront.net,"ns-1492.awsdns-58.org, ns-1940.awsdns-50.co.uk, ns-356.awsdns-44.com, ns-645.awsdns-16.net",True,cloudfront,,,,
[x],amicus.law.harvard.edu,52.3.28.81,"ns-754.awsdns-30.net, awsdns-hostmaster.amazon.com",,,NOERROR,hls-rp.xinspire.com,,,,,,,
[x],amp.rc.fas.harvard.edu,140.247.64.143,"iliaddns.rc.fas.harvard.edu, rchelp.fas.harvard.edu",,,NOERROR,,,,,,,,
[x],ams.hup.harvard.edu,"52.16.236.68, 54.194.201.83","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",,,NOERROR,pf-web-lb-1-720632271.eu-west-1.elb.amazonaws.com,,,,,,,
[x],amtmail.masco.harvard.edu,134.174.241.114,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],analytics-uat.rmf.harvard.edu,"104.18.98.81, 104.18.97.81","barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,True,cloudflare,,,,
[x],analytics.onlineearning.hms.harvard.edu,18.233.116.204,"edns2.med.harvard.edu, netops.hms.harvard.edu, edns1.med.harvard.edu",,,NOERROR,,,,,,,,
[x],analytics.rmf.harvard.edu,"104.18.98.81, 104.18.97.81","barbara.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,True,cloudflare,,,,
[x],analytics.stage.dcex.harvard.edu,52.204.90.0,"ns-1600.awsdns-08.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],andl.wjh.harvard.edu,"52.202.246.166, 3.215.150.64","ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,"andl.wjh.harvard.edu.c14694.campuspress.com, cloudflare-resolve-to.c14694.campuspress.com, harvard.us-east-1.lb.campuspress.com, produ-loadb-uqhly5yu8f4z-a3663446a8cdb9c0.elb.us-east-1.amazonaws.com",,,,,,,
[x],anesthesia.bidmc.harvard.edu,134.174.104.228,"ns1-external.caregroup.org, networkservices.caregroup.harvard.edu",,,NOERROR,,,,,,,,
[x],anesthesia.mgh.harvard.edu,132.183.70.51,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],aneurysm.mgh.harvard.edu,155.52.198.73,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],animal.law.harvard.edu,"141.193.213.20, 141.193.213.21","a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],annotations.harvard.edu,"95.100.111.154, 95.100.111.122","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,"edge.projects.iq.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net",,,,,,,
[x],ansibletower-dev-app01.cloudservices.huit.harvard.edu,10.137.242.10,,True,10.137.242.10,NOERROR,,,,,,,,
[x],antivirus.med.harvard.edu,134.174.150.51,"edns1.med.harvard.edu, netops.hms.harvard.edu",,,NOERROR,orchestraweb.med.harvard.edu,,,,,,,
[x],apex.fas.harvard.edu,"34.192.71.82, 54.225.225.215, 54.210.95.77","ns-1341.awsdns-39.org, awsdns-hostmaster.amazon.com",,,NOERROR,ords-adm-new-lb-pub-prod.ats.cloud.huit.harvard.edu,,,,,,,
[x],apex.harvard.edu,"52.71.183.60, 3.224.4.226, 34.227.127.190","ns-1341.awsdns-39.org, awsdns-hostmaster.amazon.com",,,NOERROR,"departments.fas.harvard.edu, sites.fas.harvard.edu, fas-redirect-lb-pub-prod.ats.cloud.huit.harvard.edu",,,,,,,
[x],apex.hms.harvard.edu,134.174.153.30,"edns2.med.harvard.edu, netops.hms.harvard.edu",,,NOERROR,itlvdwwlp01.med.harvard.edu,,,,,,,
[x],apex.huit.harvard.edu,140.247.195.124,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,webproxy.huit.harvard.edu,,,,,,,
[x],apex.stage.fas.harvard.edu,"10.137.148.92, 10.137.148.149, 10.137.147.215","ns-1526.awsdns-62.org, awsdns-hostmaster.amazon.com",True,"10.137.148.92, 10.137.148.149, 10.137.147.215",NOERROR,ords-adm-new-stage.stage.ats.cloud.huit.harvard.edu,,,,,,,
[x],apexpoi-app01.iam.harvard.edu,10.137.44.176,"ns-1243.awsdns-27.org, awsdns-hostmaster.amazon.com",True,10.137.44.176,NOERROR,,,,,,,,
[x],apexpoi-app01.stage.iam.harvard.edu,10.137.44.203,"ns-296.awsdns-37.com, awsdns-hostmaster.amazon.com",True,10.137.44.203,NOERROR,,,,,,,,
[x],apexpoi-public-prod.iam.harvard.edu,"44.205.28.29, 3.220.94.22, 3.89.175.126","ns-1243.awsdns-27.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],api-escalator.mgh.harvard.edu,170.223.157.197,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,ocrouters.ocprod.partners.org,,,,,,,
[x],api-mip-os.mgh.harvard.edu,170.223.191.141,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,erishaproxy.partners.org,,,,,,,
[x],api-wellman-os.mgh.harvard.edu,170.223.191.141,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],api.cfas.noc.harvard.edu,"18.66.97.71, 18.66.97.49, 18.66.97.109, 18.66.97.53","ns-1525.awsdns-62.org, awsdns-hostmaster.amazon.com",,,NOERROR,d2h0v0at9xgiee.cloudfront.net,"ns-1525.awsdns-62.org, ns-1762.awsdns-28.co.uk, ns-208.awsdns-26.com, ns-584.awsdns-09.net",True,cloudfront,,,,
[x],api.chs.harvard.edu,"35.227.196.32, 216.151.39.13, 216.151.39.14","ns3.chs.harvard.edu, localhost",,,NOERROR,,"ns14.usegroup.com, ns3.chs.harvard.edu, ns4.chs.harvard.edu, ns12.usegroup.com",True,google,,,,
[x],api.coursecatalog.dev.ats.cloud.huit.harvard.edu,,"ns-529.awsdns-02.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],api.coursecatalog.test.ats.cloud.huit.harvard.edu,,"ns-2029.awsdns-61.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],api.crossregistration.dev.ats.cloud.huit.harvard.edu,,"ns-529.awsdns-02.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],api.crossregistration.stage.ats.cloud.huit.harvard.edu,,"ns-1526.awsdns-62.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],api.crossregistration.test.ats.cloud.huit.harvard.edu,,"ns-2029.awsdns-61.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],api.dce.harvard.edu,"52.6.65.59, 54.210.153.109, 34.195.20.184","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,NOERROR,api-dce-pub-lb-1101911536.us-east-1.elb.amazonaws.com,,,,,,,
[x],api.facultyfinder.harvard.edu,134.174.145.205,"edns2.med.harvard.edu, netops.hms.harvard.edu",,,NOERROR,facultyfinder.harvard.edu,,,,,,,
[x],apitwist.childrens.harvard.edu,45.60.76.21,"ns1.impervadns.net, hostmaster.incapsula.com",,,NOERROR,vacdcnx.impervadns.net,,True,incapsula,,,,
