input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_issuer_org_,tls_subject_org_,tech_,csp_domains_,tls_wildcard_certificate,webserver,final_url
demo-preview.preview.fidentity.ch,,404,19,demo-preview.preview.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-11T14:46:16Z,2024-05-10T14:46:16Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,6d328bbf1a89b9773509ccd15b6ed576.eabfb44f9e84aae71febc82f98bd0016.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,7e4e14e98a1a07b3f89cd01c581fd2e5,84df707fd1105b39643b3487ec852b8b5428404948275bad3afd41235a1fdda1,ctls,demo-preview.preview.fidentity.ch,443,https://demo-preview.preview.fidentity.ch:443,https,text/plain,GET,194.182.166.97,/,-138391155,194.182.166.97,2,False,,,,,,,
demo.stage.fidentity.ch,Fidentity identification process,200,4830,demo.stage.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-03-18T03:54:23Z,2023-06-16T03:54:22Z,CN=demo.stage.fidentity.ch,demo.stage.fidentity.ch,demo.stage.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,a053fb6241ea8eeb14911a152906b4e2,7580fbda931a50a72e8ffa21d2998ecc0516a97483ca79ae3a009d202f1bef01,ctls,demo.stage.fidentity.ch,443,https://demo.stage.fidentity.ch:443,https,text/html,GET,194.88.197.87,/,-1394424910,194.88.197.87,1,False,Let's Encrypt,,HSTS,https:,,,https://demo.stage.fidentity.ch/api/v1/demo-registration
demobank2.stage.fidentity.ch,bekb Customer,200,5072,demobank2.stage.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-05-03T11:33:19Z,2023-08-01T11:33:18Z,CN=demobank2.stage.fidentity.ch,demobank2.stage.fidentity.ch,demobank2.stage.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,ad2fd878f219ffc0c5c5fa9286fa1abb,52dde81076623240baa5f63f726b5de915ea3d6b0b85a3087238188565d2b6dd,ctls,demobank2.stage.fidentity.ch,80,http://demobank2.stage.fidentity.ch:80,http,text/html,GET,194.88.197.87,/,-415786668,194.88.197.87,21,False,Let's Encrypt,,HSTS,https://demobank2.stage.fidentity.ch/api/v1/app/logger/csp,,,https://demobank2.stage.fidentity.ch/api/v1/demo-registration
demobank3.dev.fidentity.ch,Fidentity Error,403,1620,demobank3.dev.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-21T10:14:52Z,2023-07-20T10:14:51Z,CN=demobank3.dev.fidentity.ch,demobank3.dev.fidentity.ch,demobank3.dev.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,02c5738080b8216143872a6e8f692732,12dc77d5e32e86454a0340bb89d8ce31bad1b090f0b876bcb8245d777537debd,ctls,demobank3.dev.fidentity.ch,443,https://demobank3.dev.fidentity.ch:443,https,text/html,GET,194.182.166.97,/,61987700,194.182.166.97,56,False,Let's Encrypt,,Nginx,https://demobank3.dev.fidentity.ch/api/v1/app/logger/csp,,nginx,https://demobank3.dev.fidentity.ch/api/v1/demo-registration
dv.dev.fidentity.ch,,403,9,dv.dev.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-09T13:41:54Z,2023-07-08T13:41:53Z,CN=dv.dev.fidentity.ch,dv.dev.fidentity.ch,dv.dev.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,123c14f96d6788a5c0c778bdd11bca60,592034d46e8913393c64f37c30a76d67d79d84dfeeede14e5228fd711cd9d0c4,ctls,dv.dev.fidentity.ch,443,https://dv.dev.fidentity.ch:443,https,text/plain,GET,194.182.166.97,/,-942874359,194.182.166.97,1,False,Let's Encrypt,,,,,,
dv.preview.fidentity.ch,,403,9,dv.preview.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-13T11:54:14Z,2023-07-12T11:54:13Z,CN=dv.preview.fidentity.ch,dv.preview.fidentity.ch,dv.preview.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,fe4accbca064ec8c31f066097a618781,80a0d31c73d60a8f0ed5791318494dafa31f30c992271473d4fbdf7f8daf6935,ctls,dv.preview.fidentity.ch,80,http://dv.preview.fidentity.ch:80,http,text/plain,GET,194.182.166.97,/,-942874359,194.182.166.97,1,False,Let's Encrypt,,,,,,https://dv.preview.fidentity.ch/
equityhub.dev.fidentity.ch,Fidentity Error,403,1620,equityhub.dev.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-30T06:18:40Z,2023-07-29T06:18:39Z,CN=equityhub.dev.fidentity.ch,equityhub.dev.fidentity.ch,equityhub.dev.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,1c9d6e5e0a3f3b215f3572a0164fc570,adf059a4063c9c5bbfc0ccba109dab5b96ad331d9bfcce5db59ceb9f634d4f85,ctls,equityhub.dev.fidentity.ch,443,https://equityhub.dev.fidentity.ch:443,https,text/html,GET,194.182.166.97,/,411992704,194.182.166.97,56,False,Let's Encrypt,,Nginx,https:,,nginx,https://equityhub.dev.fidentity.ch/api/v1/demo-registration
evernym-stage.fidentity.ch,Fidentity Error,403,1620,evernym-stage.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-04-25T03:42:57Z,2023-07-24T03:42:56Z,CN=evernym.stage.fidentity.ch,evernym.stage.fidentity.ch,evernym.stage.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,cf8e9c7857a4b636851848befabfd8f1,b20b219eacedc6d2599718588ce9bca8620d660ee3750a10e7572035b3729dc3,ctls,evernym-stage.fidentity.ch,80,http://evernym-stage.fidentity.ch:80,http,text/html,GET,194.88.197.87,/,-383321609,194.88.197.87,56,False,Let's Encrypt,,HSTS,https:,,,https://evernym-stage.fidentity.ch/api/v1/demo-registration
evernym.dev.fidentity.ch,Fidentity Error,403,1620,evernym.dev.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-06T07:13:40Z,2023-07-05T07:13:39Z,CN=evernym.dev.fidentity.ch,evernym.dev.fidentity.ch,evernym.dev.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,797ba6f8ab17f0b28b2857d6e3a2f8ce,6dddf0e986dec311ca30929cbd6f9c71589d7be22ea4e5dfd8f2ead465f44058,ctls,evernym.dev.fidentity.ch,80,http://evernym.dev.fidentity.ch:80,http,text/html,GET,194.182.166.97,/,913237595,194.182.166.97,56,False,Let's Encrypt,,Nginx,https:,,nginx,https://evernym.dev.fidentity.ch/api/v1/demo-registration
flowable.dev.fidentity.ch,Fidentity Error,403,1620,flowable.dev.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-09T01:52:32Z,2023-07-08T01:52:31Z,CN=flowable.dev.fidentity.ch,flowable.dev.fidentity.ch,flowable.dev.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,6831e882a8dcb51535c35b6eead5fe05,2502f9ea6ce94a4b5b5f15188b2fd2f792a6dde07a4b9a2bc4a59a6044509103,ctls,flowable.dev.fidentity.ch,443,https://flowable.dev.fidentity.ch:443,https,text/html,GET,194.182.166.97,/,1675538175,194.182.166.97,56,False,Let's Encrypt,,Nginx,https:,,nginx,https://flowable.dev.fidentity.ch/api/v1/demo-registration
freelancermap.dev.fidentity.ch,Fidentity Error,403,1620,freelancermap.dev.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-09T02:03:20Z,2023-07-08T02:03:19Z,CN=freelancermap.dev.fidentity.ch,freelancermap.dev.fidentity.ch,freelancermap.dev.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,90167cd036e6c5ab0b68bc184089f039,7ca6111b15f979b0a7c166dc4291ad12eef080b528ad691d2d0fa4706c297836,ctls,freelancermap.dev.fidentity.ch,443,https://freelancermap.dev.fidentity.ch:443,https,text/html,GET,194.182.166.97,/,2108548922,194.182.166.97,56,False,Let's Encrypt,,Nginx,https:,,nginx,https://freelancermap.dev.fidentity.ch/api/v1/demo-registration
h-135-197-132-11.loadtest.fidentity.ch,,404,19,h-135-197-132-11.loadtest.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-10T08:38:56Z,2024-05-09T08:38:56Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,21fbd7a204c7a33d46d554bc2abc1c7a.539b35598ea2b60f0153e8c71aa51054.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,1718f3fbed9171623a8b4c5dcee96b5d,48905c1b23fafb138cc444b96ebfb4bdafbbbc292dcec5690e4f28afac6bb1d6,ctls,h-135-197-132-11.loadtest.fidentity.ch,443,https://h-135-197-132-11.loadtest.fidentity.ch:443,https,text/plain,GET,194.182.164.157,/,-138391155,194.182.164.157,2,False,,,,,,,
https://bfi.app.fidentity.ch/api/v1/app/logger/csp,Fidentity Error,403,1620,bfi.app.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-03-16T03:16:24Z,2023-06-14T03:16:23Z,CN=bfi.app.fidentity.ch,bfi.app.fidentity.ch,bfi.app.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,3d6151335f03912f28364821fe4f51e2,d5d7694d2a64e2a195fb2b86d1b609b73c3687e622d8c79895ae977b639b57c6,ctls,bfi.app.fidentity.ch,80,http://bfi.app.fidentity.ch:80/api/v1/app/logger/csp,http,text/html,GET,194.88.197.87,/api/v1/app/logger/csp,-807639958,194.88.197.87,56,False,Let's Encrypt,,HSTS,https:,,,https://bfi.app.fidentity.ch/api/v1/app/logger/csp
ingress.loadtest.fidentity.ch,,401,17,ingress.loadtest.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-27T08:35:31Z,2023-06-25T08:35:30Z,CN=ingress.loadtest.fidentity.ch,ingress.loadtest.fidentity.ch,ingress.loadtest.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,829d224223e2f9161b0e71d93dba1f35,d8f8d8f92aa56a2e3758f1b0478b16538e7a9eb20f0ff71a9ac8421a8f62f445,ctls,ingress.loadtest.fidentity.ch,443,https://ingress.loadtest.fidentity.ch:443,https,text/plain,GET,194.182.164.157,/,797663971,194.182.164.157,2,False,Let's Encrypt,,Basic,,,,
kpmg.app.fidentity.ch,404 Not Found,404,146,,,,,,,,,,,,,,,,,,,80,http://kpmg.app.fidentity.ch:80,http,text/html,GET,194.88.197.87,/,1494302000,194.88.197.87,8,False,,,,,,,
kpmg.dev.fidentity.ch,Fidentity Error,403,1620,kpmg.dev.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-31T00:29:48Z,2023-06-29T00:29:47Z,CN=kpmg.dev.fidentity.ch,kpmg.dev.fidentity.ch,kpmg.dev.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,a471c87bdbacf5cebbb96d6d5f245f92,52fcbb3e54a58130164544102bbc0e39f3d531137aa5bfd2151503239faeb73c,ctls,kpmg.dev.fidentity.ch,443,https://kpmg.dev.fidentity.ch:443,https,text/html,GET,194.182.166.97,/,282905992,194.182.166.97,56,False,Let's Encrypt,,Nginx,https:,,nginx,https://kpmg.dev.fidentity.ch/api/v1/demo-registration
logs-dev.fidentity.ch,403 Forbidden,403,564,logs-dev.fidentity.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2022-08-09T06:13:25Z,2023-08-09T06:13:25Z,"CN=*.fidentity.ch, O=fidentity AG, L=Kaufdorf, ST=BE, C=CH",*.fidentity.ch,fidentity.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,72f435927e795ac22b91d68446ace2d4,472674a096b615b6ac1f135c7bfd6e5660263176a17efeb44eaf11d02ac5c303,ctls,logs-dev.fidentity.ch,443,https://logs-dev.fidentity.ch:443,https,text/html,GET,91.92.201.100,/,1071123763,91.92.201.100,14,False,SwissSign AG,fidentity AG,Ubuntu,,True,nginx/1.18.0 (Ubuntu),
logs.fidentity.ch,403 Forbidden,403,555,logs.fidentity.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2022-08-09T06:13:25Z,2023-08-09T06:13:25Z,"CN=*.fidentity.ch, O=fidentity AG, L=Kaufdorf, ST=BE, C=CH",*.fidentity.ch,fidentity.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,72f435927e795ac22b91d68446ace2d4,472674a096b615b6ac1f135c7bfd6e5660263176a17efeb44eaf11d02ac5c303,ctls,logs.fidentity.ch,80,http://logs.fidentity.ch:80,http,text/html,GET,193.5.124.29,/,-920312475,193.5.124.29,14,False,SwissSign AG,fidentity AG,Nginx:1.23.4,,True,nginx/1.23.4,https://logs.fidentity.ch/
lyncdiscover.fidentity.ch,,200,362,,,,,,,,,,,,,,,,,,,80,http://lyncdiscover.fidentity.ch:80,http,application/json,GET,52.112.193.16,/,1069186416,2603:1027:0:48::21,1,False,,,Azure,,,,
meriones.app.fidentity.ch,Fidentity Error,403,1620,meriones.app.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-03-16T03:11:46Z,2023-06-14T03:11:45Z,CN=meriones.app.fidentity.ch,meriones.app.fidentity.ch,meriones.app.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,ed1967992decf08157801bd5d5f4f789,7ccf5d4e612903b64d2427068cb5bc2f120f87b672d533412dc8a31a74d03406,ctls,meriones.app.fidentity.ch,443,https://meriones.app.fidentity.ch:443,https,text/html,GET,194.88.197.87,/,-284657851,194.88.197.87,56,False,Let's Encrypt,,HSTS,https:,,,
