new,host,a,mx,soa,ns,txt,caa,status_code,cname,has_internal_ips,internal_ips,aaaa,cdn,cdn-name
,hml-elo-orb.elo.com.br,"172.19.92.197, 172.19.77.204, 172.19.84.246",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-hml-inthmlin-06c2ea747a-1636574861.us-east-2.elb.amazonaws.com,True,"172.19.92.197, 172.19.77.204, 172.19.84.246",,,
,hml-plataformaflex-eks.elo.com.br,"13.59.239.243, 3.22.202.13, 3.137.61.51",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,k8s-hml-hmlingre-2dfe656980-47993027.us-east-2.elb.amazonaws.com,,,,,
,iframe-dev.elo.com.br,"52.14.18.155, 3.19.103.204, 3.129.106.201",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com","ns-1076.awsdns-06.org, ns-127.awsdns-15.com, ns-1722.awsdns-23.co.uk, ns-598.awsdns-10.net",,,NOERROR,k8s-dev-iframede-1115fd60ef-878616805.us-east-2.elb.amazonaws.com,,,,,
,int-automation-dev-api.elo.com.br,"172.19.39.170, 172.19.36.26, 172.19.37.87",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-dev-intdevin-e6a3ec8865-1019258736.us-east-2.elb.amazonaws.com,True,"172.19.39.170, 172.19.36.26, 172.19.37.87",,,
,int-dev-api-eks.elo.com.br,"172.19.39.170, 172.19.36.26, 172.19.37.87",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-dev-intdevin-e6a3ec8865-1019258736.us-east-2.elb.amazonaws.com,True,"172.19.39.170, 172.19.36.26, 172.19.37.87",,,
,int-dev-carteiras-digitais-eks.elo.com.br,"172.19.64.98, 172.19.86.180, 172.19.95.235",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-dev-intdevin-e6a3ec8865-1930085994.us-east-2.elb.amazonaws.com,True,"172.19.64.98, 172.19.86.180, 172.19.95.235",,,
,int-dev-emissaolite-eks.elo.com.br,"172.19.37.206, 172.19.38.114, 172.19.36.121",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-dev-intdevin-e6a3ec8865-1336275662.us-east-2.elb.amazonaws.com,True,"172.19.37.206, 172.19.38.114, 172.19.36.121",,,
,int-dev-lyra-eks.elo.com.br,"172.19.86.143, 172.19.91.193, 172.19.79.53",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-dev-intdevin-e6a3ec8865-1455118181.us-east-2.elb.amazonaws.com,True,"172.19.86.143, 172.19.91.193, 172.19.79.53",,,
,int-dev-plataformaflex-eks.elo.com.br,"172.19.38.226, 172.19.37.208, 172.19.36.184",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-dev-intdevin-e6a3ec8865-95073370.us-east-2.elb.amazonaws.com,True,"172.19.38.226, 172.19.37.208, 172.19.36.184",,,
,int-hml-api-eks.elo.com.br,"172.19.84.246, 172.19.92.197, 172.19.77.204",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-hml-inthmlin-06c2ea747a-1636574861.us-east-2.elb.amazonaws.com,True,"172.19.84.246, 172.19.92.197, 172.19.77.204",,,
,int-hml-carteiras-digitais-eks.elo.com.br,"172.19.85.101, 172.19.70.233, 172.19.89.236",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-hml-inthmlin-06c2ea747a-1505455189.us-east-2.elb.amazonaws.com,True,"172.19.85.101, 172.19.70.233, 172.19.89.236",,,
,int-hml-emissaolite-eks.elo.com.br,"172.19.36.161, 172.19.39.91, 172.19.37.45",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-hml-inthmlin-06c2ea747a-1106507211.us-east-2.elb.amazonaws.com,True,"172.19.36.161, 172.19.39.91, 172.19.37.45",,,
,int-hml-plataformaflex-eks.elo.com.br,"172.19.69.206, 172.19.94.151, 172.19.80.23",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-hml-inthmlin-06c2ea747a-966279214.us-east-2.elb.amazonaws.com,True,"172.19.69.206, 172.19.94.151, 172.19.80.23",,,
,int-prd-api-eks.elo.com.br,"10.98.0.204, 10.98.156.23, 10.98.117.175",,"ns-2034.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-7ed22154-prd-prdinternalin-11c2-286673837.sa-east-1.elb.amazonaws.com,True,"10.98.0.204, 10.98.156.23, 10.98.117.175",,,
,int-prd-carteiras-digitais-eks.elo.com.br,"10.98.83.179, 10.98.183.100, 10.98.28.153",,"ns-2034.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-prd-prdinter-f0ebd6ebd4-689805493.sa-east-1.elb.amazonaws.com,True,"10.98.83.179, 10.98.183.100, 10.98.28.153",,,
,int-prd-emissaolite-eks.elo.com.br,"10.98.100.183, 10.98.174.185, 10.98.32.177",,"ns-2034.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-prd-prdinter-f0ebd6ebd4-2117146395.sa-east-1.elb.amazonaws.com,True,"10.98.100.183, 10.98.174.185, 10.98.32.177",,,
,int-ti-api-eks.elo.com.br,"172.19.37.117, 172.19.38.246, 172.19.36.144",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-ti-inttiing-bff9e0508c-545328369.us-east-2.elb.amazonaws.com,True,"172.19.37.117, 172.19.38.246, 172.19.36.144",,,
,int-tsp20-apis-elo-ti.elo.com.br,"172.19.38.246, 172.19.37.117, 172.19.36.144",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-ti-inttiing-bff9e0508c-545328369.us-east-2.elb.amazonaws.com,True,"172.19.38.246, 172.19.37.117, 172.19.36.144",,,
,j72o98pmgzuptdlu.elo.com.br,"54.207.210.135, 52.67.50.195, 54.94.238.125",,"ns-2034.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,alb-nginx-vpc-prd-315414046.sa-east-1.elb.amazonaws.com,,,,,
,jaeger-apis.elo.com.br,"10.98.31.40, 10.98.135.105",,"ns-2034.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-ec2-opentelemetry-alb-309971664.sa-east-1.elb.amazonaws.com,True,"10.98.31.40, 10.98.135.105",,,
,jaeger-carteiras-digitais-dev.elo.com.br,,,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-dev-intdevin-e6a3ec8865-1930085994.us-east-2.elb.amazonaws.com,,,,,
,jaeger-carteiras-digitais-prd.elo.com.br,,,"ns-2034.awsdns-62.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-prd-prdinter-f0ebd6ebd4-689805493.sa-east-1.elb.amazonaws.com,,,,,
,jaeger-emissaolite-dev.elo.com.br,"172.19.36.121, 172.19.38.114, 172.19.37.206",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-dev-intdevin-e6a3ec8865-1336275662.us-east-2.elb.amazonaws.com,True,"172.19.36.121, 172.19.38.114, 172.19.37.206",,,
,jaeger-emissaolite-hml.elo.com.br,"172.19.39.91, 172.19.36.161, 172.19.37.45",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-hml-inthmlin-06c2ea747a-1106507211.us-east-2.elb.amazonaws.com,True,"172.19.39.91, 172.19.36.161, 172.19.37.45",,,
,jaeger-lyra-dev.elo.com.br,"172.19.86.143, 172.19.91.193, 172.19.79.53",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-dev-intdevin-e6a3ec8865-1455118181.us-east-2.elb.amazonaws.com,True,"172.19.86.143, 172.19.91.193, 172.19.79.53",,,
,jaeger-nprd.elo.com.br,"172.19.84.246, 172.19.92.197, 172.19.77.204",,"ns-1076.awsdns-06.org, awsdns-hostmaster.amazon.com",,,,NOERROR,internal-k8s-hml-inthmlin-06c2ea747a-1636574861.us-east-2.elb.amazonaws.com,True,"172.19.84.246, 172.19.92.197, 172.19.77.204",,,
